Date,Sunesis Pharmaceuticals
2004-06-01,50
2004-06-02,51
2004-06-03,52
2004-06-04,53
2004-06-05,54
2004-06-06,55
2004-06-07,56
2004-06-08,57
2004-06-09,58
2004-06-10,59
2004-06-11,60
2004-06-12,61
2004-06-13,62
2004-06-14,63
2004-06-15,64
2004-06-16,66
2004-06-17,67
2004-06-18,68
2004-06-19,69
2004-06-20,70
2004-06-21,71
2004-06-22,72
2004-06-23,73
2004-06-24,74
2004-06-25,75
2004-06-26,76
2004-06-27,77
2004-06-28,78
2004-06-29,79
2004-06-30,80
2004-07-01,82
2004-07-02,81
2004-07-03,81
2004-07-04,80
2004-07-05,80
2004-07-06,79
2004-07-07,79
2004-07-08,78
2004-07-09,78
2004-07-10,77
2004-07-11,77
2004-07-12,77
2004-07-13,76
2004-07-14,76
2004-07-15,75
2004-07-16,75
2004-07-17,74
2004-07-18,74
2004-07-19,73
2004-07-20,73
2004-07-21,72
2004-07-22,72
2004-07-23,72
2004-07-24,71
2004-07-25,71
2004-07-26,70
2004-07-27,70
2004-07-28,69
2004-07-29,69
2004-07-30,68
2004-07-31,68
2004-08-01,68
2004-08-02,67
2004-08-03,66
2004-08-04,65
2004-08-05,64
2004-08-06,63
2004-08-07,62
2004-08-08,61
2004-08-09,61
2004-08-10,60
2004-08-11,59
2004-08-12,58
2004-08-13,57
2004-08-14,56
2004-08-15,55
2004-08-16,54
2004-08-17,54
2004-08-18,53
2004-08-19,52
2004-08-20,51
2004-08-21,50
2004-08-22,49
2004-08-23,48
2004-08-24,47
2004-08-25,47
2004-08-26,46
2004-08-27,45
2004-08-28,44
2004-08-29,43
2004-08-30,42
2004-08-31,41
2004-09-01,41
2004-09-02,41
2004-09-03,41
2004-09-04,42
2004-09-05,42
2004-09-06,43
2004-09-07,43
2004-09-08,43
2004-09-09,44
2004-09-10,44
2004-09-11,45
2004-09-12,45
2004-09-13,45
2004-09-14,46
2004-09-15,46
2004-09-16,47
2004-09-17,47
2004-09-18,47
2004-09-19,48
2004-09-20,48
2004-09-21,49
2004-09-22,49
2004-09-23,49
2004-09-24,50
2004-09-25,50
2004-09-26,51
2004-09-27,51
2004-09-28,51
2004-09-29,52
2004-09-30,52
2004-10-01,53
2004-10-02,53
2004-10-03,53
2004-10-04,53
2004-10-05,53
2004-10-06,53
2004-10-07,53
2004-10-08,53
2004-10-09,53
2004-10-10,53
2004-10-11,53
2004-10-12,54
2004-10-13,54
2004-10-14,54
2004-10-15,54
2004-10-16,54
2004-10-17,54
2004-10-18,54
2004-10-19,54
2004-10-20,54
2004-10-21,54
2004-10-22,55
2004-10-23,55
2004-10-24,55
2004-10-25,55
2004-10-26,55
2004-10-27,55
2004-10-28,55
2004-10-29,55
2004-10-30,55
2004-10-31,55
2004-11-01,56
2004-11-02,56
2004-11-03,56
2004-11-04,56
2004-11-05,56
2004-11-06,56
2004-11-07,56
2004-11-08,56
2004-11-09,57
2004-11-10,57
2004-11-11,57
2004-11-12,57
2004-11-13,57
2004-11-14,57
2004-11-15,57
2004-11-16,58
2004-11-17,58
2004-11-18,58
2004-11-19,58
2004-11-20,58
2004-11-21,58
2004-11-22,58
2004-11-23,58
2004-11-24,59
2004-11-25,59
2004-11-26,59
2004-11-27,59
2004-11-28,59
2004-11-29,59
2004-11-30,59
2004-12-01,60
2004-12-02,60
2004-12-03,60
2004-12-04,60
2004-12-05,60
2004-12-06,60
2004-12-07,61
2004-12-08,61
2004-12-09,61
2004-12-10,61
2004-12-11,61
2004-12-12,62
2004-12-13,62
2004-12-14,62
2004-12-15,62
2004-12-16,62
2004-12-17,63
2004-12-18,63
2004-12-19,63
2004-12-20,63
2004-12-21,63
2004-12-22,64
2004-12-23,64
2004-12-24,64
2004-12-25,64
2004-12-26,64
2004-12-27,65
2004-12-28,65
2004-12-29,65
2004-12-30,65
2004-12-31,65
2005-01-01,66
2005-01-02,65
2005-01-03,65
2005-01-04,65
2005-01-05,64
2005-01-06,64
2005-01-07,64
2005-01-08,64
2005-01-09,63
2005-01-10,63
2005-01-11,63
2005-01-12,63
2005-01-13,62
2005-01-14,62
2005-01-15,62
2005-01-16,62
2005-01-17,61
2005-01-18,61
2005-01-19,61
2005-01-20,61
2005-01-21,60
2005-01-22,60
2005-01-23,60
2005-01-24,60
2005-01-25,59
2005-01-26,59
2005-01-27,59
2005-01-28,59
2005-01-29,58
2005-01-30,58
2005-01-31,58
2005-02-01,58
2005-02-02,57
2005-02-03,57
2005-02-04,57
2005-02-05,56
2005-02-06,56
2005-02-07,56
2005-02-08,55
2005-02-09,55
2005-02-10,55
2005-02-11,54
2005-02-12,54
2005-02-13,54
2005-02-14,53
2005-02-15,53
2005-02-16,53
2005-02-17,52
2005-02-18,52
2005-02-19,52
2005-02-20,51
2005-02-21,51
2005-02-22,51
2005-02-23,50
2005-02-24,50
2005-02-25,50
2005-02-26,49
2005-02-27,49
2005-02-28,49
2005-03-01,49
2005-03-02,49
2005-03-03,49
2005-03-04,50
2005-03-05,50
2005-03-06,51
2005-03-07,51
2005-03-08,52
2005-03-09,52
2005-03-10,53
2005-03-11,53
2005-03-12,53
2005-03-13,54
2005-03-14,54
2005-03-15,55
2005-03-16,55
2005-03-17,56
2005-03-18,56
2005-03-19,57
2005-03-20,57
2005-03-21,58
2005-03-22,58
2005-03-23,58
2005-03-24,59
2005-03-25,59
2005-03-26,60
2005-03-27,60
2005-03-28,61
2005-03-29,61
2005-03-30,62
2005-03-31,62
2005-04-01,63
2005-04-02,61
2005-04-03,60
2005-04-04,59
2005-04-05,58
2005-04-06,57
2005-04-07,56
2005-04-08,55
2005-04-09,53
2005-04-10,52
2005-04-11,51
2005-04-12,50
2005-04-13,49
2005-04-14,48
2005-04-15,47
2005-04-16,46
2005-04-17,44
2005-04-18,43
2005-04-19,42
2005-04-20,41
2005-04-21,40
2005-04-22,39
2005-04-23,38
2005-04-24,36
2005-04-25,35
2005-04-26,34
2005-04-27,33
2005-04-28,32
2005-04-29,31
2005-04-30,30
2005-05-01,29
2005-05-02,29
2005-05-03,30
2005-05-04,31
2005-05-05,31
2005-05-06,32
2005-05-07,33
2005-05-08,33
2005-05-09,34
2005-05-10,35
2005-05-11,36
2005-05-12,36
2005-05-13,37
2005-05-14,38
2005-05-15,38
2005-05-16,39
2005-05-17,40
2005-05-18,41
2005-05-19,41
2005-05-20,42
2005-05-21,43
2005-05-22,43
2005-05-23,44
2005-05-24,45
2005-05-25,46
2005-05-26,46
2005-05-27,47
2005-05-28,48
2005-05-29,48
2005-05-30,49
2005-05-31,50
2005-06-01,51
2005-06-02,50
2005-06-03,49
2005-06-04,49
2005-06-05,48
2005-06-06,48
2005-06-07,47
2005-06-08,47
2005-06-09,46
2005-06-10,46
2005-06-11,45
2005-06-12,45
2005-06-13,44
2005-06-14,44
2005-06-15,43
2005-06-16,43
2005-06-17,42
2005-06-18,41
2005-06-19,41
2005-06-20,40
2005-06-21,40
2005-06-22,39
2005-06-23,39
2005-06-24,38
2005-06-25,38
2005-06-26,37
2005-06-27,37
2005-06-28,36
2005-06-29,36
2005-06-30,35
2005-07-01,35
2005-07-02,34
2005-07-03,34
2005-07-04,34
2005-07-05,34
2005-07-06,34
2005-07-07,34
2005-07-08,34
2005-07-09,33
2005-07-10,33
2005-07-11,33
2005-07-12,33
2005-07-13,33
2005-07-14,33
2005-07-15,33
2005-07-16,33
2005-07-17,32
2005-07-18,32
2005-07-19,32
2005-07-20,32
2005-07-21,32
2005-07-22,32
2005-07-23,32
2005-07-24,32
2005-07-25,31
2005-07-26,31
2005-07-27,31
2005-07-28,31
2005-07-29,31
2005-07-30,31
2005-07-31,31
2005-08-01,31
2005-08-02,33
2005-08-03,35
2005-08-04,37
2005-08-05,39
2005-08-06,42
2005-08-07,44
2005-08-08,46
2005-08-09,48
2005-08-10,51
2005-08-11,53
2005-08-12,55
2005-08-13,57
2005-08-14,59
2005-08-15,62
2005-08-16,64
2005-08-17,66
2005-08-18,68
2005-08-19,71
2005-08-20,73
2005-08-21,75
2005-08-22,77
2005-08-23,79
2005-08-24,82
2005-08-25,84
2005-08-26,86
2005-08-27,88
2005-08-28,91
2005-08-29,93
2005-08-30,95
2005-08-31,97
2005-09-01,100
2005-09-02,98
2005-09-03,96
2005-09-04,95
2005-09-05,93
2005-09-06,91
2005-09-07,90
2005-09-08,88
2005-09-09,86
2005-09-10,85
2005-09-11,83
2005-09-12,82
2005-09-13,80
2005-09-14,78
2005-09-15,77
2005-09-16,75
2005-09-17,73
2005-09-18,72
2005-09-19,70
2005-09-20,68
2005-09-21,67
2005-09-22,65
2005-09-23,64
2005-09-24,62
2005-09-25,60
2005-09-26,59
2005-09-27,57
2005-09-28,55
2005-09-29,54
2005-09-30,52
2005-10-01,51
2005-10-02,51
2005-10-03,51
2005-10-04,52
2005-10-05,52
2005-10-06,52
2005-10-07,53
2005-10-08,53
2005-10-09,53
2005-10-10,54
2005-10-11,54
2005-10-12,54
2005-10-13,55
2005-10-14,55
2005-10-15,55
2005-10-16,56
2005-10-17,56
2005-10-18,57
2005-10-19,57
2005-10-20,57
2005-10-21,58
2005-10-22,58
2005-10-23,58
2005-10-24,59
2005-10-25,59
2005-10-26,59
2005-10-27,60
2005-10-28,60
2005-10-29,60
2005-10-30,61
2005-10-31,61
2005-11-01,62
2005-11-02,61
2005-11-03,60
2005-11-04,59
2005-11-05,58
2005-11-06,57
2005-11-07,56
2005-11-08,55
2005-11-09,54
2005-11-10,53
2005-11-11,53
2005-11-12,52
2005-11-13,51
2005-11-14,50
2005-11-15,49
2005-11-16,48
2005-11-17,47
2005-11-18,46
2005-11-19,45
