Date,BroadSoft
2009-09-12,42
2009-09-13,43
2009-09-14,44
2009-09-15,46
2009-09-16,47
2009-09-17,49
2009-09-18,50
2009-09-19,52
2009-09-20,53
2009-09-21,55
2009-09-22,57
2009-09-23,59
2009-09-24,61
2009-09-25,63
2009-09-26,65
2009-09-27,63
2009-09-28,63
2009-09-29,62
2009-09-30,60
2009-10-01,59
2009-10-02,58
2009-10-03,57
2009-10-04,54
2009-10-05,49
2009-10-06,46
2009-10-07,43
2009-10-08,40
2009-10-09,37
2009-10-10,34
2009-10-11,36
2009-10-12,38
2009-10-13,41
2009-10-14,43
2009-10-15,46
2009-10-16,48
2009-10-17,51
2009-10-18,53
2009-10-19,55
2009-10-20,58
2009-10-21,60
2009-10-22,62
2009-10-23,64
2009-10-24,67
2009-10-25,64
2009-10-26,60
2009-10-27,57
2009-10-28,55
2009-10-29,52
2009-10-30,49
2009-10-31,47
2009-11-01,49
2009-11-02,51
2009-11-03,53
2009-11-04,55
2009-11-05,57
2009-11-06,59
2009-11-07,61
2009-11-08,59
2009-11-09,57
2009-11-10,56
2009-11-11,54
2009-11-12,53
2009-11-13,51
2009-11-14,50
2009-11-15,50
2009-11-16,50
2009-11-17,50
2009-11-18,50
2009-11-19,50
2009-11-20,50
2009-11-21,50
2009-11-22,48
2009-11-23,46
2009-11-24,44
2009-11-25,42
2009-11-26,40
2009-11-27,38
2009-11-28,37
2009-11-29,40
2009-12-06,57
2009-12-07,56
2009-12-08,55
2009-12-09,54
2009-12-10,53
2009-12-11,52
2009-12-12,52
2009-12-13,51
2009-12-14,51
2009-12-15,51
2009-12-16,50
2009-12-17,50
2009-12-18,49
2009-12-19,49
2009-12-20,48
2009-12-21,46
2009-12-22,45
2009-12-23,44
2009-12-24,42
2009-12-25,41
2009-12-26,40
2009-12-27,39
2009-12-28,37
2009-12-29,36
2009-12-30,35
2009-12-31,34
2010-01-01,33
2010-01-02,32
2010-01-03,32
2010-01-04,32
2010-01-05,32
2010-01-06,32
2010-01-07,32
2010-01-08,32
2010-01-09,32
2010-01-10,34
2010-01-11,36
2010-01-12,38
2010-01-13,40
2010-01-14,42
2010-01-15,44
2010-01-16,46
2010-01-17,44
2010-01-18,43
2010-01-19,42
2010-01-20,41
2010-01-21,40
2010-01-22,39
2010-01-23,38
2010-01-24,37
2010-01-25,37
2010-01-26,36
2010-01-27,36
2010-01-28,35
2010-01-29,35
2010-01-30,35
2010-01-31,35
2010-02-01,36
2010-02-02,36
2010-02-03,37
2010-02-04,38
2010-02-05,38
2010-02-06,39
2010-02-07,40
2010-02-08,42
2010-02-09,43
2010-02-10,45
2010-02-11,46
2010-02-12,48
2010-02-13,50
2010-02-14,48
2010-02-15,47
2010-02-16,46
2010-02-17,44
2010-02-18,43
2010-02-19,42
2010-02-20,41
2010-02-21,42
2010-02-22,43
2010-02-23,45
2010-02-24,46
2010-02-25,48
2010-02-26,49
2010-02-27,51
2010-02-28,52
2010-03-07,60
2010-03-08,57
2010-03-09,54
2010-03-10,51
2010-03-11,48
2010-03-12,45
2010-03-13,42
2010-03-14,44
2010-03-15,47
2010-03-16,49
2010-03-17,51
2010-03-18,54
2010-03-19,56
2010-03-20,59
2010-03-21,57
2010-03-22,56
2010-03-23,54
2010-03-24,53
2010-03-25,52
2010-03-26,50
2010-03-27,49
2010-03-28,45
2010-03-29,42
2010-03-30,38
2010-03-31,35
2010-04-01,31
2010-04-02,28
2010-04-03,25
2010-04-04,26
2010-04-05,28
2010-04-06,30
2010-04-07,32
2010-04-08,34
2010-04-09,36
2010-04-10,38
2010-04-11,37
2010-04-12,37
2010-04-13,37
2010-04-14,37
2010-04-15,37
2010-04-16,37
2010-04-17,37
2010-04-18,38
2010-04-19,39
2010-04-20,40
2010-04-21,42
2010-04-22,43
2010-04-23,44
2010-04-24,46
2010-04-25,47
2010-04-26,48
2010-04-27,49
2010-04-28,50
2010-04-29,52
2010-04-30,53
2010-05-01,54
2010-05-02,51
2010-05-03,49
2010-05-04,46
2010-05-05,44
2010-05-06,41
2010-05-07,39
2010-05-08,37
2010-05-09,38
2010-05-10,39
2010-05-11,40
2010-05-12,41
2010-05-13,42
2010-05-14,43
2010-05-15,44
2010-05-16,45
2010-05-17,47
2010-05-18,49
2010-05-19,51
2010-05-20,53
2010-05-21,55
2010-05-22,57
2010-05-23,59
2010-05-24,62
2010-05-25,64
2010-05-26,66
2010-05-27,68
2010-05-28,71
2010-05-29,73
2010-05-30,69
2010-06-06,40
2010-06-07,40
2010-06-08,40
2010-06-09,40
2010-06-10,40
2010-06-11,40
2010-06-12,40
2010-06-13,48
2010-06-14,57
2010-06-15,66
2010-06-16,75
2010-06-17,83
2010-06-18,92
2010-06-19,101
2010-06-20,94
2010-06-21,86
2010-06-22,79
2010-06-23,72
2010-06-24,65
2010-06-25,58
2010-06-26,51
2010-06-27,53
2010-06-28,56
2010-06-29,58
2010-06-30,60
2010-07-01,63
2010-07-02,65
2010-07-03,67
2010-07-04,65
2010-07-05,63
2010-07-06,61
2010-07-07,59
2010-07-08,57
2010-07-09,55
2010-07-10,53
2010-07-11,50
2010-07-12,47
2010-07-13,44
2010-07-14,42
2010-07-15,39
2010-07-16,36
2010-07-17,34
2010-07-18,35
2010-07-19,36
2010-07-20,38
2010-07-21,39
2010-07-22,40
2010-07-23,42
2010-07-24,43
2010-07-25,41
2010-07-26,39
2010-07-27,37
2010-07-28,35
2010-07-29,33
2010-07-30,31
2010-07-31,29
2010-08-01,32
2010-08-02,36
2010-08-03,40
2010-08-04,44
2010-08-05,48
2010-08-06,52
2010-08-07,56
2010-08-08,55
2010-08-09,54
2010-08-10,53
2010-08-11,52
2010-08-12,51
2010-08-13,50
2010-08-14,50
2010-08-15,49
2010-08-16,48
2010-08-17,47
2010-08-18,47
2010-08-19,46
2010-08-20,45
2010-08-21,45
2010-08-22,45
2010-08-23,45
2010-08-24,45
2010-08-25,45
2010-08-26,45
2010-08-27,45
2010-08-28,45
2010-08-29,43
2010-09-05,36
2010-09-06,40
2010-09-07,44
2010-09-08,48
2010-09-09,52
2010-09-10,57
2010-09-11,61
2010-09-12,59
2010-09-13,56
2010-09-14,54
2010-09-15,52
2010-09-16,50
2010-09-17,48
2010-09-18,46
2010-09-19,46
2010-09-20,46
2010-09-21,46
2010-09-22,46
2010-09-23,46
2010-09-24,46
2010-09-25,46
2010-09-26,44
2010-09-27,41
2010-09-28,38
2010-09-29,36
2010-09-30,33
2010-10-01,31
2010-10-02,29
2010-10-03,32
2010-10-04,35
2010-10-05,39
2010-10-06,42
2010-10-07,46
2010-10-08,49
2010-10-09,53
2010-10-10,51
2010-10-11,50
2010-10-12,49
2010-10-13,48
2010-10-14,47
2010-10-15,46
2010-10-16,45
2010-10-17,44
2010-10-18,44
2010-10-19,44
2010-10-20,44
2010-10-21,44
2010-10-22,44
2010-10-23,44
2010-10-24,46
2010-10-25,49
2010-10-26,51
2010-10-27,54
2010-10-28,56
2010-10-29,58
2010-10-30,61
2010-10-31,60
2010-11-01,58
2010-11-02,56
2010-11-03,55
2010-11-04,53
2010-11-05,52
2010-11-06,51
2010-11-07,52
2010-11-08,53
2010-11-09,54
2010-11-10,55
2010-11-11,56
2010-11-12,57
2010-11-13,58
2010-11-14,57
2010-11-15,54
2010-11-16,52
