Date,MercadoLibre
2006-11-01,47
2006-11-02,48
2006-11-03,48
2006-11-04,49
2006-11-05,49
2006-11-06,47
2006-11-07,46
2006-11-08,45
2006-11-09,45
2006-11-10,43
2006-11-11,45
2006-11-12,44
2006-11-13,43
2006-11-14,45
2006-11-15,44
2006-11-16,44
2006-11-17,46
2006-11-18,45
2006-11-19,46
2006-11-20,45
2006-11-21,46
2006-11-22,47
2006-11-23,47
2006-11-24,48
2006-11-25,48
2006-11-26,49
2006-11-27,48
2006-11-28,48
2006-11-29,48
2006-11-30,49
2006-12-01,48
2006-12-02,48
2006-12-03,49
2006-12-04,48
2006-12-05,48
2006-12-06,48
2006-12-07,48
2006-12-08,50
2006-12-09,49
2006-12-10,49
2006-12-11,50
2006-12-12,50
2006-12-13,50
2006-12-14,50
2006-12-15,51
2006-12-16,51
2006-12-17,53
2006-12-18,52
2006-12-19,53
2006-12-20,55
2006-12-21,55
2006-12-22,56
2006-12-23,57
2006-12-24,59
2006-12-25,56
2006-12-26,54
2006-12-27,54
2006-12-28,52
2006-12-29,51
2006-12-30,51
2006-12-31,52
2007-01-01,52
2007-01-02,49
2007-01-03,48
2007-01-04,48
2007-01-05,47
2007-01-06,47
2007-01-07,47
2007-01-08,46
2007-01-09,46
2007-01-10,46
2007-01-11,46
2007-01-12,47
2007-01-13,46
2007-01-14,47
2007-01-15,45
2007-01-16,45
2007-01-17,46
2007-01-18,46
2007-01-19,45
2007-01-20,45
2007-01-21,46
2007-01-22,45
2007-01-23,45
2007-01-24,46
2007-01-25,46
2007-01-26,46
2007-01-27,47
2007-01-28,50
2007-01-29,46
2007-01-30,46
2007-01-31,46
2007-02-01,46
2007-02-02,47
2007-02-03,46
2007-02-04,46
2007-02-05,46
2007-02-06,46
2007-02-07,47
2007-02-08,46
2007-02-09,46
2007-02-10,46
2007-02-11,47
2007-02-12,46
2007-02-13,47
2007-02-14,47
2007-02-15,48
2007-02-16,48
2007-02-17,49
2007-02-18,49
2007-02-19,49
2007-02-20,48
2007-02-21,48
2007-02-22,48
2007-02-23,48
2007-02-24,48
2007-02-25,50
2007-02-26,48
2007-02-27,48
