Date,Qualys
2011-12-01,58
2011-12-02,58
2011-12-03,62
2011-12-04,58
2011-12-05,58
2011-12-06,59
2011-12-07,57
2011-12-08,56
2011-12-09,59
2011-12-10,58
2011-12-11,56
2011-12-12,56
2011-12-13,56
2011-12-14,57
2011-12-15,57
2011-12-16,62
2011-12-17,58
2011-12-18,58
2011-12-19,58
2011-12-20,58
2011-12-21,58
2011-12-22,58
2011-12-23,58
2011-12-24,58
2011-12-25,55
2011-12-26,53
2011-12-27,51
2011-12-28,50
2011-12-29,47
2011-12-30,45
2011-12-31,43
2012-01-01,43
2012-01-02,44
2012-01-03,45
2012-01-04,46
2012-01-05,47
2012-01-06,48
2012-01-07,49
2012-01-08,48
2012-01-09,48
2012-01-10,48
2012-01-11,48
2012-01-12,48
2012-01-13,48
2012-01-14,50
2012-01-15,47
2012-01-16,47
2012-01-17,47
2012-01-18,49
2012-01-19,47
2012-01-20,47
2012-01-21,47
2012-01-22,47
2012-01-23,48
2012-01-24,49
2012-01-25,49
2012-01-26,51
2012-01-27,51
2012-01-28,52
2012-01-29,52
2012-01-30,52
2012-01-31,52
2012-02-01,53
2012-02-02,54
2012-02-03,53
2012-02-04,56
2012-02-05,54
2012-02-06,54
2012-02-07,54
2012-02-08,58
2012-02-09,55
2012-02-10,59
2012-02-11,56
2012-02-12,56
2012-02-13,56
2012-02-14,56
2012-02-15,61
2012-02-16,56
2012-02-17,59
2012-02-18,56
2012-02-19,55
2012-02-20,54
2012-02-21,53
2012-02-22,52
2012-02-23,53
2012-02-24,50
2012-02-25,49
2012-02-26,51
2012-02-27,53
2012-02-28,55
2012-02-29,66
2012-03-01,59
2012-03-02,61
2012-03-03,64
2012-03-04,63
2012-03-05,63
2012-03-06,69
2012-03-07,63
2012-03-08,64
2012-03-09,67
2012-03-10,63
2012-03-11,61
2012-03-12,59
2012-03-13,61
2012-03-14,56
2012-03-15,58
2012-03-16,52
2012-03-17,52
2012-03-18,52
2012-03-19,54
2012-03-20,55
2012-03-21,57
2012-03-22,61
2012-03-23,61
2012-03-24,62
2012-03-25,63
2012-03-26,64
2012-03-27,65
2012-03-28,67
2012-03-29,76
2012-03-30,69
2012-03-31,74
2012-04-01,71
2012-04-02,72
2012-04-03,72
2012-04-04,73
2012-04-05,80
2012-04-06,74
2012-04-07,81
2012-04-08,73
2012-04-09,71
2012-04-10,70
2012-04-11,68
2012-04-12,67
2012-04-13,71
2012-04-14,64
2012-04-15,63
2012-04-16,62
2012-04-17,61
2012-04-18,60
2012-04-19,60
2012-04-20,61
2012-04-21,57
2012-04-22,57
2012-04-23,58
2012-04-24,59
2012-04-25,59
2012-04-26,60
2012-04-27,63
2012-04-28,62
2012-04-29,60
2012-04-30,58
2012-05-01,57
2012-05-02,55
2012-05-03,56
2012-05-04,53
2012-05-05,51
2012-05-06,51
2012-05-07,52
2012-05-08,53
2012-05-09,57
2012-05-10,54
2012-05-11,56
2012-05-12,56
2012-05-13,57
2012-05-14,59
2012-05-15,61
2012-05-16,62
2012-05-17,69
2012-05-18,66
2012-05-19,68
2012-05-20,67
2012-05-21,66
2012-05-22,65
2012-05-23,65
2012-05-24,67
2012-05-25,62
2012-05-26,63
2012-05-27,60
2012-05-28,59
2012-05-29,58
2012-05-30,57
2012-05-31,58
2012-06-01,55
2012-06-02,60
2012-06-03,57
2012-06-04,60
2012-06-05,62
2012-06-06,66
2012-06-07,70
2012-06-08,70
2012-06-09,73
2012-06-10,73
2012-06-11,73
2012-06-12,73
2012-06-13,76
2012-06-14,73
2012-06-15,77
2012-06-16,74
2012-06-17,72
2012-06-18,70
2012-06-19,68
2012-06-20,70
2012-06-21,64
2012-06-22,62
2012-06-23,65
2012-06-24,60
2012-06-25,59
2012-06-26,59
2012-06-27,59
2012-06-28,56
2012-06-29,58
2012-06-30,55
2012-07-01,56
2012-07-02,57
2012-07-03,59
2012-07-04,60
2012-07-05,61
2012-07-06,62
2012-07-07,65
2012-07-08,64
2012-07-09,65
2012-07-10,66
2012-07-11,70
2012-07-12,67
2012-07-13,73
2012-07-14,69
2012-07-15,69
2012-07-16,70
2012-07-17,75
2012-07-18,71
2012-07-19,71
2012-07-20,77
2012-07-21,74
2012-07-22,71
2012-07-23,70
2012-07-24,69
2012-07-25,69
2012-07-26,68
2012-07-27,68
2012-07-28,65
2012-07-29,64
2012-07-30,63
2012-07-31,63
2012-08-01,64
2012-08-02,60
2012-08-03,60
2012-08-04,59
2012-08-05,60
2012-08-06,62
2012-08-07,64
2012-08-08,65
2012-08-09,68
2012-08-10,73
2012-08-11,73
2012-08-12,69
2012-08-13,68
2012-08-14,66
2012-08-15,67
