Date,Impinj
2012-01-07,0
2012-01-08,6
2012-01-09,13
2012-01-10,20
2012-01-11,27
2012-01-12,33
2012-01-13,40
2012-01-14,47
2012-01-15,47
2012-01-16,47
2012-01-17,48
2012-01-18,48
2012-01-19,48
2012-01-20,49
2012-01-21,49
2012-01-22,49
2012-01-23,49
2012-01-24,50
2012-01-25,50
2012-01-26,51
2012-01-27,51
2012-01-28,52
2012-01-29,52
2012-01-30,52
2012-01-31,52
2012-02-01,53
2012-02-02,53
2012-02-03,53
2012-02-04,54
2012-02-05,53
2012-02-06,52
2012-02-07,52
2012-02-08,51
2012-02-09,51
2012-02-10,50
2012-02-11,50
2012-02-12,49
2012-02-13,48
2012-02-14,48
2012-02-15,47
2012-02-16,47
2012-02-17,46
2012-02-18,46
2012-02-19,45
2012-02-20,44
2012-02-21,44
2012-02-22,43
2012-02-23,43
2012-02-24,42
2012-02-25,42
2012-02-26,47
2012-02-27,52
2012-02-28,58
2012-02-29,63
2012-03-01,68
2012-03-02,73
2012-03-03,79
2012-03-04,80
2012-03-05,80
2012-03-06,81
2012-03-07,82
2012-03-08,83
2012-03-09,84
2012-03-10,85
2012-03-11,83
2012-03-12,82
2012-03-13,80
2012-03-14,78
2012-03-15,76
2012-03-16,74
2012-03-17,72
2012-03-18,71
2012-03-19,70
2012-03-20,69
2012-03-21,68
2012-03-22,67
2012-03-23,66
2012-03-24,65
2012-03-25,63
2012-04-01,51
2012-04-02,52
2012-04-03,53
2012-04-04,54
2012-04-05,55
2012-04-06,56
2012-04-07,57
2012-04-08,58
2012-04-09,59
2012-04-10,60
2012-04-11,61
2012-04-12,62
2012-04-13,63
2012-04-14,64
2012-04-15,65
2012-04-16,66
2012-04-17,67
2012-04-18,69
2012-04-19,70
2012-04-20,71
2012-04-21,72
2012-04-22,74
2012-04-23,76
2012-04-24,78
2012-04-25,80
2012-04-26,82
2012-04-27,85
2012-04-28,87
2012-04-29,85
2012-04-30,82
2012-05-01,80
2012-05-02,77
2012-05-03,75
2012-05-04,73
2012-05-05,71
2012-05-06,71
2012-05-07,71
2012-05-08,71
2012-05-09,71
2012-05-10,71
2012-05-11,71
2012-05-12,71
2012-05-13,73
2012-05-14,75
2012-05-15,77
2012-05-16,80
2012-05-17,82
2012-05-18,84
2012-05-19,86
2012-05-20,84
2012-05-21,82
2012-05-22,80
2012-05-23,78
2012-05-24,76
2012-05-25,74
2012-05-26,72
2012-05-27,68
2012-05-28,63
2012-05-29,59
2012-05-30,55
2012-05-31,50
2012-06-01,46
2012-06-02,42
2012-06-03,43
2012-06-04,44
2012-06-05,46
2012-06-06,47
2012-06-07,49
2012-06-08,50
2012-06-09,52
2012-06-10,54
2012-06-11,57
2012-06-12,60
2012-06-13,63
2012-06-14,66
2012-06-15,68
2012-06-16,71
2012-06-17,69
2012-06-18,65
2012-06-19,63
2012-06-20,60
2012-06-21,58
2012-06-22,55
2012-06-23,53
2012-06-24,56
2012-07-01,75
2012-07-02,71
2012-07-03,67
2012-07-04,64
2012-07-05,60
2012-07-06,56
2012-07-07,53
2012-07-08,53
2012-07-09,53
2012-07-10,53
2012-07-11,53
2012-07-12,53
2012-07-13,53
2012-07-14,53
2012-07-15,53
2012-07-16,51
2012-07-17,51
2012-07-18,50
2012-07-19,50
2012-07-20,49
2012-07-21,49
2012-07-22,51
2012-07-23,53
2012-07-24,56
2012-07-25,58
2012-07-26,60
2012-07-27,62
2012-07-28,65
2012-07-29,62
2012-07-30,60
2012-07-31,57
2012-08-01,54
2012-08-02,51
2012-08-03,49
2012-08-04,46
2012-08-05,47
2012-08-06,47
2012-08-07,48
2012-08-08,48
2012-08-09,49
2012-08-10,49
2012-08-11,50
2012-08-12,51
2012-08-13,52
2012-08-14,53
2012-08-15,54
2012-08-16,55
2012-08-17,56
2012-08-18,58
2012-08-19,58
2012-08-20,58
2012-08-21,58
2012-08-22,58
2012-08-23,58
2012-08-24,58
2012-08-25,58
2012-08-26,63
2012-08-27,69
2012-08-28,74
2012-08-29,80
2012-08-30,85
2012-08-31,91
2012-09-01,96
2012-09-02,91
2012-09-03,86
2012-09-04,81
2012-09-05,76
2012-09-06,71
2012-09-07,66
2012-09-08,62
2012-09-09,61
2012-09-10,61
2012-09-11,61
2012-09-12,61
2012-09-13,61
2012-09-14,61
2012-09-15,61
2012-09-16,58
2012-09-17,56
2012-09-18,53
2012-09-19,50
2012-09-20,48
2012-09-21,45
2012-09-22,43
2012-09-23,47
2012-09-24,51
2012-09-25,55
2012-09-26,59
2012-09-27,63
2012-09-28,68
2012-09-29,72
2012-09-30,69
2012-10-07,53
2012-10-08,54
2012-10-09,54
2012-10-10,55
2012-10-11,55
2012-10-12,56
2012-10-13,56
2012-10-14,53
2012-10-15,49
2012-10-16,46
2012-10-17,43
2012-10-18,40
2012-10-19,37
2012-10-20,34
2012-10-21,38
2012-10-22,43
2012-10-23,47
2012-10-24,52
2012-10-25,56
2012-10-26,61
2012-10-27,66
2012-10-28,68
2012-10-29,70
2012-10-30,73
2012-10-31,75
2012-11-01,78
2012-11-02,80
2012-11-03,83
2012-11-04,78
2012-11-05,74
2012-11-06,69
2012-11-07,65
2012-11-08,60
2012-11-09,55
2012-11-10,51
2012-11-11,50
2012-11-12,50
2012-11-13,50
2012-11-14,49
2012-11-15,49
2012-11-16,48
2012-11-17,48
2012-11-18,47
2012-11-19,46
2012-11-20,45
2012-11-21,44
2012-11-22,43
2012-11-23,42
2012-11-24,41
2012-11-25,42
2012-11-26,43
2012-11-27,44
2012-11-28,45
2012-11-29,46
2012-11-30,47
2012-12-01,49
2012-12-02,49
2012-12-03,49
2012-12-04,49
2012-12-05,49
2012-12-06,49
2012-12-07,49
2012-12-08,50
2012-12-09,50
2012-12-10,50
2012-12-11,50
2012-12-12,50
2012-12-13,50
2012-12-14,50
2012-12-15,50
2012-12-16,48
2012-12-17,45
2012-12-18,43
2012-12-19,40
2012-12-20,38
2012-12-21,36
2012-12-22,34
2012-12-23,34
2012-12-24,35
2012-12-25,36
2012-12-26,37
2012-12-27,37
2012-12-28,39
2012-12-29,40
2012-12-30,36
2013-01-06,38
2013-01-07,40
2013-01-08,42
2013-01-09,44
2013-01-10,46
2013-01-11,49
2013-01-12,51
2013-01-13,50
2013-01-14,49
2013-01-15,48
2013-01-16,47
2013-01-17,46
2013-01-18,45
2013-01-19,44
2013-01-20,49
2013-01-21,54
2013-01-22,60
2013-01-23,65
2013-01-24,71
2013-01-25,76
2013-01-26,82
2013-01-27,84
2013-01-28,87
2013-01-29,90
2013-01-30,93
2013-01-31,95
2013-02-01,98
2013-02-02,101
2013-02-03,94
2013-02-04,88
2013-02-05,81
2013-02-06,75
2013-02-07,69
2013-02-08,62
2013-02-09,56
2013-02-10,54
2013-02-11,52
2013-02-12,50
2013-02-13,49
2013-02-14,47
2013-02-15,45
2013-02-16,44
2013-02-17,44
2013-02-18,44
2013-02-19,44
2013-02-20,44
2013-02-21,44
2013-02-22,44
2013-02-23,45
2013-02-24,44
2013-02-25,43
2013-02-26,42
2013-02-27,41
2013-02-28,40
2013-03-01,40
2013-03-02,39
2013-03-03,38
2013-03-04,38
2013-03-05,38
2013-03-06,37
2013-03-07,37
2013-03-08,37
2013-03-09,37
2013-03-10,36
2013-03-11,35
2013-03-12,35
2013-03-13,34
2013-03-14,34
2013-03-15,33
2013-03-16,33
2013-03-17,37
2013-03-18,41
2013-03-19,46
2013-03-20,50
2013-03-21,54
2013-03-22,59
2013-03-23,63
2013-03-24,59
2013-03-25,54
2013-03-26,50
2013-03-27,46
2013-03-28,42
2013-03-29,38
2013-03-30,34
2013-03-31,36
2013-04-07,50
2013-04-08,52
2013-04-09,54
2013-04-10,55
2013-04-11,57
2013-04-12,59
2013-04-13,61
2013-04-14,58
2013-04-15,56
2013-04-16,54
2013-04-17,51
2013-04-18,49
2013-04-19,47
2013-04-20,45
2013-04-21,49
2013-04-22,55
2013-04-23,60
2013-04-24,65
2013-04-25,70
2013-04-26,75
2013-04-27,80
2013-04-28,77
2013-04-29,73
2013-04-30,70
2013-05-01,67
2013-05-02,64
2013-05-03,61
2013-05-04,59
2013-05-05,61
2013-05-06,63
2013-05-07,65
2013-05-08,67
2013-05-09,69
2013-05-10,72
2013-05-11,74
2013-05-12,72
2013-05-13,71
2013-05-14,70
2013-05-15,68
2013-05-16,67
2013-05-17,65
2013-05-18,64
2013-05-19,62
2013-05-20,60
2013-05-21,58
2013-05-22,56
2013-05-23,54
2013-05-24,52
2013-05-25,51
2013-05-26,52
2013-05-27,54
2013-05-28,56
2013-05-29,58
2013-05-30,60
2013-05-31,62
2013-06-01,64
2013-06-02,69
2013-06-03,75
2013-06-04,80
2013-06-05,85
2013-06-06,90
2013-06-07,96
2013-06-08,101
2013-06-09,92
2013-06-10,82
2013-06-11,73
2013-06-12,64
2013-06-13,55
2013-06-14,46
2013-06-15,37
2013-06-16,44
2013-06-17,52
2013-06-18,59
2013-06-19,67
2013-06-20,74
2013-06-21,82
2013-06-22,89
2013-06-23,84
2013-06-24,79
2013-06-25,74
2013-06-26,70
2013-06-27,65
2013-06-28,60
2013-06-29,55
2013-06-30,54
2013-07-07,51
2013-07-08,53
2013-07-09,55
2013-07-10,56
2013-07-11,58
2013-07-12,60
2013-07-13,62
2013-07-14,60
2013-07-15,58
2013-07-16,56
2013-07-17,55
2013-07-18,53
2013-07-19,51
2013-07-20,50
2013-07-21,48
2013-07-22,46
2013-07-23,44
2013-07-24,42
2013-07-25,40
2013-07-26,39
2013-07-27,37
2013-07-28,37
2013-07-29,37
2013-07-30,37
2013-07-31,37
2013-08-01,37
2013-08-02,37
2013-08-03,37
2013-08-04,41
2013-08-05,46
2013-08-06,50
2013-08-07,54
2013-08-08,59
2013-08-09,63
2013-08-10,68
2013-08-11,66
2013-08-12,64
2013-08-13,63
2013-08-14,61
2013-08-15,59
2013-08-16,57
2013-08-17,56
2013-08-18,54
2013-08-19,52
2013-08-20,50
2013-08-21,48
2013-08-22,46
2013-08-23,44
2013-08-24,43
2013-08-25,46
2013-08-26,49
2013-08-27,52
2013-08-28,55
2013-08-29,58
2013-08-30,61
2013-08-31,64
2013-09-01,64
2013-09-02,65
2013-09-03,66
2013-09-04,66
2013-09-05,67
2013-09-06,67
2013-09-07,68
2013-09-08,66
2013-09-09,63
2013-09-10,61
2013-09-11,60
2013-09-12,58
2013-09-13,56
2013-09-14,55
2013-09-15,52
