Date,Fastclick
2004-06-12,42
2004-06-13,42
2004-06-14,41
2004-06-15,41
2004-06-16,41
2004-06-17,41
2004-06-18,41
2004-06-19,41
2004-06-20,41
2004-06-21,42
2004-06-22,43
2004-06-23,43
2004-06-24,44
2004-06-25,45
2004-06-26,46
2004-06-27,46
2004-06-28,46
2004-06-29,46
2004-06-30,46
2004-07-01,46
2004-07-02,46
2004-07-03,46
2004-07-04,46
2004-07-05,46
2004-07-06,46
2004-07-07,46
2004-07-08,46
2004-07-09,46
2004-07-10,46
2004-07-11,46
2004-07-12,46
2004-07-13,46
2004-07-14,46
2004-07-15,46
2004-07-16,46
2004-07-17,46
2004-07-18,46
2004-07-19,46
2004-07-20,46
2004-07-21,46
2004-07-22,46
2004-07-23,46
2004-07-24,46
2004-07-25,40
2004-07-26,32
2004-07-27,26
2004-07-28,19
2004-07-29,13
2004-07-30,6
2004-07-31,0
2004-08-01,0
2004-08-02,0
2004-08-03,0
2004-08-04,0
2004-08-05,0
2004-08-06,0
2004-08-07,0
2004-08-08,0
2004-08-09,0
2004-08-10,0
2004-08-11,0
2004-08-12,0
2004-08-13,0
2004-08-14,0
2004-08-15,0
2004-08-16,0
2004-08-17,0
2004-08-18,0
2004-08-19,0
2004-08-20,0
2004-08-21,0
2004-08-22,0
2004-08-23,0
2004-08-24,0
2004-08-25,0
2004-08-26,0
2004-08-27,0
2004-08-28,0
2004-08-29,0
2004-09-05,6
2004-09-06,13
2004-09-07,19
2004-09-08,26
2004-09-09,32
2004-09-10,39
2004-09-11,46
2004-09-12,39
2004-09-13,32
2004-09-14,26
2004-09-15,19
2004-09-16,13
2004-09-17,6
2004-09-18,0
2004-09-19,0
2004-09-20,0
2004-09-21,0
2004-09-22,0
2004-09-23,0
2004-09-24,0
2004-09-25,0
2004-09-26,0
2004-09-27,0
2004-09-28,0
2004-09-29,0
2004-09-30,0
2004-10-01,0
2004-10-02,0
2004-10-03,0
2004-10-04,0
2004-10-05,0
2004-10-06,0
2004-10-07,0
2004-10-08,0
2004-10-09,0
2004-10-10,0
2004-10-11,0
2004-10-12,0
2004-10-13,0
2004-10-14,0
2004-10-15,0
2004-10-16,0
2004-10-17,4
2004-10-18,9
2004-10-19,14
2004-10-20,19
2004-10-21,24
2004-10-22,29
2004-10-23,34
2004-10-24,36
2004-10-25,38
2004-10-26,40
2004-10-27,42
2004-10-28,44
2004-10-29,46
2004-10-30,48
2004-10-31,55
2004-11-01,63
2004-11-02,70
2004-11-03,78
2004-11-04,85
2004-11-05,93
2004-11-06,100
2004-11-07,94
2004-11-08,88
2004-11-09,82
2004-11-10,76
2004-11-11,70
2004-11-12,64
2004-11-13,58
2004-11-14,58
2004-11-15,58
2004-11-16,58
2004-11-17,58
2004-11-18,58
2004-11-19,58
2004-11-20,58
2004-11-21,58
2004-11-22,57
2004-11-23,57
2004-11-24,56
2004-11-25,56
2004-11-26,55
2004-11-27,55
2004-11-28,53
2004-12-05,43
2004-12-06,44
2004-12-07,46
2004-12-08,47
2004-12-09,49
2004-12-10,50
2004-12-11,52
2004-12-12,50
2004-12-13,49
2004-12-14,48
2004-12-15,46
2004-12-16,45
2004-12-17,44
2004-12-18,43
2004-12-19,48
2004-12-20,53
2004-12-21,58
2004-12-22,63
2004-12-23,68
2004-12-24,73
2004-12-25,78
2004-12-26,76
2004-12-27,74
2004-12-28,72
2004-12-29,70
2004-12-30,68
2004-12-31,66
2005-01-01,64
2005-01-02,63
2005-01-03,62
2005-01-04,62
2005-01-05,61
2005-01-06,60
2005-01-07,60
2005-01-08,59
2005-01-09,59
2005-01-10,58
2005-01-11,58
2005-01-12,58
2005-01-13,58
2005-01-14,58
2005-01-15,58
2005-01-16,58
2005-01-17,58
2005-01-18,58
2005-01-19,58
2005-01-20,58
2005-01-21,58
2005-01-22,59
2005-01-23,54
2005-01-24,49
2005-01-25,45
2005-01-26,41
2005-01-27,37
2005-01-28,33
2005-01-29,29
2005-01-30,29
2005-01-31,30
2005-02-01,31
2005-02-02,32
2005-02-03,33
2005-02-04,34
2005-02-05,35
2005-02-06,36
2005-02-07,38
2005-02-08,39
2005-02-09,41
2005-02-10,42
2005-02-11,44
2005-02-12,45
2005-02-13,44
2005-02-14,42
2005-02-15,40
2005-02-16,39
2005-02-17,37
2005-02-18,36
2005-02-19,35
2005-02-20,38
2005-02-21,42
2005-02-22,45
2005-02-23,48
2005-02-24,52
2005-02-25,55
2005-02-26,58
2005-02-27,55
2005-03-06,35
2005-03-07,36
2005-03-08,36
2005-03-09,37
2005-03-10,37
2005-03-11,38
2005-03-12,39
2005-03-13,38
2005-03-14,38
2005-03-15,37
2005-03-16,37
2005-03-17,36
2005-03-18,36
2005-03-19,36
2005-03-20,39
2005-03-21,43
2005-03-22,46
2005-03-23,50
2005-03-24,53
2005-03-25,57
2005-03-26,61
2005-03-27,60
2005-03-28,59
2005-03-29,59
2005-03-30,58
2005-03-31,57
2005-04-01,56
2005-04-02,56
2005-04-03,57
2005-04-04,59
2005-04-05,60
2005-04-06,62
2005-04-07,63
2005-04-08,64
2005-04-09,66
2005-04-10,63
2005-04-11,61
2005-04-12,58
2005-04-13,56
2005-04-14,53
2005-04-15,51
2005-04-16,49
2005-04-17,48
2005-04-18,47
2005-04-19,47
2005-04-20,46
2005-04-21,45
2005-04-22,45
2005-04-23,44
2005-04-24,45
2005-04-25,45
2005-04-26,46
2005-04-27,46
2005-04-28,47
2005-04-29,48
2005-04-30,49
2005-05-01,47
2005-05-02,46
2005-05-03,45
2005-05-04,43
2005-05-05,42
2005-05-06,40
2005-05-07,39
2005-05-08,39
2005-05-09,38
2005-05-10,38
2005-05-11,37
2005-05-12,37
2005-05-13,37
2005-05-14,37
2005-05-15,39
2005-05-16,41
2005-05-17,43
2005-05-18,45
2005-05-19,47
2005-05-20,49
2005-05-21,51
2005-05-22,49
2005-05-23,48
2005-05-24,46
2005-05-25,45
2005-05-26,43
2005-05-27,42
2005-05-28,41
2005-05-29,40
2005-06-05,35
2005-06-06,44
2005-06-07,35
2005-06-08,35
2005-06-09,35
2005-06-10,35
2005-06-11,36
2005-06-12,36
2005-06-13,36
2005-06-14,36
2005-06-15,36
2005-06-16,36
2005-06-17,36
2005-06-18,37
2005-06-19,36
2005-06-20,36
2005-06-21,36
2005-06-22,36
2005-06-23,36
2005-06-24,36
2005-06-25,36
2005-06-26,35
2005-06-27,35
2005-06-28,34
2005-06-29,34
2005-06-30,33
2005-07-01,33
2005-07-02,33
2005-07-03,33
2005-07-04,33
2005-07-05,33
2005-07-06,33
2005-07-07,33
2005-07-08,33
2005-07-09,33
2005-07-10,35
2005-07-11,37
2005-07-12,39
2005-07-13,41
2005-07-14,43
2005-07-15,45
2005-07-16,47
2005-07-17,46
2005-07-18,44
2005-07-19,43
2005-07-20,41
2005-07-21,40
2005-07-22,39
2005-07-23,38
2005-07-24,38
2005-07-25,39
2005-07-26,40
2005-07-27,40
2005-07-28,41
2005-07-29,42
2005-07-30,43
2005-07-31,43
2005-08-01,44
2005-08-02,45
2005-08-03,46
