Date,QuinStreet
2009-05-09,26
2009-05-10,24
2009-05-11,23
2009-05-12,21
2009-05-13,20
2009-05-14,18
2009-05-15,17
2009-05-16,16
2009-05-17,16
2009-05-18,16
2009-05-19,16
2009-05-20,16
2009-05-21,16
2009-05-22,16
2009-05-23,16
2009-05-24,15
2009-05-25,15
2009-05-26,15
2009-05-27,15
2009-05-28,15
2009-05-29,15
2009-05-30,15
2009-05-31,15
2009-06-01,15
2009-06-02,15
2009-06-03,16
2009-06-04,16
2009-06-05,16
2009-06-06,17
2009-06-07,17
2009-06-08,18
2009-06-09,19
2009-06-10,20
2009-06-11,21
2009-06-12,22
2009-06-13,23
2009-06-14,21
2009-06-15,20
2009-06-16,18
2009-06-17,17
2009-06-18,15
2009-06-19,14
2009-06-20,13
2009-06-21,13
2009-06-22,13
2009-06-23,13
2009-06-24,13
2009-06-25,13
2009-06-26,13
2009-06-27,13
2009-06-28,13
2009-06-29,13
2009-06-30,13
2009-07-01,13
2009-07-02,13
2009-07-03,13
2009-07-04,14
2009-07-05,14
2009-07-06,15
2009-07-07,15
2009-07-08,16
2009-07-09,16
2009-07-10,17
2009-07-11,18
2009-07-12,17
2009-07-13,16
2009-07-14,16
2009-07-15,15
2009-07-16,15
2009-07-17,14
2009-07-18,14
2009-07-19,15
2009-07-20,16
2009-07-21,17
2009-07-22,18
2009-07-23,19
2009-07-24,21
2009-07-25,22
2009-07-26,21
2009-08-02,16
2009-08-03,17
2009-08-04,18
2009-08-05,19
2009-08-06,20
2009-08-07,21
2009-08-08,23
2009-08-09,23
2009-08-10,24
2009-08-11,25
2009-08-12,25
2009-08-13,26
2009-08-14,27
2009-08-15,28
2009-08-16,27
2009-08-17,27
2009-08-18,26
2009-08-19,26
2009-08-20,25
2009-08-21,25
2009-08-22,25
2009-08-23,24
2009-08-24,24
2009-08-25,24
2009-08-26,24
2009-08-27,24
2009-08-28,24
2009-08-29,24
2009-08-30,23
2009-08-31,22
2009-09-01,22
2009-09-02,21
2009-09-03,20
2009-09-04,19
2009-09-05,19
2009-09-06,19
2009-09-07,18
2009-09-08,18
2009-09-09,18
2009-09-10,18
2009-09-11,18
2009-09-12,18
2009-09-13,18
2009-09-14,19
2009-09-15,20
2009-09-16,21
2009-09-17,22
2009-09-18,23
2009-09-19,24
2009-09-20,23
2009-09-21,22
2009-09-22,22
2009-09-23,21
2009-09-24,21
2009-09-25,20
2009-09-26,20
2009-09-27,20
2009-09-28,20
2009-09-29,21
2009-09-30,21
2009-10-01,22
2009-10-02,22
2009-10-03,23
2009-10-04,24
2009-10-05,25
2009-10-06,27
2009-10-07,28
2009-10-08,30
2009-10-09,31
2009-10-10,33
2009-10-11,32
2009-10-12,31
2009-10-13,30
2009-10-14,29
2009-10-15,28
2009-10-16,27
2009-10-17,26
2009-10-18,25
2009-10-19,25
2009-10-20,24
2009-10-21,24
2009-10-22,23
2009-10-23,23
2009-10-24,23
2009-10-25,22
2009-11-01,21
2009-11-02,21
2009-11-03,21
2009-11-04,21
2009-11-05,21
2009-11-06,21
2009-11-07,21
2009-11-08,21
2009-11-09,21
2009-11-10,21
2009-11-11,22
2009-11-12,22
2009-11-13,22
2009-11-14,23
2009-11-15,26
2009-11-16,29
2009-11-17,32
2009-11-18,35
2009-11-19,38
2009-11-20,41
2009-11-21,44
2009-11-22,42
2009-11-23,40
2009-11-24,38
2009-11-25,36
2009-11-26,34
2009-11-27,32
2009-11-28,30
2009-11-29,28
2009-11-30,28
2009-12-01,26
2009-12-02,25
2009-12-03,24
2009-12-04,23
2009-12-05,22
2009-12-06,22
2009-12-07,21
2009-12-08,21
2009-12-09,20
2009-12-10,20
2009-12-11,20
2009-12-12,20
2009-12-13,20
2009-12-14,20
2009-12-15,21
2009-12-16,21
2009-12-17,22
2009-12-18,22
2009-12-19,23
2009-12-20,22
2009-12-21,20
2009-12-22,19
2009-12-23,18
2009-12-24,17
2009-12-25,16
2009-12-26,15
2009-12-27,15
2009-12-28,15
2009-12-29,15
2009-12-30,15
2009-12-31,15
2010-01-01,15
2010-01-02,16
2010-01-03,18
2010-01-04,20
2010-01-05,22
2010-01-06,24
2010-01-07,26
2010-01-08,28
2010-01-09,31
2010-01-10,31
2010-01-11,32
2010-01-12,33
2010-01-13,33
2010-01-14,34
2010-01-15,35
2010-01-16,36
2010-01-17,35
2010-01-18,34
2010-01-19,33
2010-01-20,32
2010-01-21,31
2010-01-22,30
2010-01-23,30
2010-01-24,31
2010-01-25,33
2010-01-26,35
2010-01-27,36
2010-01-28,38
2010-01-29,40
2010-01-30,42
2010-01-31,44
2010-02-07,64
2010-02-08,71
2010-02-09,77
2010-02-10,83
2010-02-11,90
2010-02-12,96
2010-02-13,103
2010-02-14,95
2010-02-15,84
2010-02-16,76
2010-02-17,68
2010-02-18,60
2010-02-19,52
2010-02-20,45
2010-02-21,43
