Date,ChannelAdvisor
2012-10-07,22
2012-10-08,22
2012-10-09,23
2012-10-10,23
2012-10-11,24
2012-10-12,24
2012-10-13,25
2012-10-14,24
2012-10-15,23
2012-10-16,23
2012-10-17,22
2012-10-18,22
2012-10-19,21
2012-10-20,21
2012-10-21,21
2012-10-22,22
2012-10-23,23
2012-10-24,24
2012-10-25,25
2012-10-26,26
2012-10-27,27
2012-10-28,27
2012-10-29,26
2012-10-30,26
2012-10-31,26
2012-11-01,26
2012-11-02,26
2012-11-03,26
2012-11-04,24
2012-11-05,23
2012-11-06,22
2012-11-07,20
2012-11-08,19
2012-11-09,18
2012-11-10,17
2012-11-11,17
2012-11-12,17
2012-11-13,17
2012-11-14,17
2012-11-15,17
2012-11-16,17
2012-11-17,18
2012-11-18,19
2012-11-19,20
2012-11-20,21
2012-11-21,22
2012-11-22,23
2012-11-23,24
2012-11-24,25
2012-11-25,26
2012-11-26,28
2012-11-27,29
2012-11-28,31
2012-11-29,32
2012-11-30,34
2012-12-01,36
2012-12-02,34
2012-12-03,33
2012-12-04,32
2012-12-05,30
2012-12-06,29
2012-12-07,28
2012-12-08,27
2012-12-09,26
2012-12-10,25
2012-12-11,24
2012-12-12,23
2012-12-13,22
2012-12-14,21
2012-12-15,20
2012-12-16,18
2012-12-17,17
2012-12-18,16
2012-12-19,15
2012-12-20,14
2012-12-21,13
2012-12-22,12
2012-12-23,12
2012-12-24,13
2012-12-25,13
2012-12-26,14
2012-12-27,14
2012-12-28,15
2012-12-29,16
2012-12-30,16
2013-01-06,21
2013-01-07,22
2013-01-08,23
2013-01-09,25
2013-01-10,26
2013-01-11,27
2013-01-12,29
2013-01-13,30
2013-01-14,31
2013-01-15,32
2013-01-16,33
2013-01-17,34
2013-01-18,35
2013-01-19,36
2013-01-20,34
2013-01-21,31
2013-01-22,29
2013-01-23,27
2013-01-24,25
2013-01-25,23
2013-01-26,21
2013-01-27,22
2013-01-28,23
2013-01-29,24
2013-01-30,25
2013-01-31,26
2013-02-01,27
2013-02-02,28
2013-02-03,27
2013-02-04,27
2013-02-05,27
2013-02-06,26
2013-02-07,26
2013-02-08,26
2013-02-09,26
2013-02-10,25
2013-02-11,25
2013-02-12,25
2013-02-13,24
2013-02-14,24
2013-02-15,24
2013-02-16,24
2013-02-17,23
2013-02-18,23
2013-02-19,23
2013-02-20,22
2013-02-21,22
2013-02-22,22
2013-02-23,22
2013-02-24,22
2013-02-25,23
2013-02-26,23
2013-02-27,24
2013-02-28,24
2013-03-01,25
2013-03-02,26
2013-03-03,26
2013-03-04,26
2013-03-05,26
2013-03-06,26
2013-03-07,26
2013-03-08,26
2013-03-09,26
2013-03-10,26
2013-03-11,26
2013-03-12,27
2013-03-13,27
2013-03-14,28
2013-03-15,28
2013-03-16,29
2013-03-17,30
2013-03-18,33
2013-03-19,35
2013-03-20,37
2013-03-21,39
2013-03-22,41
2013-03-23,43
2013-03-24,41
2013-03-25,38
2013-03-26,36
2013-03-27,34
2013-03-28,32
2013-03-29,30
2013-03-30,28
2013-03-31,27
2013-04-07,29
2013-04-08,31
2013-04-09,33
2013-04-10,35
2013-04-11,37
2013-04-12,39
2013-04-13,41
2013-04-14,41
2013-04-15,42
2013-04-16,43
2013-04-17,44
2013-04-18,45
2013-04-19,46
2013-04-20,47
2013-04-21,46
2013-04-22,45
2013-04-23,44
2013-04-24,43
2013-04-25,42
2013-04-26,41
2013-04-27,41
2013-04-28,41
2013-04-29,41
2013-04-30,42
2013-05-01,42
2013-05-02,43
2013-05-03,43
2013-05-04,44
2013-05-05,44
2013-05-06,44
2013-05-07,44
2013-05-08,45
2013-05-09,45
2013-05-10,45
2013-05-11,46
2013-05-12,44
2013-05-13,43
2013-05-14,42
2013-05-15,40
2013-05-16,39
2013-05-17,38
2013-05-18,37
2013-05-19,46
2013-05-20,55
2013-05-21,64
2013-05-22,74
2013-05-23,83
2013-05-24,92
2013-05-25,101
2013-05-26,94
2013-05-27,84
2013-05-28,77
2013-05-29,69
2013-05-30,61
2013-05-31,53
2013-06-01,46
2013-06-02,45
2013-06-03,44
2013-06-04,43
2013-06-05,42
2013-06-06,41
2013-06-07,40
2013-06-08,40
2013-06-09,40
2013-06-10,40
2013-06-11,40
2013-06-12,41
2013-06-13,41
2013-06-14,41
2013-06-15,42
2013-06-16,41
2013-06-17,40
2013-06-18,39
2013-06-19,38
2013-06-20,37
2013-06-21,36
2013-06-22,35
2013-06-23,33
2013-06-24,31
2013-06-25,30
2013-06-26,28
2013-06-27,27
2013-06-28,25
2013-06-29,24
2013-06-30,25
2013-07-07,35
2013-07-08,34
2013-07-09,33
2013-07-10,32
2013-07-11,31
2013-07-12,30
2013-07-13,30
2013-07-14,32
2013-07-15,34
2013-07-16,36
2013-07-17,38
2013-07-18,40
2013-07-19,42
2013-07-20,44
2013-07-21,41
2013-07-22,38
2013-07-23,35
2013-07-24,33
2013-07-25,30
2013-07-26,27
2013-07-27,25
2013-07-28,25
2013-07-29,25
2013-07-30,25
2013-07-31,26
2013-08-01,26
2013-08-02,26
2013-08-03,27
2013-08-04,27
2013-08-05,28
2013-08-06,29
2013-08-07,29
2013-08-08,30
2013-08-09,31
2013-08-10,32
2013-08-11,34
2013-08-12,37
2013-08-13,39
2013-08-14,41
2013-08-15,44
2013-08-16,46
2013-08-17,49
2013-08-18,46
2013-08-19,43
2013-08-20,40
2013-08-21,37
2013-08-22,34
2013-08-23,31
2013-08-24,28
2013-08-25,28
2013-08-26,29
2013-08-27,29
2013-08-28,30
2013-08-29,30
2013-08-30,31
2013-08-31,32
2013-09-01,32
2013-09-02,33
2013-09-03,33
2013-09-04,34
2013-09-05,35
2013-09-06,35
2013-09-07,36
2013-09-08,36
2013-09-09,36
2013-09-10,36
2013-09-11,36
2013-09-12,36
2013-09-13,36
2013-09-14,37
2013-09-15,36
2013-09-16,36
2013-09-17,35
2013-09-18,35
2013-09-19,34
2013-09-20,34
2013-09-21,34
2013-09-22,34
2013-09-23,35
2013-09-24,36
2013-09-25,37
2013-09-26,37
2013-09-27,38
2013-09-28,39
2013-09-29,38
2013-10-06,32
2013-10-07,32
2013-10-08,33
2013-10-09,33
2013-10-10,34
2013-10-11,34
2013-10-12,35
2013-10-13,35
2013-10-14,35
2013-10-15,35
2013-10-16,35
2013-10-17,35
2013-10-18,35
2013-10-19,35
2013-10-20,36
2013-10-21,37
2013-10-22,38
2013-10-23,39
2013-10-24,40
2013-10-25,41
2013-10-26,42
2013-10-27,42
2013-10-28,41
2013-10-29,41
2013-10-30,41
2013-10-31,41
2013-11-01,41
2013-11-02,41
2013-11-03,40
2013-11-04,40
2013-11-05,40
2013-11-06,39
2013-11-07,39
2013-11-08,39
2013-11-09,39
2013-11-10,38
2013-11-11,38
2013-11-12,37
2013-11-13,37
2013-11-14,36
2013-11-15,36
2013-11-16,36
2013-11-17,35
2013-11-18,35
2013-11-19,35
2013-11-20,35
2013-11-21,34
2013-11-22,34
2013-11-23,34
2013-11-24,33
2013-11-25,32
2013-11-26,31
2013-11-27,31
2013-11-28,30
2013-11-29,29
2013-11-30,29
2013-12-01,30
2013-12-02,32
2013-12-03,34
2013-12-04,36
2013-12-05,38
2013-12-06,40
2013-12-07,42
2013-12-08,40
2013-12-09,39
2013-12-10,37
2013-12-11,36
2013-12-12,35
2013-12-13,33
2013-12-14,32
2013-12-15,31
2013-12-16,29
2013-12-17,28
2013-12-18,27
2013-12-19,26
2013-12-20,25
2013-12-21,24
2013-12-22,24
2013-12-23,25
2013-12-24,26
2013-12-25,27
2013-12-26,28
2013-12-27,29
2013-12-28,30
2013-12-29,29
2014-01-05,29
2014-01-06,30
2014-01-07,31
2014-01-08,33
2014-01-09,34
2014-01-10,35
2014-01-11,37
2014-01-12,36
2014-01-13,36
2014-01-14,36
2014-01-15,36
2014-01-16,35
2014-01-17,35
2014-01-18,35
2014-01-19,35
2014-01-20,34
2014-01-21,34
2014-01-22,34
2014-01-23,34
2014-01-24,34
2014-01-25,34
2014-01-26,34
2014-01-27,34
2014-01-28,34
2014-01-29,34
2014-01-30,34
2014-01-31,34
2014-02-01,35
