Date,Virtusa
2006-10-01,30
2006-10-02,30
2006-10-03,29
2006-10-04,29
2006-10-05,28
2006-10-06,28
2006-10-07,28
2006-10-08,28
2006-10-09,29
2006-10-10,29
2006-10-11,29
2006-10-12,30
2006-10-13,30
2006-10-14,31
2006-10-15,32
2006-10-16,33
2006-10-17,34
2006-10-18,35
2006-10-19,36
2006-10-20,37
2006-10-21,38
2006-10-22,36
2006-10-23,35
2006-10-24,34
2006-10-25,32
2006-10-26,31
2006-10-27,30
2006-10-28,29
2006-10-29,30
2006-10-30,32
2006-10-31,33
2006-11-01,35
2006-11-02,36
2006-11-03,38
2006-11-04,40
2006-11-05,42
2006-11-06,44
2006-11-07,46
2006-11-08,49
2006-11-09,51
2006-11-10,53
2006-11-11,56
2006-11-12,53
2006-11-13,51
2006-11-14,48
2006-11-15,46
2006-11-16,43
2006-11-17,40
2006-11-18,38
2006-11-19,38
2006-11-20,37
2006-11-21,37
2006-11-22,36
2006-11-23,36
2006-11-24,36
2006-11-25,36
2006-11-26,36
2006-11-27,38
2006-11-28,39
2006-11-29,40
2006-11-30,41
2006-12-01,41
2006-12-02,42
2006-12-03,40
2006-12-04,37
2006-12-05,34
2006-12-06,32
2006-12-07,29
2006-12-08,27
2006-12-09,25
2006-12-10,29
2006-12-11,33
2006-12-12,37
2006-12-13,42
2006-12-14,46
2006-12-15,50
2006-12-16,55
2006-12-17,53
2006-12-18,51
2006-12-19,49
2006-12-20,48
2006-12-21,46
2006-12-22,44
2006-12-23,43
2006-12-24,43
2006-12-25,45
2006-12-26,46
2006-12-27,47
2006-12-28,48
2006-12-29,50
2006-12-30,53
2006-12-31,45
2007-01-07,31
2007-01-08,39
2007-01-09,31
2007-01-10,31
2007-01-11,31
2007-01-12,31
2007-01-13,31
2007-01-14,30
2007-01-15,30
2007-01-16,29
2007-01-17,29
2007-01-18,29
2007-01-19,28
2007-01-20,28
2007-01-21,28
2007-01-22,28
2007-01-23,28
2007-01-24,29
2007-01-25,29
2007-01-26,29
2007-01-27,30
2007-01-28,30
2007-01-29,31
2007-01-30,31
2007-01-31,32
2007-02-01,32
2007-02-02,33
2007-02-03,34
2007-02-04,36
2007-02-05,38
2007-02-06,40
2007-02-07,42
2007-02-08,44
2007-02-09,47
2007-02-10,49
2007-02-11,47
2007-02-12,45
2007-02-13,43
2007-02-14,41
2007-02-15,39
2007-02-16,37
2007-02-17,36
2007-02-18,36
2007-02-19,36
2007-02-20,37
2007-02-21,37
2007-02-22,38
2007-02-23,38
2007-02-24,39
2007-02-25,38
2007-02-26,37
2007-02-27,36
2007-02-28,35
2007-03-01,34
2007-03-02,33
2007-03-03,32
2007-03-04,36
2007-03-05,41
2007-03-06,46
2007-03-07,51
2007-03-08,55
2007-03-09,60
2007-03-10,65
2007-03-11,61
2007-03-12,55
2007-03-13,51
2007-03-14,47
2007-03-15,43
2007-03-16,39
2007-03-17,35
2007-03-18,36
2007-03-19,38
2007-03-20,40
2007-03-21,41
2007-03-22,43
2007-03-23,44
2007-03-24,46
2007-03-25,44
2007-04-01,33
2007-04-02,34
2007-04-03,34
2007-04-04,35
2007-04-05,35
2007-04-06,36
2007-04-07,37
2007-04-08,41
2007-04-09,46
2007-04-10,50
2007-04-11,54
2007-04-12,59
2007-04-13,63
2007-04-14,67
2007-04-15,61
2007-04-16,54
2007-04-17,48
2007-04-18,41
2007-04-19,35
2007-04-20,29
2007-04-21,23
2007-04-22,23
2007-04-23,23
2007-04-24,23
2007-04-25,23
2007-04-26,23
2007-04-27,23
2007-04-28,23
2007-04-29,23
2007-04-30,23
2007-05-01,24
2007-05-02,24
2007-05-03,25
2007-05-04,25
2007-05-05,26
2007-05-06,26
2007-05-07,27
2007-05-08,27
2007-05-09,28
2007-05-10,28
2007-05-11,29
2007-05-12,30
2007-05-13,30
2007-05-14,30
2007-05-15,31
2007-05-16,31
2007-05-17,32
2007-05-18,32
2007-05-19,33
2007-05-20,33
2007-05-21,34
2007-05-22,34
2007-05-23,35
2007-05-24,35
2007-05-25,36
2007-05-26,37
2007-05-27,39
2007-05-28,41
2007-05-29,44
2007-05-30,46
2007-05-31,49
2007-06-01,51
2007-06-02,54
2007-06-03,54
2007-06-04,56
2007-06-05,57
2007-06-06,57
2007-06-07,58
2007-06-08,59
2007-06-09,60
2007-06-10,56
2007-06-11,52
2007-06-12,49
2007-06-13,45
2007-06-14,42
2007-06-15,38
2007-06-16,35
2007-06-17,39
2007-06-18,43
2007-06-19,47
2007-06-20,51
2007-06-21,55
2007-06-22,59
2007-06-23,64
2007-06-24,63
2007-07-01,59
2007-07-02,56
2007-07-03,53
2007-07-04,49
2007-07-05,46
2007-07-06,43
2007-07-07,40
2007-07-08,42
2007-07-09,45
2007-07-10,47
2007-07-11,49
2007-07-12,52
2007-07-13,54
2007-07-14,57
2007-07-15,55
2007-07-16,53
2007-07-17,51
2007-07-18,49
2007-07-19,47
2007-07-20,45
2007-07-21,44
2007-07-22,44
2007-07-23,45
2007-07-24,46
2007-07-25,47
2007-07-26,48
2007-07-27,49
2007-07-28,50
2007-07-29,56
2007-07-30,63
2007-07-31,69
2007-08-01,75
2007-08-02,82
2007-08-03,88
2007-08-04,95
2007-08-05,89
2007-08-06,84
2007-08-07,79
2007-08-08,73
2007-08-09,68
2007-08-10,63
2007-08-11,57
2007-08-12,53
2007-08-13,46
2007-08-14,42
2007-08-15,37
2007-08-16,33
2007-08-17,28
2007-08-18,24
2007-08-19,25
2007-08-20,27
2007-08-21,29
2007-08-22,30
2007-08-23,32
2007-08-24,34
2007-08-25,36
2007-08-26,34
2007-08-27,32
2007-08-28,30
2007-08-29,29
2007-08-30,27
2007-08-31,25
2007-09-01,24
2007-09-02,26
2007-09-03,28
2007-09-04,30
2007-09-05,33
2007-09-06,35
2007-09-07,37
2007-09-08,39
2007-09-09,37
2007-09-10,35
2007-09-11,33
2007-09-12,31
2007-09-13,29
2007-09-14,27
2007-09-15,25
2007-09-16,28
2007-09-17,32
2007-09-18,36
2007-09-19,40
2007-09-20,43
2007-09-21,47
2007-09-22,51
2007-09-23,49
2007-09-24,46
2007-09-25,44
2007-09-26,41
2007-09-27,39
2007-09-28,37
2007-09-29,35
2007-09-30,38
2007-10-07,52
2007-10-08,48
2007-10-09,45
2007-10-10,41
2007-10-11,38
2007-10-12,34
2007-10-13,31
2007-10-14,29
2007-10-15,28
2007-10-16,27
2007-10-17,25
2007-10-18,24
2007-10-19,23
2007-10-20,22
2007-10-21,24
2007-10-22,27
2007-10-23,30
2007-10-24,33
2007-10-25,35
2007-10-26,38
2007-10-27,41
2007-10-28,40
2007-10-29,38
2007-10-30,37
2007-10-31,35
2007-11-01,34
2007-11-02,33
