Date,Endocyte
2010-02-01,35
2010-02-02,35
2010-02-03,35
2010-02-04,35
2010-02-05,35
2010-02-06,35
2010-02-07,36
2010-02-08,36
2010-02-09,36
2010-02-10,36
2010-02-11,36
2010-02-12,36
2010-02-13,37
2010-02-14,37
2010-02-15,37
2010-02-16,37
2010-02-17,37
2010-02-18,38
2010-02-19,38
2010-02-20,38
2010-02-21,38
2010-02-22,38
2010-02-23,38
2010-02-24,39
2010-02-25,39
2010-02-26,39
2010-02-27,39
2010-02-28,39
2010-03-01,40
2010-03-02,39
2010-03-03,39
2010-03-04,39
2010-03-05,38
2010-03-06,38
2010-03-07,38
2010-03-08,37
2010-03-09,37
2010-03-10,37
2010-03-11,36
2010-03-12,36
2010-03-13,36
2010-03-14,35
2010-03-15,35
2010-03-16,35
2010-03-17,34
2010-03-18,34
2010-03-19,34
2010-03-20,33
2010-03-21,33
2010-03-22,33
2010-03-23,32
2010-03-24,32
2010-03-25,32
2010-03-26,31
2010-03-27,31
2010-03-28,31
2010-03-29,30
2010-03-30,30
2010-03-31,30
2010-04-01,30
2010-04-02,30
2010-04-03,30
2010-04-04,30
2010-04-05,31
2010-04-06,31
2010-04-07,31
2010-04-08,32
2010-04-09,32
2010-04-10,32
2010-04-11,33
2010-04-12,33
2010-04-13,33
2010-04-14,33
2010-04-15,34
2010-04-16,34
2010-04-17,34
2010-04-18,35
2010-04-19,35
2010-04-20,35
2010-04-21,36
2010-04-22,36
2010-04-23,36
2010-04-24,36
2010-04-25,37
2010-04-26,37
2010-04-27,37
2010-04-28,38
2010-04-29,38
2010-04-30,38
2010-05-01,39
2010-05-02,38
2010-05-03,38
2010-05-04,38
2010-05-05,38
2010-05-06,38
2010-05-07,37
2010-05-08,37
2010-05-09,37
2010-05-10,37
2010-05-11,37
2010-05-12,36
2010-05-13,36
2010-05-14,36
2010-05-15,36
2010-05-16,36
2010-05-17,35
2010-05-18,35
2010-05-19,35
2010-05-20,35
2010-05-21,35
2010-05-22,34
2010-05-23,34
2010-05-24,34
2010-05-25,34
2010-05-26,34
2010-05-27,33
2010-05-28,33
2010-05-29,33
2010-05-30,33
2010-05-31,33
2010-06-01,33
2010-06-02,33
2010-06-03,33
2010-06-04,33
2010-06-05,33
2010-06-06,33
2010-06-07,33
2010-06-08,33
2010-06-09,33
2010-06-10,33
2010-06-11,33
2010-06-12,33
2010-06-13,33
2010-06-14,33
2010-06-15,33
2010-06-16,33
2010-06-17,33
2010-06-18,33
2010-06-19,33
2010-06-20,33
2010-06-21,33
2010-06-22,33
2010-06-23,33
2010-06-24,33
2010-06-25,33
2010-06-26,33
2010-06-27,33
