Date,Fortinet
2009-02-01,57
2009-02-02,58
2009-02-03,59
2009-02-04,62
2009-02-05,61
2009-02-06,62
2009-02-07,72
2009-02-08,63
2009-02-09,63
2009-02-10,64
2009-02-11,64
2009-02-12,63
2009-02-13,63
2009-02-14,74
2009-02-15,62
2009-02-16,61
2009-02-17,61
2009-02-18,60
2009-02-19,61
2009-02-20,62
2009-02-21,68
2009-02-22,59
2009-02-23,59
2009-02-24,59
2009-02-25,59
2009-02-26,59
2009-02-27,61
2009-02-28,67
2009-03-01,60
2009-03-02,58
2009-03-03,58
2009-03-04,58
2009-03-05,59
2009-03-06,58
2009-03-07,66
2009-03-08,60
2009-03-09,60
2009-03-10,61
2009-03-11,62
2009-03-12,64
2009-03-13,65
2009-03-14,72
2009-03-15,73
2009-03-16,63
2009-03-17,65
2009-03-18,62
2009-03-19,62
2009-03-20,65
2009-03-21,69
2009-03-22,63
2009-03-23,60
2009-03-24,59
2009-03-25,60
2009-03-26,60
2009-03-27,58
2009-03-28,63
2009-03-29,63
2009-03-30,59
2009-03-31,60
2009-05-01,54
2009-05-02,58
2009-05-03,53
2009-05-04,53
2009-05-05,52
2009-05-06,53
2009-05-07,52
2009-05-08,53
2009-05-09,57
2009-05-10,54
2009-05-11,54
2009-05-12,56
2009-05-13,60
2009-05-14,59
2009-05-15,62
2009-05-16,69
2009-05-17,62
2009-05-18,61
2009-05-19,63
2009-05-20,60
2009-05-21,60
2009-05-22,61
2009-05-23,68
2009-05-24,59
2009-05-25,59
2009-05-26,59
2009-05-27,62
2009-05-28,59
2009-05-29,59
2009-05-30,71
2009-05-31,61
2009-06-01,58
2009-06-02,57
2009-06-03,57
2009-06-04,58
2009-06-05,55
2009-06-06,61
2009-06-07,59
2009-06-08,58
2009-06-09,62
2009-06-10,61
2009-06-11,62
2009-06-12,64
2009-06-13,76
2009-06-14,66
2009-06-15,66
2009-06-16,66
2009-06-17,66
2009-06-18,66
2009-06-19,66
2009-06-20,78
2009-06-21,68
2009-06-22,63
2009-06-23,62
2009-06-24,61
2009-06-25,59
2009-06-26,62
2009-06-27,66
2009-06-28,57
2009-06-29,57
2009-06-30,58
2009-07-01,57
2009-07-02,57
2009-07-03,61
2009-07-04,61
2009-07-05,62
2009-07-06,57
2009-07-07,58
2009-07-08,58
2009-07-09,58
2009-07-10,60
2009-07-11,68
2009-07-12,62
2009-07-13,59
2009-07-14,59
2009-07-15,59
2009-07-16,59
2009-07-17,60
2009-07-18,71
2009-07-19,60
2009-07-20,60
2009-07-21,60
2009-07-22,60
2009-07-23,61
2009-07-24,60
2009-07-25,69
2009-07-26,67
2009-07-27,60
2009-07-28,60
2009-07-29,60
2009-07-30,59
2009-07-31,60
2009-08-01,59
2009-08-02,59
2009-08-03,59
2009-08-04,60
2009-08-05,61
2009-08-06,61
2009-08-07,65
2009-08-08,69
2009-08-09,66
2009-08-10,62
2009-08-11,62
2009-08-12,66
2009-08-13,63
2009-08-14,66
2009-08-15,74
2009-08-16,64
2009-08-17,64
2009-08-18,64
2009-08-19,65
2009-08-20,65
2009-08-21,66
2009-08-22,74
2009-08-23,65
2009-08-24,64
2009-08-25,64
2009-08-26,64
2009-08-27,64
2009-08-28,66
2009-08-29,72
2009-08-30,69
2009-08-31,62
2009-09-01,61
2009-09-02,61
2009-09-03,60
2009-09-04,62
2009-09-05,67
2009-09-06,62
2009-09-07,62
2009-09-08,64
2009-09-09,65
2009-09-10,67
2009-09-11,69
2009-09-12,82
2009-09-13,73
2009-09-14,68
2009-09-15,67
2009-09-16,66
2009-09-17,65
2009-09-18,66
2009-09-19,72
2009-09-20,66
2009-09-21,61
2009-09-22,60
2009-09-23,60
2009-09-24,58
2009-09-25,57
2009-09-26,64
2009-09-27,58
2009-09-28,58
2009-09-29,59
2009-09-30,60
2009-10-01,62
2009-10-02,64
2009-10-03,72
2009-10-04,70
2009-10-05,62
2009-10-06,61
2009-10-07,61
2009-10-08,60
2009-10-09,59
2009-10-10,67
2009-10-11,65
2009-10-12,59
2009-10-13,60
2009-10-14,60
2009-10-15,61
2009-10-16,61
2009-10-17,72
2009-10-18,63
2009-10-19,62
2009-10-20,62
2009-10-21,62
2009-10-22,62
2009-10-23,65
2009-10-24,73
2009-10-25,63
2009-10-26,64
2009-10-27,64
2009-10-28,65
2009-10-29,66
2009-10-30,67
2009-10-31,78
2009-11-01,65
2009-11-02,63
2009-11-03,62
2009-11-04,60
2009-11-05,59
2009-11-06,57
2009-11-07,62
2009-11-08,63
2009-11-09,58
2009-11-10,60
2009-11-11,66
2009-11-12,63
2009-11-13,64
2009-11-14,68
2009-11-15,75
2009-11-16,75
2009-11-17,80
2009-11-18,85
2009-11-19,95
2009-11-20,100
2009-11-21,116
2009-11-22,96
2009-11-23,89
2009-11-24,84
2009-11-25,78
2009-11-26,74
2009-11-27,72
2009-11-28,68
2009-11-29,64
2009-11-30,62
2009-12-01,61
2009-12-02,61
2009-12-03,60
2009-12-04,62
2009-12-05,70
2009-12-06,59
2009-12-07,59
2009-12-08,59
2009-12-09,61
2009-12-10,58
2009-12-11,59
2009-12-12,67
2009-12-13,58
2009-12-14,58
2009-12-15,59
2009-12-16,59
2009-12-17,60
2009-12-18,62
2009-12-19,73
2009-12-20,58
2009-12-21,55
2009-12-22,52
2009-12-23,52
2009-12-24,49
2009-12-25,46
2009-12-26,44
2009-12-27,40
2009-12-28,39
2009-12-29,39
2009-12-30,40
2009-12-31,38
2010-01-01,39
2010-01-02,36
2010-01-03,39
2010-01-04,41
2010-01-05,43
2010-01-06,46
2010-01-07,48
2010-01-08,52
2010-01-09,64
2010-01-10,55
2010-01-11,55
2010-01-12,56
2010-01-13,57
2010-01-14,57
2010-01-15,60
2010-01-16,67
2010-01-17,63
2010-01-18,59
2010-01-19,59
2010-01-20,60
2010-01-21,60
2010-01-22,63
2010-01-23,72
2010-01-24,65
2010-01-25,61
2010-01-26,61
2010-01-27,61
2010-01-28,63
2010-01-29,62
2010-01-30,71
2010-01-31,68
2010-02-01,62
2010-02-02,62
2010-02-03,63
2010-02-04,63
2010-02-05,65
2010-02-06,71
2010-02-07,69
2010-02-08,64
2010-02-09,65
2010-02-10,65
2010-02-11,67
2010-02-12,67
2010-02-13,75
2010-02-14,65
2010-02-15,64
2010-02-16,63
2010-02-17,63
2010-02-18,61
2010-02-19,61
2010-02-20,66
2010-02-21,62
2010-02-22,60
2010-02-23,61
2010-02-24,62
2010-02-25,63
2010-02-26,65
2010-02-27,73
2010-02-28,67
2010-03-01,64
2010-03-02,64
2010-03-03,63
2010-03-04,64
2010-03-05,63
2010-03-06,73
2010-03-07,64
2010-03-08,63
2010-03-09,63
2010-03-10,65
2010-03-11,64
2010-03-12,66
2010-03-13,74
2010-03-14,64
2010-03-15,62
2010-03-16,60
2010-03-17,59
2010-03-18,57
2010-03-19,56
2010-03-20,65
2010-03-21,56
2010-03-22,56
2010-03-23,57
2010-03-24,57
2010-03-25,58
2010-03-26,60
2010-03-27,68
2010-03-28,60
2010-03-29,59
2010-03-30,59
2010-03-31,58
2010-05-01,62
2010-05-02,62
2010-05-03,62
2010-05-04,62
2010-05-05,62
2010-05-06,63
2010-05-07,62
2010-05-08,72
2010-05-09,64
2010-05-10,61
2010-05-11,61
2010-05-12,61
2010-05-13,62
2010-05-14,61
2010-05-15,69
2010-05-16,65
2010-05-17,63
2010-05-18,64
2010-05-19,66
2010-05-20,66
2010-05-21,69
2010-05-22,79
2010-05-23,67
2010-05-24,67
2010-05-25,66
2010-05-26,66
2010-05-27,65
2010-05-28,67
2010-05-29,74
2010-05-30,65
2010-05-31,65
2010-06-01,67
2010-06-02,65
2010-06-03,65
2010-06-04,65
2010-06-05,77
2010-06-06,64
2010-06-07,64
2010-06-08,63
2010-06-09,66
2010-06-10,62
2010-06-11,66
2010-06-12,69
2010-06-13,65
2010-06-14,64
2010-06-15,65
2010-06-16,66
2010-06-17,67
2010-06-18,68
2010-06-19,80
2010-06-20,69
2010-06-21,66
2010-06-22,65
2010-06-23,63
2010-06-24,63
2010-06-25,63
2010-06-26,68
2010-06-27,64
2010-06-28,61
2010-06-29,62
2010-06-30,64
2010-07-01,63
2010-07-02,67
2010-07-03,73
2010-07-04,66
2010-07-05,62
2010-07-06,61
2010-07-07,61
2010-07-08,59
2010-07-09,58
2010-07-10,64
2010-07-11,57
2010-07-12,57
2010-07-13,59
2010-07-14,58
2010-07-15,58
2010-07-16,60
2010-07-17,69
2010-07-18,63
2010-07-19,60
2010-07-20,61
2010-07-21,61
2010-07-22,64
2010-07-23,63
2010-07-24,72
2010-07-25,65
2010-07-26,61
2010-07-27,60
2010-07-28,60
2010-07-29,60
2010-07-30,57
2010-07-31,66
2010-08-01,56
2010-08-02,57
2010-08-03,59
2010-08-04,58
2010-08-05,58
2010-08-06,60
2010-08-07,68
2010-08-08,60
2010-08-09,59
2010-08-10,59
2010-08-11,61
2010-08-12,59
2010-08-13,60
2010-08-14,67
2010-08-15,64
2010-08-16,57
2010-08-17,57
2010-08-18,58
2010-08-19,56
2010-08-20,58
2010-08-21,65
2010-08-22,55
2010-08-23,56
2010-08-24,57
2010-08-25,58
2010-08-26,58
2010-08-27,61
2010-08-28,67
2010-08-29,61
2010-08-30,59
2010-08-31,59
2010-09-01,59
2010-09-02,61
2010-09-03,59
2010-09-04,67
2010-09-05,59
2010-09-06,58
2010-09-07,58
2010-09-08,57
2010-09-09,57
2010-09-10,59
2010-09-11,65
2010-09-12,57
2010-09-13,57
2010-09-14,61
2010-09-15,58
2010-09-16,58
2010-09-17,62
2010-09-18,69
2010-09-19,60
2010-09-20,59
2010-09-21,59
2010-09-22,61
2010-09-23,59
2010-09-24,59
2010-09-25,68
2010-09-26,64
2010-09-27,60
2010-09-28,61
2010-09-29,63
2010-09-30,62
2010-10-01,64
2010-10-02,73
2010-10-03,62
2010-10-04,62
2010-10-05,61
2010-10-06,61
2010-10-07,60
2010-10-08,62
2010-10-09,68
2010-10-10,62
2010-10-11,60
2010-10-12,60
2010-10-13,60
2010-10-14,61
2010-10-15,61
2010-10-16,71
2010-10-17,61
2010-10-18,62
2010-10-19,63
2010-10-20,63
2010-10-21,65
2010-10-22,65
2010-10-23,76
2010-10-24,68
2010-10-25,64
2010-10-26,63
2010-10-27,62
2010-10-28,63
2010-10-29,62
2010-10-30,63
2010-10-31,65
2010-11-01,62
2010-11-02,65
2010-11-03,68
2010-11-04,66
2010-11-05,69
2010-11-06,78
2010-11-07,72
2010-11-08,66
2010-11-09,65
2010-11-10,65
2010-11-11,64
2010-11-12,62
2010-11-13,70
2010-11-14,62
2010-11-15,60
2010-11-16,59
2010-11-17,59
2010-11-18,59
2010-11-19,58
2010-11-20,67
2010-11-21,59
2010-11-22,58
2010-11-23,60
2010-11-24,58
2010-11-25,61
2010-11-26,59
2010-11-27,66
2010-11-28,60
2010-11-29,58
2010-11-30,58
2010-12-01,57
2010-12-02,57
2010-12-03,59
2010-12-04,65
2010-12-05,57
2010-12-06,57
2010-12-07,57
2010-12-08,58
2010-12-09,60
2010-12-10,58
2010-12-11,68
2010-12-12,59
2010-12-13,59
2010-12-14,61
2010-12-15,60
2010-12-16,61
2010-12-17,63
2010-12-18,69
2010-12-19,65
2010-12-20,59
2010-12-21,58
2010-12-22,56
2010-12-23,57
2010-12-24,56
2010-12-25,60
2010-12-26,55
2010-12-27,50
2010-12-28,48
2010-12-29,49
2010-12-30,47
2010-12-31,47
2011-01-01,46
2011-01-02,44
2011-01-03,45
2011-01-04,46
2011-01-05,47
2011-01-06,48
2011-01-07,49
2011-01-08,57
2011-01-09,51
2011-01-10,52
2011-01-11,55
2011-01-12,55
2011-01-13,58
2011-01-14,58
2011-01-15,70
2011-01-16,62
2011-01-17,60
2011-01-18,60
2011-01-19,62
2011-01-20,60
2011-01-21,61
2011-01-22,69
2011-01-23,64
2011-01-24,61
2011-01-25,61
2011-01-26,62
2011-01-27,62
2011-01-28,65
2011-01-29,71
2011-01-30,67
2011-01-31,62
