Date,Physicians Formula
2006-02-11,85
2006-02-12,85
2006-02-13,84
2006-02-14,84
2006-02-15,84
2006-02-16,84
2006-02-17,84
2006-02-18,84
2006-02-19,83
2006-02-20,83
2006-02-21,83
2006-02-22,83
2006-02-23,82
2006-02-24,82
2006-02-25,82
2006-02-26,83
2006-02-27,84
2006-02-28,85
2006-03-01,87
2006-03-02,88
2006-03-03,89
2006-03-04,91
2006-03-05,89
2006-03-06,87
2006-03-07,85
2006-03-08,84
2006-03-09,82
2006-03-10,80
2006-03-11,78
2006-03-12,76
2006-03-13,74
2006-03-14,73
2006-03-15,71
2006-03-16,70
2006-03-17,68
2006-03-18,67
2006-03-19,67
2006-03-20,68
2006-03-21,69
2006-03-22,70
2006-03-23,71
2006-03-24,72
2006-03-25,73
2006-03-26,72
2006-05-07,73
2006-05-08,71
2006-05-09,68
2006-05-10,65
2006-05-11,63
2006-05-12,60
2006-05-13,58
2006-05-14,56
2006-05-15,55
2006-05-16,53
2006-05-17,51
2006-05-18,50
2006-05-19,48
2006-05-20,47
2006-05-21,49
2006-05-22,51
2006-05-23,53
2006-05-24,55
2006-05-25,57
2006-05-26,59
2006-05-27,61
2006-05-28,62
2006-05-29,63
2006-05-30,65
2006-05-31,66
2006-06-01,68
2006-06-02,69
2006-06-03,71
2006-06-04,72
2006-06-05,73
2006-06-06,75
2006-06-07,76
2006-06-08,78
2006-06-09,79
2006-06-10,81
2006-06-11,78
2006-06-12,76
2006-06-13,73
2006-06-14,71
2006-06-15,68
2006-06-16,65
2006-06-17,63
2006-06-18,63
2006-06-19,62
2006-06-20,62
2006-06-21,62
2006-06-22,62
2006-06-23,62
2006-06-24,62
2006-06-25,61
2006-06-26,60
2006-06-27,59
2006-06-28,58
2006-06-29,57
2006-06-30,56
2006-07-01,55
2006-07-02,55
2006-07-03,56
2006-07-04,57
2006-07-05,58
2006-07-06,58
2006-07-07,59
2006-07-08,60
2006-07-09,58
2006-07-10,56
2006-07-11,54
2006-07-12,53
2006-07-13,51
2006-07-14,49
2006-07-15,48
2006-07-16,49
2006-07-17,51
2006-07-18,53
2006-07-19,54
2006-07-20,56
2006-07-21,58
2006-07-22,60
2006-07-23,63
2006-07-24,66
2006-07-25,69
2006-07-26,72
2006-07-27,75
2006-07-28,78
2006-07-29,81
2006-07-30,80
2006-08-06,77
2006-08-07,76
2006-08-08,75
2006-08-09,74
2006-08-10,73
2006-08-11,72
2006-08-12,71
2006-08-13,71
2006-08-14,71
2006-08-15,72
2006-08-16,72
2006-08-17,72
2006-08-18,72
2006-08-19,73
2006-08-20,73
2006-08-21,72
2006-08-22,72
2006-08-23,72
2006-08-24,72
2006-08-25,72
2006-08-26,72
2006-08-27,73
2006-08-28,74
2006-08-29,75
2006-08-30,76
2006-08-31,77
2006-09-01,78
2006-09-02,79
2006-09-03,75
2006-09-04,70
2006-09-05,65
2006-09-06,60
2006-09-07,55
2006-09-08,51
2006-09-09,46
2006-09-10,45
2006-09-11,43
2006-09-12,42
2006-09-13,41
2006-09-14,40
2006-09-15,39
2006-09-16,38
2006-09-17,40
2006-09-18,42
2006-09-19,45
2006-09-20,47
2006-09-21,49
2006-09-22,52
2006-09-23,54
2006-09-24,55
2006-09-25,55
2006-09-26,56
2006-09-27,57
2006-09-28,58
2006-09-29,59
2006-09-30,60
2006-10-01,58
2006-10-02,57
2006-10-03,56
2006-10-04,54
2006-10-05,53
2006-10-06,52
2006-10-07,50
2006-10-08,51
2006-10-09,50
2006-10-10,51
2006-10-11,51
2006-10-12,52
2006-10-13,52
2006-10-14,53
2006-10-15,54
2006-10-16,55
2006-10-17,56
2006-10-18,57
2006-10-19,58
2006-10-20,59
2006-10-21,60
2006-10-22,61
2006-10-23,64
2006-10-24,65
2006-10-25,67
2006-10-26,69
2006-10-27,72
2006-10-28,76
2006-10-29,68
2006-11-05,63
2006-11-06,63
2006-11-07,63
2006-11-08,63
2006-11-09,63
2006-11-10,63
2006-11-11,63
2006-11-12,60
2006-11-13,57
2006-11-14,54
2006-11-15,52
2006-11-16,49
2006-11-17,46
2006-11-18,43
2006-11-19,42
2006-11-20,41
2006-11-21,40
2006-11-22,40
2006-11-23,39
2006-11-24,38
2006-11-25,38
2006-11-26,38
2006-11-27,38
2006-11-28,38
2006-11-29,38
2006-11-30,38
2006-12-01,39
2006-12-02,39
2006-12-03,40
2006-12-04,40
2006-12-05,41
2006-12-06,42
2006-12-07,43
2006-12-08,44
2006-12-09,45
2006-12-10,45
2006-12-11,46
2006-12-12,47
2006-12-13,48
2006-12-14,49
2006-12-15,50
2006-12-16,51
2006-12-17,49
2006-12-18,46
2006-12-19,44
2006-12-20,42
2006-12-21,40
2006-12-22,38
2006-12-23,36
2006-12-24,38
2006-12-25,40
2006-12-26,42
2006-12-27,44
2006-12-28,46
2006-12-29,48
2006-12-30,51
2006-12-31,54
2007-01-01,57
2007-01-02,61
2007-01-03,64
2007-01-04,68
2007-01-05,71
2007-01-06,75
2007-01-07,68
2007-01-08,62
2007-01-09,56
2007-01-10,49
2007-01-11,43
2007-01-12,37
2007-01-13,31
2007-01-14,36
2007-01-15,41
2007-01-16,46
2007-01-17,51
2007-01-18,56
2007-01-19,62
2007-01-20,67
2007-01-21,66
2007-01-22,66
2007-01-23,66
2007-01-24,66
2007-01-25,65
2007-01-26,65
2007-01-27,65
2007-01-28,64
2007-02-04,54
2007-02-05,52
2007-02-06,51
2007-02-07,49
2007-02-08,48
2007-02-09,46
2007-02-10,45
2007-02-11,48
2007-02-12,52
2007-02-13,55
2007-02-14,59
2007-02-15,62
2007-02-16,66
2007-02-17,69
2007-02-18,68
2007-02-19,66
2007-02-20,64
2007-02-21,63
2007-02-22,61
2007-02-23,60
2007-02-24,59
2007-02-25,58
2007-02-26,59
2007-02-27,59
2007-02-28,59
2007-03-01,58
2007-03-02,58
2007-03-03,58
2007-03-04,56
2007-03-05,54
2007-03-06,52
2007-03-07,50
2007-03-08,48
2007-03-09,46
2007-03-10,45
2007-03-11,48
2007-03-12,51
2007-03-13,54
2007-03-14,58
2007-03-15,61
2007-03-16,64
2007-03-17,67
2007-03-18,66
2007-03-19,65
2007-03-20,64
2007-03-21,63
2007-03-22,62
2007-03-23,61
2007-03-24,60
2007-03-25,59
2007-05-06,55
2007-05-07,56
2007-05-08,57
2007-05-09,58
2007-05-10,59
2007-05-11,60
2007-05-12,61
2007-05-13,60
2007-05-14,60
2007-05-15,59
2007-05-16,59
2007-05-17,58
2007-05-18,58
2007-05-19,58
2007-05-20,56
2007-05-21,54
2007-05-22,52
2007-05-23,50
2007-05-24,48
2007-05-25,46
2007-05-26,44
2007-05-27,45
2007-05-28,46
2007-05-29,47
2007-05-30,49
2007-05-31,50
2007-06-01,51
2007-06-02,53
2007-06-03,54
2007-06-04,55
2007-06-05,56
2007-06-06,58
2007-06-07,59
2007-06-08,60
2007-06-09,62
2007-06-10,61
2007-06-11,62
2007-06-12,61
2007-06-13,61
2007-06-14,61
2007-06-15,61
2007-06-16,61
2007-06-17,60
2007-06-18,60
2007-06-19,59
2007-06-20,59
2007-06-21,58
2007-06-22,58
2007-06-23,58
2007-06-24,59
2007-06-25,61
2007-06-26,63
2007-06-27,64
2007-06-28,66
2007-06-29,68
2007-06-30,70
2007-07-01,67
2007-07-02,65
2007-07-03,63
2007-07-04,60
2007-07-05,58
2007-07-06,56
2007-07-07,54
2007-07-08,58
2007-07-09,63
2007-07-10,68
2007-07-11,73
2007-07-12,78
2007-07-13,82
2007-07-14,87
2007-07-15,83
2007-07-16,79
2007-07-17,75
2007-07-18,71
2007-07-19,67
2007-07-20,63
2007-07-21,59
2007-07-22,64
2007-07-23,71
2007-07-24,77
2007-07-25,83
2007-07-26,89
2007-07-27,95
2007-07-28,101
2007-07-29,96
2007-08-05,66
2007-08-06,65
2007-08-07,64
2007-08-08,63
2007-08-09,62
2007-08-10,61
2007-08-11,60
2007-08-12,58
2007-08-13,56
2007-08-14,54
2007-08-15,52
2007-08-16,50
2007-08-17,48
2007-08-18,47
2007-08-19,52
2007-08-20,57
2007-08-21,62
2007-08-22,67
2007-08-23,72
2007-08-24,77
2007-08-25,82
2007-08-26,78
2007-08-27,74
2007-08-28,70
2007-08-29,66
2007-08-30,62
2007-08-31,58
2007-09-01,54
2007-09-02,53
2007-09-03,52
2007-09-04,51
2007-09-05,50
2007-09-06,49
2007-09-07,48
2007-09-08,47
2007-09-09,48
2007-09-10,49
2007-09-11,50
2007-09-12,52
2007-09-13,53
2007-09-14,54
2007-09-15,56
2007-09-16,56
2007-09-17,57
2007-09-18,58
2007-09-19,59
2007-09-20,59
2007-09-21,60
2007-09-22,61
2007-09-23,58
2007-09-24,55
2007-09-25,53
2007-09-26,50
2007-09-27,48
2007-09-28,45
2007-09-29,43
2007-09-30,42
2007-10-01,41
2007-10-02,40
2007-10-03,39
2007-10-04,38
2007-10-05,37
2007-10-06,36
2007-10-07,39
2007-10-08,42
2007-10-09,45
2007-10-10,48
2007-10-11,51
2007-10-12,54
2007-10-13,58
2007-10-14,59
2007-10-15,61
2007-10-16,62
2007-10-17,63
2007-10-18,64
2007-10-19,65
2007-10-20,67
2007-10-21,64
2007-10-22,59
2007-10-23,56
2007-10-24,53
2007-10-25,50
2007-10-26,47
2007-10-27,44
2007-10-28,44
2007-11-04,44
2007-11-05,44
2007-11-06,45
2007-11-07,45
2007-11-08,46
2007-11-09,46
2007-11-10,47
2007-11-11,46
2007-11-12,45
2007-11-13,45
2007-11-14,44
2007-11-15,44
2007-11-16,43
2007-11-17,43
2007-11-18,44
2007-11-19,45
2007-11-20,46
2007-11-21,47
2007-11-22,48
2007-11-23,49
2007-11-24,51
2007-11-25,49
2007-11-26,48
2007-11-27,46
2007-11-28,45
2007-11-29,43
2007-11-30,42
2007-12-01,41
2007-12-02,45
2007-12-03,49
2007-12-04,53
2007-12-05,57
2007-12-06,61
2007-12-07,65
2007-12-08,69
2007-12-09,67
2007-12-10,65
2007-12-11,63
2007-12-12,61
2007-12-13,59
2007-12-14,57
2007-12-15,55
2007-12-16,53
2007-12-17,51
2007-12-18,49
2007-12-19,48
2007-12-20,46
2007-12-21,44
2007-12-22,43
2007-12-23,46
2007-12-24,49
2007-12-25,52
2007-12-26,55
2007-12-27,58
2007-12-28,61
2007-12-29,64
2007-12-30,61
2007-12-31,59
2008-01-01,56
2008-01-02,54
2008-01-03,51
2008-01-04,49
2008-01-05,47
2008-01-06,50
2008-01-07,54
2008-01-08,58
2008-01-09,62
2008-01-10,66
2008-01-11,70
2008-01-12,73
2008-01-13,69
2008-01-14,65
2008-01-15,61
2008-01-16,57
2008-01-17,53
2008-01-18,49
2008-01-19,45
2008-01-20,47
2008-01-21,50
2008-01-22,53
2008-01-23,55
2008-01-24,58
2008-01-25,61
2008-01-26,64
2008-01-27,63
