Date,NightHawk Radiology
2005-04-01,76
2005-04-02,75
2005-04-03,74
2005-04-04,73
2005-04-05,72
2005-04-06,71
2005-04-07,70
2005-04-08,69
2005-04-09,68
2005-04-10,67
2005-04-11,66
2005-04-12,65
2005-04-13,64
2005-04-14,63
2005-04-15,62
2005-04-16,61
2005-04-17,60
2005-04-18,59
2005-04-19,58
2005-04-20,57
2005-04-21,56
2005-04-22,55
2005-04-23,54
2005-04-24,53
2005-04-25,52
2005-04-26,51
2005-04-27,50
2005-04-28,49
2005-04-29,48
2005-04-30,47
2005-05-01,47
2005-05-02,47
2005-05-03,47
2005-05-04,47
2005-05-05,47
2005-05-06,47
2005-05-07,47
2005-05-08,47
2005-05-09,47
2005-05-10,47
2005-05-11,47
2005-05-12,47
2005-05-13,47
2005-05-14,47
2005-05-15,47
2005-05-16,47
2005-05-17,47
2005-05-18,47
2005-05-19,47
2005-05-20,47
2005-05-21,47
2005-05-22,47
2005-05-23,47
2005-05-24,47
2005-05-25,47
2005-05-26,47
2005-05-27,47
2005-05-28,47
2005-05-29,47
2005-05-30,47
2005-05-31,47
2005-06-01,47
2005-06-02,47
2005-06-03,47
2005-06-04,47
2005-06-05,47
2005-06-06,47
2005-06-07,47
2005-06-08,47
2005-06-09,47
2005-06-10,47
2005-06-11,47
2005-06-12,47
2005-06-13,47
2005-06-14,47
2005-06-15,47
2005-06-16,47
2005-06-17,47
2005-06-18,47
2005-06-19,47
2005-06-20,47
2005-06-21,47
2005-06-22,47
2005-06-23,47
2005-06-24,47
2005-06-25,47
2005-06-26,47
2005-06-27,47
2005-06-28,47
2005-06-29,47
2005-06-30,47
2005-07-01,47
2005-07-02,46
2005-07-03,46
2005-07-04,46
2005-07-05,46
2005-07-06,46
2005-07-07,45
2005-07-08,45
2005-07-09,45
2005-07-10,45
2005-07-11,45
2005-07-12,44
2005-07-13,44
2005-07-14,44
2005-07-15,44
2005-07-16,44
2005-07-17,43
2005-07-18,43
2005-07-19,43
2005-07-20,43
2005-07-21,43
2005-07-22,42
2005-07-23,42
2005-07-24,42
2005-07-25,42
2005-07-26,42
2005-07-27,41
2005-07-28,41
2005-07-29,41
2005-07-30,41
2005-07-31,41
2005-08-01,41
2005-08-02,41
2005-08-03,41
2005-08-04,41
2005-08-05,41
2005-08-06,41
2005-08-07,41
2005-08-08,41
2005-08-09,41
2005-08-10,41
2005-08-11,41
2005-08-12,41
2005-08-13,41
2005-08-14,41
2005-08-15,41
2005-08-16,41
