Date,GlassHouse Technologies
2007-06-01,100
2007-06-02,99
2007-06-03,98
2007-06-04,98
2007-06-05,97
2007-06-06,96
2007-06-07,96
2007-06-08,95
2007-06-09,94
2007-06-10,94
2007-06-11,93
2007-06-12,92
2007-06-13,92
2007-06-14,91
2007-06-15,90
2007-06-16,90
2007-06-17,89
2007-06-18,88
2007-06-19,88
2007-06-20,87
2007-06-21,86
2007-06-22,86
2007-06-23,85
2007-06-24,84
2007-06-25,84
2007-06-26,83
2007-06-27,82
2007-06-28,82
2007-06-29,81
2007-06-30,80
2007-07-01,80
2007-07-02,80
2007-07-03,80
2007-07-04,80
2007-07-05,80
2007-07-06,80
2007-07-07,80
2007-07-08,80
2007-07-09,80
2007-07-10,80
2007-07-11,80
2007-07-12,80
2007-07-13,80
2007-07-14,80
2007-07-15,80
2007-07-16,80
2007-07-17,81
2007-07-18,81
2007-07-19,81
2007-07-20,81
2007-07-21,81
2007-07-22,81
2007-07-23,81
2007-07-24,81
2007-07-25,81
2007-07-26,81
2007-07-27,81
2007-07-28,81
2007-07-29,81
2007-07-30,81
2007-07-31,81
2007-08-01,82
2007-08-02,82
2007-08-03,82
2007-08-04,82
2007-08-05,82
2007-08-06,82
2007-08-07,82
2007-08-08,82
2007-08-09,82
2007-08-10,82
2007-08-11,82
2007-08-12,82
2007-08-13,82
2007-08-14,82
2007-08-15,82
2007-08-16,82
2007-08-17,82
2007-08-18,82
2007-08-19,82
2007-08-20,82
2007-08-21,82
2007-08-22,82
2007-08-23,82
2007-08-24,82
2007-08-25,82
2007-08-26,82
2007-08-27,82
2007-08-28,82
2007-08-29,82
2007-08-30,82
2007-08-31,82
2007-09-01,83
2007-09-02,80
2007-09-03,77
2007-09-04,74
2007-09-05,71
2007-09-06,69
2007-09-07,66
2007-09-08,63
2007-09-09,60
2007-09-10,58
2007-09-11,55
2007-09-12,52
2007-09-13,49
2007-09-14,47
2007-09-15,44
2007-09-16,41
2007-09-17,38
2007-09-18,35
2007-09-19,33
2007-09-20,30
2007-09-21,27
2007-09-22,24
2007-09-23,22
2007-09-24,19
2007-09-25,16
2007-09-26,13
2007-09-27,11
2007-09-28,8
2007-09-29,5
2007-09-30,2
2007-10-01,0
2007-10-02,0
2007-10-03,0
2007-10-04,0
2007-10-05,0
2007-10-06,0
2007-10-07,0
2007-10-08,0
2007-10-09,0
2007-10-10,0
2007-10-11,0
2007-10-12,0
2007-10-13,0
2007-10-14,0
2007-10-15,0
2007-10-16,0
2007-10-17,0
2007-10-18,0
2007-10-19,0
2007-10-20,0
2007-10-21,0
2007-10-22,0
2007-10-23,0
2007-10-24,0
2007-10-25,0
2007-10-26,0
2007-10-27,0
2007-10-28,0
2007-10-29,0
2007-10-30,0
2007-10-31,0
2007-11-01,0
2007-11-02,0
2007-11-03,0
2007-11-04,0
2007-11-05,0
2007-11-06,0
2007-11-07,0
2007-11-08,0
2007-11-09,0
2007-11-10,0
2007-11-11,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-22,0
2007-11-23,0
2007-11-24,0
2007-11-25,0
2007-11-26,0
2007-11-27,0
2007-11-28,0
2007-11-29,0
2007-11-30,0
2007-12-01,0
2007-12-02,0
2007-12-03,0
2007-12-04,0
2007-12-05,0
2007-12-06,0
2007-12-07,0
2007-12-08,0
2007-12-09,0
2007-12-10,0
2007-12-11,0
2007-12-12,0
2007-12-13,0
2007-12-14,0
2007-12-15,0
2007-12-16,0
2007-12-17,0
2007-12-18,0
2007-12-19,0
2007-12-20,0
2007-12-21,0
2007-12-22,0
2007-12-23,0
2007-12-24,0
2007-12-25,0
2007-12-26,0
2007-12-27,0
2007-12-28,0
2007-12-29,0
2007-12-30,0
2007-12-31,0
2008-01-01,0
2008-01-02,0
2008-01-03,0
2008-01-04,0
2008-01-05,0
2008-01-06,0
2008-01-07,0
2008-01-08,0
2008-01-09,0
2008-01-10,0
2008-01-11,0
2008-01-12,0
2008-01-13,0
2008-01-14,0
2008-01-15,0
2008-01-16,0
2008-01-17,0
2008-01-18,0
2008-01-19,0
2008-01-20,0
2008-01-21,0
2008-01-22,0
2008-01-23,0
2008-01-24,0
2008-01-25,0
2008-01-26,0
2008-01-27,0
2008-01-28,0
2008-01-29,0
2008-01-30,0
2008-01-31,0
2008-02-01,0
2008-02-02,0
2008-02-03,0
2008-02-04,0
2008-02-05,0
2008-02-06,0
