Date,OncoMed
2011-11-06,20
2011-11-07,22
2011-11-08,24
2011-11-09,26
2011-11-10,28
2011-11-11,29
2011-11-12,31
2011-11-13,29
2011-11-14,26
2011-11-15,24
2011-11-16,22
2011-11-17,20
2011-11-18,18
2011-11-19,16
2011-11-20,16
2011-11-21,16
2011-11-22,16
2011-11-23,17
2011-11-24,17
2011-11-25,17
2011-11-26,18
2011-11-27,18
2011-11-28,19
2011-11-29,20
2011-11-30,21
2011-12-01,22
2011-12-02,23
2011-12-03,24
2011-12-04,23
2011-12-05,21
2011-12-06,20
2011-12-07,18
2011-12-08,17
2011-12-09,16
2011-12-10,15
2011-12-11,15
2011-12-12,15
2011-12-13,15
2011-12-14,16
2011-12-15,16
2011-12-16,16
2011-12-17,17
2011-12-18,16
2011-12-19,16
2011-12-20,15
2011-12-21,15
2011-12-22,14
2011-12-23,14
2011-12-24,14
2011-12-25,14
2011-12-26,14
2011-12-27,15
2011-12-28,15
2011-12-29,16
2011-12-30,16
2011-12-31,17
2012-01-01,17
2012-01-02,17
2012-01-03,17
2012-01-04,18
2012-01-05,18
2012-01-06,18
2012-01-07,19
2012-01-08,20
2012-01-09,21
2012-01-10,22
2012-01-11,24
2012-01-12,25
2012-01-13,26
2012-01-14,28
2012-01-15,26
2012-01-16,25
2012-01-17,24
2012-01-18,22
2012-01-19,21
2012-01-20,20
2012-01-21,19
2012-01-22,18
2012-01-23,18
2012-01-24,17
2012-01-25,17
2012-01-26,16
2012-01-27,16
2012-01-28,16
2012-01-29,17
2012-02-05,25
2012-02-06,23
2012-02-07,22
2012-02-08,20
2012-02-09,19
2012-02-10,17
2012-02-11,16
2012-02-12,16
2012-02-13,16
2012-02-14,16
2012-02-15,16
2012-02-16,16
2012-02-17,16
2012-02-18,17
2012-02-19,18
2012-02-20,19
2012-02-21,20
2012-02-22,21
2012-02-23,22
2012-02-24,23
2012-02-25,24
2012-02-26,23
2012-02-27,22
2012-02-28,22
2012-02-29,21
2012-03-01,21
2012-03-02,20
2012-03-03,20
2012-03-04,21
2012-03-05,22
2012-03-06,23
2012-03-07,24
2012-03-08,25
2012-03-09,26
2012-03-10,27
2012-03-11,26
2012-03-12,26
2012-03-13,25
2012-03-14,25
2012-03-15,24
2012-03-16,24
2012-03-17,24
2012-03-18,24
2012-03-19,24
2012-03-20,24
2012-03-21,24
2012-03-22,24
2012-03-23,24
2012-03-24,24
2012-03-25,22
