Date,Tableau Software
2012-10-01,33
2012-10-02,32
2012-10-03,32
2012-10-04,32
2012-10-05,31
2012-10-06,31
2012-10-07,31
2012-10-08,32
2012-10-09,32
2012-10-10,34
2012-10-11,33
2012-10-12,36
2012-10-13,35
2012-10-14,34
2012-10-15,33
2012-10-16,32
2012-10-17,31
2012-10-18,30
2012-10-19,29
2012-10-20,29
2012-10-21,30
2012-10-22,31
2012-10-23,32
2012-10-24,33
2012-10-25,34
2012-10-26,39
2012-10-27,37
2012-10-28,36
2012-10-29,35
2012-10-30,34
2012-10-31,34
2012-11-01,34
2012-11-02,32
2012-11-03,32
2012-11-04,31
2012-11-05,31
2012-11-06,31
2012-11-07,30
2012-11-08,30
2012-11-09,30
2012-11-10,30
2012-11-11,30
2012-11-12,30
2012-11-13,30
2012-11-14,30
2012-11-15,31
2012-11-16,30
2012-11-17,33
2012-11-18,30
2012-11-19,30
2012-11-20,30
2012-11-21,29
2012-11-22,29
2012-11-23,30
2012-11-24,29
2012-11-25,30
2012-11-26,31
2012-11-27,32
2012-11-28,33
2012-11-29,36
2012-11-30,35
2012-12-01,40
2012-12-02,36
2012-12-03,35
2012-12-04,34
2012-12-05,36
2012-12-06,33
2012-12-07,32
2012-12-08,32
2012-12-09,32
2012-12-10,32
2012-12-11,34
2012-12-12,33
2012-12-13,34
2012-12-14,34
2012-12-15,36
2012-12-16,33
2012-12-17,31
2012-12-18,30
2012-12-19,28
2012-12-20,28
2012-12-21,25
2012-12-22,24
2012-12-23,23
2012-12-24,22
2012-12-25,21
2012-12-26,20
2012-12-27,20
2012-12-28,18
2012-12-29,18
2012-12-30,18
2012-12-31,19
2013-01-01,20
2013-01-02,21
2013-01-03,21
2013-01-04,22
2013-01-05,23
2013-01-06,22
2013-01-07,21
2013-01-08,20
2013-01-09,20
2013-01-10,21
2013-01-11,18
2013-01-12,18
2013-01-13,20
2013-01-14,22
2013-01-15,25
2013-01-16,26
2013-01-17,28
2013-01-18,33
2013-01-19,33
2013-01-20,32
2013-01-21,32
2013-01-22,33
2013-01-23,32
2013-01-24,32
2013-01-25,32
2013-01-26,33
2013-01-27,32
2013-01-28,32
2013-01-29,33
2013-01-30,32
2013-01-31,32
2013-02-01,32
2013-02-02,34
2013-02-03,33
2013-02-04,34
2013-02-05,35
2013-02-06,36
2013-02-07,37
2013-02-08,41
2013-02-09,39
2013-02-10,37
2013-02-11,36
2013-02-12,34
2013-02-13,33
2013-02-14,35
2013-02-15,30
2013-02-16,29
2013-02-17,31
2013-02-18,33
2013-02-19,35
2013-02-20,37
2013-02-21,39
2013-02-22,42
2013-02-23,48
2013-02-24,42
2013-02-25,41
2013-02-26,40
2013-02-27,42
2013-02-28,37
2013-03-01,36
2013-03-02,35
2013-03-03,35
2013-03-04,35
2013-03-05,35
2013-03-06,35
2013-03-07,39
2013-03-08,35
2013-03-09,37
2013-03-10,36
2013-03-11,36
2013-03-12,38
2013-03-13,37
2013-03-14,40
2013-03-15,38
2013-03-16,38
2013-03-17,39
2013-03-18,40
2013-03-19,43
2013-03-20,43
2013-03-21,45
2013-03-22,47
2013-03-23,51
2013-03-24,46
2013-03-25,44
2013-03-26,42
2013-03-27,41
2013-03-28,42
2013-03-29,37
2013-03-30,36
2013-03-31,36
2013-04-01,36
2013-04-02,36
2013-04-03,36
2013-04-04,37
2013-04-05,36
2013-04-06,36
2013-04-07,37
2013-04-08,38
2013-04-09,39
2013-04-10,41
2013-04-11,45
2013-04-12,43
2013-04-13,46
2013-04-14,44
2013-04-15,43
2013-04-16,43
2013-04-17,42
2013-04-18,42
2013-04-19,40
2013-04-20,42
2013-04-21,39
2013-04-22,39
2013-04-23,39
2013-04-24,39
2013-04-25,38
2013-04-26,38
2013-04-27,42
2013-04-28,36
2013-04-29,35
2013-04-30,35
2013-05-01,33
2013-05-02,32
2013-05-03,33
2013-05-04,30
2013-05-05,31
2013-05-06,32
2013-05-07,33
2013-05-08,34
2013-05-09,35
2013-05-10,36
2013-05-11,37
2013-05-12,46
2013-05-13,55
2013-05-14,64
2013-05-15,73
2013-05-16,82
2013-05-17,91
2013-05-18,117
2013-05-19,99
2013-05-20,87
2013-05-21,83
2013-05-22,79
2013-05-23,67
2013-05-24,63
2013-05-25,58
2013-05-26,52
2013-05-27,49
2013-05-28,46
2013-05-29,44
2013-05-30,41
2013-05-31,41
2013-06-01,36
2013-06-02,36
2013-06-03,37
2013-06-04,37
2013-06-05,40
2013-06-06,39
2013-06-07,41
2013-06-08,40
2013-06-09,40
2013-06-10,40
2013-06-11,40
2013-06-12,42
2013-06-13,40
2013-06-14,42
2013-06-15,41
2013-06-16,40
2013-06-17,40
2013-06-18,40
2013-06-19,45
2013-06-20,40
2013-06-21,40
2013-06-22,41
2013-06-23,39
2013-06-24,39
2013-06-25,39
2013-06-26,41
2013-06-27,39
2013-06-28,38
2013-06-29,38
2013-06-30,36
2013-07-01,34
2013-07-02,35
2013-07-03,31
2013-07-04,29
2013-07-05,27
2013-07-06,26
2013-07-07,27
2013-07-08,29
2013-07-09,31
2013-07-10,33
2013-07-11,34
2013-07-12,38
2013-07-13,38
2013-07-14,38
2013-07-15,38
2013-07-16,38
2013-07-17,39
2013-07-18,38
2013-07-19,42
2013-07-20,38
2013-07-21,38
2013-07-22,39
2013-07-23,40
2013-07-24,40
2013-07-25,41
2013-07-26,44
2013-07-27,43
2013-07-28,42
2013-07-29,42
2013-07-30,42
2013-07-31,45
2013-08-01,42
2013-08-02,44
2013-08-03,42
2013-08-04,42
2013-08-05,42
2013-08-06,48
2013-08-07,43
2013-08-08,44
2013-08-09,48
2013-08-10,45
2013-08-11,43
2013-08-12,42
2013-08-13,46
2013-08-14,41
2013-08-15,39
2013-08-16,40
2013-08-17,37
2013-08-18,37
2013-08-19,37
2013-08-20,39
2013-08-21,37
2013-08-22,39
2013-08-23,38
2013-08-24,38
2013-08-25,37
2013-08-26,37
2013-08-27,36
2013-08-28,38
2013-08-29,35
2013-08-30,38
2013-08-31,35
2013-09-01,34
2013-09-02,34
2013-09-03,34
2013-09-04,33
2013-09-05,33
2013-09-06,36
2013-09-07,33
