Date,Select Medical
2008-01-12,37
2008-01-13,36
2008-01-14,35
2008-01-15,34
2008-01-16,33
2008-01-17,32
2008-01-18,31
2008-01-19,30
2008-01-20,32
2008-01-21,34
2008-01-22,36
2008-01-23,38
2008-01-24,40
2008-01-25,42
2008-01-26,44
2008-01-27,43
2008-01-28,42
2008-01-29,41
2008-01-30,40
2008-01-31,39
2008-02-01,38
2008-02-02,37
2008-02-03,37
2008-02-04,38
2008-02-05,39
2008-02-06,40
2008-02-07,40
2008-02-08,41
2008-02-09,42
2008-02-10,41
2008-02-11,39
2008-02-12,38
2008-02-13,37
2008-02-14,36
2008-02-15,35
2008-02-16,34
2008-02-17,33
2008-02-18,32
2008-02-19,31
2008-02-20,31
2008-02-21,30
2008-02-22,29
2008-02-23,29
2008-02-24,29
2008-02-25,29
2008-02-26,29
2008-02-27,29
2008-02-28,29
2008-02-29,29
2008-03-01,29
2008-03-02,29
2008-03-03,30
2008-03-04,31
2008-03-05,32
2008-03-06,33
2008-03-07,34
2008-03-08,35
2008-03-09,35
2008-03-10,36
2008-03-11,36
2008-03-12,37
2008-03-13,37
2008-03-14,38
2008-03-15,38
2008-03-16,38
2008-03-17,37
2008-03-18,36
2008-03-19,36
2008-03-20,35
2008-03-21,35
2008-03-22,35
2008-03-23,35
2008-03-24,35
2008-03-25,35
2008-03-26,35
2008-03-27,35
2008-03-28,35
2008-03-29,36
2008-03-30,36
2008-04-06,39
2008-04-07,40
2008-04-08,41
2008-04-09,42
2008-04-10,43
2008-04-11,44
2008-04-12,45
2008-04-13,43
2008-04-14,42
2008-04-15,40
2008-04-16,38
2008-04-17,37
2008-04-18,35
2008-04-19,34
2008-04-20,34
2008-04-21,34
2008-04-22,34
2008-04-23,34
2008-04-24,34
2008-04-25,34
2008-04-26,34
2008-04-27,33
2008-04-28,33
2008-04-29,32
2008-04-30,32
2008-05-01,31
2008-05-02,31
2008-05-03,31
2008-05-04,32
2008-05-05,33
2008-05-06,35
2008-05-07,36
2008-05-08,38
2008-05-09,39
2008-05-10,41
2008-05-11,40
2008-05-12,40
2008-05-13,40
2008-05-14,40
2008-05-15,40
2008-05-16,39
2008-05-17,39
2008-05-18,38
2008-05-19,35
2008-05-20,34
2008-05-21,32
2008-05-22,31
2008-05-23,29
2008-05-24,28
2008-05-25,29
2008-05-26,30
2008-05-27,31
2008-05-28,32
2008-05-29,33
2008-05-30,34
2008-05-31,36
2008-06-01,37
2008-06-02,39
2008-06-03,41
2008-06-04,42
2008-06-05,44
2008-06-06,45
2008-06-07,47
2008-06-08,44
2008-06-09,40
2008-06-10,37
2008-06-11,33
2008-06-12,30
2008-06-13,27
2008-06-14,24
2008-06-15,24
2008-06-16,25
2008-06-17,25
2008-06-18,26
2008-06-19,26
2008-06-20,27
2008-06-21,28
2008-06-22,28
2008-06-23,29
2008-06-24,30
2008-06-25,30
2008-06-26,31
2008-06-27,32
2008-06-28,33
2008-06-29,31
2008-07-06,28
2008-07-07,31
2008-07-08,35
2008-07-09,38
2008-07-10,42
2008-07-11,45
2008-07-12,48
2008-07-13,47
2008-07-14,44
2008-07-15,43
2008-07-16,41
2008-07-17,40
2008-07-18,38
2008-07-19,37
2008-07-20,37
2008-07-21,37
2008-07-22,37
2008-07-23,37
2008-07-24,37
2008-07-25,37
2008-07-26,38
2008-07-27,39
2008-07-28,41
2008-07-29,43
2008-07-30,45
2008-07-31,47
2008-08-01,48
2008-08-02,50
2008-08-03,48
2008-08-04,46
2008-08-05,44
2008-08-06,42
2008-08-07,40
2008-08-08,38
2008-08-09,36
2008-08-10,36
2008-08-11,37
2008-08-12,38
2008-08-13,39
2008-08-14,39
2008-08-15,40
2008-08-16,41
2008-08-17,39
2008-08-18,38
2008-08-19,36
2008-08-20,35
2008-08-21,33
2008-08-22,32
2008-08-23,31
2008-08-24,32
2008-08-25,33
2008-08-26,34
2008-08-27,36
2008-08-28,37
2008-08-29,38
2008-08-30,39
2008-08-31,39
2008-09-01,37
2008-09-02,36
2008-09-03,35
2008-09-04,34
2008-09-05,33
2008-09-06,33
2008-09-07,32
2008-09-08,32
2008-09-09,31
2008-09-10,31
2008-09-11,30
2008-09-12,30
2008-09-13,30
2008-09-14,31
2008-09-15,33
2008-09-16,34
2008-09-17,35
2008-09-18,37
2008-09-19,38
2008-09-20,40
2008-09-21,39
2008-09-22,39
2008-09-23,38
2008-09-24,38
2008-09-25,37
2008-09-26,37
2008-09-27,37
2008-09-28,37
2008-10-05,40
2008-10-06,41
2008-10-07,42
2008-10-08,43
2008-10-09,43
2008-10-10,44
2008-10-11,45
2008-10-12,44
2008-10-13,44
2008-10-14,44
2008-10-15,43
2008-10-16,43
2008-10-17,43
2008-10-18,43
2008-10-19,42
2008-10-20,41
2008-10-21,40
2008-10-22,39
2008-10-23,38
2008-10-24,37
2008-10-25,37
2008-10-26,37
