Date,Progress Rail Services
2005-12-01,0
2005-12-02,0
2005-12-03,0
2005-12-04,0
2005-12-05,0
2005-12-06,0
2005-12-07,0
2005-12-08,0
2005-12-09,0
2005-12-10,0
2005-12-11,0
2005-12-12,0
2005-12-13,0
2005-12-14,0
2005-12-15,0
2005-12-16,0
2005-12-17,0
2005-12-18,0
2005-12-19,0
2005-12-20,0
2005-12-21,0
2005-12-22,0
2005-12-23,0
2005-12-24,0
2005-12-25,0
2005-12-26,0
2005-12-27,0
2005-12-28,0
2005-12-29,0
2005-12-30,0
2005-12-31,0
2006-01-01,0
2006-01-02,1
2006-01-03,2
2006-01-04,3
2006-01-05,4
2006-01-06,5
2006-01-07,6
2006-01-08,7
2006-01-09,9
2006-01-10,10
2006-01-11,11
2006-01-12,12
2006-01-13,13
2006-01-14,14
2006-01-15,15
2006-01-16,16
2006-01-17,18
2006-01-18,19
2006-01-19,20
2006-01-20,21
2006-01-21,22
2006-01-22,23
2006-01-23,24
2006-01-24,25
2006-01-25,27
2006-01-26,28
2006-01-27,29
2006-01-28,30
2006-01-29,31
2006-01-30,32
2006-01-31,33
2006-02-01,35
2006-02-02,35
2006-02-03,35
2006-02-04,36
2006-02-05,36
2006-02-06,36
2006-02-07,37
2006-02-08,37
2006-02-09,38
2006-02-10,38
2006-02-11,38
2006-02-12,39
2006-02-13,39
2006-02-14,40
2006-02-15,40
2006-02-16,40
2006-02-17,41
2006-02-18,41
2006-02-19,42
2006-02-20,42
2006-02-21,42
2006-02-22,43
2006-02-23,43
2006-02-24,44
2006-02-25,44
2006-02-26,44
2006-02-27,45
2006-02-28,45
2006-03-01,46
2006-03-02,45
2006-03-03,45
2006-03-04,44
2006-03-05,44
2006-03-06,43
2006-03-07,43
2006-03-08,43
2006-03-09,42
2006-03-10,42
2006-03-11,41
2006-03-12,41
2006-03-13,40
2006-03-14,40
2006-03-15,40
2006-03-16,39
2006-03-17,39
2006-03-18,38
2006-03-19,38
2006-03-20,38
2006-03-21,37
2006-03-22,37
2006-03-23,36
2006-03-24,36
2006-03-25,35
2006-03-26,35
2006-03-27,35
2006-03-28,34
2006-03-29,34
2006-03-30,33
2006-03-31,33
2006-04-01,33
2006-04-02,35
2006-04-03,37
2006-04-04,39
2006-04-05,41
2006-04-06,44
2006-04-07,46
2006-04-08,48
2006-04-09,50
2006-04-10,53
2006-04-11,55
2006-04-12,57
2006-04-13,59
2006-04-14,62
2006-04-15,64
2006-04-16,66
2006-04-17,68
2006-04-18,70
2006-04-19,73
2006-04-20,75
2006-04-21,77
2006-04-22,79
2006-04-23,82
2006-04-24,84
2006-04-25,86
2006-04-26,88
2006-04-27,91
2006-04-28,93
2006-04-29,95
2006-04-30,97
2006-05-01,100
2006-05-02,98
2006-05-03,97
2006-05-04,96
2006-05-05,94
2006-05-06,93
2006-05-07,92
2006-05-08,90
2006-05-09,89
2006-05-10,88
2006-05-11,87
2006-05-12,85
2006-05-13,84
2006-05-14,83
2006-05-15,81
2006-05-16,80
2006-05-17,79
2006-05-18,78
2006-05-19,76
2006-05-20,75
2006-05-21,74
2006-05-22,72
2006-05-23,71
2006-05-24,70
2006-05-25,69
2006-05-26,67
2006-05-27,66
2006-05-28,65
2006-05-29,63
2006-05-30,62
2006-05-31,61
2006-06-01,60
2006-06-02,59
2006-06-03,59
2006-06-04,59
2006-06-05,59
2006-06-06,59
2006-06-07,59
2006-06-08,59
2006-06-09,59
2006-06-10,59
2006-06-11,59
2006-06-12,59
2006-06-13,59
2006-06-14,59
2006-06-15,59
2006-06-16,59
2006-06-17,58
2006-06-18,58
2006-06-19,58
2006-06-20,58
2006-06-21,58
2006-06-22,58
2006-06-23,58
2006-06-24,58
2006-06-25,58
2006-06-26,58
2006-06-27,58
2006-06-28,58
2006-06-29,58
2006-06-30,58
2006-07-01,58
2006-07-02,56
2006-07-03,55
2006-07-04,54
2006-07-05,53
2006-07-06,52
2006-07-07,51
2006-07-08,50
2006-07-09,49
2006-07-10,48
2006-07-11,47
2006-07-12,45
2006-07-13,44
2006-07-14,43
2006-07-15,42
2006-07-16,41
2006-07-17,40
2006-07-18,39
2006-07-19,38
2006-07-20,37
2006-07-21,36
2006-07-22,34
2006-07-23,33
2006-07-24,32
2006-07-25,31
2006-07-26,30
2006-07-27,29
2006-07-28,28
2006-07-29,27
2006-07-30,26
2006-07-31,25
2006-08-01,24
2006-08-02,24
2006-08-03,24
2006-08-04,24
2006-08-05,24
2006-08-06,24
2006-08-07,24
2006-08-08,24
2006-08-09,25
2006-08-10,25
2006-08-11,25
2006-08-12,25
2006-08-13,25
2006-08-14,25
2006-08-15,25
2006-08-16,25
2006-08-17,26
2006-08-18,26
2006-08-19,26
2006-08-20,26
2006-08-21,26
2006-08-22,26
2006-08-23,26
2006-08-24,26
2006-08-25,27
2006-08-26,27
2006-08-27,27
2006-08-28,27
2006-08-29,27
2006-08-30,27
2006-08-31,27
2006-09-01,28
2006-09-02,28
2006-09-03,29
2006-09-04,29
2006-09-05,30
2006-09-06,30
2006-09-07,31
2006-09-08,31
2006-09-09,32
