Date,Ruths Chris Steak House
2004-10-01,62
2004-10-02,62
2004-10-03,63
2004-10-04,64
2004-10-05,65
2004-10-06,66
2004-10-07,67
2004-10-08,68
2004-10-09,69
2004-10-10,70
2004-10-11,71
2004-10-12,71
2004-10-13,72
2004-10-14,73
2004-10-15,74
2004-10-16,75
2004-10-17,76
2004-10-18,77
2004-10-19,78
2004-10-20,79
2004-10-21,80
2004-10-22,80
2004-10-23,81
2004-10-24,82
2004-10-25,83
2004-10-26,84
2004-10-27,85
2004-10-28,86
2004-10-29,87
2004-10-30,88
2004-10-31,89
2004-11-01,90
2004-11-02,89
2004-11-03,89
2004-11-04,88
2004-11-05,88
2004-11-06,88
2004-11-07,87
2004-11-08,87
2004-11-09,86
2004-11-10,86
2004-11-11,86
2004-11-12,85
2004-11-13,85
2004-11-14,84
2004-11-15,84
2004-11-16,84
2004-11-17,83
2004-11-18,83
2004-11-19,82
2004-11-20,82
2004-11-21,82
2004-11-22,81
2004-11-23,81
2004-11-24,80
2004-11-25,80
2004-11-26,80
2004-11-27,79
2004-11-28,79
2004-11-29,78
2004-11-30,78
2004-12-01,78
2004-12-02,77
2004-12-03,77
2004-12-04,77
2004-12-05,76
2004-12-06,76
2004-12-07,76
2004-12-08,75
2004-12-09,75
2004-12-10,75
2004-12-11,74
2004-12-12,74
2004-12-13,74
2004-12-14,73
2004-12-15,73
2004-12-16,73
2004-12-17,72
2004-12-18,72
2004-12-19,72
2004-12-20,71
2004-12-21,71
2004-12-22,71
2004-12-23,70
2004-12-24,70
2004-12-25,70
2004-12-26,69
2004-12-27,69
2004-12-28,69
2004-12-29,68
2004-12-30,68
2004-12-31,68
2005-01-01,68
2005-01-02,67
2005-01-03,67
2005-01-04,67
2005-01-05,67
2005-01-06,67
2005-01-07,67
2005-01-08,67
2005-01-09,67
2005-01-10,67
2005-01-11,67
2005-01-12,67
2005-01-13,67
2005-01-14,67
2005-01-15,67
2005-01-16,67
2005-01-17,67
2005-01-18,67
2005-01-19,67
2005-01-20,67
2005-01-21,67
2005-01-22,67
2005-01-23,67
2005-01-24,67
2005-01-25,67
2005-01-26,67
2005-01-27,67
2005-01-28,67
2005-01-29,67
2005-01-30,67
2005-01-31,67
2005-02-01,67
2005-02-02,67
2005-02-03,67
2005-02-04,68
2005-02-05,68
2005-02-06,68
2005-02-07,69
2005-02-08,69
2005-02-09,70
2005-02-10,70
2005-02-11,70
2005-02-12,71
2005-02-13,71
2005-02-14,72
2005-02-15,72
2005-02-16,72
2005-02-17,73
2005-02-18,73
2005-02-19,74
2005-02-20,74
2005-02-21,74
2005-02-22,75
2005-02-23,75
2005-02-24,76
2005-02-25,76
2005-02-26,76
2005-02-27,77
2005-02-28,77
2005-03-01,78
2005-03-02,78
2005-03-03,79
2005-03-04,80
2005-03-05,80
2005-03-06,81
2005-03-07,82
2005-03-08,82
2005-03-09,83
2005-03-10,84
2005-03-11,85
2005-03-12,85
2005-03-13,86
2005-03-14,87
2005-03-15,87
2005-03-16,88
2005-03-17,89
2005-03-18,90
2005-03-19,90
2005-03-20,91
2005-03-21,92
2005-03-22,92
2005-03-23,93
2005-03-24,94
2005-03-25,95
2005-03-26,95
2005-03-27,96
2005-03-28,97
2005-03-29,97
2005-03-30,98
2005-03-31,99
2005-04-01,100
2005-04-02,98
2005-04-03,96
2005-04-04,94
2005-04-05,93
2005-04-06,91
2005-04-07,89
2005-04-08,87
2005-04-09,86
2005-04-10,84
2005-04-11,82
2005-04-12,80
2005-04-13,79
2005-04-14,77
2005-04-15,75
2005-04-16,74
2005-04-17,72
2005-04-18,70
2005-04-19,68
2005-04-20,67
2005-04-21,65
2005-04-22,63
2005-04-23,61
2005-04-24,60
2005-04-25,58
2005-04-26,56
2005-04-27,54
2005-04-28,53
2005-04-29,51
2005-04-30,49
2005-05-01,48
2005-05-02,48
2005-05-03,49
2005-05-04,49
2005-05-05,50
2005-05-06,50
2005-05-07,51
2005-05-08,51
2005-05-09,52
2005-05-10,52
2005-05-11,53
2005-05-12,53
2005-05-13,54
2005-05-14,54
2005-05-15,55
2005-05-16,55
2005-05-17,56
2005-05-18,56
2005-05-19,57
2005-05-20,57
2005-05-21,58
2005-05-22,58
2005-05-23,59
2005-05-24,59
2005-05-25,60
2005-05-26,60
2005-05-27,61
2005-05-28,61
2005-05-29,62
2005-05-30,62
2005-05-31,63
2005-06-01,64
2005-06-02,63
2005-06-03,62
2005-06-04,61
2005-06-05,60
2005-06-06,60
2005-06-07,59
2005-06-08,58
2005-06-09,57
2005-06-10,56
2005-06-11,56
2005-06-12,55
2005-06-13,54
2005-06-14,53
2005-06-15,52
2005-06-16,52
2005-06-17,51
2005-06-18,50
2005-06-19,49
2005-06-20,48
2005-06-21,48
2005-06-22,47
2005-06-23,46
2005-06-24,45
2005-06-25,44
2005-06-26,44
2005-06-27,43
2005-06-28,42
2005-06-29,41
2005-06-30,40
2005-07-01,40
2005-07-02,39
2005-07-03,39
2005-07-04,39
2005-07-05,39
2005-07-06,39
2005-07-07,39
2005-07-08,39
2005-07-09,39
2005-07-10,39
2005-07-11,39
2005-07-12,39
2005-07-13,39
2005-07-14,39
2005-07-15,39
2005-07-16,39
2005-07-17,39
2005-07-18,39
2005-07-19,39
2005-07-20,39
2005-07-21,39
2005-07-22,39
2005-07-23,39
2005-07-24,39
2005-07-25,39
2005-07-26,39
2005-07-27,39
2005-07-28,39
2005-07-29,39
2005-07-30,39
2005-07-31,39
2005-08-01,39
2005-08-02,40
2005-08-03,41
2005-08-04,42
2005-08-05,43
2005-08-06,44
2005-08-07,45
2005-08-08,46
2005-08-09,47
2005-08-10,48
2005-08-11,49
2005-08-12,50
2005-08-13,51
2005-08-14,52
2005-08-15,53
2005-08-16,54
2005-08-17,55
2005-08-18,56
2005-08-19,57
2005-08-20,58
2005-08-21,59
2005-08-22,60
2005-08-23,61
2005-08-24,62
2005-08-25,63
2005-08-26,64
2005-08-27,65
2005-08-28,66
2005-08-29,67
2005-08-30,68
2005-08-31,69
2005-09-01,71
2005-09-02,70
2005-09-03,70
2005-09-04,70
2005-09-05,70
2005-09-06,70
2005-09-07,70
2005-09-08,70
2005-09-09,69
2005-09-10,69
2005-09-11,69
2005-09-12,69
2005-09-13,69
2005-09-14,69
2005-09-15,69
2005-09-16,69
2005-09-17,68
2005-09-18,68
2005-09-19,68
2005-09-20,68
2005-09-21,68
2005-09-22,68
2005-09-23,68
2005-09-24,67
2005-09-25,67
2005-09-26,67
2005-09-27,67
2005-09-28,67
2005-09-29,67
2005-09-30,67
2005-10-01,67
2005-10-02,66
2005-10-03,66
2005-10-04,66
2005-10-05,65
2005-10-06,65
2005-10-07,65
2005-10-08,64
2005-10-09,64
2005-10-10,64
2005-10-11,63
2005-10-12,63
2005-10-13,63
2005-10-14,62
2005-10-15,62
2005-10-16,62
2005-10-17,61
2005-10-18,61
2005-10-19,61
2005-10-20,60
2005-10-21,60
2005-10-22,60
2005-10-23,59
2005-10-24,59
2005-10-25,59
2005-10-26,58
2005-10-27,58
2005-10-28,58
2005-10-29,57
2005-10-30,57
2005-10-31,57
2005-11-01,57
2005-11-02,58
2005-11-03,59
2005-11-04,60
2005-11-05,61
2005-11-06,62
2005-11-07,64
2005-11-08,65
2005-11-09,66
2005-11-10,67
2005-11-11,68
2005-11-12,69
2005-11-13,71
2005-11-14,72
2005-11-15,73
2005-11-16,74
2005-11-17,75
2005-11-18,76
2005-11-19,78
2005-11-20,79
2005-11-21,80
2005-11-22,81
2005-11-23,82
2005-11-24,83
2005-11-25,85
2005-11-26,86
2005-11-27,87
2005-11-28,88
2005-11-29,89
2005-11-30,90
2005-12-01,92
2005-12-02,91
2005-12-03,91
2005-12-04,91
2005-12-05,90
2005-12-06,90
2005-12-07,90
2005-12-08,89
2005-12-09,89
2005-12-10,89
2005-12-11,89
2005-12-12,88
2005-12-13,88
2005-12-14,88
2005-12-15,87
2005-12-16,87
2005-12-17,87
2005-12-18,87
2005-12-19,86
2005-12-20,86
2005-12-21,86
2005-12-22,85
2005-12-23,85
2005-12-24,85
2005-12-25,85
2005-12-26,84
2005-12-27,84
2005-12-28,84
2005-12-29,83
2005-12-30,83
2005-12-31,83
2006-01-01,83
2006-01-02,83
2006-01-03,84
2006-01-04,84
2006-01-05,85
2006-01-06,85
2006-01-07,86
2006-01-08,86
2006-01-09,87
2006-01-10,87
2006-01-11,88
2006-01-12,88
2006-01-13,89
2006-01-14,89
2006-01-15,90
2006-01-16,90
2006-01-17,91
2006-01-18,91
2006-01-19,92
2006-01-20,92
2006-01-21,93
2006-01-22,93
2006-01-23,94
2006-01-24,94
2006-01-25,95
2006-01-26,95
2006-01-27,96
2006-01-28,96
2006-01-29,97
2006-01-30,97
2006-01-31,98
2006-02-01,99
2006-02-02,97
2006-02-03,95
2006-02-04,93
2006-02-05,91
2006-02-06,90
2006-02-07,88
2006-02-08,86
2006-02-09,84
2006-02-10,82
2006-02-11,81
2006-02-12,79
2006-02-13,77
2006-02-14,75
2006-02-15,74
2006-02-16,72
2006-02-17,70
2006-02-18,68
2006-02-19,66
2006-02-20,65
2006-02-21,63
2006-02-22,61
2006-02-23,59
2006-02-24,57
2006-02-25,56
2006-02-26,54
2006-02-27,52
2006-02-28,50
2006-03-01,49
2006-03-02,49
2006-03-03,49
2006-03-04,49
2006-03-05,50
2006-03-06,50
2006-03-07,50
2006-03-08,50
2006-03-09,51
2006-03-10,51
2006-03-11,51
2006-03-12,51
2006-03-13,52
2006-03-14,52
2006-03-15,52
2006-03-16,52
2006-03-17,53
2006-03-18,53
2006-03-19,53
2006-03-20,53
2006-03-21,54
2006-03-22,54
2006-03-23,54
2006-03-24,54
2006-03-25,55
2006-03-26,55
