Date,SMART Modular
2005-04-09,0
2005-04-10,9
2005-04-11,18
2005-04-12,27
2005-04-13,36
2005-04-14,45
2005-04-15,54
2005-04-16,64
2005-04-17,61
2005-04-18,59
2005-04-19,57
2005-04-20,55
2005-04-21,53
2005-04-22,51
2005-04-23,49
2005-04-24,49
2005-04-25,49
2005-04-26,49
2005-04-27,49
2005-04-28,49
2005-04-29,49
2005-04-30,49
2005-05-01,50
2005-05-02,52
2005-05-03,53
2005-05-04,55
2005-05-05,56
2005-05-06,58
2005-05-07,60
2005-05-08,60
2005-05-09,62
2005-05-10,62
2005-05-11,63
2005-05-12,64
2005-05-13,65
2005-05-14,66
2005-05-15,63
2005-05-16,59
2005-05-17,56
2005-05-18,53
2005-05-19,50
2005-05-20,47
2005-05-21,44
2005-05-22,48
2005-05-23,52
2005-05-24,56
2005-05-25,60
2005-05-26,64
2005-05-27,68
2005-05-28,72
2005-05-29,72
2005-05-30,70
2005-05-31,69
2005-06-01,69
2005-06-02,68
2005-06-03,67
2005-06-04,67
2005-06-05,67
2005-06-06,67
2005-06-07,67
2005-06-08,68
2005-06-09,68
2005-06-10,68
2005-06-11,69
2005-06-12,69
2005-06-13,69
2005-06-14,69
2005-06-15,69
2005-06-16,69
2005-06-17,69
2005-06-18,70
2005-06-19,72
2005-06-20,74
2005-06-21,76
2005-06-22,79
2005-06-23,81
2005-06-24,83
2005-06-25,86
2005-06-26,86
2005-07-03,87
2005-07-04,88
2005-07-05,89
2005-07-06,90
2005-07-07,91
2005-07-08,92
2005-07-09,93
2005-07-10,94
2005-07-11,95
2005-07-12,96
2005-07-13,97
2005-07-14,98
2005-07-15,99
2005-07-16,100
2005-07-17,99
2005-07-18,96
2005-07-19,95
2005-07-20,93
2005-07-21,92
2005-07-22,90
2005-07-23,89
2005-07-24,87
2005-07-25,85
2005-07-26,84
2005-07-27,82
2005-07-28,80
2005-07-29,78
2005-07-30,76
2005-07-31,72
2005-08-01,67
2005-08-02,63
2005-08-03,58
2005-08-04,54
2005-08-05,50
2005-08-06,45
2005-08-07,46
2005-08-08,47
2005-08-09,48
2005-08-10,49
2005-08-11,50
2005-08-12,51
2005-08-13,53
2005-08-14,54
2005-08-15,56
2005-08-16,58
2005-08-17,60
2005-08-18,62
2005-08-19,64
2005-08-20,66
2005-08-21,66
2005-08-22,67
2005-08-23,68
2005-08-24,69
2005-08-25,69
2005-08-26,70
2005-08-27,71
2005-08-28,68
2005-08-29,65
2005-08-30,63
2005-08-31,60
2005-09-01,58
2005-09-02,56
2005-09-03,54
2005-09-04,56
2005-09-05,58
2005-09-06,60
2005-09-07,62
2005-09-08,65
2005-09-09,67
2005-09-10,69
2005-09-11,68
2005-09-12,66
2005-09-13,65
2005-09-14,64
2005-09-15,63
2005-09-16,62
2005-09-17,61
2005-09-18,63
2005-09-19,66
2005-09-20,68
2005-09-21,71
2005-09-22,73
2005-09-23,76
2005-09-24,79
2005-09-25,81
2005-10-02,86
2005-10-03,78
2005-10-04,71
2005-10-05,63
2005-10-06,56
2005-10-07,48
2005-10-08,41
2005-10-09,41
2005-10-10,41
2005-10-11,41
2005-10-12,41
2005-10-13,41
2005-10-14,41
2005-10-15,41
2005-10-16,43
2005-10-17,45
2005-10-18,47
2005-10-19,49
2005-10-20,51
2005-10-21,53
2005-10-22,55
2005-10-23,59
2005-10-24,64
2005-10-25,68
2005-10-26,73
2005-10-27,77
2005-10-28,81
2005-10-29,86
2005-10-30,82
2005-10-31,76
2005-11-01,72
2005-11-02,67
2005-11-03,63
2005-11-04,59
2005-11-05,55
2005-11-06,53
2005-11-07,51
2005-11-08,49
2005-11-09,47
2005-11-10,45
2005-11-11,43
2005-11-12,42
2005-11-13,43
2005-11-14,44
2005-11-15,45
2005-11-16,46
2005-11-17,47
2005-11-18,48
2005-11-19,49
2005-11-20,49
2005-11-21,49
2005-11-22,49
2005-11-23,50
2005-11-24,50
2005-11-25,50
2005-11-26,51
2005-11-27,55
2005-11-28,61
2005-11-29,66
2005-11-30,71
2005-12-01,76
2005-12-02,81
2005-12-03,86
2005-12-04,81
2005-12-05,73
2005-12-06,67
2005-12-07,62
2005-12-08,56
2005-12-09,50
2005-12-10,45
2005-12-11,44
2005-12-12,43
2005-12-13,42
2005-12-14,41
2005-12-15,40
2005-12-16,39
2005-12-17,38
2005-12-18,39
2005-12-19,40
2005-12-20,41
2005-12-21,42
2005-12-22,43
2005-12-23,44
2005-12-24,45
2005-12-25,46
2006-01-01,51
2006-01-02,50
2006-01-03,49
2006-01-04,49
2006-01-05,48
2006-01-06,47
2006-01-07,47
2006-01-08,50
2006-01-09,53
2006-01-10,56
2006-01-11,59
2006-01-12,62
2006-01-13,65
2006-01-14,69
2006-01-15,69
2006-01-16,69
2006-01-17,69
2006-01-18,69
2006-01-19,69
2006-01-20,69
2006-01-21,69
2006-01-22,66
2006-01-23,63
2006-01-24,60
2006-01-25,57
2006-01-26,54
2006-01-27,51
2006-01-28,48
2006-01-29,53
2006-01-30,59
2006-01-31,64
2006-02-01,70
2006-02-02,75
2006-02-03,81
2006-02-04,86
2006-02-05,81
2006-02-06,73
2006-02-07,68
2006-02-08,62
2006-02-09,57
2006-02-10,51
2006-02-11,46
2006-02-12,47
2006-02-13,48
2006-02-14,49
2006-02-15,50
2006-02-16,51
2006-02-17,52
2006-02-18,54
2006-02-19,52
2006-02-20,51
2006-02-21,50
2006-02-22,49
2006-02-23,48
2006-02-24,47
2006-02-25,46
2006-02-26,46
2006-02-27,47
2006-02-28,48
2006-03-01,48
2006-03-02,49
2006-03-03,50
2006-03-04,51
2006-03-05,51
2006-03-06,52
2006-03-07,53
2006-03-08,53
2006-03-09,54
2006-03-10,55
2006-03-11,56
2006-03-12,57
2006-03-13,59
2006-03-14,61
2006-03-15,63
2006-03-16,64
2006-03-17,66
2006-03-18,68
2006-03-19,64
2006-03-20,60
2006-03-21,56
2006-03-22,53
2006-03-23,49
2006-03-24,46
2006-03-25,43
2006-03-26,46
2006-04-02,64
2006-04-03,62
2006-04-04,60
2006-04-05,58
2006-04-06,56
2006-04-07,54
2006-04-08,52
2006-04-09,49
2006-04-10,47
2006-04-11,45
2006-04-12,43
2006-04-13,41
2006-04-14,39
2006-04-15,37
2006-04-16,38
2006-04-17,39
2006-04-18,41
2006-04-19,42
2006-04-20,44
2006-04-21,45
2006-04-22,47
2006-04-23,48
2006-04-24,49
2006-04-25,51
2006-04-26,52
2006-04-27,54
2006-04-28,55
2006-04-29,57
2006-04-30,54
2006-05-01,51
2006-05-02,49
2006-05-03,46
2006-05-04,44
2006-05-05,41
2006-05-06,39
2006-05-07,38
2006-05-08,38
2006-05-09,38
2006-05-10,38
2006-05-11,38
2006-05-12,37
2006-05-13,37
2006-05-14,36
2006-05-15,34
2006-05-16,33
2006-05-17,31
2006-05-18,30
2006-05-19,29
2006-05-20,28
2006-05-21,31
2006-05-22,34
2006-05-23,37
2006-05-24,41
2006-05-25,44
2006-05-26,47
2006-05-27,51
2006-05-28,50
2006-05-29,49
2006-05-30,48
2006-05-31,47
2006-06-01,46
2006-06-02,45
2006-06-03,44
2006-06-04,44
2006-06-05,44
2006-06-06,45
2006-06-07,45
2006-06-08,45
2006-06-09,45
2006-06-10,46
2006-06-11,44
2006-06-12,42
2006-06-13,41
2006-06-14,39
2006-06-15,38
2006-06-16,36
2006-06-17,35
2006-06-18,36
2006-06-19,37
2006-06-20,38
2006-06-21,40
2006-06-22,41
2006-06-23,42
2006-06-24,44
2006-06-25,43
2006-07-02,41
2006-07-03,40
2006-07-04,38
2006-07-05,37
2006-07-06,35
2006-07-07,34
2006-07-08,33
2006-07-09,33
2006-07-10,34
2006-07-11,35
2006-07-12,35
2006-07-13,36
2006-07-14,37
2006-07-15,38
2006-07-16,36
2006-07-17,35
2006-07-18,34
2006-07-19,32
2006-07-20,31
2006-07-21,30
2006-07-22,29
2006-07-23,29
2006-07-24,29
2006-07-25,29
2006-07-26,29
2006-07-27,29
2006-07-28,29
2006-07-29,29
2006-07-30,29
2006-07-31,30
2006-08-01,31
2006-08-02,31
2006-08-03,32
2006-08-04,33
2006-08-05,34
2006-08-06,34
2006-08-07,35
2006-08-08,35
2006-08-09,36
2006-08-10,36
2006-08-11,37
2006-08-12,38
2006-08-13,38
2006-08-14,39
2006-08-15,40
2006-08-16,41
2006-08-17,41
2006-08-18,42
2006-08-19,43
2006-08-20,43
2006-08-21,43
2006-08-22,44
2006-08-23,44
2006-08-24,45
2006-08-25,45
2006-08-26,46
2006-08-27,43
2006-08-28,41
2006-08-29,38
2006-08-30,36
2006-08-31,33
2006-09-01,31
2006-09-02,29
2006-09-03,29
2006-09-04,29
2006-09-05,29
2006-09-06,29
2006-09-07,29
2006-09-08,29
2006-09-09,29
2006-09-10,31
2006-09-11,34
2006-09-12,37
2006-09-13,40
2006-09-14,42
2006-09-15,45
2006-09-16,48
2006-09-17,45
2006-09-18,42
2006-09-19,40
2006-09-20,37
2006-09-21,35
2006-09-22,32
2006-09-23,30
2006-09-24,30
2006-10-01,32
2006-10-02,32
2006-10-03,32
2006-10-04,32
2006-10-05,32
2006-10-06,32
2006-10-07,32
2006-10-08,34
2006-10-09,36
2006-10-10,39
2006-10-11,41
2006-10-12,44
2006-10-13,46
2006-10-14,49
2006-10-15,47
2006-10-16,46
2006-10-17,44
2006-10-18,42
2006-10-19,41
2006-10-20,39
2006-10-21,38
2006-10-22,36
2006-10-23,34
2006-10-24,32
2006-10-25,31
2006-10-26,29
2006-10-27,27
2006-10-28,26
2006-10-29,27
2006-10-30,28
2006-10-31,29
2006-11-01,30
2006-11-02,31
2006-11-03,32
2006-11-04,33
2006-11-05,33
2006-11-06,34
2006-11-07,35
2006-11-08,36
2006-11-09,37
2006-11-10,38
2006-11-11,39
2006-11-12,37
2006-11-13,36
2006-11-14,34
2006-11-15,33
2006-11-16,31
2006-11-17,30
2006-11-18,29
2006-11-19,30
2006-11-20,32
2006-11-21,34
2006-11-22,35
2006-11-23,37
2006-11-24,39
2006-11-25,41
2006-11-26,42
2006-11-27,43
2006-11-28,44
2006-11-29,45
2006-11-30,46
2006-12-01,47
2006-12-02,48
2006-12-03,46
2006-12-04,45
2006-12-05,44
2006-12-06,43
2006-12-07,42
2006-12-08,41
2006-12-09,40
2006-12-10,38
2006-12-11,37
2006-12-12,36
2006-12-13,34
2006-12-14,33
2006-12-15,32
2006-12-16,31
2006-12-17,30
2006-12-18,29
2006-12-19,29
2006-12-20,28
2006-12-21,27
2006-12-22,26
2006-12-23,26
2006-12-24,26
2006-12-25,27
2006-12-26,27
2006-12-27,28
2006-12-28,28
2006-12-29,29
2006-12-30,31
2006-12-31,28
2007-01-07,30
2007-01-08,30
2007-01-09,30
2007-01-10,30
2007-01-11,30
2007-01-12,30
2007-01-13,31
2007-01-14,32
2007-01-15,34
2007-01-16,35
2007-01-17,36
2007-01-18,38
2007-01-19,39
2007-01-20,41
2007-01-21,39
2007-01-22,37
2007-01-23,35
2007-01-24,33
2007-01-25,31
2007-01-26,29
2007-01-27,27
2007-01-28,29
2007-01-29,31
2007-01-30,33
2007-01-31,35
2007-02-01,37
2007-02-02,40
2007-02-03,42
2007-02-04,41
2007-02-05,41
2007-02-06,40
2007-02-07,40
2007-02-08,39
2007-02-09,39
2007-02-10,39
2007-02-11,41
2007-02-12,43
2007-02-13,45
2007-02-14,47
2007-02-15,49
2007-02-16,52
2007-02-17,54
2007-02-18,52
2007-02-19,50
2007-02-20,48
2007-02-21,46
2007-02-22,44
2007-02-23,42
2007-02-24,41
2007-02-25,42
2007-02-26,43
2007-02-27,44
2007-02-28,45
2007-03-01,46
2007-03-02,47
2007-03-03,48
2007-03-04,45
2007-03-05,42
2007-03-06,39
2007-03-07,37
2007-03-08,34
2007-03-09,31
2007-03-10,29
2007-03-11,28
2007-03-12,27
2007-03-13,27
2007-03-14,26
2007-03-15,26
2007-03-16,25
2007-03-17,25
2007-03-18,26
2007-03-19,28
2007-03-20,30
2007-03-21,32
2007-03-22,34
2007-03-23,36
2007-03-24,38
2007-03-25,37
