Date,RealD
2009-10-04,9
2009-10-05,9
2009-10-06,9
2009-10-07,9
2009-10-08,9
2009-10-09,9
2009-10-10,9
2009-10-11,9
2009-10-12,9
2009-10-13,9
2009-10-14,9
2009-10-15,9
2009-10-16,9
2009-10-17,10
2009-10-18,10
2009-10-19,10
2009-10-20,10
2009-10-21,10
2009-10-22,10
2009-10-23,10
2009-10-24,10
2009-10-25,10
2009-10-26,11
2009-10-27,11
2009-10-28,12
2009-10-29,12
2009-10-30,13
2009-10-31,14
2009-11-01,13
2009-11-02,12
2009-11-03,11
2009-11-04,10
2009-11-05,9
2009-11-06,8
2009-11-07,8
2009-11-08,8
2009-11-09,9
2009-11-10,10
2009-11-11,10
2009-11-12,11
2009-11-13,12
2009-11-14,13
2009-11-15,12
2009-11-16,10
2009-11-17,9
2009-11-18,8
2009-11-19,7
2009-11-20,6
2009-11-21,5
2009-11-22,5
2009-11-23,5
2009-11-24,5
2009-11-25,5
2009-11-26,5
2009-11-27,5
2009-11-28,6
2009-11-29,6
2009-11-30,6
2009-12-01,7
2009-12-02,7
2009-12-03,8
2009-12-04,8
2009-12-05,9
2009-12-06,10
2009-12-07,11
2009-12-08,12
2009-12-09,13
2009-12-10,14
2009-12-11,15
2009-12-12,16
2009-12-13,20
2009-12-14,24
2009-12-15,28
2009-12-16,33
2009-12-17,37
2009-12-18,41
2009-12-19,46
2009-12-20,53
2009-12-21,61
2009-12-22,69
2009-12-23,76
2009-12-24,84
2009-12-25,92
2009-12-26,100
2009-12-27,99
2010-01-01,99
2010-01-02,99
2010-01-03,111
2010-01-04,95
2010-01-05,97
2010-01-06,91
2010-01-07,93
2010-01-08,87
2010-01-09,86
2010-01-10,81
2010-01-11,77
2010-01-12,80
2010-01-13,69
2010-01-14,70
2010-01-15,61
2010-01-16,57
2010-01-17,55
2010-01-18,53
2010-01-19,53
2010-01-20,56
2010-01-21,49
2010-01-22,47
2010-01-23,46
2010-01-24,44
2010-01-25,48
2010-01-26,41
2010-01-27,39
2010-01-28,38
2010-01-29,36
2010-01-30,35
2010-01-31,35
2010-02-01,35
2010-02-02,38
2010-02-03,35
2010-02-04,35
2010-02-05,35
2010-02-06,35
2010-02-07,35
2010-02-08,33
2010-02-09,31
2010-02-10,29
2010-02-11,28
2010-02-12,27
2010-02-13,26
2010-02-14,25
2010-02-15,24
2010-02-16,23
2010-02-17,22
2010-02-18,21
2010-02-19,20
2010-02-20,20
2010-02-21,19
2010-02-22,19
2010-02-23,18
2010-02-24,18
2010-02-25,17
2010-02-26,17
2010-02-27,17
2010-02-28,17
