Date,Vocus
2004-12-11,80
2004-12-12,77
2004-12-13,75
2004-12-14,72
2004-12-15,70
2004-12-16,67
2004-12-17,65
2004-12-18,63
2004-12-19,63
2004-12-20,63
2004-12-21,63
2004-12-22,63
2004-12-23,63
2004-12-24,63
2004-12-25,63
2004-12-26,63
2004-12-27,63
2004-12-28,63
2004-12-29,63
2004-12-30,63
2004-12-31,63
2005-01-01,63
2005-01-02,65
2005-01-03,68
2005-01-04,70
2005-01-05,73
2005-01-06,75
2005-01-07,78
2005-01-08,81
2005-01-09,83
2005-01-10,87
2005-01-11,90
2005-01-12,92
2005-01-13,95
2005-01-14,98
2005-01-15,101
2005-01-16,94
2005-01-17,87
2005-01-18,80
2005-01-19,74
2005-01-20,67
2005-01-21,61
2005-01-22,54
2005-01-23,53
2005-01-24,52
2005-01-25,51
2005-01-26,50
2005-01-27,49
2005-01-28,48
2005-01-29,48
2005-01-30,50
2005-01-31,53
2005-02-01,56
2005-02-02,59
2005-02-03,62
2005-02-04,65
2005-02-05,68
2005-02-06,68
2005-02-07,67
2005-02-08,67
2005-02-09,67
2005-02-10,67
2005-02-11,66
2005-02-12,66
2005-02-13,63
2005-02-14,59
2005-02-15,56
2005-02-16,53
2005-02-17,50
2005-02-18,47
2005-02-19,44
2005-02-20,44
2005-02-21,44
2005-02-22,44
2005-02-23,45
2005-02-24,45
2005-02-25,45
2005-02-26,46
2005-02-27,49
2005-03-06,70
2005-03-07,68
2005-03-08,66
2005-03-09,63
2005-03-10,61
2005-03-11,59
2005-03-12,57
2005-03-13,56
2005-03-14,56
2005-03-15,56
2005-03-16,55
2005-03-17,55
2005-03-18,54
2005-03-19,54
2005-03-20,56
2005-03-21,58
2005-03-22,60
2005-03-23,63
2005-03-24,65
2005-03-25,67
2005-03-26,70
2005-03-27,68
2005-03-28,67
2005-03-29,66
2005-03-30,65
2005-03-31,64
2005-04-01,63
2005-04-02,62
2005-04-03,63
2005-04-04,64
2005-04-05,65
2005-04-06,66
2005-04-07,67
2005-04-08,68
2005-04-09,69
2005-04-10,70
2005-04-11,71
2005-04-12,72
2005-04-13,73
2005-04-14,74
2005-04-15,75
2005-04-16,76
2005-04-17,75
2005-04-18,75
2005-04-19,74
2005-04-20,74
2005-04-21,73
2005-04-22,73
2005-04-23,72
2005-04-24,67
2005-04-25,62
2005-04-26,57
2005-04-27,52
2005-04-28,47
2005-04-29,42
2005-04-30,37
2005-05-01,37
2005-05-02,38
2005-05-03,39
2005-05-04,40
2005-05-05,41
2005-05-06,42
2005-05-07,43
2005-05-08,48
2005-05-09,53
2005-05-10,58
2005-05-11,64
2005-05-12,69
2005-05-13,74
2005-05-14,79
2005-05-15,75
2005-05-16,71
2005-05-17,67
2005-05-18,63
2005-05-19,59
2005-05-20,55
2005-05-21,51
2005-05-22,49
2005-05-23,48
2005-05-24,46
2005-05-25,45
2005-05-26,43
2005-05-27,42
2005-05-28,41
2005-05-29,45
2005-06-05,65
2005-06-06,60
2005-06-07,55
2005-06-08,50
2005-06-09,45
2005-06-10,40
2005-06-11,36
2005-06-12,40
2005-06-13,44
2005-06-14,48
2005-06-15,53
2005-06-16,57
2005-06-17,61
2005-06-18,66
2005-06-19,68
2005-06-20,70
2005-06-21,72
2005-06-22,75
2005-06-23,77
2005-06-24,79
2005-06-25,82
2005-06-26,79
2005-06-27,77
2005-06-28,75
2005-06-29,72
2005-06-30,70
2005-07-01,67
2005-07-02,65
2005-07-03,64
2005-07-04,62
2005-07-05,61
2005-07-06,60
2005-07-07,59
2005-07-08,58
2005-07-09,57
2005-07-10,57
2005-07-11,57
2005-07-12,57
2005-07-13,57
2005-07-14,57
2005-07-15,57
2005-07-16,57
2005-07-17,56
2005-07-18,55
2005-07-19,54
2005-07-20,54
2005-07-21,53
2005-07-22,52
2005-07-23,52
2005-07-24,55
2005-07-25,58
2005-07-26,62
2005-07-27,65
2005-07-28,68
2005-07-29,71
2005-07-30,75
2005-07-31,69
2005-08-01,63
2005-08-02,58
2005-08-03,52
2005-08-04,47
2005-08-05,42
2005-08-06,37
2005-08-07,40
2005-08-08,44
2005-08-09,47
2005-08-10,51
2005-08-11,55
2005-08-12,58
2005-08-13,62
2005-08-14,61
2005-08-15,61
2005-08-16,60
2005-08-17,60
2005-08-18,59
2005-08-19,59
2005-08-20,58
2005-08-21,56
2005-08-22,54
2005-08-23,52
2005-08-24,50
2005-08-25,48
2005-08-26,46
2005-08-27,44
2005-08-28,44
2005-09-04,44
2005-09-05,44
2005-09-06,44
2005-09-07,44
2005-09-08,44
2005-09-09,44
2005-09-10,44
2005-09-11,46
2005-09-12,49
2005-09-13,52
2005-09-14,55
2005-09-15,58
2005-09-16,61
2005-09-17,64
2005-09-18,63
2005-09-19,62
2005-09-20,61
2005-09-21,60
2005-09-22,59
2005-09-23,58
2005-09-24,58
2005-09-25,60
2005-09-26,62
2005-09-27,64
2005-09-28,66
2005-09-29,68
2005-09-30,70
2005-10-01,72
2005-10-02,72
2005-10-03,72
2005-10-04,72
2005-10-05,72
2005-10-06,72
2005-10-07,72
2005-10-08,73
2005-10-09,72
2005-10-10,72
2005-10-11,71
2005-10-12,71
2005-10-13,70
2005-10-14,70
2005-10-15,69
2005-10-16,65
2005-10-17,61
2005-10-18,56
2005-10-19,52
2005-10-20,48
2005-10-21,43
2005-10-22,39
2005-10-23,41
2005-10-24,42
2005-10-25,44
2005-10-26,46
2005-10-27,48
2005-10-28,50
2005-10-29,52
2005-10-30,52
2005-10-31,52
2005-11-01,53
2005-11-02,53
2005-11-03,54
2005-11-04,54
2005-11-05,55
2005-11-06,55
2005-11-07,56
2005-11-08,56
2005-11-09,57
2005-11-10,57
2005-11-11,58
2005-11-12,59
2005-11-13,61
2005-11-14,63
2005-11-15,66
2005-11-16,68
2005-11-17,71
2005-11-18,73
2005-11-19,76
2005-11-20,75
2005-11-21,74
2005-11-22,74
2005-11-23,73
2005-11-24,73
2005-11-25,72
2005-11-26,72
2005-11-27,70
2005-12-04,63
2005-12-05,68
2005-12-06,73
2005-12-07,77
2005-12-08,82
2005-12-09,87
2005-12-10,91
2005-12-11,88
2005-12-12,83
2005-12-13,79
2005-12-14,76
2005-12-15,72
2005-12-16,69
2005-12-17,66
2005-12-18,66
2005-12-19,67
2005-12-20,67
2005-12-21,68
2005-12-22,68
2005-12-23,69
2005-12-24,70
2005-12-25,66
2005-12-26,63
2005-12-27,60
2005-12-28,57
2005-12-29,53
2005-12-30,50
2005-12-31,47
2006-01-01,47
2006-01-02,48
2006-01-03,48
2006-01-04,49
2006-01-05,49
2006-01-06,50
2006-01-07,51
2006-01-08,53
2006-01-09,56
2006-01-10,59
2006-01-11,62
2006-01-12,65
2006-01-13,68
2006-01-14,71
2006-01-15,69
2006-01-16,68
2006-01-17,67
2006-01-18,66
2006-01-19,65
2006-01-20,64
2006-01-21,63
2006-01-22,63
2006-01-23,63
2006-01-24,63
2006-01-25,64
2006-01-26,64
2006-01-27,64
2006-01-28,65
2006-01-29,65
2006-01-30,66
2006-01-31,67
2006-02-01,68
2006-02-02,69
2006-02-03,69
2006-02-04,70
2006-02-05,71
2006-02-06,71
2006-02-07,72
2006-02-08,72
2006-02-09,73
2006-02-10,74
2006-02-11,74
2006-02-12,69
2006-02-13,63
2006-02-14,58
