Date,Ritz Interactive
2005-11-12,30
2005-11-13,32
2005-11-14,30
2005-11-15,31
2005-11-16,31
2005-11-17,32
2005-11-18,34
2005-11-19,33
2005-11-20,35
2005-11-21,38
2005-11-22,41
2005-11-23,45
2005-11-24,47
2005-11-25,49
2005-11-26,52
2005-11-27,53
2005-11-28,52
2005-11-29,55
2005-11-30,54
2005-12-01,52
2005-12-02,52
2005-12-03,53
2005-12-04,54
2005-12-05,57
2005-12-06,57
2005-12-07,58
2005-12-08,59
2005-12-09,60
2005-12-10,62
2005-12-11,65
2005-12-12,67
2005-12-13,68
2005-12-14,72
2005-12-15,74
2005-12-16,75
2005-12-17,78
2005-12-18,81
2005-12-19,79
2005-12-20,80
2005-12-21,82
2005-12-22,82
2005-12-23,82
2005-12-24,88
2005-12-25,81
2005-12-26,75
2005-12-27,75
2005-12-28,71
2005-12-29,65
2005-12-30,61
2005-12-31,58
2006-01-01,59
2006-01-02,53
2006-01-03,51
2006-01-04,51
2006-01-05,47
2006-01-06,45
2006-01-07,43
2006-01-08,45
2006-01-09,39
2006-01-10,38
2006-01-11,37
2006-01-12,35
2006-01-13,33
2006-01-14,32
2006-01-15,33
2006-01-16,31
2006-01-17,31
2006-01-18,30
2006-01-19,29
2006-01-20,29
2006-01-21,29
2006-01-22,28
2006-01-23,28
2006-01-24,29
2006-01-25,28
2006-01-26,28
2006-01-27,29
2006-01-28,28
2006-01-29,28
2006-01-30,30
2006-01-31,29
2006-02-01,30
2006-02-02,30
2006-02-03,31
2006-02-04,32
2006-02-05,31
2006-02-06,33
2006-02-07,30
2006-02-08,29
2006-02-09,31
2006-02-10,28
2006-02-11,28
2006-02-12,28
2006-02-13,29
2006-02-14,28
2006-02-15,31
2006-02-16,28
2006-02-17,30
2006-02-18,29
2006-02-19,29
2006-02-20,30
2006-02-21,29
2006-02-22,29
2006-02-23,30
2006-02-24,30
2006-02-25,30
2006-02-26,30
2006-02-27,28
2006-02-28,30
2006-03-01,27
2006-03-02,27
2006-03-03,27
2006-03-04,26
2006-03-05,27
2006-03-06,26
2006-03-07,26
2006-03-08,27
2006-03-09,26
2006-03-10,27
2006-03-11,27
2006-03-12,27
2006-03-13,28
2006-03-14,28
2006-03-15,28
2006-03-16,31
2006-03-17,29
2006-03-18,30
2006-03-19,30
2006-03-20,29
2006-03-21,30
2006-03-22,29
2006-03-23,29
2006-03-24,31
2006-03-25,29
2006-03-26,28
2006-03-27,29
2006-03-28,28
2006-03-29,28
2006-03-30,27
2006-03-31,27
2006-05-01,32
2006-05-02,32
2006-05-03,33
2006-05-04,32
2006-05-05,32
2006-05-06,32
2006-05-07,32
2006-05-08,33
2006-05-09,33
2006-05-10,33
2006-05-11,34
2006-05-12,33
2006-05-13,34
2006-05-14,33
2006-05-15,34
2006-05-16,32
2006-05-17,33
2006-05-18,31
2006-05-19,30
2006-05-20,30
2006-05-21,30
2006-05-22,33
2006-05-23,30
2006-05-24,30
2006-05-25,30
2006-05-26,31
2006-05-27,31
2006-05-28,31
2006-05-29,31
2006-05-30,33
2006-05-31,31
2006-06-01,33
2006-06-02,31
2006-06-03,32
2006-06-04,33
2006-06-05,34
2006-06-06,36
2006-06-07,36
2006-06-08,37
2006-06-09,39
2006-06-10,40
2006-06-11,39
2006-06-12,42
2006-06-13,39
2006-06-14,40
2006-06-15,39
2006-06-16,39
2006-06-17,39
2006-06-18,40
