Date,Aerie
2013-03-09,42
2013-03-10,41
2013-03-11,43
2013-03-12,40
2013-03-13,40
2013-03-14,39
2013-03-15,39
2013-03-16,38
2013-03-17,37
2013-03-18,38
2013-03-19,36
2013-03-20,37
2013-03-21,36
2013-03-22,35
2013-03-23,35
2013-03-24,36
2013-03-25,37
2013-03-26,39
2013-03-27,39
2013-03-28,40
2013-03-29,41
2013-03-30,42
2013-03-31,41
2013-04-01,41
2013-04-02,40
2013-04-03,39
2013-04-04,40
2013-04-05,38
2013-04-06,38
2013-04-07,37
2013-04-08,38
2013-04-09,35
2013-04-10,35
2013-04-11,33
2013-04-12,32
2013-04-13,32
2013-04-14,32
2013-04-15,34
2013-04-16,32
2013-04-17,34
2013-04-18,33
2013-04-19,33
2013-04-20,34
2013-04-21,34
2013-04-22,35
2013-04-23,33
2013-04-24,33
2013-04-25,32
2013-04-26,32
2013-04-27,32
2013-04-28,33
2013-04-29,32
2013-04-30,33
2013-05-01,33
2013-05-02,33
2013-05-03,34
2013-05-04,34
2013-05-05,33
2013-05-06,34
2013-05-07,32
2013-05-08,33
2013-05-09,31
2013-05-10,31
2013-05-11,31
2013-05-12,31
2013-05-13,33
2013-05-14,32
2013-05-15,32
2013-05-16,33
2013-05-17,32
2013-05-18,33
2013-05-19,33
2013-05-20,34
2013-05-21,34
2013-05-22,34
2013-05-23,34
2013-05-24,34
2013-05-25,35
2013-05-26,35
2013-05-27,34
2013-05-28,35
2013-05-29,34
2013-05-30,34
2013-05-31,34
2013-06-01,34
2013-06-02,33
2013-06-03,36
2013-06-04,32
2013-06-05,32
2013-06-06,32
2013-06-07,31
2013-06-08,31
2013-06-09,31
2013-06-10,33
2013-06-11,31
2013-06-12,32
2013-06-13,32
2013-06-14,32
2013-06-15,33
2013-06-16,33
2013-06-17,32
2013-06-18,33
2013-06-19,32
2013-06-20,32
2013-06-21,32
2013-06-22,32
2013-06-23,32
2013-06-24,33
2013-06-25,35
2013-06-26,33
2013-06-27,34
2013-06-28,33
2013-06-29,34
2013-06-30,35
2013-07-01,34
2013-07-02,34
2013-07-03,34
2013-07-04,35
2013-07-05,34
2013-07-06,35
2013-07-07,34
2013-07-08,35
2013-07-09,33
2013-07-10,33
2013-07-11,33
2013-07-12,32
2013-07-13,32
2013-07-14,31
2013-07-15,32
2013-07-16,31
2013-07-17,31
2013-07-18,31
2013-07-19,31
2013-07-20,31
2013-07-21,31
2013-07-22,33
2013-07-23,32
2013-07-24,34
2013-07-25,33
2013-07-26,33
2013-07-27,34
2013-07-28,34
2013-07-29,35
2013-07-30,35
2013-07-31,35
2013-08-01,35
2013-08-02,36
2013-08-03,36
2013-08-04,36
2013-08-05,38
2013-08-06,37
2013-08-07,37
2013-08-08,38
2013-08-09,38
2013-08-10,39
2013-08-11,39
2013-08-12,40
2013-08-13,41
2013-08-14,40
2013-08-15,40
2013-08-16,41
2013-08-17,41
2013-08-18,40
2013-08-19,41
2013-08-20,40
2013-08-21,39
2013-08-22,39
2013-08-23,38
2013-08-24,38
2013-08-25,38
2013-08-26,37
2013-08-27,37
2013-08-28,37
2013-08-29,37
2013-08-30,38
2013-08-31,37
2013-09-01,36
2013-09-02,35
2013-09-03,36
2013-09-04,35
2013-09-05,35
2013-09-06,32
2013-09-07,32
2013-09-08,31
2013-09-09,33
2013-09-10,29
2013-09-11,29
2013-09-12,28
2013-09-13,27
2013-09-14,27
2013-09-15,27
2013-09-16,27
2013-09-17,27
2013-09-18,27
2013-09-19,27
2013-09-20,27
2013-09-21,27
2013-09-22,26
2013-09-23,28
2013-09-24,27
2013-09-25,26
2013-09-26,26
2013-09-27,26
2013-09-28,26
2013-09-29,26
2013-09-30,29
2013-10-01,28
2013-10-02,29
2013-10-03,29
2013-10-04,31
2013-10-05,31
2013-10-06,30
2013-10-07,31
2013-10-08,30
2013-10-09,29
2013-10-10,29
2013-10-11,28
2013-10-12,28
2013-10-13,29
2013-10-14,29
2013-10-15,29
2013-10-16,30
2013-10-17,30
2013-10-18,31
2013-10-19,32
2013-10-20,32
2013-10-21,32
2013-10-22,30
2013-10-23,31
2013-10-24,29
2013-10-25,29
2013-10-26,30
2013-10-27,29
2013-10-28,31
2013-10-29,29
2013-10-30,29
2013-10-31,29
2013-11-01,29
2013-11-02,29
2013-11-03,29
2013-11-04,29
2013-11-05,30
2013-11-06,29
2013-11-07,30
2013-11-08,29
2013-11-09,30
2013-11-10,30
2013-11-11,32
2013-11-12,33
2013-11-13,34
2013-11-14,34
2013-11-15,35
2013-11-16,36
2013-11-17,35
2013-11-18,36
2013-11-19,35
2013-11-20,35
2013-11-21,35
2013-11-22,34
2013-11-23,34
2013-11-24,37
2013-11-25,41
2013-11-26,45
2013-11-27,48
2013-11-28,52
2013-11-29,56
2013-11-30,64
2013-12-01,59
2013-12-02,58
2013-12-03,61
2013-12-04,61
2013-12-05,58
2013-12-06,55
2013-12-07,55
2013-12-08,52
2013-12-09,52
2013-12-10,48
2013-12-11,46
2013-12-12,44
2013-12-13,41
2013-12-14,39
2013-12-15,39
2013-12-16,40
2013-12-17,40
2013-12-18,40
2013-12-19,39
2013-12-20,39
2013-12-21,39
2013-12-22,40
2013-12-23,43
2013-12-24,43
2013-12-25,44
2013-12-26,46
2013-12-27,48
2013-12-28,51
2013-12-29,48
2013-12-30,49
2013-12-31,47
2014-01-01,48
2014-01-02,46
2014-01-03,45
2014-01-04,45
2014-01-05,43
2014-01-06,43
2014-01-07,41
2014-01-08,40
2014-01-09,38
2014-01-10,37
2014-01-11,36
2014-01-12,37
2014-01-13,42
2014-01-14,41
2014-01-15,42
2014-01-16,45
2014-01-17,46
2014-01-18,48
2014-01-19,55
