Date,Cancer Genetics
2012-10-01,67
2012-10-02,62
2012-10-03,58
2012-10-04,53
2012-10-05,48
2012-10-06,44
2012-10-07,45
2012-10-08,47
2012-10-09,48
2012-10-10,50
2012-10-11,51
2012-10-12,53
2012-10-13,55
2012-10-14,55
2012-10-15,57
2012-10-16,57
2012-10-17,57
2012-10-18,58
2012-10-19,59
2012-10-20,62
2012-10-21,59
2012-10-22,58
2012-10-23,57
2012-10-24,57
2012-10-25,56
2012-10-26,55
2012-10-27,55
2012-10-28,52
2012-10-29,49
2012-10-30,47
2012-10-31,44
2012-11-01,42
2012-11-02,39
2012-11-03,37
2012-11-04,38
2012-11-05,40
2012-11-06,41
2012-11-07,42
2012-11-08,43
2012-11-09,44
2012-11-10,46
2012-11-11,46
2012-11-12,46
2012-11-13,46
2012-11-14,47
2012-11-15,47
2012-11-16,47
2012-11-17,48
2012-11-18,45
2012-11-19,43
2012-11-20,42
2012-11-21,38
2012-11-22,36
2012-11-23,34
2012-11-24,32
2012-11-25,37
2012-11-26,43
2012-11-27,48
2012-11-28,54
2012-11-29,62
2012-11-30,68
2012-12-01,71
2012-12-02,68
2012-12-03,65
2012-12-04,63
2012-12-05,59
2012-12-06,56
2012-12-07,53
2012-12-08,50
2012-12-09,50
2012-12-10,51
2012-12-11,57
2012-12-12,52
2012-12-13,52
2012-12-14,53
2012-12-15,54
2012-12-16,51
2012-12-17,49
2012-12-18,47
2012-12-19,45
2012-12-20,43
2012-12-21,41
2012-12-22,39
2012-12-23,37
2012-12-24,35
2012-12-25,34
2012-12-26,32
2012-12-27,31
2012-12-28,29
2012-12-29,28
2012-12-30,28
2012-12-31,28
2013-01-01,28
2013-01-02,28
2013-01-03,28
2013-01-04,28
2013-01-05,28
2013-01-06,30
2013-01-07,32
2013-01-08,36
2013-01-09,37
2013-01-10,40
2013-01-11,42
2013-01-12,45
2013-01-13,46
2013-01-14,48
2013-01-15,49
2013-01-16,50
2013-01-17,54
2013-01-18,53
2013-01-19,55
2013-01-20,54
2013-01-21,54
2013-01-22,54
2013-01-23,56
2013-01-24,53
2013-01-25,53
2013-01-26,53
2013-01-27,52
2013-01-28,52
2013-01-29,54
2013-01-30,51
2013-01-31,50
2013-02-01,50
2013-02-02,50
2013-02-03,49
2013-02-04,52
2013-02-05,49
2013-02-06,49
2013-02-07,50
2013-02-08,49
2013-02-09,49
2013-02-10,51
2013-02-11,54
2013-02-12,57
2013-02-13,65
2013-02-14,62
2013-02-15,65
2013-02-16,71
2013-02-17,65
2013-02-18,63
2013-02-19,61
2013-02-20,59
2013-02-21,57
2013-02-22,55
2013-02-23,53
2013-02-24,54
2013-02-25,55
2013-02-26,56
2013-02-27,57
2013-02-28,58
2013-03-01,61
2013-03-02,61
2013-03-03,59
2013-03-04,57
2013-03-05,55
2013-03-06,54
2013-03-07,54
2013-03-08,50
2013-03-09,49
2013-03-10,48
2013-03-11,47
2013-03-12,46
2013-03-13,46
2013-03-14,45
2013-03-15,44
2013-03-16,45
2013-03-17,44
2013-03-18,44
2013-03-19,44
2013-03-20,46
2013-03-21,44
2013-03-22,44
2013-03-23,44
2013-03-24,47
2013-03-25,50
2013-03-26,53
2013-03-27,56
2013-03-28,61
2013-03-29,62
2013-03-30,66
2013-03-31,65
2013-04-01,64
2013-04-02,65
2013-04-03,63
2013-04-04,63
2013-04-05,62
2013-04-06,67
2013-04-07,61
2013-04-08,60
2013-04-09,62
2013-04-10,59
2013-04-11,63
2013-04-12,58
2013-04-13,58
2013-04-14,57
2013-04-15,57
2013-04-16,56
2013-04-17,57
2013-04-18,55
2013-04-19,56
2013-04-20,55
2013-04-21,54
2013-04-22,54
2013-04-23,53
2013-04-24,55
2013-04-25,52
2013-04-26,52
2013-04-27,52
2013-04-28,52
2013-04-29,52
2013-04-30,53
2013-05-01,53
2013-05-02,54
2013-05-03,57
2013-05-04,58
2013-05-05,53
2013-05-06,51
2013-05-07,49
2013-05-08,47
2013-05-09,45
2013-05-10,45
2013-05-11,41
2013-05-12,49
2013-05-13,57
2013-05-14,66
2013-05-15,74
2013-05-16,87
2013-05-17,99
2013-05-18,100
2013-05-19,92
2013-05-20,84
2013-05-21,76
2013-05-22,68
2013-05-23,60
2013-05-24,52
2013-05-25,44
2013-05-26,45
2013-05-27,46
2013-05-28,47
2013-05-29,49
2013-05-30,49
2013-05-31,50
2013-06-01,52
2013-06-02,50
2013-06-03,51
2013-06-04,49
2013-06-05,49
2013-06-06,48
2013-06-07,49
2013-06-08,48
2013-06-09,47
2013-06-10,47
2013-06-11,48
2013-06-12,47
2013-06-13,47
2013-06-14,49
2013-06-15,48
2013-06-16,45
2013-06-17,44
2013-06-18,42
2013-06-19,41
2013-06-20,39
2013-06-21,38
2013-06-22,37
2013-06-23,38
2013-06-24,40
2013-06-25,40
2013-06-26,42
2013-06-27,43
2013-06-28,44
2013-06-29,46
2013-06-30,43
2013-07-01,41
2013-07-02,39
2013-07-03,36
2013-07-04,34
2013-07-05,32
2013-07-06,30
2013-07-07,32
2013-07-08,34
2013-07-09,37
2013-07-10,41
2013-07-11,42
2013-07-12,44
2013-07-13,47
2013-07-14,46
2013-07-15,45
2013-07-16,44
2013-07-17,43
2013-07-18,42
2013-07-19,41
2013-07-20,41
2013-07-21,43
2013-07-22,45
2013-07-23,47
2013-07-24,49
2013-07-25,53
2013-07-26,53
2013-07-27,59
2013-07-28,54
2013-07-29,52
2013-07-30,50
