Date,TetraLogic
2013-04-01,0
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,0
2013-04-17,0
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,0
2013-05-01,0
2013-05-02,0
2013-05-03,0
2013-05-04,0
2013-05-05,0
2013-05-06,0
2013-05-07,0
2013-05-08,0
2013-05-09,0
2013-05-10,0
2013-05-11,0
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,0
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,0
2013-05-20,0
2013-05-21,0
2013-05-22,0
2013-05-23,0
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,0
2013-05-29,0
2013-05-30,0
2013-05-31,0
2013-06-01,0
2013-06-02,1
2013-06-03,2
2013-06-04,4
2013-06-05,5
2013-06-06,7
2013-06-07,8
2013-06-08,10
2013-06-09,11
2013-06-10,13
2013-06-11,14
2013-06-12,16
2013-06-13,17
2013-06-14,19
2013-06-15,20
2013-06-16,22
2013-06-17,23
2013-06-18,24
2013-06-19,26
2013-06-20,27
2013-06-21,29
2013-06-22,30
2013-06-23,32
2013-06-24,33
2013-06-25,35
2013-06-26,36
2013-06-27,38
2013-06-28,39
2013-06-29,41
2013-06-30,42
2013-07-01,44
2013-07-02,44
2013-07-03,44
2013-07-04,45
2013-07-05,45
2013-07-06,45
2013-07-07,46
2013-07-08,46
2013-07-09,47
2013-07-10,47
2013-07-11,47
2013-07-12,48
2013-07-13,48
2013-07-14,49
2013-07-15,49
2013-07-16,49
2013-07-17,50
2013-07-18,50
2013-07-19,50
2013-07-20,51
2013-07-21,51
2013-07-22,52
2013-07-23,52
2013-07-24,52
2013-07-25,53
2013-07-26,53
2013-07-27,54
2013-07-28,54
2013-07-29,54
2013-07-30,55
2013-07-31,55
2013-08-01,56
2013-08-02,55
2013-08-03,54
2013-08-04,54
2013-08-05,53
2013-08-06,52
2013-08-07,52
2013-08-08,51
2013-08-09,50
2013-08-10,50
2013-08-11,49
2013-08-12,48
2013-08-13,48
2013-08-14,47
2013-08-15,46
2013-08-16,46
2013-08-17,45
2013-08-18,45
2013-08-19,44
2013-08-20,43
2013-08-21,43
2013-08-22,42
2013-08-23,41
2013-08-24,41
2013-08-25,40
2013-08-26,39
2013-08-27,39
2013-08-28,38
2013-08-29,37
2013-08-30,37
2013-08-31,36
2013-09-01,36
2013-09-02,36
2013-09-03,37
2013-09-04,38
2013-09-05,39
2013-09-06,40
2013-09-07,41
2013-09-08,41
2013-09-09,42
2013-09-10,43
2013-09-11,44
2013-09-12,45
2013-09-13,46
2013-09-14,46
2013-09-15,47
2013-09-16,48
2013-09-17,49
2013-09-18,50
2013-09-19,51
2013-09-20,51
2013-09-21,52
2013-09-22,53
2013-09-23,54
2013-09-24,55
2013-09-25,56
2013-09-26,56
2013-09-27,57
2013-09-28,58
2013-09-29,59
2013-09-30,60
2013-10-01,61
2013-10-02,61
2013-10-03,62
2013-10-04,62
2013-10-05,63
2013-10-06,64
2013-10-07,64
2013-10-08,65
2013-10-09,65
2013-10-10,66
2013-10-11,67
2013-10-12,67
2013-10-13,68
2013-10-14,68
2013-10-15,69
2013-10-16,70
2013-10-17,70
2013-10-18,71
2013-10-19,72
2013-10-20,72
2013-10-21,73
2013-10-22,73
2013-10-23,74
2013-10-24,75
2013-10-25,75
2013-10-26,76
2013-10-27,76
2013-10-28,77
2013-10-29,78
2013-10-30,78
2013-10-31,79
2013-11-01,80
2013-11-02,80
2013-11-03,81
2013-11-04,82
2013-11-05,82
2013-11-06,83
2013-11-07,84
2013-11-08,84
2013-11-09,85
2013-11-10,86
2013-11-11,86
2013-11-12,87
2013-11-13,88
2013-11-14,88
2013-11-15,89
2013-11-16,90
2013-11-17,90
2013-11-18,91
2013-11-19,92
2013-11-20,92
2013-11-21,93
2013-11-22,94
2013-11-23,94
2013-11-24,95
2013-11-25,96
2013-11-26,96
2013-11-27,97
2013-11-28,98
2013-11-29,98
2013-11-30,99
2013-12-01,100
2013-12-02,98
2013-12-03,97
2013-12-04,96
2013-12-05,95
2013-12-06,94
2013-12-07,93
2013-12-08,92
2013-12-09,90
2013-12-10,89
2013-12-11,88
2013-12-12,87
2013-12-13,86
2013-12-14,85
2013-12-15,84
2013-12-16,83
2013-12-17,81
2013-12-18,80
2013-12-19,79
2013-12-20,78
2013-12-21,77
2013-12-22,76
2013-12-23,75
2013-12-24,74
2013-12-25,72
2013-12-26,71
2013-12-27,70
2013-12-28,69
2013-12-29,68
2013-12-30,67
2013-12-31,66
2014-01-01,65
2014-01-02,64
2014-01-03,64
2014-01-04,64
2014-01-05,64
2014-01-06,64
2014-01-07,64
2014-01-08,64
2014-01-09,64
2014-01-10,64
2014-01-11,64
2014-01-12,64
2014-01-13,64
2014-01-14,64
2014-01-15,64
2014-01-16,64
2014-01-17,63
2014-01-18,63
2014-01-19,63
2014-01-20,63
2014-01-21,63
2014-01-22,63
2014-01-23,63
2014-01-24,63
2014-01-25,63
2014-01-26,63
2014-01-27,63
2014-01-28,63
2014-01-29,63
2014-01-30,63
2014-01-31,63
2014-02-01,63
