Date,Innophos
2006-01-01,74
2006-01-02,74
2006-01-03,75
2006-01-04,75
2006-01-05,76
2006-01-06,76
2006-01-07,77
2006-01-08,77
2006-01-09,78
2006-01-10,78
2006-01-11,79
2006-01-12,79
2006-01-13,80
2006-01-14,80
2006-01-15,81
2006-01-16,81
2006-01-17,82
2006-01-18,82
2006-01-19,83
2006-01-20,83
2006-01-21,84
2006-01-22,84
2006-01-23,85
2006-01-24,85
2006-01-25,86
2006-01-26,86
2006-01-27,87
2006-01-28,87
2006-01-29,88
2006-01-30,88
2006-01-31,89
2006-02-01,90
2006-02-02,89
2006-02-03,88
2006-02-04,87
2006-02-05,87
2006-02-06,86
2006-02-07,85
2006-02-08,85
2006-02-09,84
2006-02-10,83
2006-02-11,82
2006-02-12,82
2006-02-13,81
2006-02-14,80
2006-02-15,80
2006-02-16,79
2006-02-17,78
2006-02-18,77
2006-02-19,77
2006-02-20,76
2006-02-21,75
2006-02-22,75
2006-02-23,74
2006-02-24,73
2006-02-25,72
2006-02-26,72
2006-02-27,71
2006-02-28,70
2006-03-01,70
2006-03-02,70
2006-03-03,70
2006-03-04,70
2006-03-05,70
2006-03-06,70
2006-03-07,70
2006-03-08,70
2006-03-09,70
2006-03-10,70
2006-03-11,70
2006-03-12,70
2006-03-13,70
2006-03-14,70
2006-03-15,70
2006-03-16,70
2006-03-17,70
2006-03-18,70
2006-03-19,70
2006-03-20,70
2006-03-21,70
2006-03-22,70
2006-03-23,70
2006-03-24,70
2006-03-25,70
2006-03-26,70
2006-03-27,70
2006-03-28,70
2006-03-29,70
2006-03-30,70
2006-03-31,70
2006-04-01,70
2006-04-02,70
2006-04-03,70
2006-04-04,70
2006-04-05,70
2006-04-06,70
2006-04-07,70
2006-04-08,70
2006-04-09,70
2006-04-10,70
2006-04-11,70
2006-04-12,70
2006-04-13,70
2006-04-14,70
2006-04-15,70
2006-04-16,70
2006-04-17,70
2006-04-18,70
2006-04-19,70
2006-04-20,70
2006-04-21,70
2006-04-22,70
2006-04-23,70
2006-04-24,70
2006-04-25,70
2006-04-26,70
2006-04-27,70
2006-04-28,70
2006-04-29,70
2006-04-30,70
2006-05-01,70
2006-05-02,69
2006-05-03,69
2006-05-04,69
2006-05-05,69
2006-05-06,69
2006-05-07,69
2006-05-08,69
2006-05-09,69
2006-05-10,69
2006-05-11,69
2006-05-12,68
2006-05-13,68
2006-05-14,68
2006-05-15,68
2006-05-16,68
2006-05-17,68
2006-05-18,68
2006-05-19,68
2006-05-20,68
2006-05-21,68
2006-05-22,67
2006-05-23,67
2006-05-24,67
2006-05-25,67
2006-05-26,67
2006-05-27,67
2006-05-28,67
2006-05-29,67
2006-05-30,67
2006-05-31,67
2006-06-01,67
2006-06-02,67
2006-06-03,67
2006-06-04,67
2006-06-05,67
2006-06-06,67
2006-06-07,67
2006-06-08,67
2006-06-09,67
2006-06-10,67
2006-06-11,67
2006-06-12,67
2006-06-13,67
2006-06-14,67
2006-06-15,67
2006-06-16,67
2006-06-17,67
2006-06-18,67
2006-06-19,67
2006-06-20,67
2006-06-21,67
2006-06-22,67
2006-06-23,67
2006-06-24,67
2006-06-25,67
2006-06-26,67
2006-06-27,67
2006-06-28,67
2006-06-29,67
2006-06-30,67
2006-07-01,67
2006-07-02,66
2006-07-03,66
2006-07-04,66
2006-07-05,66
2006-07-06,66
2006-07-07,66
2006-07-08,65
2006-07-09,65
2006-07-10,65
2006-07-11,65
2006-07-12,65
2006-07-13,65
2006-07-14,64
2006-07-15,64
2006-07-16,64
2006-07-17,64
2006-07-18,64
2006-07-19,64
2006-07-20,63
2006-07-21,63
2006-07-22,63
2006-07-23,63
2006-07-24,63
2006-07-25,63
2006-07-26,62
2006-07-27,62
2006-07-28,62
2006-07-29,62
2006-07-30,62
2006-07-31,62
2006-08-01,62
2006-08-02,62
2006-08-03,62
2006-08-04,62
2006-08-05,62
2006-08-06,62
2006-08-07,62
2006-08-08,62
2006-08-09,62
2006-08-10,62
2006-08-11,62
2006-08-12,63
2006-08-13,63
2006-08-14,63
2006-08-15,63
2006-08-16,63
2006-08-17,63
