Date,Amyris Biotechnologies
2009-10-01,50
2009-10-02,50
2009-10-03,50
2009-10-04,50
2009-10-05,51
2009-10-06,51
2009-10-07,51
2009-10-08,52
2009-10-09,52
2009-10-10,52
2009-10-11,53
2009-10-12,53
2009-10-13,53
2009-10-14,54
2009-10-15,54
2009-10-16,54
2009-10-17,55
2009-10-18,55
2009-10-19,55
2009-10-20,56
2009-10-21,56
2009-10-22,56
2009-10-23,57
2009-10-24,57
2009-10-25,57
2009-10-26,58
2009-10-27,58
2009-10-28,58
2009-10-29,59
2009-10-30,59
2009-10-31,59
2009-11-01,60
2009-11-02,60
2009-11-03,61
2009-11-04,62
2009-11-05,63
2009-11-06,63
2009-11-07,64
2009-11-08,65
2009-11-09,66
2009-11-10,66
2009-11-11,67
2009-11-12,68
2009-11-13,69
2009-11-14,69
2009-11-15,70
2009-11-16,71
2009-11-17,72
2009-11-18,73
2009-11-19,73
2009-11-20,74
2009-11-21,75
2009-11-22,76
2009-11-23,76
2009-11-24,77
2009-11-25,78
2009-11-26,79
2009-11-27,79
2009-11-28,80
2009-11-29,81
2009-11-30,82
2009-12-01,83
2009-12-02,83
2009-12-03,83
2009-12-04,83
2009-12-05,84
2009-12-06,84
2009-12-07,84
2009-12-08,85
2009-12-09,85
2009-12-10,85
2009-12-11,85
2009-12-12,86
2009-12-13,86
2009-12-14,86
2009-12-15,87
2009-12-16,87
2009-12-17,87
2009-12-18,87
2009-12-19,88
2009-12-20,88
2009-12-21,88
2009-12-22,89
2009-12-23,89
2009-12-24,89
2009-12-25,89
2009-12-26,90
2009-12-27,90
2009-12-28,90
2009-12-29,91
2009-12-30,91
2009-12-31,91
2010-01-01,92
2010-01-02,92
2010-01-03,92
2010-01-04,92
2010-01-05,93
2010-01-06,93
2010-01-07,93
2010-01-08,93
2010-01-09,94
2010-01-10,94
2010-01-11,94
2010-01-12,94
2010-01-13,95
2010-01-14,95
2010-01-15,95
2010-01-16,95
2010-01-17,96
2010-01-18,96
2010-01-19,96
2010-01-20,96
2010-01-21,97
2010-01-22,97
2010-01-23,97
2010-01-24,97
2010-01-25,98
2010-01-26,98
2010-01-27,98
2010-01-28,98
2010-01-29,99
2010-01-30,99
2010-01-31,99
2010-02-01,100
2010-02-02,98
2010-02-03,97
2010-02-04,95
2010-02-05,94
2010-02-06,92
2010-02-07,91
2010-02-08,90
2010-02-09,88
2010-02-10,87
2010-02-11,85
2010-02-12,84
2010-02-13,82
2010-02-14,81
2010-02-15,80
2010-02-16,78
2010-02-17,77
2010-02-18,75
2010-02-19,74
2010-02-20,72
2010-02-21,71
2010-02-22,70
2010-02-23,68
2010-02-24,67
2010-02-25,65
2010-02-26,64
2010-02-27,62
2010-02-28,61
2010-03-01,60
2010-03-02,61
2010-03-03,62
2010-03-04,63
2010-03-05,64
2010-03-06,65
2010-03-07,67
2010-03-08,68
2010-03-09,69
2010-03-10,70
2010-03-11,71
2010-03-12,73
2010-03-13,74
2010-03-14,75
2010-03-15,76
2010-03-16,77
2010-03-17,79
2010-03-18,80
2010-03-19,81
2010-03-20,82
2010-03-21,83
2010-03-22,85
2010-03-23,86
2010-03-24,87
2010-03-25,88
2010-03-26,89
2010-03-27,91
2010-03-28,92
2010-03-29,93
2010-03-30,94
2010-03-31,95
2010-04-01,97
2010-04-02,95
2010-04-03,94
2010-04-04,93
2010-04-05,92
2010-04-06,91
2010-04-07,90
2010-04-08,89
2010-04-09,87
2010-04-10,86
2010-04-11,85
2010-04-12,84
2010-04-13,83
2010-04-14,82
2010-04-15,81
2010-04-16,80
2010-04-17,78
2010-04-18,77
2010-04-19,76
2010-04-20,75
2010-04-21,74
2010-04-22,73
2010-04-23,72
2010-04-24,70
2010-04-25,69
2010-04-26,68
2010-04-27,67
2010-04-28,66
2010-04-29,65
2010-04-30,64
2010-05-01,63
2010-05-02,62
2010-05-03,62
2010-05-04,62
2010-05-05,62
2010-05-06,62
2010-05-07,62
2010-05-08,62
2010-05-09,61
2010-05-10,61
2010-05-11,61
2010-05-12,61
2010-05-13,61
2010-05-14,61
2010-05-15,61
2010-05-16,61
2010-05-17,60
2010-05-18,60
2010-05-19,60
2010-05-20,60
2010-05-21,60
2010-05-22,60
2010-05-23,60
2010-05-24,60
2010-05-25,59
2010-05-26,59
2010-05-27,59
2010-05-28,59
2010-05-29,59
2010-05-30,59
2010-05-31,59
2010-06-01,59
2010-06-02,59
2010-06-03,59
2010-06-04,59
2010-06-05,59
2010-06-06,59
2010-06-07,59
2010-06-08,59
2010-06-09,60
2010-06-10,60
2010-06-11,60
2010-06-12,60
2010-06-13,60
2010-06-14,60
2010-06-15,60
2010-06-16,61
2010-06-17,61
2010-06-18,61
2010-06-19,61
2010-06-20,61
2010-06-21,61
2010-06-22,61
2010-06-23,61
2010-06-24,62
2010-06-25,62
2010-06-26,62
2010-06-27,62
2010-06-28,62
2010-06-29,62
2010-06-30,62
2010-07-01,63
2010-07-02,62
2010-07-03,62
2010-07-04,62
2010-07-05,62
2010-07-06,62
2010-07-07,62
2010-07-08,61
2010-07-09,61
2010-07-10,61
2010-07-11,61
2010-07-12,61
2010-07-13,61
2010-07-14,60
2010-07-15,60
2010-07-16,60
2010-07-17,60
2010-07-18,60
2010-07-19,60
2010-07-20,59
2010-07-21,59
2010-07-22,59
2010-07-23,59
2010-07-24,59
2010-07-25,59
2010-07-26,58
2010-07-27,58
2010-07-28,58
2010-07-29,58
2010-07-30,58
2010-07-31,58
2010-08-01,58
2010-08-02,59
2010-08-03,60
2010-08-04,61
2010-08-05,62
2010-08-06,64
2010-08-07,65
2010-08-08,66
2010-08-09,67
2010-08-10,69
2010-08-11,70
2010-08-12,71
2010-08-13,72
2010-08-14,73
2010-08-15,75
2010-08-16,76
2010-08-17,77
2010-08-18,78
2010-08-19,80
2010-08-20,81
2010-08-21,82
2010-08-22,83
2010-08-23,84
2010-08-24,86
2010-08-25,87
2010-08-26,88
2010-08-27,89
2010-08-28,91
2010-08-29,92
2010-08-30,93
2010-08-31,94
2010-09-01,96
2010-09-02,94
2010-09-03,93
2010-09-04,92
2010-09-05,91
2010-09-06,89
2010-09-07,88
2010-09-08,87
2010-09-09,86
2010-09-10,84
2010-09-11,83
2010-09-12,82
2010-09-13,81
2010-09-14,79
2010-09-15,78
2010-09-16,77
2010-09-17,76
2010-09-18,75
2010-09-19,73
2010-09-20,72
2010-09-21,71
2010-09-22,70
2010-09-23,68
2010-09-24,67
2010-09-25,66
2010-09-26,65
2010-09-27,63
2010-09-28,62
2010-09-29,61
2010-09-30,60
2010-10-01,59
2010-10-02,58
2010-10-03,58
2010-10-04,58
2010-10-05,58
2010-10-06,58
2010-10-07,58
2010-10-08,58
2010-10-09,57
2010-10-10,57
2010-10-11,57
2010-10-12,57
2010-10-13,57
2010-10-14,57
2010-10-15,57
2010-10-16,57
2010-10-17,56
2010-10-18,56
2010-10-19,56
2010-10-20,56
2010-10-21,56
2010-10-22,56
2010-10-23,56
2010-10-24,56
2010-10-25,55
2010-10-26,55
2010-10-27,55
2010-10-28,55
2010-10-29,55
2010-10-30,55
2010-10-31,55
2010-11-01,55
2010-11-02,54
2010-11-03,54
2010-11-04,54
2010-11-05,53
2010-11-06,53
2010-11-07,53
2010-11-08,52
2010-11-09,52
2010-11-10,52
2010-11-11,51
2010-11-12,51
2010-11-13,51
2010-11-14,50
2010-11-15,50
2010-11-16,50
2010-11-17,49
2010-11-18,49
2010-11-19,49
2010-11-20,48
2010-11-21,48
2010-11-22,48
2010-11-23,47
2010-11-24,47
2010-11-25,47
2010-11-26,46
2010-11-27,46
2010-11-28,46
2010-11-29,45
2010-11-30,45
2010-12-01,45
2010-12-02,45
2010-12-03,45
2010-12-04,45
2010-12-05,45
2010-12-06,45
2010-12-07,45
2010-12-08,45
2010-12-09,45
2010-12-10,45
2010-12-11,45
2010-12-12,45
2010-12-13,45
2010-12-14,45
2010-12-15,45
2010-12-16,45
2010-12-17,45
2010-12-18,45
2010-12-19,45
2010-12-20,45
2010-12-21,45
2010-12-22,45
2010-12-23,45
2010-12-24,45
2010-12-25,45
2010-12-26,45
2010-12-27,45
2010-12-28,45
2010-12-29,45
2010-12-30,45
2010-12-31,45
2011-01-01,45
2011-01-02,44
2011-01-03,44
2011-01-04,44
2011-01-05,43
2011-01-06,43
2011-01-07,43
2011-01-08,42
2011-01-09,42
2011-01-10,42
2011-01-11,42
2011-01-12,41
2011-01-13,41
2011-01-14,41
2011-01-15,40
2011-01-16,40
2011-01-17,40
2011-01-18,40
2011-01-19,39
2011-01-20,39
2011-01-21,39
2011-01-22,38
2011-01-23,38
2011-01-24,38
2011-01-25,38
2011-01-26,37
2011-01-27,37
2011-01-28,37
2011-01-29,36
2011-01-30,36
2011-01-31,36
2011-02-01,36
2011-02-02,36
2011-02-03,36
2011-02-04,36
2011-02-05,36
2011-02-06,36
2011-02-07,36
2011-02-08,36
2011-02-09,36
2011-02-10,36
2011-02-11,36
2011-02-12,36
2011-02-13,36
2011-02-14,36
2011-02-15,36
2011-02-16,36
2011-02-17,36
2011-02-18,36
2011-02-19,36
2011-02-20,36
2011-02-21,36
2011-02-22,36
2011-02-23,36
2011-02-24,36
2011-02-25,36
2011-02-26,36
2011-02-27,36
2011-02-28,36
2011-03-01,36
2011-03-02,35
2011-03-03,35
2011-03-04,35
2011-03-05,35
2011-03-06,35
2011-03-07,35
2011-03-08,35
2011-03-09,35
2011-03-10,35
2011-03-11,35
2011-03-12,34
2011-03-13,34
2011-03-14,34
2011-03-15,34
2011-03-16,34
2011-03-17,34
2011-03-18,34
2011-03-19,34
2011-03-20,34
2011-03-21,34
2011-03-22,33
2011-03-23,33
2011-03-24,33
2011-03-25,33
2011-03-26,33
2011-03-27,33
2011-03-28,33
2011-03-29,33
2011-03-30,33
2011-03-31,33
2011-04-01,33
2011-04-02,33
2011-04-03,33
2011-04-04,34
2011-04-05,34
2011-04-06,35
2011-04-07,35
2011-04-08,35
2011-04-09,36
2011-04-10,36
2011-04-11,37
2011-04-12,37
2011-04-13,37
2011-04-14,38
2011-04-15,38
2011-04-16,39
2011-04-17,39
2011-04-18,39
2011-04-19,40
2011-04-20,40
2011-04-21,41
2011-04-22,41
2011-04-23,41
2011-04-24,42
2011-04-25,42
2011-04-26,43
2011-04-27,43
2011-04-28,43
2011-04-29,44
2011-04-30,44
2011-05-01,45
2011-05-02,43
2011-05-03,42
2011-05-04,40
2011-05-05,39
2011-05-06,37
2011-05-07,36
2011-05-08,34
2011-05-09,33
2011-05-10,31
2011-05-11,30
2011-05-12,29
2011-05-13,27
2011-05-14,26
2011-05-15,24
2011-05-16,23
2011-05-17,21
2011-05-18,20
2011-05-19,18
2011-05-20,17
2011-05-21,15
2011-05-22,14
2011-05-23,13
2011-05-24,11
2011-05-25,10
2011-05-26,8
2011-05-27,7
2011-05-28,5
2011-05-29,4
2011-05-30,2
2011-05-31,1
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
