Date,Millennial Media
2011-07-03,10
2011-07-04,10
2011-07-05,10
2011-07-06,10
2011-07-07,10
2011-07-08,10
2011-07-09,10
2011-07-10,10
2011-07-11,11
2011-07-12,12
2011-07-13,12
2011-07-14,13
2011-07-15,14
2011-07-16,15
2011-07-17,15
2011-07-18,16
2011-07-19,17
2011-07-20,18
2011-07-21,19
2011-07-22,20
2011-07-23,21
2011-07-24,20
2011-07-25,18
2011-07-26,17
2011-07-27,15
2011-07-28,14
2011-07-29,13
2011-07-30,12
2011-07-31,12
2011-08-01,12
2011-08-02,13
2011-08-03,13
2011-08-04,14
2011-08-05,14
2011-08-06,15
2011-08-07,14
2011-08-08,14
2011-08-09,14
2011-08-10,14
2011-08-11,14
2011-08-12,14
2011-08-13,14
2011-08-14,13
2011-08-15,13
2011-08-16,13
2011-08-17,13
2011-08-18,13
2011-08-19,13
2011-08-20,13
2011-08-21,13
2011-08-22,14
2011-08-23,14
2011-08-24,15
2011-08-25,16
2011-08-26,16
2011-08-27,17
2011-08-28,16
2011-08-29,15
2011-08-30,14
2011-08-31,14
2011-09-01,13
2011-09-02,12
2011-09-03,12
2011-09-04,12
2011-09-05,12
2011-09-06,13
2011-09-07,13
2011-09-08,14
2011-09-09,14
2011-09-10,15
2011-09-11,14
2011-09-12,13
2011-09-13,13
2011-09-14,12
2011-09-15,12
2011-09-16,11
2011-09-17,11
2011-09-18,12
2011-09-19,13
2011-09-20,14
2011-09-21,15
2011-09-22,16
2011-09-23,17
2011-09-24,18
2011-09-25,18
2011-10-02,15
2011-10-03,14
2011-10-04,13
2011-10-05,12
2011-10-06,11
2011-10-07,10
2011-10-08,9
2011-10-09,9
2011-10-10,10
2011-10-11,11
2011-10-12,12
2011-10-13,13
2011-10-14,14
2011-10-15,15
2011-10-16,14
2011-10-17,14
2011-10-18,13
2011-10-19,13
2011-10-20,12
2011-10-21,12
2011-10-22,12
2011-10-23,12
2011-10-24,13
2011-10-25,13
2011-10-26,14
2011-10-27,14
2011-10-28,15
2011-10-29,16
2011-10-30,15
2011-10-31,15
2011-11-01,15
2011-11-02,14
2011-11-03,14
2011-11-04,14
2011-11-05,14
2011-11-06,14
2011-11-07,14
2011-11-08,14
2011-11-09,15
2011-11-10,15
2011-11-11,15
2011-11-12,16
2011-11-13,16
2011-11-14,16
2011-11-15,16
2011-11-16,16
2011-11-17,16
2011-11-18,16
2011-11-19,16
2011-11-20,15
2011-11-21,14
2011-11-22,13
2011-11-23,12
2011-11-24,11
2011-11-25,10
2011-11-26,10
2011-11-27,10
2011-11-28,11
2011-11-29,11
2011-11-30,12
2011-12-01,12
2011-12-02,13
2011-12-03,14
2011-12-04,13
2011-12-05,13
2011-12-06,13
2011-12-07,12
2011-12-08,12
2011-12-09,12
2011-12-10,12
2011-12-11,13
2011-12-12,14
2011-12-13,15
2011-12-14,16
2011-12-15,17
2011-12-16,18
2011-12-17,19
2011-12-18,18
2011-12-19,17
2011-12-20,16
2011-12-21,15
2011-12-22,14
2011-12-23,13
2011-12-24,13
2011-12-25,12
2012-01-01,10
2012-01-02,12
2012-01-03,14
2012-01-04,16
2012-01-05,18
2012-01-06,20
2012-01-07,22
2012-01-08,22
2012-01-09,22
2012-01-10,22
2012-01-11,22
2012-01-12,22
2012-01-13,22
2012-01-14,22
2012-01-15,21
2012-01-16,21
2012-01-17,20
2012-01-18,20
2012-01-19,20
2012-01-20,19
2012-01-21,19
2012-01-22,18
2012-01-23,17
2012-01-24,16
2012-01-25,15
2012-01-26,14
2012-01-27,13
2012-01-28,13
2012-01-29,13
2012-01-30,13
2012-01-31,13
2012-02-01,14
2012-02-02,14
2012-02-03,14
2012-02-04,15
2012-02-05,14
2012-02-06,14
2012-02-07,14
2012-02-08,13
2012-02-09,13
2012-02-10,13
2012-02-11,13
2012-02-12,12
2012-02-13,12
2012-02-14,12
2012-02-15,11
2012-02-16,11
2012-02-17,11
2012-02-18,11
2012-02-19,11
2012-02-20,12
2012-02-21,12
2012-02-22,13
2012-02-23,13
2012-02-24,14
2012-02-25,15
2012-02-26,14
2012-02-27,14
2012-02-28,14
2012-02-29,14
2012-03-01,14
2012-03-02,14
2012-03-03,14
2012-03-04,13
2012-03-05,13
2012-03-06,13
2012-03-07,13
2012-03-08,13
2012-03-09,13
2012-03-10,13
2012-03-11,13
2012-03-12,13
2012-03-13,13
2012-03-14,13
2012-03-15,13
2012-03-16,13
2012-03-17,14
2012-03-18,15
2012-03-19,16
2012-03-20,17
2012-03-21,18
2012-03-22,19
2012-03-23,20
2012-03-24,22
2012-03-25,33
2012-04-01,90
2012-04-02,80
2012-04-03,71
2012-04-04,62
2012-04-05,51
2012-04-06,42
2012-04-07,32
2012-04-08,30
2012-04-09,28
2012-04-10,27
2012-04-11,25
2012-04-12,25
2012-04-13,22
2012-04-14,21
2012-04-15,20
2012-04-16,20
2012-04-17,21
2012-04-18,20
2012-04-19,20
2012-04-20,20
2012-04-21,20
2012-04-22,20
2012-04-23,21
2012-04-24,23
2012-04-25,23
2012-04-26,25
2012-04-27,25
2012-04-28,26
2012-04-29,25
2012-04-30,24
2012-05-01,24
2012-05-02,23
2012-05-03,25
2012-05-04,22
2012-05-05,22
2012-05-06,21
2012-05-07,21
2012-05-08,21
2012-05-09,20
2012-05-10,21
2012-05-11,20
2012-05-12,20
2012-05-13,20
2012-05-14,21
2012-05-15,22
2012-05-16,22
2012-05-17,23
2012-05-18,24
2012-05-19,25
2012-05-20,24
2012-05-21,24
2012-05-22,23
2012-05-23,23
2012-05-24,22
2012-05-25,22
2012-05-26,22
2012-05-27,21
2012-05-28,20
2012-05-29,19
2012-05-30,18
2012-05-31,17
2012-06-01,16
2012-06-02,15
2012-06-03,14
2012-06-04,16
2012-06-05,14
2012-06-06,14
2012-06-07,14
2012-06-08,14
2012-06-09,14
2012-06-10,14
2012-06-11,14
2012-06-12,15
2012-06-13,15
2012-06-14,16
2012-06-15,16
2012-06-16,17
2012-06-17,17
2012-06-18,17
2012-06-19,17
2012-06-20,17
2012-06-21,17
2012-06-22,17
2012-06-23,17
2012-06-24,16
2012-06-25,16
2012-06-26,16
2012-06-27,15
2012-06-28,15
2012-06-29,15
2012-06-30,15
2012-07-01,14
2012-07-02,14
2012-07-03,13
2012-07-04,13
2012-07-05,12
2012-07-06,12
2012-07-07,12
