Date,Tetraphase
2012-08-01,0
2012-08-02,0
2012-08-03,1
2012-08-04,2
2012-08-05,3
2012-08-06,4
2012-08-07,5
2012-08-08,5
2012-08-09,6
2012-08-10,7
2012-08-11,8
2012-08-12,9
2012-08-13,10
2012-08-14,10
2012-08-15,11
2012-08-16,12
2012-08-17,13
2012-08-18,14
2012-08-19,15
2012-08-20,15
2012-08-21,16
2012-08-22,17
2012-08-23,18
2012-08-24,19
2012-08-25,20
2012-08-26,20
2012-08-27,21
2012-08-28,22
2012-08-29,23
2012-08-30,24
2012-08-31,25
2012-09-01,26
2012-09-02,25
2012-09-03,25
2012-09-04,25
2012-09-05,25
2012-09-06,25
2012-09-07,25
2012-09-08,25
2012-09-09,25
2012-09-10,25
2012-09-11,25
2012-09-12,25
2012-09-13,25
2012-09-14,25
2012-09-15,25
2012-09-16,25
2012-09-17,24
2012-09-18,24
2012-09-19,24
2012-09-20,24
2012-09-21,24
2012-09-22,24
2012-09-23,24
2012-09-24,24
2012-09-25,24
2012-09-26,24
2012-09-27,24
2012-09-28,24
2012-09-29,24
2012-09-30,24
2012-10-01,24
2012-10-02,24
2012-10-03,24
2012-10-04,24
2012-10-05,24
2012-10-06,24
2012-10-07,24
2012-10-08,24
2012-10-09,24
2012-10-10,24
2012-10-11,24
2012-10-12,25
2012-10-13,25
2012-10-14,25
2012-10-15,25
2012-10-16,25
2012-10-17,25
2012-10-18,25
2012-10-19,25
2012-10-20,25
2012-10-21,25
2012-10-22,26
2012-10-23,26
2012-10-24,26
2012-10-25,26
2012-10-26,26
2012-10-27,26
2012-10-28,26
2012-10-29,26
2012-10-30,26
2012-10-31,26
2012-11-01,27
2012-11-02,27
2012-11-03,27
2012-11-04,27
2012-11-05,27
2012-11-06,27
2012-11-07,28
2012-11-08,28
2012-11-09,28
2012-11-10,28
2012-11-11,28
2012-11-12,28
2012-11-13,29
2012-11-14,29
2012-11-15,29
2012-11-16,29
2012-11-17,29
2012-11-18,29
2012-11-19,30
2012-11-20,30
2012-11-21,30
2012-11-22,30
2012-11-23,30
2012-11-24,30
2012-11-25,31
2012-11-26,31
2012-11-27,31
2012-11-28,31
2012-11-29,31
2012-11-30,31
2012-12-01,32
2012-12-02,32
2012-12-03,32
2012-12-04,32
2012-12-05,32
2012-12-06,32
2012-12-07,33
2012-12-08,33
2012-12-09,33
2012-12-10,33
2012-12-11,33
2012-12-12,34
2012-12-13,34
2012-12-14,34
2012-12-15,34
2012-12-16,34
2012-12-17,35
2012-12-18,35
2012-12-19,35
2012-12-20,35
2012-12-21,35
2012-12-22,36
2012-12-23,36
2012-12-24,36
2012-12-25,36
2012-12-26,36
2012-12-27,37
2012-12-28,37
2012-12-29,37
2012-12-30,37
2012-12-31,37
2013-01-01,38
2013-01-02,38
2013-01-03,38
2013-01-04,38
2013-01-05,38
2013-01-06,38
2013-01-07,38
2013-01-08,39
2013-01-09,39
2013-01-10,39
2013-01-11,39
2013-01-12,39
2013-01-13,39
2013-01-14,40
2013-01-15,40
2013-01-16,40
2013-01-17,40
2013-01-18,40
2013-01-19,40
2013-01-20,41
2013-01-21,41
2013-01-22,41
2013-01-23,41
2013-01-24,41
2013-01-25,41
2013-01-26,42
2013-01-27,42
2013-01-28,42
2013-01-29,42
2013-01-30,42
2013-01-31,42
2013-02-01,43
2013-02-02,45
2013-02-03,47
2013-02-04,49
2013-02-05,51
2013-02-06,53
2013-02-07,55
2013-02-08,57
2013-02-09,59
2013-02-10,61
2013-02-11,63
2013-02-12,65
2013-02-13,67
2013-02-14,69
2013-02-15,71
2013-02-16,73
2013-02-17,75
2013-02-18,77
2013-02-19,79
2013-02-20,81
2013-02-21,83
2013-02-22,85
2013-02-23,87
2013-02-24,89
2013-02-25,91
2013-02-26,93
2013-02-27,95
2013-02-28,97
2013-03-01,100
2013-03-02,98
2013-03-03,97
2013-03-04,96
2013-03-05,94
2013-03-06,93
2013-03-07,92
2013-03-08,91
2013-03-09,89
2013-03-10,88
2013-03-11,87
2013-03-12,86
2013-03-13,84
2013-03-14,83
2013-03-15,82
2013-03-16,81
2013-03-17,79
2013-03-18,78
2013-03-19,77
2013-03-20,76
2013-03-21,74
2013-03-22,73
2013-03-23,72
2013-03-24,71
2013-03-25,69
2013-03-26,68
2013-03-27,67
2013-03-28,66
2013-03-29,64
2013-03-30,63
2013-03-31,62
2013-04-01,61
2013-04-02,60
2013-04-03,59
2013-04-04,59
2013-04-05,58
2013-04-06,58
2013-04-07,57
2013-04-08,57
2013-04-09,56
2013-04-10,56
2013-04-11,55
2013-04-12,55
2013-04-13,54
2013-04-14,54
2013-04-15,53
2013-04-16,53
2013-04-17,52
2013-04-18,51
2013-04-19,51
2013-04-20,50
2013-04-21,50
2013-04-22,49
2013-04-23,49
2013-04-24,48
2013-04-25,48
2013-04-26,47
2013-04-27,47
2013-04-28,46
2013-04-29,46
2013-04-30,45
2013-05-01,45
2013-05-02,45
2013-05-03,45
2013-05-04,45
2013-05-05,45
2013-05-06,45
2013-05-07,45
2013-05-08,45
2013-05-09,45
2013-05-10,45
2013-05-11,45
2013-05-12,45
2013-05-13,45
2013-05-14,45
2013-05-15,45
2013-05-16,45
2013-05-17,46
2013-05-18,46
2013-05-19,46
2013-05-20,46
2013-05-21,46
2013-05-22,46
2013-05-23,46
2013-05-24,46
2013-05-25,46
2013-05-26,46
2013-05-27,46
2013-05-28,46
2013-05-29,46
2013-05-30,46
2013-05-31,46
2013-06-01,47
2013-06-02,46
2013-06-03,46
2013-06-04,46
2013-06-05,45
2013-06-06,45
2013-06-07,45
2013-06-08,44
2013-06-09,44
2013-06-10,44
2013-06-11,43
2013-06-12,43
2013-06-13,43
2013-06-14,42
2013-06-15,42
2013-06-16,42
2013-06-17,41
2013-06-18,41
2013-06-19,41
2013-06-20,40
2013-06-21,40
2013-06-22,40
2013-06-23,39
2013-06-24,39
2013-06-25,39
2013-06-26,38
2013-06-27,38
2013-06-28,38
2013-06-29,37
2013-06-30,37
2013-07-01,37
2013-07-02,37
2013-07-03,37
2013-07-04,37
2013-07-05,38
2013-07-06,38
2013-07-07,38
2013-07-08,38
2013-07-09,39
2013-07-10,39
2013-07-11,39
