Date,BGC Partners
2006-08-01,67
2006-08-02,66
2006-08-03,66
2006-08-04,66
2006-08-05,66
2006-08-06,66
2006-08-07,66
2006-08-08,66
2006-08-09,66
2006-08-10,66
2006-08-11,66
2006-08-12,65
2006-08-13,65
2006-08-14,65
2006-08-15,65
2006-08-16,65
2006-08-17,65
2006-08-18,65
2006-08-19,65
2006-08-20,65
2006-08-21,65
2006-08-22,64
2006-08-23,64
2006-08-24,64
2006-08-25,64
2006-08-26,64
2006-08-27,64
2006-08-28,64
2006-08-29,64
2006-08-30,64
2006-08-31,64
2006-09-01,64
2006-09-02,64
2006-09-03,64
2006-09-04,64
2006-09-05,64
2006-09-06,64
2006-09-07,64
2006-09-08,64
2006-09-09,64
2006-09-10,64
2006-09-11,65
2006-09-12,65
2006-09-13,65
2006-09-14,65
2006-09-15,65
2006-09-16,65
2006-09-17,65
2006-09-18,65
2006-09-19,65
2006-09-20,65
2006-09-21,66
2006-09-22,66
2006-09-23,66
2006-09-24,66
2006-09-25,66
2006-09-26,66
2006-09-27,66
2006-09-28,66
2006-09-29,66
2006-09-30,66
2006-10-01,67
2006-10-02,67
2006-10-03,67
2006-10-04,67
2006-10-05,67
2006-10-06,67
2006-10-07,67
2006-10-08,67
2006-10-09,67
2006-10-10,67
2006-10-11,67
2006-10-12,67
2006-10-13,67
2006-10-14,67
2006-10-15,67
2006-10-16,67
2006-10-17,67
2006-10-18,67
2006-10-19,67
2006-10-20,67
2006-10-21,67
2006-10-22,67
2006-10-23,67
2006-10-24,67
2006-10-25,67
2006-10-26,67
2006-10-27,67
2006-10-28,67
2006-10-29,67
2006-10-30,67
2006-10-31,67
2006-11-01,68
2006-11-02,67
2006-11-03,66
2006-11-04,65
2006-11-05,64
2006-11-06,63
2006-11-07,62
2006-11-08,61
2006-11-09,60
2006-11-10,59
2006-11-11,58
2006-11-12,57
2006-11-13,56
2006-11-14,55
2006-11-15,54
2006-11-16,53
2006-11-17,52
2006-11-18,51
2006-11-19,50
2006-11-20,49
2006-11-21,48
2006-11-22,47
2006-11-23,46
2006-11-24,45
2006-11-25,44
2006-11-26,43
2006-11-27,42
2006-11-28,41
2006-11-29,40
2006-11-30,39
2006-12-01,39
2006-12-02,40
2006-12-03,42
2006-12-04,44
2006-12-05,46
2006-12-06,48
2006-12-07,50
2006-12-08,52
2006-12-09,54
2006-12-10,56
2006-12-11,58
2006-12-12,59
2006-12-13,61
2006-12-14,63
2006-12-15,65
2006-12-16,67
2006-12-17,69
2006-12-18,71
2006-12-19,73
2006-12-20,75
2006-12-21,77
2006-12-22,78
2006-12-23,80
2006-12-24,82
2006-12-25,84
2006-12-26,86
2006-12-27,88
2006-12-28,90
2006-12-29,92
2006-12-30,94
2006-12-31,96
2007-01-01,98
2007-01-02,97
2007-01-03,96
2007-01-04,96
2007-01-05,95
2007-01-06,95
2007-01-07,94
2007-01-08,94
2007-01-09,93
2007-01-10,93
2007-01-11,92
2007-01-12,92
2007-01-13,91
2007-01-14,91
2007-01-15,90
2007-01-16,90
2007-01-17,89
2007-01-18,89
2007-01-19,88
2007-01-20,88
2007-01-21,87
2007-01-22,87
2007-01-23,86
2007-01-24,86
2007-01-25,85
2007-01-26,85
2007-01-27,84
2007-01-28,84
2007-01-29,83
2007-01-30,83
2007-01-31,82
2007-02-01,82
2007-02-02,81
2007-02-03,80
2007-02-04,79
2007-02-05,78
2007-02-06,78
2007-02-07,77
2007-02-08,76
2007-02-09,75
2007-02-10,74
2007-02-11,74
2007-02-12,73
2007-02-13,72
2007-02-14,71
2007-02-15,71
2007-02-16,70
2007-02-17,69
2007-02-18,68
2007-02-19,67
2007-02-20,67
2007-02-21,66
2007-02-22,65
2007-02-23,64
2007-02-24,63
2007-02-25,63
2007-02-26,62
2007-02-27,61
2007-02-28,60
2007-03-01,60
2007-03-02,59
2007-03-03,58
2007-03-04,58
2007-03-05,57
2007-03-06,57
2007-03-07,56
2007-03-08,55
2007-03-09,55
2007-03-10,54
2007-03-11,54
2007-03-12,53
2007-03-13,53
2007-03-14,52
2007-03-15,51
2007-03-16,51
2007-03-17,50
2007-03-18,50
2007-03-19,49
2007-03-20,48
2007-03-21,48
2007-03-22,47
2007-03-23,47
2007-03-24,46
2007-03-25,46
2007-03-26,45
2007-03-27,44
2007-03-28,44
2007-03-29,43
2007-03-30,43
2007-03-31,42
2007-04-01,42
2007-04-02,43
2007-04-03,45
2007-04-04,46
2007-04-05,48
2007-04-06,49
2007-04-07,51
2007-04-08,52
2007-04-09,54
2007-04-10,55
2007-04-11,57
2007-04-12,58
2007-04-13,60
2007-04-14,61
2007-04-15,63
2007-04-16,64
2007-04-17,66
2007-04-18,67
2007-04-19,69
2007-04-20,70
2007-04-21,72
2007-04-22,73
2007-04-23,75
2007-04-24,76
2007-04-25,78
2007-04-26,79
2007-04-27,81
2007-04-28,82
2007-04-29,84
2007-04-30,85
