Date,SS&C Technologies
2009-06-01,54
2009-06-02,53
2009-06-03,52
2009-06-04,51
2009-06-05,50
2009-06-06,50
2009-06-07,49
2009-06-08,48
2009-06-09,47
2009-06-10,47
2009-06-11,46
2009-06-12,45
2009-06-13,44
2009-06-14,44
2009-06-15,43
2009-06-16,42
2009-06-17,41
2009-06-18,40
2009-06-19,40
2009-06-20,39
2009-06-21,38
2009-06-22,37
2009-06-23,37
2009-06-24,36
2009-06-25,35
2009-06-26,34
2009-06-27,34
2009-06-28,33
2009-06-29,32
2009-06-30,31
2009-07-01,31
2009-07-02,31
2009-07-03,32
2009-07-04,33
2009-07-05,33
2009-07-06,34
2009-07-07,35
2009-07-08,35
2009-07-09,36
2009-07-10,37
2009-07-11,37
2009-07-12,38
2009-07-13,39
2009-07-14,39
2009-07-15,40
2009-07-16,41
2009-07-17,41
2009-07-18,42
2009-07-19,43
2009-07-20,43
2009-07-21,44
2009-07-22,45
2009-07-23,45
2009-07-24,46
2009-07-25,47
2009-07-26,47
2009-07-27,48
2009-07-28,49
2009-07-29,49
2009-07-30,50
2009-07-31,51
2009-08-01,52
2009-08-02,52
2009-08-03,52
2009-08-04,52
2009-08-05,52
2009-08-06,53
2009-08-07,53
2009-08-08,53
2009-08-09,53
2009-08-10,54
2009-08-11,54
2009-08-12,54
2009-08-13,54
2009-08-14,54
2009-08-15,55
2009-08-16,55
2009-08-17,55
2009-08-18,55
2009-08-19,56
2009-08-20,56
2009-08-21,56
2009-08-22,56
2009-08-23,56
2009-08-24,57
2009-08-25,57
2009-08-26,57
2009-08-27,57
2009-08-28,58
2009-08-29,58
2009-08-30,58
2009-08-31,58
2009-09-01,59
2009-09-02,59
2009-09-03,59
2009-09-04,59
2009-09-05,59
2009-09-06,60
2009-09-07,60
2009-09-08,60
2009-09-09,60
2009-09-10,61
2009-09-11,61
2009-09-12,61
2009-09-13,61
2009-09-14,62
2009-09-15,62
2009-09-16,62
2009-09-17,62
2009-09-18,62
2009-09-19,63
2009-09-20,63
2009-09-21,63
2009-09-22,63
2009-09-23,64
2009-09-24,64
2009-09-25,64
2009-09-26,64
2009-09-27,65
2009-09-28,65
2009-09-29,65
2009-09-30,65
2009-10-01,66
2009-10-02,65
2009-10-03,65
2009-10-04,65
2009-10-05,64
2009-10-06,64
2009-10-07,64
2009-10-08,64
2009-10-09,63
2009-10-10,63
2009-10-11,63
2009-10-12,63
2009-10-13,62
2009-10-14,62
2009-10-15,62
2009-10-16,62
2009-10-17,61
2009-10-18,61
2009-10-19,61
2009-10-20,61
2009-10-21,60
2009-10-22,60
2009-10-23,60
2009-10-24,60
2009-10-25,59
2009-10-26,59
2009-10-27,59
2009-10-28,59
2009-10-29,58
2009-10-30,58
2009-10-31,58
2009-11-01,58
2009-11-02,58
2009-11-03,58
2009-11-04,59
2009-11-05,59
2009-11-06,59
2009-11-07,60
2009-11-08,60
2009-11-09,60
2009-11-10,61
2009-11-11,61
2009-11-12,62
2009-11-13,62
2009-11-14,62
2009-11-15,63
2009-11-16,63
2009-11-17,63
2009-11-18,64
2009-11-19,64
2009-11-20,64
2009-11-21,65
2009-11-22,65
2009-11-23,66
2009-11-24,66
2009-11-25,66
2009-11-26,67
2009-11-27,67
2009-11-28,67
2009-11-29,68
2009-11-30,68
2009-12-01,69
2009-12-02,68
2009-12-03,67
2009-12-04,67
2009-12-05,66
2009-12-06,65
2009-12-07,65
2009-12-08,64
2009-12-09,63
2009-12-10,63
2009-12-11,62
2009-12-12,61
2009-12-13,61
2009-12-14,60
2009-12-15,59
2009-12-16,59
2009-12-17,58
2009-12-18,58
2009-12-19,57
2009-12-20,56
2009-12-21,56
2009-12-22,55
2009-12-23,54
2009-12-24,54
2009-12-25,53
2009-12-26,52
2009-12-27,52
2009-12-28,51
2009-12-29,50
2009-12-30,50
2009-12-31,49
2010-01-01,49
2010-01-02,48
2010-01-03,48
2010-01-04,48
2010-01-05,48
2010-01-06,48
2010-01-07,48
2010-01-08,48
2010-01-09,47
2010-01-10,47
2010-01-11,47
2010-01-12,47
2010-01-13,47
2010-01-14,47
2010-01-15,47
2010-01-16,47
2010-01-17,46
2010-01-18,46
2010-01-19,46
2010-01-20,46
2010-01-21,46
2010-01-22,46
2010-01-23,46
2010-01-24,46
2010-01-25,45
2010-01-26,45
2010-01-27,45
2010-01-28,45
2010-01-29,45
2010-01-30,45
2010-01-31,45
2010-02-01,45
2010-02-02,46
2010-02-03,48
2010-02-04,50
2010-02-05,52
2010-02-06,54
2010-02-07,56
2010-02-08,58
2010-02-09,60
2010-02-10,62
2010-02-11,64
2010-02-12,66
2010-02-13,68
2010-02-14,70
2010-02-15,72
2010-02-16,74
2010-02-17,76
2010-02-18,78
2010-02-19,80
2010-02-20,82
2010-02-21,84
2010-02-22,86
2010-02-23,88
2010-02-24,90
2010-02-25,92
2010-02-26,94
2010-02-27,96
2010-02-28,98
2010-03-07,94
2010-03-08,106
2010-03-09,92
2010-03-10,91
2010-03-11,90
2010-03-12,90
2010-03-13,89
2010-03-14,88
2010-03-15,87
2010-03-16,86
2010-03-17,85
2010-03-18,84
2010-03-19,83
2010-03-20,82
2010-03-21,81
2010-03-22,81
2010-03-23,80
2010-03-24,79
2010-03-25,78
2010-03-26,77
2010-03-27,76
2010-03-28,75
2010-03-29,76
2010-03-30,76
2010-03-31,75
2010-04-01,75
2010-04-02,76
2010-04-03,78
2010-04-04,69
2010-04-05,69
2010-04-06,68
2010-04-07,67
2010-04-08,66
2010-04-09,66
2010-04-10,65
2010-04-11,64
2010-04-12,63
2010-04-13,63
2010-04-14,62
2010-04-15,61
2010-04-16,61
2010-04-17,60
2010-04-18,59
2010-04-19,58
2010-04-20,58
2010-04-21,57
2010-04-22,56
2010-04-23,55
2010-04-24,55
2010-04-25,54
2010-04-26,53
2010-04-27,52
2010-04-28,52
2010-04-29,51
2010-04-30,50
2010-05-01,50
2010-05-02,49
2010-05-03,49
2010-05-04,49
2010-05-05,49
2010-05-06,49
2010-05-07,49
2010-05-08,48
2010-05-09,48
2010-05-10,48
2010-05-11,48
2010-05-12,48
2010-05-13,48
2010-05-14,47
2010-05-15,47
2010-05-16,47
2010-05-17,47
2010-05-18,47
2010-05-19,47
2010-05-20,46
2010-05-21,46
2010-05-22,46
2010-05-23,46
2010-05-24,46
2010-05-25,46
2010-05-26,45
2010-05-27,45
2010-05-28,45
2010-05-29,45
2010-05-30,45
2010-06-01,45
2010-06-02,45
2010-06-03,45
2010-06-04,45
2010-06-05,45
2010-06-06,45
2010-06-07,46
2010-06-08,46
2010-06-09,46
2010-06-10,46
2010-06-11,46
2010-06-12,46
2010-06-13,47
2010-06-14,47
2010-06-15,47
2010-06-16,47
2010-06-17,47
2010-06-18,47
2010-06-19,48
2010-06-20,48
2010-06-21,48
2010-06-22,48
2010-06-23,48
2010-06-24,48
2010-06-25,49
2010-06-26,49
2010-06-27,49
2010-06-28,49
2010-06-29,49
2010-06-30,49
2010-07-01,50
2010-07-02,50
2010-07-03,50
2010-07-04,50
2010-07-05,50
2010-07-06,50
2010-07-07,51
2010-07-08,51
2010-07-09,51
2010-07-10,51
2010-07-11,51
2010-07-12,52
2010-07-13,52
2010-07-14,52
2010-07-15,52
2010-07-16,52
2010-07-17,53
2010-07-18,53
2010-07-19,53
2010-07-20,53
2010-07-21,53
2010-07-22,54
2010-07-23,54
2010-07-24,54
2010-07-25,54
2010-07-26,54
2010-07-27,55
2010-07-28,55
2010-07-29,55
2010-07-30,55
2010-07-31,55
2010-08-01,56
2010-08-02,55
2010-08-03,55
2010-08-04,54
2010-08-05,54
2010-08-06,53
2010-08-07,53
2010-08-08,53
2010-08-09,52
2010-08-10,52
2010-08-11,51
2010-08-12,51
2010-08-13,50
2010-08-14,50
2010-08-15,50
2010-08-16,49
2010-08-17,49
2010-08-18,48
2010-08-19,48
2010-08-20,48
2010-08-21,47
2010-08-22,47
2010-08-23,46
2010-08-24,46
2010-08-25,45
2010-08-26,45
2010-08-27,45
2010-08-28,44
2010-08-29,44
2010-08-30,43
2010-08-31,43
2010-09-01,43
2010-09-02,42
2010-09-03,42
2010-09-04,42
2010-09-05,42
2010-09-06,42
2010-09-07,41
2010-09-08,41
2010-09-09,41
2010-09-10,41
2010-09-11,41
2010-09-12,40
2010-09-13,40
2010-09-14,40
2010-09-15,40
2010-09-16,40
2010-09-17,39
2010-09-18,39
2010-09-19,39
2010-09-20,39
2010-09-21,39
2010-09-22,38
2010-09-23,38
2010-09-24,38
2010-09-25,38
2010-09-26,38
2010-09-27,37
2010-09-28,37
2010-09-29,37
2010-09-30,37
2010-10-01,37
2010-10-02,37
2010-10-03,38
2010-10-04,39
2010-10-05,39
2010-10-06,40
2010-10-07,41
2010-10-08,41
2010-10-09,42
2010-10-10,43
2010-10-11,44
2010-10-12,44
2010-10-13,45
2010-10-14,46
2010-10-15,46
2010-10-16,47
2010-10-17,48
2010-10-18,49
2010-10-19,49
2010-10-20,50
2010-10-21,51
2010-10-22,51
2010-10-23,52
2010-10-24,53
2010-10-25,54
2010-10-26,54
2010-10-27,55
2010-10-28,56
2010-10-29,56
2010-10-30,57
2010-10-31,58
2010-11-01,59
2010-11-02,57
2010-11-03,56
2010-11-04,55
2010-11-05,54
2010-11-06,53
2010-11-07,52
2010-11-08,51
2010-11-09,50
2010-11-10,49
2010-11-11,48
2010-11-12,47
2010-11-13,46
2010-11-14,45
2010-11-15,44
2010-11-16,43
2010-11-17,41
2010-11-18,40
2010-11-19,39
2010-11-20,38
2010-11-21,37
