Date,Peplin
2007-02-01,65
2007-02-02,64
2007-02-03,64
2007-02-04,64
2007-02-05,64
2007-02-06,64
2007-02-07,64
2007-02-08,64
2007-02-09,64
2007-02-10,64
2007-02-11,63
2007-02-12,63
2007-02-13,63
2007-02-14,63
2007-02-15,63
2007-02-16,63
2007-02-17,63
2007-02-18,63
2007-02-19,63
2007-02-20,62
2007-02-21,62
2007-02-22,62
2007-02-23,62
2007-02-24,62
2007-02-25,62
2007-02-26,62
2007-02-27,62
2007-02-28,62
2007-03-01,62
2007-03-02,61
2007-03-03,61
2007-03-04,60
2007-03-05,60
2007-03-06,60
2007-03-07,59
2007-03-08,59
2007-03-09,58
2007-03-10,58
2007-03-11,58
2007-03-12,57
2007-03-13,57
2007-03-14,56
2007-03-15,56
2007-03-16,56
2007-03-17,55
2007-03-18,55
2007-03-19,55
2007-03-20,54
2007-03-21,54
2007-03-22,53
2007-03-23,53
2007-03-24,53
2007-03-25,52
2007-03-26,52
2007-03-27,51
2007-03-28,51
2007-03-29,51
2007-03-30,50
2007-03-31,50
2007-04-01,50
2007-04-02,50
2007-04-03,50
2007-04-04,50
2007-04-05,50
2007-04-06,50
2007-04-07,50
2007-04-08,50
2007-04-09,50
2007-04-10,50
2007-04-11,50
2007-04-12,50
2007-04-13,50
2007-04-14,50
2007-04-15,50
2007-04-16,50
2007-04-17,50
2007-04-18,50
2007-04-19,50
2007-04-20,50
2007-04-21,50
2007-04-22,50
2007-04-23,50
2007-04-24,50
2007-04-25,50
2007-04-26,50
2007-04-27,50
2007-04-28,50
2007-04-29,50
2007-04-30,50
2007-05-01,51
2007-05-02,50
2007-05-03,50
2007-05-04,50
2007-05-05,49
2007-05-06,49
2007-05-07,49
2007-05-08,48
2007-05-09,48
2007-05-10,48
2007-05-11,47
2007-05-12,47
2007-05-13,47
2007-05-14,46
2007-05-15,46
2007-05-16,46
2007-05-17,45
2007-05-18,45
2007-05-19,45
2007-05-20,44
2007-05-21,44
2007-05-22,44
2007-05-23,43
2007-05-24,43
2007-05-25,43
2007-05-26,42
2007-05-27,42
2007-05-28,42
2007-05-29,41
2007-05-30,41
2007-05-31,41
2007-06-01,41
2007-06-02,42
2007-06-03,44
2007-06-04,46
2007-06-05,48
2007-06-06,50
2007-06-07,51
2007-06-08,53
2007-06-09,55
2007-06-10,57
2007-06-11,59
2007-06-12,60
2007-06-13,62
2007-06-14,64
2007-06-15,66
2007-06-16,68
2007-06-17,69
2007-06-18,71
2007-06-19,73
2007-06-20,75
2007-06-21,77
2007-06-22,78
2007-06-23,80
2007-06-24,82
2007-06-25,84
2007-06-26,86
2007-06-27,87
2007-06-28,89
2007-06-29,91
2007-06-30,93
2007-07-01,95
2007-07-02,95
2007-07-03,95
2007-07-04,95
2007-07-05,95
2007-07-06,95
2007-07-07,95
2007-07-08,96
2007-07-09,96
2007-07-10,96
2007-07-11,96
2007-07-12,96
2007-07-13,96
2007-07-14,97
2007-07-15,97
2007-07-16,97
2007-07-17,97
2007-07-18,97
2007-07-19,97
2007-07-20,98
2007-07-21,98
2007-07-22,98
2007-07-23,98
2007-07-24,98
2007-07-25,98
2007-07-26,99
2007-07-27,99
2007-07-28,99
2007-07-29,99
2007-07-30,99
2007-07-31,99
2007-08-01,100
2007-08-02,99
2007-08-03,98
2007-08-04,97
2007-08-05,96
2007-08-06,95
2007-08-07,94
2007-08-08,93
2007-08-09,92
2007-08-10,91
2007-08-11,90
2007-08-12,89
2007-08-13,88
2007-08-14,87
2007-08-15,86
2007-08-16,85
2007-08-17,84
2007-08-18,83
2007-08-19,82
2007-08-20,81
2007-08-21,80
2007-08-22,79
2007-08-23,78
2007-08-24,77
2007-08-25,76
2007-08-26,75
2007-08-27,74
2007-08-28,73
2007-08-29,72
2007-08-30,71
2007-08-31,70
2007-09-01,70
