Date,Turner Investments
2008-04-01,85
2008-04-02,84
2008-04-03,84
2008-04-04,84
2008-04-05,84
2008-04-06,84
2008-04-07,84
2008-04-08,84
2008-04-09,84
2008-04-10,84
2008-04-11,84
2008-04-12,84
2008-04-13,84
2008-04-14,84
2008-04-15,84
2008-04-16,84
2008-04-17,84
2008-04-18,84
2008-04-19,84
2008-04-20,84
2008-04-21,84
2008-04-22,84
2008-04-23,84
2008-04-24,84
2008-04-25,84
2008-04-26,84
2008-04-27,84
2008-04-28,84
2008-04-29,84
2008-04-30,84
2008-05-01,84
2008-05-02,84
2008-05-03,85
2008-05-04,85
2008-05-05,86
2008-05-06,86
2008-05-07,87
2008-05-08,87
2008-05-09,88
2008-05-10,88
2008-05-11,89
2008-05-12,89
2008-05-13,90
2008-05-14,90
2008-05-15,91
2008-05-16,91
2008-05-17,92
2008-05-18,92
2008-05-19,93
2008-05-20,93
2008-05-21,94
2008-05-22,94
2008-05-23,95
2008-05-24,95
2008-05-25,96
2008-05-26,96
2008-05-27,97
2008-05-28,97
2008-05-29,98
2008-05-30,98
2008-05-31,99
2008-06-01,100
2008-06-02,99
2008-06-03,99
2008-06-04,99
2008-06-05,98
2008-06-06,98
2008-06-07,98
2008-06-08,97
2008-06-09,97
2008-06-10,97
2008-06-11,97
2008-06-12,96
2008-06-13,96
2008-06-14,96
2008-06-15,95
2008-06-16,95
2008-06-17,95
2008-06-18,94
2008-06-19,94
2008-06-20,94
2008-06-21,94
2008-06-22,93
2008-06-23,93
2008-06-24,93
2008-06-25,92
2008-06-26,92
2008-06-27,92
2008-06-28,91
2008-06-29,91
2008-06-30,91
2008-07-01,91
2008-07-02,90
2008-07-03,89
2008-07-04,88
2008-07-05,88
2008-07-06,87
2008-07-07,86
2008-07-08,86
2008-07-09,85
2008-07-10,84
2008-07-11,84
2008-07-12,83
2008-07-13,82
2008-07-14,82
2008-07-15,81
2008-07-16,80
2008-07-17,80
2008-07-18,79
2008-07-19,78
2008-07-20,78
2008-07-21,77
2008-07-22,76
2008-07-23,76
2008-07-24,75
2008-07-25,74
2008-07-26,74
2008-07-27,73
2008-07-28,72
2008-07-29,72
2008-07-30,71
2008-07-31,70
2008-08-01,70
2008-08-02,70
2008-08-03,70
2008-08-04,71
2008-08-05,71
2008-08-06,72
2008-08-07,72
2008-08-08,73
2008-08-09,73
2008-08-10,74
2008-08-11,74
2008-08-12,74
2008-08-13,75
2008-08-14,75
2008-08-15,76
2008-08-16,76
2008-08-17,77
2008-08-18,77
2008-08-19,78
2008-08-20,78
2008-08-21,79
2008-08-22,79
2008-08-23,79
2008-08-24,80
2008-08-25,80
2008-08-26,81
2008-08-27,81
2008-08-28,82
2008-08-29,82
2008-08-30,83
2008-08-31,83
2008-09-01,84
2008-09-02,83
2008-09-03,83
2008-09-04,83
2008-09-05,82
2008-09-06,82
2008-09-07,82
2008-09-08,81
2008-09-09,81
2008-09-10,81
2008-09-11,81
2008-09-12,80
2008-09-13,80
2008-09-14,80
2008-09-15,79
2008-09-16,79
2008-09-17,79
2008-09-18,78
2008-09-19,78
2008-09-20,78
2008-09-21,78
2008-09-22,77
2008-09-23,77
2008-09-24,77
2008-09-25,76
2008-09-26,76
2008-09-27,76
2008-09-28,75
2008-09-29,75
2008-09-30,75
2008-10-01,75
2008-10-02,74
2008-10-03,73
2008-10-04,73
2008-10-05,72
2008-10-06,71
2008-10-07,71
2008-10-08,70
2008-10-09,70
2008-10-10,69
2008-10-11,68
2008-10-12,68
2008-10-13,67
2008-10-14,67
2008-10-15,66
2008-10-16,65
2008-10-17,65
2008-10-18,64
2008-10-19,63
2008-10-20,63
2008-10-21,62
2008-10-22,62
2008-10-23,61
2008-10-24,60
2008-10-25,60
2008-10-26,59
2008-10-27,59
2008-10-28,58
2008-10-29,57
2008-10-30,57
2008-10-31,56
2008-11-01,56
2008-11-02,56
2008-11-03,56
2008-11-04,56
2008-11-05,56
2008-11-06,56
2008-11-07,56
2008-11-08,56
2008-11-09,56
2008-11-10,56
2008-11-11,56
2008-11-12,56
2008-11-13,56
2008-11-14,56
2008-11-15,56
2008-11-16,56
2008-11-17,56
2008-11-18,56
2008-11-19,56
2008-11-20,56
2008-11-21,56
2008-11-22,56
2008-11-23,56
2008-11-24,56
2008-11-25,56
2008-11-26,56
2008-11-27,56
2008-11-28,56
2008-11-29,56
2008-11-30,56
2008-12-01,56
2008-12-02,56
2008-12-03,56
2008-12-04,56
2008-12-05,56
2008-12-06,56
2008-12-07,56
2008-12-08,56
2008-12-09,56
2008-12-10,56
2008-12-11,56
2008-12-12,56
2008-12-13,56
2008-12-14,56
2008-12-15,56
2008-12-16,56
2008-12-17,56
2008-12-18,56
2008-12-19,56
2008-12-20,56
2008-12-21,56
2008-12-22,56
2008-12-23,56
2008-12-24,56
2008-12-25,56
2008-12-26,56
2008-12-27,56
2008-12-28,56
2008-12-29,56
2008-12-30,56
2008-12-31,56
2009-01-01,56
2009-01-02,56
2009-01-03,56
2009-01-04,56
2009-01-05,57
2009-01-06,57
2009-01-07,57
2009-01-08,58
2009-01-09,58
2009-01-10,58
2009-01-11,58
2009-01-12,59
2009-01-13,59
2009-01-14,59
2009-01-15,60
2009-01-16,60
2009-01-17,60
2009-01-18,60
2009-01-19,61
2009-01-20,61
2009-01-21,61
2009-01-22,62
2009-01-23,62
2009-01-24,62
2009-01-25,62
2009-01-26,63
2009-01-27,63
2009-01-28,63
2009-01-29,64
2009-01-30,64
2009-01-31,64
2009-02-01,65
2009-02-02,64
2009-02-03,64
2009-02-04,63
2009-02-05,63
2009-02-06,62
2009-02-07,62
2009-02-08,61
2009-02-09,61
2009-02-10,60
2009-02-11,60
2009-02-12,59
2009-02-13,59
2009-02-14,58
2009-02-15,58
2009-02-16,58
2009-02-17,57
2009-02-18,57
2009-02-19,56
2009-02-20,56
2009-02-21,55
2009-02-22,55
2009-02-23,54
2009-02-24,54
2009-02-25,53
2009-02-26,53
2009-02-27,52
2009-02-28,52
2009-03-01,52
2009-03-02,52
2009-03-03,53
2009-03-04,53
2009-03-05,54
2009-03-06,54
2009-03-07,55
2009-03-08,56
2009-03-09,56
2009-03-10,57
2009-03-11,57
2009-03-12,58
2009-03-13,58
2009-03-14,59
2009-03-15,60
2009-03-16,60
2009-03-17,61
