Date,Mattress Firm Holding
2010-12-01,61
2010-12-02,61
2010-12-03,58
2010-12-04,57
2010-12-05,55
2010-12-06,58
2010-12-07,52
2010-12-08,52
2010-12-09,50
2010-12-10,48
2010-12-11,47
2010-12-12,48
2010-12-13,49
2010-12-14,50
2010-12-15,52
2010-12-16,52
2010-12-17,53
2010-12-18,55
2010-12-19,54
2010-12-20,53
2010-12-21,54
2010-12-22,52
2010-12-23,52
2010-12-24,54
2010-12-25,54
2010-12-26,57
2010-12-27,62
2010-12-28,68
2010-12-29,73
2010-12-30,84
2010-12-31,84
2011-01-01,92
2011-01-02,88
2011-01-03,86
2011-01-04,87
2011-01-05,82
2011-01-06,80
2011-01-07,81
2011-01-08,77
2011-01-09,80
2011-01-10,71
2011-01-11,73
2011-01-12,65
2011-01-13,62
2011-01-14,59
2011-01-15,57
2011-01-16,58
2011-01-17,60
2011-01-18,64
2011-01-19,62
2011-01-20,69
2011-01-21,64
2011-01-22,66
2011-01-23,67
2011-01-24,68
2011-01-25,67
2011-01-26,67
2011-01-27,69
2011-01-28,69
2011-01-29,69
2011-01-30,69
2011-01-31,68
2011-02-01,70
2011-02-02,71
2011-02-03,68
2011-02-04,68
2011-02-05,68
2011-02-06,69
2011-02-07,75
2011-02-08,68
2011-02-09,70
2011-02-10,69
2011-02-11,69
2011-02-12,70
2011-02-13,72
2011-02-14,75
2011-02-15,72
2011-02-16,72
2011-02-17,76
2011-02-18,74
2011-02-19,75
2011-02-20,75
2011-02-21,75
2011-02-22,82
2011-02-23,80
2011-02-24,77
2011-02-25,77
2011-02-26,78
2011-02-27,76
2011-02-28,79
2011-03-01,72
2011-03-02,71
2011-03-03,68
2011-03-04,66
2011-03-05,65
2011-03-06,69
2011-03-07,73
2011-03-08,85
2011-03-09,84
2011-03-10,85
2011-03-11,95
2011-03-12,93
2011-03-13,91
2011-03-14,87
2011-03-15,84
2011-03-16,79
2011-03-17,74
2011-03-18,70
2011-03-19,67
2011-03-20,68
2011-03-21,66
2011-03-22,67
2011-03-23,63
2011-03-24,62
2011-03-25,62
2011-03-26,60
2011-03-27,60
2011-03-28,64
2011-03-29,62
2011-03-30,62
2011-03-31,64
2011-04-01,64
2011-04-02,64
2011-04-03,63
2011-04-04,64
2011-04-05,63
2011-04-06,60
2011-04-07,59
2011-04-08,58
2011-04-09,57
2011-04-10,57
2011-04-11,59
2011-04-12,59
2011-04-13,60
2011-04-14,61
2011-04-15,59
2011-04-16,60
2011-04-17,62
2011-04-18,60
2011-04-19,63
2011-04-20,61
2011-04-21,64
2011-04-22,61
2011-04-23,62
2011-04-24,64
2011-04-25,62
2011-04-26,63
2011-04-27,62
2011-04-28,62
2011-04-29,62
2011-04-30,63
2011-05-01,63
2011-05-02,66
2011-05-03,63
2011-05-04,61
2011-05-05,62
2011-05-06,60
2011-05-07,60
2011-05-08,61
2011-05-09,61
2011-05-10,60
2011-05-11,60
2011-05-12,60
2011-05-13,60
2011-05-14,60
2011-05-15,61
2011-05-16,63
2011-05-17,67
2011-05-18,70
2011-05-19,69
2011-05-20,71
2011-05-21,73
2011-05-22,75
2011-05-23,80
2011-05-24,79
2011-05-25,81
2011-05-26,83
2011-05-27,88
2011-05-28,87
2011-05-29,88
2011-05-30,85
2011-05-31,89
2011-06-01,83
2011-06-02,82
2011-06-03,82
2011-06-04,80
2011-06-05,79
2011-06-06,74
2011-06-07,74
2011-06-08,66
2011-06-09,64
2011-06-10,60
2011-06-11,57
2011-06-12,60
2011-06-13,61
2011-06-14,62
2011-06-15,67
2011-06-16,67
2011-06-17,67
2011-06-18,69
2011-06-19,71
2011-06-20,70
2011-06-21,70
2011-06-22,74
2011-06-23,71
2011-06-24,72
2011-06-25,73
2011-06-26,75
2011-06-27,79
2011-06-28,82
2011-06-29,82
2011-06-30,85
2011-07-01,90
2011-07-02,90
2011-07-03,89
2011-07-04,91
2011-07-05,95
2011-07-06,87
2011-07-07,90
2011-07-08,86
2011-07-09,86
2011-07-10,85
2011-07-11,90
