Date,International Decision Systems
2007-08-01,0
2007-08-02,0
2007-08-03,0
2007-08-04,0
2007-08-05,0
2007-08-06,0
2007-08-07,0
2007-08-08,0
2007-08-09,0
2007-08-10,0
2007-08-11,0
2007-08-12,0
2007-08-13,0
2007-08-14,0
2007-08-15,0
2007-08-16,0
2007-08-17,0
2007-08-18,0
2007-08-19,0
2007-08-20,0
2007-08-21,0
2007-08-22,0
2007-08-23,0
2007-08-24,0
2007-08-25,0
2007-08-26,0
2007-08-27,0
2007-08-28,0
2007-08-29,0
2007-08-30,0
2007-08-31,0
2007-09-01,0
2007-09-02,3
2007-09-03,6
2007-09-04,10
2007-09-05,13
2007-09-06,16
2007-09-07,20
2007-09-08,23
2007-09-09,26
2007-09-10,30
2007-09-11,33
2007-09-12,36
2007-09-13,40
2007-09-14,43
2007-09-15,46
2007-09-16,50
2007-09-17,53
2007-09-18,56
2007-09-19,60
2007-09-20,63
2007-09-21,66
2007-09-22,70
2007-09-23,73
2007-09-24,76
2007-09-25,80
2007-09-26,83
2007-09-27,86
2007-09-28,90
2007-09-29,93
2007-09-30,96
2007-10-01,100
2007-10-02,99
2007-10-03,98
2007-10-04,97
2007-10-05,96
2007-10-06,95
2007-10-07,94
2007-10-08,93
2007-10-09,92
2007-10-10,91
2007-10-11,90
2007-10-12,90
2007-10-13,89
2007-10-14,88
2007-10-15,87
2007-10-16,86
2007-10-17,85
2007-10-18,84
2007-10-19,83
2007-10-20,82
2007-10-21,81
2007-10-22,81
2007-10-23,80
2007-10-24,79
2007-10-25,78
2007-10-26,77
2007-10-27,76
2007-10-28,75
2007-10-29,74
2007-10-30,73
2007-10-31,72
2007-11-01,72
2007-11-02,71
2007-11-03,71
2007-11-04,71
2007-11-05,71
2007-11-06,71
2007-11-07,71
2007-11-08,71
2007-11-09,71
2007-11-10,71
2007-11-11,71
2007-11-12,70
2007-11-13,70
2007-11-14,70
2007-11-15,70
2007-11-16,70
2007-11-17,70
2007-11-18,70
2007-11-19,70
2007-11-20,70
2007-11-21,70
2007-11-22,69
2007-11-23,69
2007-11-24,69
2007-11-25,69
2007-11-26,69
2007-11-27,69
