Date,Tandem Diabetes Care
2013-04-01,50
2013-04-02,50
2013-04-03,50
2013-04-04,50
2013-04-05,50
2013-04-06,50
2013-04-07,50
2013-04-08,50
2013-04-09,50
2013-04-10,50
2013-04-11,50
2013-04-12,50
2013-04-13,50
2013-04-14,50
2013-04-15,50
2013-04-16,50
2013-04-17,50
2013-04-18,50
2013-04-19,50
2013-04-20,50
2013-04-21,50
2013-04-22,50
2013-04-23,50
2013-04-24,50
2013-04-25,50
2013-04-26,50
2013-04-27,50
2013-04-28,50
2013-04-29,50
2013-04-30,50
2013-05-01,50
2013-05-02,50
2013-05-03,50
2013-05-04,50
2013-05-05,50
2013-05-06,50
2013-05-07,50
2013-05-08,50
2013-05-09,50
2013-05-10,50
2013-05-11,50
2013-05-12,50
2013-05-13,50
2013-05-14,50
2013-05-15,50
2013-05-16,50
2013-05-17,50
2013-05-18,50
2013-05-19,50
2013-05-20,50
2013-05-21,50
2013-05-22,50
2013-05-23,50
2013-05-24,50
2013-05-25,50
2013-05-26,50
2013-05-27,50
2013-05-28,50
2013-05-29,50
2013-05-30,50
2013-05-31,50
2013-06-01,50
2013-06-02,50
2013-06-03,50
2013-06-04,50
2013-06-05,50
2013-06-06,50
2013-06-07,50
2013-06-08,50
2013-06-09,50
2013-06-10,50
2013-06-11,50
2013-06-12,50
2013-06-13,50
2013-06-14,50
2013-06-15,50
2013-06-16,50
2013-06-17,50
2013-06-18,50
2013-06-19,50
2013-06-20,50
2013-06-21,50
2013-06-22,50
2013-06-23,50
2013-06-24,50
2013-06-25,50
2013-06-26,50
2013-06-27,50
2013-06-28,50
2013-06-29,50
2013-06-30,50
2013-07-01,50
2013-07-02,50
2013-07-03,50
2013-07-04,50
2013-07-05,50
2013-07-06,50
2013-07-07,50
2013-07-08,50
2013-07-09,50
2013-07-10,50
2013-07-11,50
2013-07-12,50
2013-07-13,50
2013-07-14,50
2013-07-15,50
2013-07-16,50
2013-07-17,50
2013-07-18,50
2013-07-19,50
2013-07-20,50
2013-07-21,50
2013-07-22,50
2013-07-23,50
2013-07-24,50
2013-07-25,50
2013-07-26,50
2013-07-27,50
2013-07-28,50
2013-07-29,50
2013-07-30,50
2013-07-31,50
2013-08-01,50
2013-08-02,49
2013-08-03,49
2013-08-04,49
2013-08-05,49
2013-08-06,49
2013-08-07,49
2013-08-08,49
2013-08-09,49
2013-08-10,49
2013-08-11,49
2013-08-12,49
2013-08-13,49
2013-08-14,49
2013-08-15,49
2013-08-16,49
2013-08-17,49
2013-08-18,49
2013-08-19,49
2013-08-20,49
2013-08-21,49
2013-08-22,49
2013-08-23,49
2013-08-24,49
2013-08-25,49
2013-08-26,49
2013-08-27,49
2013-08-28,49
2013-08-29,49
2013-08-30,49
2013-08-31,49
2013-09-01,49
2013-09-02,49
2013-09-03,50
2013-09-04,51
2013-09-05,52
2013-09-06,53
2013-09-07,54
2013-09-08,54
2013-09-09,55
2013-09-10,56
2013-09-11,57
2013-09-12,58
2013-09-13,59
2013-09-14,59
2013-09-15,60
2013-09-16,61
2013-09-17,62
2013-09-18,63
2013-09-19,64
2013-09-20,64
2013-09-21,65
2013-09-22,66
2013-09-23,67
2013-09-24,68
2013-09-25,69
2013-09-26,69
2013-09-27,70
2013-09-28,71
2013-09-29,72
2013-09-30,73
2013-10-01,74
2013-10-02,74
2013-10-03,75
2013-10-04,76
2013-10-05,77
2013-10-06,78
2013-10-07,79
2013-10-08,79
2013-10-09,80
2013-10-10,81
2013-10-11,82
2013-10-12,83
2013-10-13,84
2013-10-14,84
2013-10-15,85
2013-10-16,86
2013-10-17,87
2013-10-18,88
2013-10-19,89
2013-10-20,89
2013-10-21,90
2013-10-22,91
2013-10-23,92
2013-10-24,93
2013-10-25,94
2013-10-26,94
2013-10-27,95
2013-10-28,96
2013-10-29,97
2013-10-30,98
2013-10-31,99
2013-11-01,100
2013-11-02,96
2013-11-03,93
2013-11-04,90
2013-11-05,86
2013-11-06,83
2013-11-07,80
2013-11-08,76
2013-11-09,73
2013-11-10,70
2013-11-11,66
2013-11-12,63
2013-11-13,60
2013-11-14,56
2013-11-15,53
2013-11-16,50
2013-11-17,46
2013-11-18,43
2013-11-19,40
2013-11-20,36
2013-11-21,33
2013-11-22,30
2013-11-23,26
2013-11-24,23
2013-11-25,20
2013-11-26,16
2013-11-27,13
2013-11-28,10
2013-11-29,6
2013-11-30,3
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,0
2013-12-14,0
2013-12-15,0
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-21,0
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,0
