Date,GAIN Capital
2009-02-07,62
2009-02-08,58
2009-02-09,52
2009-02-10,47
2009-02-11,43
2009-02-12,38
2009-02-13,33
2009-02-14,29
2009-02-15,34
2009-02-16,39
2009-02-17,44
2009-02-18,49
2009-02-19,54
2009-02-20,59
2009-02-21,65
2009-02-22,65
2009-02-23,66
2009-02-24,67
2009-02-25,68
2009-02-26,68
2009-02-27,69
2009-02-28,70
2009-03-01,65
2009-03-02,60
2009-03-03,55
2009-03-04,51
2009-03-05,46
2009-03-06,42
2009-03-07,38
2009-03-08,39
2009-03-09,40
2009-03-10,41
2009-03-11,42
2009-03-12,43
2009-03-13,44
2009-03-14,46
2009-03-15,47
2009-03-16,49
2009-03-17,51
2009-03-18,53
2009-03-19,55
2009-03-20,57
2009-03-21,59
2009-03-22,61
2009-03-23,65
2009-03-24,68
2009-03-25,71
2009-03-26,73
2009-03-27,76
2009-03-28,79
2009-03-29,74
2009-05-03,40
2009-05-04,42
2009-05-05,44
2009-05-06,46
2009-05-07,48
2009-05-08,50
2009-05-09,52
2009-05-10,50
2009-05-11,47
2009-05-12,45
2009-05-13,43
2009-05-14,41
2009-05-15,39
2009-05-16,37
2009-05-17,37
2009-05-18,38
2009-05-19,39
2009-05-20,39
2009-05-21,40
2009-05-22,41
2009-05-23,42
2009-05-24,42
2009-05-25,43
2009-05-26,43
2009-05-27,44
2009-05-28,44
2009-05-29,44
2009-05-30,45
2009-05-31,44
2009-06-01,43
2009-06-02,42
2009-06-03,41
2009-06-04,40
2009-06-05,39
2009-06-06,39
2009-06-07,42
2009-06-08,47
2009-06-09,50
2009-06-10,54
2009-06-11,58
2009-06-12,62
2009-06-13,66
2009-06-14,65
2009-06-15,64
2009-06-16,63
2009-06-17,62
2009-06-18,61
2009-06-19,60
2009-06-20,60
2009-06-21,58
2009-06-22,57
2009-06-23,56
2009-06-24,54
2009-06-25,53
2009-06-26,51
2009-06-27,50
2009-06-28,48
2009-06-29,46
2009-06-30,45
2009-07-01,43
2009-07-02,42
2009-07-03,40
2009-07-04,39
2009-07-05,39
2009-07-06,40
2009-07-07,41
2009-07-08,42
2009-07-09,43
2009-07-10,44
2009-07-11,45
2009-07-12,43
2009-07-13,41
2009-07-14,39
2009-07-15,37
2009-07-16,35
2009-07-17,33
2009-07-18,31
2009-07-19,31
2009-07-20,31
2009-07-21,32
2009-07-22,32
2009-07-23,33
2009-07-24,33
2009-07-25,34
2009-07-26,38
2009-08-02,61
2009-08-03,59
2009-08-04,58
2009-08-05,56
2009-08-06,55
2009-08-07,53
2009-08-08,52
2009-08-09,55
2009-08-10,58
2009-08-11,61
2009-08-12,64
2009-08-13,67
2009-08-14,71
2009-08-15,74
2009-08-16,69
2009-08-17,65
2009-08-18,60
2009-08-19,56
2009-08-20,51
2009-08-21,47
2009-08-22,43
2009-08-23,44
2009-08-24,45
2009-08-25,46
2009-08-26,48
2009-08-27,49
2009-08-28,50
2009-08-29,52
2009-08-30,54
2009-08-31,56
2009-09-01,58
2009-09-02,60
2009-09-03,62
2009-09-04,64
2009-09-05,67
2009-09-06,66
2009-09-07,65
2009-09-08,64
2009-09-09,63
2009-09-10,62
2009-09-11,61
2009-09-12,61
2009-09-13,60
2009-09-14,61
2009-09-15,60
2009-09-16,60
2009-09-17,60
2009-09-18,60
2009-09-19,60
2009-09-20,58
2009-09-21,56
2009-09-22,54
2009-09-23,52
2009-09-24,50
2009-09-25,48
2009-09-26,47
2009-09-27,47
2009-09-28,47
2009-09-29,47
2009-09-30,47
2009-10-01,47
2009-10-02,47
2009-10-03,48
2009-10-04,49
2009-10-05,51
2009-10-06,52
2009-10-07,54
2009-10-08,56
2009-10-09,57
2009-10-10,59
2009-10-11,57
2009-10-12,54
2009-10-13,52
2009-10-14,49
2009-10-15,47
2009-10-16,45
2009-10-17,43
2009-10-18,45
2009-10-19,48
2009-10-20,50
2009-10-21,53
2009-10-22,55
2009-10-23,58
2009-10-24,60
2009-10-25,57
2009-11-01,32
2009-11-02,33
2009-11-03,34
2009-11-04,34
2009-11-05,35
2009-11-06,36
2009-11-07,37
2009-11-08,38
2009-11-09,39
2009-11-10,40
2009-11-11,41
2009-11-12,42
2009-11-13,43
2009-11-14,45
2009-11-15,46
2009-11-16,48
2009-11-17,49
2009-11-18,51
2009-11-19,52
2009-11-20,54
2009-11-21,55
2009-11-22,52
2009-11-23,48
2009-11-24,44
2009-11-25,40
2009-11-26,37
2009-11-27,33
2009-11-28,30
2009-11-29,31
2009-11-30,32
2009-12-01,33
2009-12-02,34
2009-12-03,35
2009-12-04,37
2009-12-05,38
2009-12-06,36
2009-12-07,35
2009-12-08,34
2009-12-09,32
2009-12-10,31
2009-12-11,30
2009-12-12,29
2009-12-13,32
2009-12-14,36
2009-12-15,39
2009-12-16,43
2009-12-17,47
2009-12-18,50
2009-12-19,54
2009-12-20,51
2009-12-21,49
2009-12-22,46
2009-12-23,44
2009-12-24,42
2009-12-25,39
2009-12-26,37
2009-12-27,38
2009-12-28,40
2009-12-29,41
2009-12-30,43
2009-12-31,44
2010-01-01,46
2010-01-02,48
2010-01-03,47
2010-01-04,47
2010-01-05,47
2010-01-06,47
2010-01-07,47
2010-01-08,47
2010-01-09,47
2010-01-10,46
2010-01-11,44
2010-01-12,43
2010-01-13,42
2010-01-14,41
2010-01-15,40
2010-01-16,39
2010-01-17,40
2010-01-18,42
2010-01-19,43
2010-01-20,45
2010-01-21,46
2010-01-22,47
2010-01-23,49
2010-01-24,49
2010-01-25,48
2010-01-26,47
2010-01-27,47
2010-01-28,46
2010-01-29,46
2010-01-30,46
2010-01-31,47
2010-02-07,51
2010-02-08,48
2010-02-09,45
2010-02-10,42
2010-02-11,39
2010-02-12,36
2010-02-13,33
2010-02-14,34
2010-02-15,35
2010-02-16,36
2010-02-17,38
2010-02-18,39
2010-02-19,40
2010-02-20,41
2010-02-21,39
2010-02-22,37
2010-02-23,35
2010-02-24,33
2010-02-25,31
2010-02-26,29
2010-02-27,28
2010-02-28,30
2010-03-01,32
2010-03-02,34
2010-03-03,36
2010-03-04,38
2010-03-05,40
2010-03-06,42
2010-03-07,42
2010-03-08,42
2010-03-09,42
2010-03-10,42
2010-03-11,42
2010-03-12,42
2010-03-13,42
2010-03-14,39
2010-03-15,36
2010-03-16,33
2010-03-17,30
2010-03-18,27
2010-03-19,24
2010-03-20,22
2010-03-21,24
2010-03-22,27
2010-03-23,30
2010-03-24,33
2010-03-25,36
2010-03-26,39
2010-03-27,42
2010-03-28,42
2010-05-02,44
2010-05-03,45
2010-05-04,45
2010-05-05,46
2010-05-06,46
2010-05-07,47
2010-05-08,48
2010-05-09,46
2010-05-10,43
2010-05-11,42
2010-05-12,40
2010-05-13,39
2010-05-14,37
2010-05-15,36
2010-05-16,36
2010-05-17,36
2010-05-18,36
2010-05-19,36
2010-05-20,36
2010-05-21,36
2010-05-22,36
2010-05-23,36
2010-05-24,37
2010-05-25,38
2010-05-26,39
2010-05-27,40
2010-05-28,40
2010-05-29,41
2010-05-30,40
2010-05-31,39
2010-06-01,38
2010-06-02,38
2010-06-03,37
2010-06-04,36
2010-06-05,36
2010-06-06,36
2010-06-07,36
2010-06-08,36
2010-06-09,36
2010-06-10,36
2010-06-11,36
2010-06-12,36
2010-06-13,38
2010-06-14,40
2010-06-15,42
2010-06-16,44
2010-06-17,46
2010-06-18,48
2010-06-19,50
2010-06-20,46
2010-06-21,42
2010-06-22,38
2010-06-23,34
2010-06-24,30
2010-06-25,26
2010-06-26,23
2010-06-27,27
2010-06-28,31
2010-06-29,36
2010-06-30,40
2010-07-01,44
2010-07-02,48
2010-07-03,53
2010-07-04,51
2010-07-05,49
2010-07-06,47
2010-07-07,45
2010-07-08,43
2010-07-09,41
2010-07-10,39
2010-07-11,38
2010-07-12,37
2010-07-13,36
2010-07-14,36
2010-07-15,35
2010-07-16,34
2010-07-17,34
2010-07-18,34
2010-07-19,35
2010-07-20,36
2010-07-21,37
2010-07-22,37
2010-07-23,38
2010-07-24,39
2010-07-25,40
2010-08-01,44
2010-08-02,44
2010-08-03,44
2010-08-04,43
2010-08-05,43
2010-08-06,43
2010-08-07,43
2010-08-08,43
2010-08-09,44
2010-08-10,45
2010-08-11,46
2010-08-12,47
2010-08-13,48
2010-08-14,49
2010-08-15,46
2010-08-16,44
2010-08-17,42
2010-08-18,40
2010-08-19,38
2010-08-20,36
2010-08-21,34
2010-08-22,34
2010-08-23,34
2010-08-24,34
2010-08-25,34
2010-08-26,34
2010-08-27,35
2010-08-28,35
2010-08-29,35
2010-08-30,35
2010-08-31,36
2010-09-01,36
2010-09-02,37
2010-09-03,37
2010-09-04,38
2010-09-05,37
2010-09-06,37
2010-09-07,37
2010-09-08,37
2010-09-09,36
2010-09-10,36
2010-09-11,36
2010-09-12,36
2010-09-13,36
2010-09-14,36
2010-09-15,36
2010-09-16,36
2010-09-17,36
2010-09-18,37
2010-09-19,37
2010-09-20,38
2010-09-21,38
2010-09-22,39
2010-09-23,40
2010-09-24,40
2010-09-25,41
2010-09-26,40
2010-09-27,39
2010-09-28,38
2010-09-29,38
2010-09-30,37
2010-10-01,36
2010-10-02,36
2010-10-03,37
2010-10-04,38
2010-10-05,39
2010-10-06,41
2010-10-07,42
2010-10-08,43
2010-10-09,44
2010-10-10,41
2010-10-11,38
2010-10-12,35
2010-10-13,32
2010-10-14,29
2010-10-15,26
2010-10-16,23
2010-10-17,25
2010-10-18,28
2010-10-19,30
2010-10-20,33
2010-10-21,36
2010-10-22,38
2010-10-23,41
2010-10-24,41
2010-10-25,41
2010-10-26,41
2010-10-27,41
2010-10-28,41
2010-10-29,41
2010-10-30,41
2010-10-31,41
2010-11-07,44
2010-11-08,44
2010-11-09,44
2010-11-10,44
2010-11-11,44
2010-11-12,44
2010-11-13,44
2010-11-14,41
2010-11-15,37
2010-11-16,34
2010-11-17,31
2010-11-18,28
2010-11-19,25
2010-11-20,22
2010-11-21,24
2010-11-22,27
2010-11-23,29
2010-11-24,32
2010-11-25,34
2010-11-26,37
2010-11-27,40
2010-11-28,40
2010-11-29,40
2010-11-30,40
2010-12-01,40
2010-12-02,40
2010-12-03,40
2010-12-04,41
2010-12-05,41
2010-12-06,42
2010-12-07,43
2010-12-08,44
2010-12-09,45
2010-12-10,46
2010-12-11,47
2010-12-12,54
2010-12-13,63
2010-12-14,70
2010-12-15,78
2010-12-16,86
2010-12-17,94
2010-12-18,102
2010-12-19,94
2010-12-20,85
2010-12-21,77
2010-12-22,69
2010-12-23,62
2010-12-24,54
2010-12-25,46
2010-12-26,44
2010-12-27,41
2010-12-28,39
2010-12-29,37
2010-12-30,35
2010-12-31,33
2011-01-01,31
2011-01-02,30
2011-01-03,29
2011-01-04,29
2011-01-05,28
2011-01-06,28
2011-01-07,27
2011-01-08,27
2011-01-09,30
2011-01-10,33
2011-01-11,37
2011-01-12,40
2011-01-13,44
2011-01-14,47
2011-01-15,51
2011-01-16,50
2011-01-17,50
2011-01-18,50
2011-01-19,50
2011-01-20,50
2011-01-21,49
2011-01-22,49
2011-01-23,46
2011-01-24,42
2011-01-25,39
2011-01-26,36
2011-01-27,33
2011-01-28,30
2011-01-29,27
2011-01-30,29
