Date,Jive Software
2011-02-12,20
2011-02-13,19
2011-02-14,19
2011-02-15,19
2011-02-16,19
2011-02-17,19
2011-02-18,19
2011-02-19,20
2011-02-20,20
2011-02-21,20
2011-02-22,20
2011-02-23,20
2011-02-24,20
2011-02-25,20
2011-02-26,20
2011-02-27,20
2011-02-28,20
2011-03-01,20
2011-03-02,20
2011-03-03,21
2011-03-04,20
2011-03-05,21
2011-03-06,21
2011-03-07,21
2011-03-08,21
2011-03-09,21
2011-03-10,21
2011-03-11,21
2011-03-12,22
2011-03-13,21
2011-03-14,20
2011-03-15,19
2011-03-16,19
2011-03-17,18
2011-03-18,17
2011-03-19,17
2011-03-20,16
2011-03-21,16
2011-03-22,17
2011-03-23,16
2011-03-24,16
2011-03-25,16
2011-03-26,16
2011-03-27,18
2011-03-28,20
2011-03-29,22
2011-03-30,26
2011-03-31,27
2011-05-01,19
2011-05-02,19
2011-05-03,19
2011-05-04,19
2011-05-05,19
2011-05-06,19
2011-05-07,19
2011-05-08,19
2011-05-09,19
2011-05-10,19
2011-05-11,20
2011-05-12,20
2011-05-13,20
2011-05-14,22
2011-05-15,21
2011-05-16,22
2011-05-17,22
2011-05-18,23
2011-05-19,23
2011-05-20,26
2011-05-21,25
2011-05-22,24
2011-05-23,24
2011-05-24,24
2011-05-25,25
2011-05-26,24
2011-05-27,25
2011-05-28,24
2011-05-29,23
2011-05-30,22
2011-05-31,22
2011-06-01,21
2011-06-02,21
2011-06-03,22
2011-06-04,20
2011-06-05,20
2011-06-06,20
2011-06-07,20
2011-06-08,20
2011-06-09,20
2011-06-10,20
2011-06-11,20
2011-06-12,20
2011-06-13,20
2011-06-14,20
2011-06-15,20
2011-06-16,21
2011-06-17,20
2011-06-18,20
2011-06-19,19
2011-06-20,18
2011-06-21,17
2011-06-22,17
2011-06-23,16
2011-06-24,15
2011-06-25,15
2011-06-26,16
2011-06-27,17
2011-06-28,18
2011-06-29,19
2011-06-30,22
2011-07-01,21
2011-07-02,23
2011-07-03,22
2011-07-04,22
2011-07-05,22
2011-07-06,22
2011-07-07,22
2011-07-08,23
2011-07-09,22
2011-07-10,22
2011-07-11,22
2011-07-12,22
2011-07-13,22
2011-07-14,22
2011-07-15,22
2011-07-16,22
2011-07-17,21
2011-07-18,21
2011-07-19,22
2011-07-20,20
2011-07-21,21
2011-07-22,20
2011-07-23,20
2011-07-24,20
2011-07-25,20
2011-07-26,22
2011-07-27,21
2011-07-28,21
2011-07-29,21
2011-07-30,22
2011-07-31,22
2011-08-01,22
2011-08-02,23
2011-08-03,23
2011-08-04,24
2011-08-05,25
2011-08-06,25
2011-08-07,24
2011-08-08,23
2011-08-09,23
2011-08-10,21
2011-08-11,21
2011-08-12,19
2011-08-13,19
2011-08-14,20
2011-08-15,21
2011-08-16,23
2011-08-17,24
2011-08-18,26
2011-08-19,29
2011-08-20,31
2011-08-21,30
2011-08-22,31
2011-08-23,33
2011-08-24,34
2011-08-25,36
2011-08-26,41
2011-08-27,42
2011-08-28,37
2011-08-29,35
2011-08-30,33
2011-08-31,31
2011-09-01,31
2011-09-02,27
2011-09-03,26
2011-09-04,25
2011-09-05,25
2011-09-06,25
2011-09-07,24
2011-09-08,26
2011-09-09,24
2011-09-10,25
2011-09-11,24
2011-09-12,24
2011-09-13,24
2011-09-14,24
2011-09-15,24
2011-09-16,25
2011-09-17,25
2011-09-18,25
2011-09-19,25
2011-09-20,28
2011-09-21,26
2011-09-22,27
2011-09-23,26
2011-09-24,27
2011-09-25,26
2011-09-26,25
2011-09-27,24
2011-09-28,24
2011-09-29,22
2011-09-30,21
2011-10-01,21
2011-10-02,21
2011-10-03,21
2011-10-04,21
2011-10-05,23
2011-10-06,21
2011-10-07,21
2011-10-08,22
2011-10-09,21
2011-10-10,21
2011-10-11,21
2011-10-12,21
2011-10-13,21
2011-10-14,21
2011-10-15,21
2011-10-16,20
2011-10-17,19
2011-10-18,20
2011-10-19,18
2011-10-20,18
2011-10-21,17
2011-10-22,17
2011-10-23,17
2011-10-24,18
2011-10-25,20
2011-10-26,20
2011-10-27,21
2011-10-28,22
2011-10-29,23
2011-10-30,21
2011-10-31,20
2011-11-01,19
2011-11-02,19
2011-11-03,17
2011-11-04,16
2011-11-05,15
2011-11-06,15
2011-11-07,16
2011-11-08,17
2011-11-09,17
2011-11-10,20
2011-11-11,19
2011-11-12,20
2011-11-13,20
2011-11-14,20
2011-11-15,20
2011-11-16,21
2011-11-17,21
2011-11-18,21
2011-11-19,23
2011-11-20,21
2011-11-21,21
2011-11-22,21
2011-11-23,20
2011-11-24,21
2011-11-25,20
2011-11-26,20
2011-11-27,22
2011-11-28,24
2011-11-29,26
2011-11-30,29
2011-12-01,32
2011-12-02,34
2011-12-03,38
2011-12-04,35
2011-12-05,34
2011-12-06,34
2011-12-07,35
2011-12-08,33
2011-12-09,32
2011-12-10,32
2011-12-11,41
2011-12-12,51
2011-12-13,61
2011-12-14,81
2011-12-15,89
2011-12-16,90
2011-12-17,113
2011-12-18,89
2011-12-19,78
2011-12-20,67
2011-12-21,57
2011-12-22,46
2011-12-23,35
2011-12-24,25
2011-12-25,23
2011-12-26,21
2011-12-27,20
2011-12-28,18
2011-12-29,17
2011-12-30,15
2011-12-31,14
2012-01-01,14
2012-01-02,14
2012-01-03,15
2012-01-04,15
2012-01-05,16
2012-01-06,16
2012-01-07,17
2012-01-08,18
2012-01-09,19
2012-01-10,21
2012-01-11,21
2012-01-12,23
2012-01-13,23
2012-01-14,25
2012-01-15,24
2012-01-16,24
2012-01-17,25
2012-01-18,23
2012-01-19,24
2012-01-20,23
2012-01-21,23
2012-01-22,22
2012-01-23,22
2012-01-24,22
2012-01-25,21
2012-01-26,21
2012-01-27,22
2012-01-28,21
2012-01-29,21
2012-01-30,22
2012-01-31,23
2012-02-01,24
2012-02-02,25
2012-02-03,26
2012-02-04,30
2012-02-05,26
2012-02-06,26
2012-02-07,26
2012-02-08,26
2012-02-09,27
2012-02-10,26
2012-02-11,27
2012-02-12,25
2012-02-13,25
2012-02-14,26
2012-02-15,24
2012-02-16,25
2012-02-17,24
2012-02-18,24
2012-02-19,23
2012-02-20,23
2012-02-21,23
2012-02-22,24
2012-02-23,23
2012-02-24,25
2012-02-25,23
2012-02-26,23
2012-02-27,23
2012-02-28,23
2012-02-29,25
2012-03-01,24
2012-03-02,24
2012-03-03,25
2012-03-04,24
2012-03-05,23
2012-03-06,22
2012-03-07,24
2012-03-08,21
2012-03-09,21
2012-03-10,20
2012-03-11,20
2012-03-12,21
2012-03-13,22
2012-03-14,24
2012-03-15,24
2012-03-16,25
2012-03-17,26
2012-03-18,25
2012-03-19,25
2012-03-20,25
2012-03-21,27
2012-03-22,24
2012-03-23,24
2012-03-24,24
2012-03-25,24
2012-03-26,24
2012-03-27,25
2012-03-28,25
2012-03-29,25
2012-03-30,24
2012-03-31,25
2012-04-01,24
2012-04-02,24
2012-04-03,24
2012-04-04,23
2012-04-05,22
2012-04-06,24
2012-04-07,22
2012-04-08,21
2012-04-09,21
2012-04-10,21
2012-04-11,21
2012-04-12,21
2012-04-13,22
2012-04-14,22
2012-04-15,21
2012-04-16,21
2012-04-17,21
2012-04-18,21
2012-04-19,21
2012-04-20,23
2012-04-21,21
