Date,Rocket Fuel
2013-02-09,49
2013-02-10,49
2013-02-11,47
2013-02-12,46
2013-02-13,47
2013-02-14,46
2013-02-15,50
2013-02-16,44
2013-02-17,43
2013-02-18,43
2013-02-19,42
2013-02-20,41
2013-02-21,41
2013-02-22,41
2013-02-23,43
2013-02-24,39
2013-02-25,39
2013-02-26,41
2013-02-27,39
2013-02-28,39
2013-03-01,40
2013-03-02,39
2013-03-03,39
2013-03-04,38
2013-03-05,40
2013-03-06,39
2013-03-07,38
2013-03-08,40
2013-03-09,39
2013-03-10,39
2013-03-11,40
2013-03-12,42
2013-03-13,43
2013-03-14,45
2013-03-15,45
2013-03-16,47
2013-03-17,47
2013-03-18,45
2013-03-19,45
2013-03-20,44
2013-03-21,43
2013-03-22,48
2013-03-23,42
2013-03-24,42
2013-03-25,43
2013-03-26,44
2013-03-27,45
2013-03-28,51
2013-03-29,47
2013-03-30,48
2013-03-31,51
2013-05-01,51
2013-05-02,50
2013-05-03,51
2013-05-04,50
2013-05-05,53
2013-05-06,48
2013-05-07,47
2013-05-08,47
2013-05-09,48
2013-05-10,45
2013-05-11,49
2013-05-12,44
2013-05-13,44
2013-05-14,44
2013-05-15,45
2013-05-16,44
2013-05-17,47
2013-05-18,46
2013-05-19,43
2013-05-20,43
2013-05-21,42
2013-05-22,43
2013-05-23,42
2013-05-24,44
2013-05-25,41
2013-05-26,41
2013-05-27,45
2013-05-28,42
2013-05-29,43
2013-05-30,43
2013-05-31,44
2013-06-01,47
2013-06-02,45
2013-06-03,46
2013-06-04,47
2013-06-05,47
2013-06-06,48
2013-06-07,51
2013-06-08,50
2013-06-09,49
2013-06-10,51
2013-06-11,48
2013-06-12,49
2013-06-13,48
2013-06-14,46
2013-06-15,47
2013-06-16,45
2013-06-17,44
2013-06-18,48
2013-06-19,42
2013-06-20,41
2013-06-21,41
2013-06-22,39
2013-06-23,39
2013-06-24,41
2013-06-25,39
2013-06-26,40
2013-06-27,40
2013-06-28,42
2013-06-29,41
2013-06-30,46
2013-07-01,43
2013-07-02,44
2013-07-03,50
2013-07-04,48
2013-07-05,51
2013-07-06,50
2013-07-07,49
2013-07-08,51
2013-07-09,48
2013-07-10,48
2013-07-11,49
2013-07-12,47
2013-07-13,47
2013-07-14,47
2013-07-15,50
2013-07-16,44
2013-07-17,46
2013-07-18,42
2013-07-19,42
2013-07-20,41
2013-07-21,44
2013-07-22,41
2013-07-23,41
2013-07-24,41
2013-07-25,42
2013-07-26,41
2013-07-27,45
2013-07-28,42
2013-07-29,46
2013-07-30,44
2013-07-31,44
2013-08-01,44
2013-08-02,45
2013-08-03,46
2013-08-04,48
2013-08-05,47
2013-08-06,47
2013-08-07,48
2013-08-08,51
2013-08-09,49
2013-08-10,52
2013-08-11,51
2013-08-12,49
2013-08-13,48
2013-08-14,48
2013-08-15,50
2013-08-16,47
2013-08-17,48
2013-08-18,48
2013-08-19,49
2013-08-20,53
2013-08-21,54
2013-08-22,54
2013-08-23,54
2013-08-24,59
2013-08-25,55
2013-08-26,52
2013-08-27,51
2013-08-28,49
2013-08-29,47
2013-08-30,47
2013-08-31,44
2013-09-01,44
2013-09-02,45
2013-09-03,44
2013-09-04,44
2013-09-05,44
2013-09-06,44
2013-09-07,46
2013-09-08,46
2013-09-09,47
2013-09-10,48
2013-09-11,50
2013-09-12,50
2013-09-13,53
2013-09-14,52
2013-09-15,62
2013-09-16,65
2013-09-17,73
2013-09-18,79
2013-09-19,86
2013-09-20,93
2013-09-21,113
2013-09-22,100
2013-09-23,97
2013-09-24,91
2013-09-25,95
2013-09-26,87
2013-09-27,86
2013-09-28,85
2013-09-29,78
2013-09-30,75
2013-10-01,73
2013-10-02,69
2013-10-03,66
2013-10-04,64
2013-10-05,67
2013-10-06,59
2013-10-07,59
2013-10-08,58
2013-10-09,61
2013-10-10,57
2013-10-11,59
2013-10-12,58
2013-10-13,56
2013-10-14,58
2013-10-15,56
2013-10-16,55
2013-10-17,55
2013-10-18,55
2013-10-19,59
2013-10-20,55
2013-10-21,55
2013-10-22,57
2013-10-23,55
2013-10-24,55
2013-10-25,57
2013-10-26,60
2013-10-27,56
2013-10-28,56
2013-10-29,58
2013-10-30,56
2013-10-31,59
2013-11-01,56
2013-11-02,57
2013-11-03,59
2013-11-04,58
2013-11-05,59
2013-11-06,59
2013-11-07,60
2013-11-08,62
2013-11-09,65
2013-11-10,63
2013-11-11,62
2013-11-12,62
2013-11-13,63
2013-11-14,64
2013-11-15,62
2013-11-16,64
2013-11-17,69
2013-11-18,62
2013-11-19,62
2013-11-20,66
2013-11-21,62
2013-11-22,64
2013-11-23,62
2013-11-24,59
2013-11-25,56
2013-11-26,58
2013-11-27,54
2013-11-28,49
2013-11-29,47
2013-11-30,47
2013-12-01,45
2013-12-02,46
2013-12-03,47
2013-12-04,50
2013-12-05,51
2013-12-06,51
2013-12-07,54
2013-12-08,53
2013-12-09,57
2013-12-10,56
2013-12-11,56
2013-12-12,57
2013-12-13,60
2013-12-14,61
2013-12-15,57
2013-12-16,56
2013-12-17,55
2013-12-18,53
2013-12-19,55
2013-12-20,51
2013-12-21,50
2013-12-22,50
2013-12-23,53
2013-12-24,46
2013-12-25,44
2013-12-26,43
2013-12-27,43
2013-12-28,42
2013-12-29,42
2013-12-30,44
2013-12-31,44
2014-01-01,45
2014-01-02,46
2014-01-03,49
2014-01-04,48
2014-01-05,48
2014-01-06,46
2014-01-07,45
2014-01-08,44
2014-01-09,43
2014-01-10,44
2014-01-11,45
2014-01-12,43
2014-01-13,45
2014-01-14,47
2014-01-15,53
2014-01-16,51
2014-01-17,54
2014-01-18,57
2014-01-19,54
2014-01-20,54
2014-01-21,56
2014-01-22,53
2014-01-23,55
2014-01-24,53
2014-01-25,56
2014-01-26,54
2014-01-27,53
2014-01-28,53
2014-01-29,53
2014-01-30,56
2014-01-31,53
2014-02-01,54
2014-02-02,57
2014-02-03,54
2014-02-04,54
2014-02-05,54
2014-02-06,57
2014-02-07,54
2014-02-08,54
2014-02-09,57
2014-02-10,54
2014-02-11,54
2014-02-12,59
2014-02-13,55
2014-02-14,55
2014-02-15,56
2014-02-16,56
2014-02-17,55
2014-02-18,56
2014-02-19,54
2014-02-20,53
2014-02-21,53
2014-02-22,56
2014-02-23,53
2014-02-24,54
2014-02-25,55
2014-02-26,57
2014-02-27,57
2014-02-28,60
