Date,Bard Holding
2010-12-01,0
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,0
2011-01-02,0
2011-01-03,0
2011-01-04,0
2011-01-05,0
2011-01-06,0
2011-01-07,0
2011-01-08,0
2011-01-09,0
2011-01-10,0
2011-01-11,0
2011-01-12,0
2011-01-13,0
2011-01-14,0
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,0
2011-02-01,0
2011-02-02,2
2011-02-03,5
2011-02-04,7
2011-02-05,10
2011-02-06,12
2011-02-07,15
2011-02-08,18
2011-02-09,20
2011-02-10,23
2011-02-11,25
2011-02-12,28
2011-02-13,30
2011-02-14,33
2011-02-15,36
2011-02-16,38
2011-02-17,41
2011-02-18,43
2011-02-19,46
2011-02-20,48
2011-02-21,51
2011-02-22,54
2011-02-23,56
2011-02-24,59
2011-02-25,61
2011-02-26,64
2011-02-27,66
2011-02-28,69
2011-03-01,72
2011-03-02,71
2011-03-03,71
2011-03-04,71
2011-03-05,71
2011-03-06,71
2011-03-07,71
2011-03-08,71
2011-03-09,71
2011-03-10,71
2011-03-11,71
2011-03-12,71
2011-03-13,71
2011-03-14,71
2011-03-15,71
2011-03-16,71
2011-03-17,71
2011-03-18,71
2011-03-19,71
2011-03-20,71
2011-03-21,71
2011-03-22,71
2011-03-23,71
2011-03-24,71
2011-03-25,71
2011-03-26,71
2011-03-27,71
2011-03-28,71
2011-03-29,71
2011-03-30,71
2011-03-31,71
2011-04-01,71
2011-04-02,68
2011-04-03,66
2011-04-04,63
2011-04-05,61
2011-04-06,59
2011-04-07,56
2011-04-08,54
2011-04-09,52
2011-04-10,49
2011-04-11,47
2011-04-12,44
2011-04-13,42
2011-04-14,40
2011-04-15,37
2011-04-16,35
2011-04-17,33
2011-04-18,30
2011-04-19,28
2011-04-20,26
2011-04-21,23
2011-04-22,21
2011-04-23,18
2011-04-24,16
2011-04-25,14
2011-04-26,11
2011-04-27,9
2011-04-28,7
2011-04-29,4
2011-04-30,2
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,3
2011-09-03,6
2011-09-04,10
2011-09-05,13
2011-09-06,16
2011-09-07,20
2011-09-08,23
2011-09-09,26
2011-09-10,30
2011-09-11,33
2011-09-12,36
2011-09-13,40
2011-09-14,43
2011-09-15,46
2011-09-16,50
2011-09-17,53
2011-09-18,56
2011-09-19,60
2011-09-20,63
2011-09-21,66
2011-09-22,70
2011-09-23,73
2011-09-24,76
2011-09-25,80
2011-09-26,83
2011-09-27,86
2011-09-28,90
2011-09-29,93
2011-09-30,96
2011-10-01,100
2011-10-02,98
2011-10-03,97
2011-10-04,95
2011-10-05,94
2011-10-06,93
2011-10-07,91
2011-10-08,90
2011-10-09,89
2011-10-10,87
2011-10-11,86
2011-10-12,85
2011-10-13,83
2011-10-14,82
2011-10-15,81
2011-10-16,79
2011-10-17,78
2011-10-18,76
2011-10-19,75
2011-10-20,74
2011-10-21,72
2011-10-22,71
2011-10-23,70
2011-10-24,68
2011-10-25,67
2011-10-26,66
2011-10-27,64
2011-10-28,63
2011-10-29,62
2011-10-30,60
2011-10-31,59
2011-11-01,58
2011-11-02,58
2011-11-03,58
2011-11-04,58
2011-11-05,58
2011-11-06,58
2011-11-07,58
2011-11-08,58
2011-11-09,58
2011-11-10,58
2011-11-11,58
2011-11-12,58
2011-11-13,58
