Date,Higher One
2009-09-12,40
2009-09-13,40
2009-09-14,40
2009-09-15,42
2009-09-16,43
2009-09-17,43
2009-09-18,45
2009-09-19,46
2009-09-20,44
2009-09-21,42
2009-09-22,42
2009-09-23,41
2009-09-24,39
2009-09-25,38
2009-09-26,40
2009-09-27,38
2009-09-28,36
2009-09-29,36
2009-09-30,37
2009-10-01,36
2009-10-02,37
2009-10-03,36
2009-10-04,40
2009-10-05,35
2009-10-06,34
2009-10-07,34
2009-10-08,34
2009-10-09,33
2009-10-10,34
2009-10-11,32
2009-10-12,32
2009-10-13,31
2009-10-14,31
2009-10-15,31
2009-10-16,30
2009-10-17,32
2009-10-18,29
2009-10-19,29
2009-10-20,30
2009-10-21,29
2009-10-22,29
2009-10-23,29
2009-10-24,29
2009-10-25,30
2009-10-26,28
2009-10-27,28
2009-10-28,28
2009-10-29,28
2009-10-30,28
2009-10-31,28
2009-11-01,30
2009-11-02,28
2009-11-03,28
2009-11-04,28
2009-11-05,28
2009-11-06,28
2009-11-07,29
2009-11-08,27
2009-11-09,27
2009-11-10,27
2009-11-11,27
2009-11-12,27
2009-11-13,26
2009-11-14,26
2009-11-15,27
2009-11-16,26
2009-11-17,26
2009-11-18,26
2009-11-19,26
2009-11-20,26
2009-11-21,28
2009-11-22,25
2009-11-23,24
2009-11-24,23
2009-11-25,22
2009-11-26,22
2009-11-27,20
2009-11-28,19
2009-11-29,19
2009-11-30,20
2009-12-01,21
2009-12-02,21
2009-12-03,22
2009-12-04,24
2009-12-05,24
2009-12-06,24
2009-12-07,24
2009-12-08,27
2009-12-09,25
2009-12-10,25
2009-12-11,25
2009-12-12,28
2009-12-13,25
2009-12-14,26
2009-12-15,24
2009-12-16,25
2009-12-17,23
2009-12-18,23
2009-12-19,23
2009-12-20,22
2009-12-21,23
2009-12-22,23
2009-12-23,22
2009-12-24,23
2009-12-25,22
2009-12-26,22
2009-12-27,23
2009-12-28,21
2009-12-29,21
2009-12-30,20
2009-12-31,21
2010-01-01,21
2010-01-02,21
2010-01-03,22
2010-01-04,24
2010-01-05,27
2010-01-06,29
2010-01-07,31
2010-01-08,33
2010-01-09,37
2010-01-10,37
2010-01-11,38
2010-01-12,39
2010-01-13,40
2010-01-14,41
2010-01-15,42
2010-01-16,46
2010-01-17,44
2010-01-18,45
2010-01-19,46
2010-01-20,47
2010-01-21,48
2010-01-22,49
2010-01-23,51
2010-01-24,55
2010-01-25,49
2010-01-26,49
2010-01-27,49
2010-01-28,48
2010-01-29,48
2010-01-30,50
2010-01-31,47
2010-02-01,47
2010-02-02,48
2010-02-03,47
2010-02-04,47
2010-02-05,47
2010-02-06,50
2010-02-07,45
2010-02-08,45
2010-02-09,43
2010-02-10,43
2010-02-11,42
2010-02-12,40
2010-02-13,41
2010-02-14,38
2010-02-15,37
2010-02-16,37
2010-02-17,37
2010-02-18,35
2010-02-19,35
2010-02-20,35
2010-02-21,33
2010-02-22,33
2010-02-23,34
2010-02-24,32
2010-02-25,33
2010-02-26,32
2010-02-27,32
2010-02-28,34
2010-03-01,33
2010-03-02,34
2010-03-03,35
2010-03-04,35
2010-03-05,36
2010-03-06,37
2010-03-07,37
2010-03-08,35
2010-03-09,34
2010-03-10,33
2010-03-11,32
2010-03-12,32
2010-03-13,30
2010-03-14,29
2010-03-15,28
2010-03-16,29
2010-03-17,27
2010-03-18,27
2010-03-19,26
2010-03-20,27
2010-03-21,26
2010-03-22,27
2010-03-23,28
2010-03-24,29
2010-03-25,29
2010-03-26,30
2010-03-27,32
2010-03-28,31
2010-03-29,31
2010-03-30,31
2010-03-31,31
2010-04-01,31
2010-04-02,32
2010-04-03,31
2010-04-04,33
2010-04-05,29
2010-04-06,30
2010-04-07,28
2010-04-08,29
2010-04-09,27
2010-04-10,27
2010-04-11,28
2010-04-12,26
2010-04-13,27
2010-04-14,26
2010-04-15,27
2010-04-16,26
2010-04-17,27
2010-04-18,25
2010-04-19,25
2010-04-20,26
2010-04-21,25
2010-04-22,25
2010-04-23,26
2010-04-24,27
2010-04-25,25
2010-04-26,25
2010-04-27,28
2010-04-28,26
2010-04-29,28
2010-04-30,27
2010-05-01,29
2010-05-02,28
2010-05-03,28
2010-05-04,28
2010-05-05,28
2010-05-06,28
2010-05-07,28
2010-05-08,29
2010-05-09,29
2010-05-10,27
2010-05-11,27
2010-05-12,27
2010-05-13,26
2010-05-14,27
2010-05-15,27
2010-05-16,26
2010-05-17,26
2010-05-18,26
2010-05-19,27
2010-05-20,26
2010-05-21,27
2010-05-22,29
2010-05-23,27
2010-05-24,27
2010-05-25,29
2010-05-26,28
2010-05-27,28
2010-05-28,28
2010-05-29,31
2010-05-30,30
2010-05-31,29
2010-06-01,29
2010-06-02,29
2010-06-03,29
2010-06-04,29
2010-06-05,31
2010-06-06,29
2010-06-07,30
2010-06-08,30
2010-06-09,31
2010-06-10,31
2010-06-11,32
2010-06-12,33
2010-06-13,35
2010-06-14,34
2010-06-15,35
2010-06-16,37
2010-06-17,35
2010-06-18,38
2010-06-19,37
2010-06-20,36
2010-06-21,36
2010-06-22,36
2010-06-23,35
2010-06-24,36
2010-06-25,34
2010-06-26,37
2010-06-27,33
2010-06-28,33
2010-06-29,32
2010-06-30,33
2010-07-01,31
2010-07-02,31
2010-07-03,33
2010-07-04,31
2010-07-05,32
2010-07-06,32
2010-07-07,33
2010-07-08,34
2010-07-09,34
2010-07-10,35
2010-07-11,39
2010-07-12,33
2010-07-13,36
2010-07-14,32
2010-07-15,32
2010-07-16,32
2010-07-17,33
2010-07-18,31
2010-07-19,31
2010-07-20,33
2010-07-21,31
2010-07-22,31
2010-07-23,31
2010-07-24,32
2010-07-25,31
2010-07-26,31
2010-07-27,31
2010-07-28,31
2010-07-29,31
2010-07-30,33
2010-07-31,31
2010-08-01,32
2010-08-02,30
2010-08-03,31
2010-08-04,29
2010-08-05,29
2010-08-06,29
2010-08-07,30
2010-08-08,30
2010-08-09,31
2010-08-10,32
2010-08-11,33
2010-08-12,34
2010-08-13,35
2010-08-14,37
2010-08-15,37
2010-08-16,39
2010-08-17,40
2010-08-18,43
2010-08-19,43
2010-08-20,46
2010-08-21,50
2010-08-22,47
2010-08-23,48
2010-08-24,50
2010-08-25,53
2010-08-26,53
2010-08-27,54
2010-08-28,59
2010-08-29,56
2010-08-30,55
2010-08-31,55
2010-09-01,55
2010-09-02,55
2010-09-03,55
2010-09-04,58
2010-09-05,55
2010-09-06,55
2010-09-07,54
2010-09-08,54
2010-09-09,54
2010-09-10,55
2010-09-11,56
2010-09-12,55
2010-09-13,55
2010-09-14,58
2010-09-15,56
2010-09-16,57
2010-09-17,57
2010-09-18,61
2010-09-19,59
2010-09-20,58
2010-09-21,58
2010-09-22,58
2010-09-23,58
2010-09-24,59
2010-09-25,59
2010-09-26,60
2010-09-27,58
2010-09-28,58
2010-09-29,59
2010-09-30,61
2010-10-01,58
2010-10-02,61
2010-10-03,61
2010-10-04,57
2010-10-05,59
2010-10-06,55
2010-10-07,56
2010-10-08,53
2010-10-09,57
2010-10-10,53
2010-10-11,52
2010-10-12,52
2010-10-13,51
2010-10-14,51
2010-10-15,53
2010-10-16,51
2010-10-17,53
2010-10-18,50
2010-10-19,52
2010-10-20,50
2010-10-21,51
2010-10-22,50
2010-10-23,53
2010-10-24,49
2010-10-25,49
2010-10-26,50
2010-10-27,49
2010-10-28,49
2010-10-29,49
2010-10-30,51
2010-10-31,50
2010-11-01,49
2010-11-02,53
2010-11-03,49
2010-11-04,49
2010-11-05,50
2010-11-06,50
2010-11-07,51
2010-11-08,48
2010-11-09,49
2010-11-10,47
2010-11-11,46
2010-11-12,45
2010-11-13,46
2010-11-14,45
2010-11-15,44
2010-11-16,44
2010-11-17,44
2010-11-18,44
2010-11-19,44
2010-11-20,46
2010-11-21,42
2010-11-22,41
2010-11-23,40
2010-11-24,41
2010-11-25,41
2010-11-26,37
2010-11-27,36
2010-11-28,36
2010-11-29,36
2010-11-30,36
2010-12-01,37
2010-12-02,38
2010-12-03,37
2010-12-04,38
2010-12-05,39
2010-12-06,38
2010-12-07,38
2010-12-08,38
2010-12-09,38
2010-12-10,38
2010-12-11,39
2010-12-12,38
2010-12-13,38
2010-12-14,38
2010-12-15,38
2010-12-16,39
2010-12-17,38
2010-12-18,38
2010-12-19,39
2010-12-20,38
2010-12-21,38
2010-12-22,39
2010-12-23,41
2010-12-24,41
2010-12-25,40
2010-12-26,39
2010-12-27,39
2010-12-28,39
2010-12-29,38
2010-12-30,37
2010-12-31,37
2011-01-01,39
2011-01-02,39
2011-01-03,41
2011-01-04,45
2011-01-05,46
2011-01-06,48
2011-01-07,50
2011-01-08,58
2011-01-09,54
2011-01-10,55
2011-01-11,57
2011-01-12,58
2011-01-13,62
2011-01-14,61
2011-01-15,65
2011-01-16,69
2011-01-17,66
2011-01-18,68
2011-01-19,69
2011-01-20,75
2011-01-21,73
2011-01-22,79
2011-01-23,78
2011-01-24,74
2011-01-25,73
2011-01-26,75
2011-01-27,72
2011-01-28,72
2011-01-29,74
2011-01-30,76
2011-01-31,73
2011-02-01,74
2011-02-02,77
2011-02-03,76
2011-02-04,77
2011-02-05,82
2011-02-06,83
2011-02-07,78
2011-02-08,80
2011-02-09,78
2011-02-10,79
2011-02-11,78
2011-02-12,84
2011-02-13,80
2011-02-14,75
2011-02-15,74
2011-02-16,71
2011-02-17,74
2011-02-18,67
2011-02-19,68
2011-02-20,66
2011-02-21,64
2011-02-22,64
2011-02-23,63
2011-02-24,64
2011-02-25,62
2011-02-26,63
2011-02-27,64
2011-02-28,60
2011-03-01,59
2011-03-02,60
2011-03-03,57
2011-03-04,56
2011-03-05,58
2011-03-06,55
2011-03-07,54
2011-03-08,54
2011-03-09,53
2011-03-10,51
2011-03-11,50
2011-03-12,51
2011-03-13,53
2011-03-14,48
2011-03-15,47
2011-03-16,46
2011-03-17,47
2011-03-18,44
2011-03-19,44
2011-03-20,46
2011-03-21,45
2011-03-22,46
2011-03-23,46
2011-03-24,48
2011-03-25,48
2011-03-26,50
2011-03-27,50
2011-03-28,49
2011-03-29,50
2011-03-30,50
2011-03-31,50
2011-04-01,50
2011-04-02,52
2011-04-03,52
2011-04-04,50
2011-04-05,49
2011-04-06,51
2011-04-07,48
2011-04-08,48
2011-04-09,48
2011-04-10,50
2011-04-11,47
2011-04-12,48
2011-04-13,46
2011-04-14,46
2011-04-15,46
2011-04-16,49
2011-04-17,46
2011-04-18,46
2011-04-19,46
2011-04-20,46
2011-04-21,46
2011-04-22,46
2011-04-23,48
2011-04-24,47
2011-04-25,45
2011-04-26,44
2011-04-27,46
2011-04-28,43
2011-04-29,43
2011-04-30,44
2011-05-01,44
2011-05-02,43
2011-05-03,43
2011-05-04,45
2011-05-05,43
2011-05-06,43
2011-05-07,45
2011-05-08,45
2011-05-09,44
2011-05-10,44
2011-05-11,45
2011-05-12,48
2011-05-13,46
2011-05-14,46
2011-05-15,46
2011-05-16,46
2011-05-17,46
2011-05-18,46
2011-05-19,46
2011-05-20,48
2011-05-21,49
2011-05-22,47
2011-05-23,47
2011-05-24,47
2011-05-25,47
2011-05-26,47
2011-05-27,48
2011-05-28,49
2011-05-29,50
2011-05-30,47
2011-05-31,47
2011-06-01,47
2011-06-02,47
2011-06-03,47
2011-06-04,47
2011-06-05,49
2011-06-06,48
2011-06-07,51
2011-06-08,51
2011-06-09,51
2011-06-10,54
2011-06-11,55
2011-06-12,54
2011-06-13,53
2011-06-14,54
2011-06-15,54
2011-06-16,54
2011-06-17,55
2011-06-18,55
2011-06-19,58
2011-06-20,55
2011-06-21,57
2011-06-22,55
2011-06-23,55
2011-06-24,55
2011-06-25,58
2011-06-26,55
2011-06-27,53
2011-06-28,54
2011-06-29,52
2011-06-30,51
2011-07-01,51
2011-07-02,53
2011-07-03,49
2011-07-04,50
2011-07-05,49
2011-07-06,48
2011-07-07,49
2011-07-08,48
2011-07-09,50
2011-07-10,48
2011-07-11,49
2011-07-12,51
2011-07-13,50
2011-07-14,53
2011-07-15,52
2011-07-16,57
2011-07-17,52
2011-07-18,51
2011-07-19,51
2011-07-20,49
2011-07-21,49
2011-07-22,47
2011-07-23,48
2011-07-24,48
2011-07-25,48
2011-07-26,49
2011-07-27,51
2011-07-28,51
2011-07-29,55
2011-07-30,55
2011-07-31,54
2011-08-01,51
2011-08-02,50
2011-08-03,50
2011-08-04,47
2011-08-05,46
2011-08-06,48
2011-08-07,45
2011-08-08,45
2011-08-09,46
2011-08-10,46
2011-08-11,46
2011-08-12,46
2011-08-13,47
2011-08-14,52
2011-08-15,52
2011-08-16,56
2011-08-17,57
2011-08-18,60
2011-08-19,64
2011-08-20,69
2011-08-21,67
2011-08-22,69
2011-08-23,71
2011-08-24,73
2011-08-25,75
2011-08-26,76
2011-08-27,81
2011-08-28,79
2011-08-29,80
2011-08-30,83
2011-08-31,82
