Date,Sabre Industries
2009-10-01,60
2009-10-02,59
2009-10-03,59
2009-10-04,59
2009-10-05,58
2009-10-06,58
2009-10-07,58
2009-10-08,57
2009-10-09,57
2009-10-10,57
2009-10-11,57
2009-10-12,56
2009-10-13,56
2009-10-14,56
2009-10-15,55
2009-10-16,55
2009-10-17,55
2009-10-18,55
2009-10-19,54
2009-10-20,54
2009-10-21,54
2009-10-22,53
2009-10-23,53
2009-10-24,53
2009-10-25,53
2009-10-26,52
2009-10-27,52
2009-10-28,52
2009-10-29,51
2009-10-30,51
2009-10-31,51
2009-11-01,51
2009-11-02,51
2009-11-03,52
2009-11-04,52
2009-11-05,53
2009-11-06,54
2009-11-07,54
2009-11-08,55
2009-11-09,55
2009-11-10,56
2009-11-11,57
2009-11-12,57
2009-11-13,58
2009-11-14,58
2009-11-15,59
2009-11-16,60
2009-11-17,60
2009-11-18,61
2009-11-19,61
2009-11-20,62
2009-11-21,63
2009-11-22,63
2009-11-23,64
2009-11-24,64
2009-11-25,65
2009-11-26,66
2009-11-27,66
2009-11-28,67
2009-11-29,67
2009-11-30,68
2009-12-01,69
2009-12-02,69
2009-12-03,70
2009-12-04,71
2009-12-05,72
2009-12-06,73
2009-12-07,73
2009-12-08,74
2009-12-09,75
2009-12-10,76
2009-12-11,77
2009-12-12,77
2009-12-13,78
2009-12-14,79
2009-12-15,80
2009-12-16,81
2009-12-17,81
2009-12-18,82
2009-12-19,83
2009-12-20,84
2009-12-21,85
2009-12-22,85
2009-12-23,86
2009-12-24,87
2009-12-25,88
2009-12-26,89
2009-12-27,89
2009-12-28,90
2009-12-29,91
2009-12-30,92
2009-12-31,93
2010-01-01,94
2010-01-02,94
2010-01-03,94
2010-01-04,94
2010-01-05,94
2010-01-06,94
2010-01-07,95
2010-01-08,95
2010-01-09,95
2010-01-10,95
2010-01-11,95
2010-01-12,96
2010-01-13,96
2010-01-14,96
2010-01-15,96
2010-01-16,96
2010-01-17,97
2010-01-18,97
2010-01-19,97
2010-01-20,97
2010-01-21,97
2010-01-22,98
2010-01-23,98
2010-01-24,98
2010-01-25,98
2010-01-26,98
2010-01-27,99
2010-01-28,99
2010-01-29,99
2010-01-30,99
2010-01-31,99
2010-02-01,100
2010-02-02,98
2010-02-03,96
2010-02-04,94
2010-02-05,92
2010-02-06,90
2010-02-07,88
2010-02-08,87
2010-02-09,85
2010-02-10,83
2010-02-11,81
2010-02-12,79
2010-02-13,77
2010-02-14,75
2010-02-15,74
2010-02-16,72
2010-02-17,70
2010-02-18,68
2010-02-19,66
2010-02-20,64
2010-02-21,62
2010-02-22,61
2010-02-23,59
2010-02-24,57
2010-02-25,55
2010-02-26,53
2010-02-27,51
2010-02-28,49
2010-03-01,48
2010-03-02,48
2010-03-03,49
2010-03-04,50
2010-03-05,51
2010-03-06,52
2010-03-07,53
2010-03-08,54
2010-03-09,55
2010-03-10,56
2010-03-11,57
2010-03-12,58
2010-03-13,59
2010-03-14,60
2010-03-15,61
2010-03-16,62
2010-03-17,63
2010-03-18,64
2010-03-19,65
2010-03-20,66
2010-03-21,67
2010-03-22,68
2010-03-23,69
2010-03-24,70
2010-03-25,71
2010-03-26,72
2010-03-27,73
2010-03-28,74
2010-03-29,75
2010-03-30,76
2010-03-31,77
2010-04-01,78
2010-04-02,77
2010-04-03,76
2010-04-04,76
2010-04-05,75
2010-04-06,75
2010-04-07,74
2010-04-08,74
