Date,Gordmans Stores
2009-10-10,40
2009-10-11,41
2009-10-12,38
2009-10-13,37
2009-10-14,36
2009-10-15,35
2009-10-16,37
2009-10-17,34
2009-10-18,33
2009-10-19,35
2009-10-20,33
2009-10-21,34
2009-10-22,35
2009-10-23,33
2009-10-24,33
2009-10-25,35
2009-10-26,30
2009-10-27,29
2009-10-28,28
2009-10-29,27
2009-10-30,28
2009-10-31,25
2009-11-01,27
2009-11-02,28
2009-11-03,30
2009-11-04,32
2009-11-05,34
2009-11-06,35
2009-11-07,37
2009-11-08,39
2009-11-09,37
2009-11-10,42
2009-11-11,38
2009-11-12,39
2009-11-13,38
2009-11-14,39
2009-11-15,40
2009-11-16,44
2009-11-17,42
2009-11-18,45
2009-11-19,44
2009-11-20,45
2009-11-21,49
2009-11-22,50
2009-11-23,57
2009-11-24,57
2009-11-25,60
2009-11-26,65
2009-11-27,67
2009-11-28,76
2009-11-29,72
2009-11-30,69
2009-12-01,70
2009-12-02,68
2009-12-03,66
2009-12-04,65
2009-12-05,67
2009-12-06,65
2009-12-07,66
2009-12-08,71
2009-12-09,68
2009-12-10,69
2009-12-11,70
2009-12-12,72
2009-12-13,75
2009-12-14,72
2009-12-15,71
2009-12-16,75
2009-12-17,71
2009-12-18,71
2009-12-19,71
2009-12-20,73
2009-12-21,69
2009-12-22,68
2009-12-23,68
2009-12-24,72
2009-12-25,76
2009-12-26,66
2009-12-27,67
2009-12-28,61
2009-12-29,59
2009-12-30,56
2009-12-31,53
2010-01-01,51
2010-01-02,49
2010-01-03,49
2010-01-04,45
2010-01-05,41
2010-01-06,43
2010-01-07,36
2010-01-08,34
2010-01-09,32
2010-01-10,31
2010-01-11,34
2010-01-12,31
2010-01-13,31
2010-01-14,32
2010-01-15,31
2010-01-16,33
2010-01-17,30
2010-01-18,29
2010-01-19,31
2010-01-20,29
2010-01-21,28
2010-01-22,28
2010-01-23,27
2010-01-24,27
2010-01-25,28
2010-01-26,27
2010-01-27,30
2010-01-28,27
2010-01-29,28
2010-01-30,27
2010-01-31,27
2010-02-01,29
2010-02-02,27
2010-02-03,28
2010-02-04,27
2010-02-05,27
2010-02-06,28
2010-02-07,28
2010-02-08,32
2010-02-09,29
2010-02-10,32
2010-02-11,30
2010-02-12,31
2010-02-13,32
2010-02-14,33
2010-02-15,32
2010-02-16,30
2010-02-17,29
2010-02-18,31
2010-02-19,28
2010-02-20,28
2010-02-21,27
2010-02-22,29
2010-02-23,27
2010-02-24,28
2010-02-25,27
2010-02-26,27
2010-02-27,27
2010-02-28,27
2010-03-01,29
2010-03-02,27
2010-03-03,28
2010-03-04,29
2010-03-05,30
2010-03-06,29
2010-03-07,29
2010-03-08,31
2010-03-09,29
2010-03-10,29
2010-03-11,29
2010-03-12,29
2010-03-13,29
2010-03-14,28
2010-03-15,30
2010-03-16,28
2010-03-17,28
2010-03-18,29
2010-03-19,28
2010-03-20,28
2010-03-21,28
2010-03-22,29
2010-03-23,30
2010-03-24,29
2010-03-25,30
2010-03-26,30
2010-03-27,31
2010-03-28,32
2010-03-29,33
2010-03-30,34
2010-03-31,37
2010-04-01,37
2010-04-02,38
2010-04-03,40
2010-04-04,42
2010-04-05,40
2010-04-06,37
2010-04-07,37
2010-04-08,35
2010-04-09,34
2010-04-10,33
2010-04-11,33
2010-04-12,34
2010-04-13,31
2010-04-14,31
2010-04-15,31
2010-04-16,30
2010-04-17,30
2010-04-18,30
2010-04-19,34
2010-04-20,32
2010-04-21,33
2010-04-22,36
2010-04-23,35
2010-04-24,36
2010-04-25,35
2010-04-26,37
2010-04-27,33
2010-04-28,32
2010-04-29,31
2010-04-30,32
2010-05-01,30
2010-05-02,30
2010-05-03,34
2010-05-04,31
2010-05-05,32
2010-05-06,32
2010-05-07,37
2010-05-08,34
2010-05-09,35
2010-05-10,34
2010-05-11,36
2010-05-12,34
2010-05-13,34
2010-05-14,34
2010-05-15,34
2010-05-16,33
2010-05-17,34
2010-05-18,31
2010-05-19,33
2010-05-20,30
2010-05-21,29
2010-05-22,31
2010-05-23,28
2010-05-24,31
2010-05-25,28
2010-05-26,28
2010-05-27,30
2010-05-28,28
2010-05-29,28
2010-05-30,28
2010-05-31,28
2010-06-01,29
2010-06-02,31
2010-06-03,31
2010-06-04,30
2010-06-05,31
2010-06-06,31
2010-06-07,32
2010-06-08,31
2010-06-09,31
2010-06-10,31
2010-06-11,31
2010-06-12,32
2010-06-13,30
2010-06-14,34
2010-06-15,30
2010-06-16,29
2010-06-17,32
2010-06-18,29
2010-06-19,31
2010-06-20,29
2010-06-21,29
2010-06-22,32
2010-06-23,30
2010-06-24,30
2010-06-25,32
2010-06-26,31
2010-06-27,31
2010-06-28,33
2010-06-29,35
2010-06-30,33
2010-07-01,33
2010-07-02,34
2010-07-03,36
2010-07-04,34
2010-07-05,34
2010-07-06,34
2010-07-07,35
2010-07-08,34
2010-07-09,34
2010-07-10,34
2010-07-11,35
2010-07-12,33
2010-07-13,34
2010-07-14,33
2010-07-15,35
2010-07-16,33
2010-07-17,35
2010-07-18,33
2010-07-19,35
2010-07-20,33
2010-07-21,34
2010-07-22,34
2010-07-23,34
2010-07-24,35
2010-07-25,35
2010-07-26,40
2010-07-27,37
2010-07-28,39
2010-07-29,39
2010-07-30,40
2010-07-31,41
2010-08-01,42
2010-08-02,44
2010-08-03,47
2010-08-04,47
2010-08-05,49
2010-08-06,51
2010-08-07,53
2010-08-08,52
2010-08-09,53
2010-08-10,50
2010-08-11,50
2010-08-12,48
2010-08-13,47
2010-08-14,46
2010-08-15,45
2010-08-16,48
2010-08-17,45
2010-08-18,48
2010-08-19,45
2010-08-20,46
2010-08-21,45
2010-08-22,46
2010-08-23,41
2010-08-24,41
2010-08-25,38
2010-08-26,35
2010-08-27,33
2010-08-28,32
2010-08-29,33
2010-08-30,38
2010-08-31,35
2010-09-01,36
2010-09-02,37
2010-09-03,41
2010-09-04,39
2010-09-05,40
2010-09-06,42
2010-09-07,48
2010-09-08,48
2010-09-09,46
2010-09-10,49
2010-09-11,50
2010-09-12,48
2010-09-13,47
2010-09-14,46
2010-09-15,42
2010-09-16,42
2010-09-17,38
2010-09-18,36
2010-09-19,36
2010-09-20,40
2010-09-21,38
2010-09-22,38
2010-09-23,39
2010-09-24,39
2010-09-25,43
2010-09-26,40
2010-09-27,43
2010-09-28,41
2010-09-29,41
2010-09-30,42
2010-10-01,41
2010-10-02,42
2010-10-03,41
2010-10-04,43
2010-10-05,44
2010-10-06,41
2010-10-07,42
2010-10-08,41
2010-10-09,42
2010-10-10,40
2010-10-11,44
2010-10-12,40
2010-10-13,39
2010-10-14,39
2010-10-15,39
2010-10-16,41
2010-10-17,40
2010-10-18,40
2010-10-19,41
2010-10-20,41
2010-10-21,42
2010-10-22,44
2010-10-23,44
2010-10-24,43
2010-10-25,44
2010-10-26,44
2010-10-27,42
2010-10-28,42
2010-10-29,42
2010-10-30,42
2010-10-31,46
2010-11-01,43
2010-11-02,43
2010-11-03,43
2010-11-04,46
2010-11-05,44
2010-11-06,45
2010-11-07,47
2010-11-08,49
2010-11-09,50
2010-11-10,50
2010-11-11,51
2010-11-12,53
2010-11-13,54
2010-11-14,55
2010-11-15,61
2010-11-16,58
2010-11-17,60
2010-11-18,61
2010-11-19,63
2010-11-20,64
2010-11-21,69
2010-11-22,74
2010-11-23,79
2010-11-24,84
2010-11-25,89
2010-11-26,94
2010-11-27,111
2010-11-28,99
2010-11-29,97
2010-11-30,91
2010-12-01,90
2010-12-02,84
2010-12-03,84
2010-12-04,78
2010-12-05,78
2010-12-06,80
2010-12-07,78
2010-12-08,80
2010-12-09,79
2010-12-10,83
2010-12-11,80
2010-12-12,81
2010-12-13,84
2010-12-14,86
2010-12-15,85
2010-12-16,87
2010-12-17,88
2010-12-18,90
2010-12-19,92
2010-12-20,86
2010-12-21,84
2010-12-22,84
2010-12-23,80
2010-12-24,81
2010-12-25,87
2010-12-26,74
2010-12-27,74
2010-12-28,73
2010-12-29,68
2010-12-30,67
2010-12-31,63
2011-01-01,61
2011-01-02,58
2011-01-03,60
2011-01-04,52
2011-01-05,49
2011-01-06,46
2011-01-07,43
2011-01-08,40
2011-01-09,40
2011-01-10,39
2011-01-11,37
2011-01-12,36
2011-01-13,36
2011-01-14,34
2011-01-15,34
2011-01-16,34
2011-01-17,34
2011-01-18,37
2011-01-19,35
2011-01-20,35
2011-01-21,37
2011-01-22,36
2011-01-23,36
2011-01-24,38
2011-01-25,38
2011-01-26,36
2011-01-27,36
2011-01-28,36
2011-01-29,36
2011-01-30,37
2011-01-31,38
2011-02-01,35
2011-02-02,35
2011-02-03,38
2011-02-04,35
2011-02-05,35
2011-02-06,36
2011-02-07,39
2011-02-08,37
2011-02-09,38
2011-02-10,38
2011-02-11,39
2011-02-12,40
2011-02-13,40
2011-02-14,45
2011-02-15,40
2011-02-16,42
2011-02-17,40
2011-02-18,40
2011-02-19,41
2011-02-20,40
2011-02-21,41
2011-02-22,42
2011-02-23,39
2011-02-24,40
2011-02-25,39
2011-02-26,39
2011-02-27,39
2011-02-28,43
2011-03-01,40
2011-03-02,41
2011-03-03,41
2011-03-04,42
2011-03-05,43
2011-03-06,43
2011-03-07,46
2011-03-08,43
2011-03-09,43
2011-03-10,43
2011-03-11,43
2011-03-12,43
2011-03-13,42
2011-03-14,44
2011-03-15,42
2011-03-16,43
2011-03-17,43
2011-03-18,42
2011-03-19,42
2011-03-20,42
2011-03-21,44
2011-03-22,44
2011-03-23,45
2011-03-24,44
2011-03-25,45
2011-03-26,46
2011-03-27,46
2011-03-28,49
2011-03-29,49
2011-03-30,47
2011-03-31,50
2011-04-01,48
2011-04-02,49
2011-04-03,47
2011-04-04,49
2011-04-05,45
2011-04-06,44
2011-04-07,42
2011-04-08,41
2011-04-09,40
2011-04-10,40
2011-04-11,43
2011-04-12,42
2011-04-13,41
2011-04-14,42
2011-04-15,43
2011-04-16,43
2011-04-17,43
2011-04-18,50
2011-04-19,47
2011-04-20,46
2011-04-21,47
2011-04-22,48
2011-04-23,51
2011-04-24,48
2011-04-25,47
2011-04-26,46
2011-04-27,46
2011-04-28,44
2011-04-29,43
2011-04-30,43
2011-05-01,43
2011-05-02,47
2011-05-03,43
2011-05-04,43
2011-05-05,43
2011-05-06,45
2011-05-07,44
2011-05-08,44
2011-05-09,48
2011-05-10,44
2011-05-11,45
2011-05-12,45
2011-05-13,45
2011-05-14,46
2011-05-15,45
2011-05-16,49
2011-05-17,45
2011-05-18,44
2011-05-19,47
2011-05-20,44
2011-05-21,44
2011-05-22,43
2011-05-23,46
2011-05-24,44
2011-05-25,43
2011-05-26,43
2011-05-27,43
2011-05-28,43
2011-05-29,44
2011-05-30,43
2011-05-31,46
2011-06-01,43
2011-06-02,43
2011-06-03,44
2011-06-04,44
2011-06-05,45
2011-06-06,44
2011-06-07,43
2011-06-08,42
2011-06-09,43
2011-06-10,42
2011-06-11,42
2011-06-12,44
2011-06-13,44
2011-06-14,44
2011-06-15,45
2011-06-16,49
2011-06-17,47
2011-06-18,48
2011-06-19,48
2011-06-20,48
2011-06-21,50
2011-06-22,48
2011-06-23,48
2011-06-24,48
2011-06-25,48
2011-06-26,49
2011-06-27,50
2011-06-28,46
2011-06-29,46
2011-06-30,45
2011-07-01,44
2011-07-02,44
2011-07-03,44
2011-07-04,49
2011-07-05,44
2011-07-06,44
2011-07-07,44
2011-07-08,44
2011-07-09,44
2011-07-10,45
2011-07-11,44
2011-07-12,47
2011-07-13,45
2011-07-14,45
2011-07-15,45
2011-07-16,46
2011-07-17,47
2011-07-18,48
2011-07-19,50
2011-07-20,48
2011-07-21,49
2011-07-22,50
2011-07-23,51
2011-07-24,53
2011-07-25,54
2011-07-26,55
2011-07-27,58
2011-07-28,58
2011-07-29,59
2011-07-30,61
2011-07-31,63
2011-08-01,67
2011-08-02,65
2011-08-03,66
2011-08-04,69
2011-08-05,69
2011-08-06,71
2011-08-07,71
2011-08-08,74
2011-08-09,70
2011-08-10,70
2011-08-11,69
2011-08-12,69
2011-08-13,70
2011-08-14,68
2011-08-15,71
2011-08-16,66
2011-08-17,68
2011-08-18,68
2011-08-19,64
2011-08-20,64
2011-08-21,62
2011-08-22,62
2011-08-23,59
2011-08-24,60
2011-08-25,54
2011-08-26,52
2011-08-27,51
2011-08-28,51
2011-08-29,56
