Date,Nielsen Holdings
2009-12-01,55
2009-12-02,55
2009-12-03,60
2009-12-04,57
2009-12-05,60
2009-12-06,57
2009-12-07,57
2009-12-08,58
2009-12-09,56
2009-12-10,56
2009-12-11,58
2009-12-12,60
2009-12-13,55
2009-12-14,54
2009-12-15,54
2009-12-16,54
2009-12-17,53
2009-12-18,55
2009-12-19,55
2009-12-20,50
2009-12-21,48
2009-12-22,46
2009-12-23,47
2009-12-24,44
2009-12-25,42
2009-12-26,39
2009-12-27,39
2009-12-28,39
2009-12-29,40
2009-12-30,40
2009-12-31,41
2010-01-01,40
2010-01-02,41
2010-01-03,42
2010-01-04,44
2010-01-05,46
2010-01-06,49
2010-01-07,49
2010-01-08,51
2010-01-09,55
2010-01-10,54
2010-01-11,55
2010-01-12,56
2010-01-13,60
2010-01-14,58
2010-01-15,59
2010-01-16,60
2010-01-17,62
2010-01-18,59
2010-01-19,59
2010-01-20,59
2010-01-21,59
2010-01-22,60
2010-01-23,62
2010-01-24,58
2010-01-25,57
2010-01-26,57
2010-01-27,58
2010-01-28,56
2010-01-29,55
2010-01-30,59
2010-01-31,55
2010-02-01,56
2010-02-02,56
2010-02-03,58
2010-02-04,57
2010-02-05,58
2010-02-06,60
2010-02-07,60
2010-02-08,57
2010-02-09,57
2010-02-10,56
2010-02-11,55
2010-02-12,57
2010-02-13,56
2010-02-14,53
2010-02-15,53
2010-02-16,53
2010-02-17,53
2010-02-18,53
2010-02-19,55
2010-02-20,53
2010-02-21,56
2010-02-22,53
2010-02-23,53
2010-02-24,54
2010-02-25,53
2010-02-26,53
2010-02-27,56
2010-02-28,53
2010-03-01,53
2010-03-02,53
2010-03-03,54
2010-03-04,53
2010-03-05,55
2010-03-06,55
2010-03-07,57
2010-03-08,54
2010-03-09,54
2010-03-10,55
2010-03-11,56
2010-03-12,56
2010-03-13,60
2010-03-14,56
2010-03-15,54
2010-03-16,54
2010-03-17,55
2010-03-18,53
2010-03-19,52
2010-03-20,56
2010-03-21,52
2010-03-22,52
2010-03-23,55
2010-03-24,54
2010-03-25,53
2010-03-26,53
2010-03-27,55
2010-03-28,55
2010-03-29,52
2010-03-30,51
2010-03-31,51
2010-04-01,50
2010-04-02,48
2010-04-03,48
2010-04-04,50
2010-04-05,49
2010-04-06,50
2010-04-07,51
2010-04-08,52
2010-04-09,53
2010-04-10,57
2010-04-11,54
2010-04-12,54
2010-04-13,54
2010-04-14,54
2010-04-15,55
2010-04-16,56
2010-04-17,57
2010-04-18,56
2010-04-19,54
2010-04-20,54
2010-04-21,53
2010-04-22,53
2010-04-23,56
2010-04-24,55
2010-04-25,54
2010-04-26,53
2010-04-27,54
2010-04-28,55
2010-04-29,55
2010-04-30,55
2010-05-01,60
2010-05-02,57
2010-05-03,55
2010-05-04,54
2010-05-05,54
2010-05-06,55
2010-05-07,54
2010-05-08,57
2010-05-09,53
2010-05-10,53
2010-05-11,53
2010-05-12,53
2010-05-13,53
2010-05-14,56
2010-05-15,55
2010-05-16,53
2010-05-17,53
2010-05-18,53
2010-05-19,55
2010-05-20,53
2010-05-21,54
2010-05-22,58
2010-05-23,53
2010-05-24,53
2010-05-25,54
2010-05-26,52
2010-05-27,51
2010-05-28,51
2010-05-29,55
2010-05-30,51
2010-05-31,51
2010-06-01,51
2010-06-02,54
2010-06-03,52
2010-06-04,53
2010-06-05,56
2010-06-06,53
2010-06-07,53
2010-06-08,54
2010-06-09,54
