Date,Karyopharm
2013-04-01,0
2013-04-02,1
2013-04-03,3
2013-04-04,4
2013-04-05,6
2013-04-06,8
2013-04-07,9
2013-04-08,11
2013-04-09,12
2013-04-10,14
2013-04-11,16
2013-04-12,17
2013-04-13,19
2013-04-14,20
2013-04-15,22
2013-04-16,24
2013-04-17,25
2013-04-18,27
2013-04-19,28
2013-04-20,30
2013-04-21,32
2013-04-22,33
2013-04-23,35
2013-04-24,36
2013-04-25,38
2013-04-26,40
2013-04-27,41
2013-04-28,43
2013-04-29,44
2013-04-30,46
2013-05-01,48
2013-05-02,47
2013-05-03,46
2013-05-04,46
2013-05-05,45
2013-05-06,44
2013-05-07,44
2013-05-08,43
2013-05-09,42
2013-05-10,42
2013-05-11,41
2013-05-12,40
2013-05-13,40
2013-05-14,39
2013-05-15,38
2013-05-16,38
2013-05-17,37
2013-05-18,37
2013-05-19,36
2013-05-20,35
2013-05-21,35
2013-05-22,34
2013-05-23,33
2013-05-24,33
2013-05-25,32
2013-05-26,31
2013-05-27,31
2013-05-28,30
2013-05-29,29
2013-05-30,29
2013-05-31,28
2013-06-01,28
2013-06-02,28
2013-06-03,28
2013-06-04,29
2013-06-05,29
2013-06-06,30
2013-06-07,30
2013-06-08,30
2013-06-09,31
2013-06-10,31
2013-06-11,32
2013-06-12,32
2013-06-13,32
2013-06-14,33
2013-06-15,33
2013-06-16,34
2013-06-17,34
2013-06-18,34
2013-06-19,35
2013-06-20,35
2013-06-21,36
2013-06-22,36
2013-06-23,36
2013-06-24,37
2013-06-25,37
2013-06-26,38
2013-06-27,38
2013-06-28,38
2013-06-29,39
2013-06-30,39
2013-07-01,40
2013-07-02,39
2013-07-03,39
2013-07-04,39
2013-07-05,39
2013-07-06,39
2013-07-07,39
2013-07-08,38
2013-07-09,38
2013-07-10,38
2013-07-11,38
2013-07-12,38
2013-07-13,38
2013-07-14,37
2013-07-15,37
2013-07-16,37
2013-07-17,37
2013-07-18,37
2013-07-19,37
2013-07-20,36
2013-07-21,36
2013-07-22,36
2013-07-23,36
2013-07-24,36
2013-07-25,36
2013-07-26,35
2013-07-27,35
2013-07-28,35
2013-07-29,35
2013-07-30,35
2013-07-31,35
2013-08-01,35
2013-08-02,34
2013-08-03,34
2013-08-04,34
2013-08-05,33
2013-08-06,33
2013-08-07,33
2013-08-08,32
2013-08-09,32
2013-08-10,32
2013-08-11,31
2013-08-12,31
2013-08-13,31
2013-08-14,30
2013-08-15,30
2013-08-16,30
2013-08-17,29
2013-08-18,29
2013-08-19,29
2013-08-20,28
2013-08-21,28
2013-08-22,28
2013-08-23,27
2013-08-24,27
2013-08-25,27
2013-08-26,26
2013-08-27,26
2013-08-28,26
2013-08-29,25
2013-08-30,25
2013-08-31,25
2013-09-01,25
2013-09-02,26
2013-09-03,27
2013-09-04,28
2013-09-05,29
2013-09-06,30
2013-09-07,31
2013-09-08,32
2013-09-09,33
2013-09-10,34
2013-09-11,36
2013-09-12,37
2013-09-13,38
2013-09-14,39
2013-09-15,40
2013-09-16,41
2013-09-17,42
2013-09-18,43
2013-09-19,44
2013-09-20,45
2013-09-21,47
2013-09-22,48
2013-09-23,49
2013-09-24,50
2013-09-25,51
2013-09-26,52
2013-09-27,53
2013-09-28,54
2013-09-29,55
2013-09-30,56
2013-10-01,58
2013-10-02,59
2013-10-03,60
2013-10-04,62
2013-10-05,63
2013-10-06,64
2013-10-07,66
2013-10-08,67
2013-10-09,68
2013-10-10,70
2013-10-11,71
2013-10-12,72
2013-10-13,74
2013-10-14,75
2013-10-15,76
2013-10-16,78
2013-10-17,79
2013-10-18,81
2013-10-19,82
2013-10-20,83
2013-10-21,85
2013-10-22,86
2013-10-23,87
2013-10-24,89
2013-10-25,90
2013-10-26,91
2013-10-27,93
2013-10-28,94
2013-10-29,95
2013-10-30,97
2013-10-31,98
2013-11-01,100
2013-11-02,98
2013-11-03,96
2013-11-04,94
2013-11-05,92
2013-11-06,90
2013-11-07,89
2013-11-08,87
2013-11-09,85
2013-11-10,83
2013-11-11,81
2013-11-12,79
2013-11-13,78
2013-11-14,76
2013-11-15,74
2013-11-16,72
2013-11-17,70
2013-11-18,68
2013-11-19,67
2013-11-20,65
2013-11-21,63
2013-11-22,61
2013-11-23,59
2013-11-24,57
2013-11-25,56
2013-11-26,54
2013-11-27,52
2013-11-28,50
2013-11-29,48
2013-11-30,46
2013-12-01,45
2013-12-02,45
2013-12-03,46
2013-12-04,46
2013-12-05,47
2013-12-06,47
2013-12-07,48
2013-12-08,48
2013-12-09,49
2013-12-10,49
2013-12-11,50
2013-12-12,51
2013-12-13,51
2013-12-14,52
2013-12-15,52
2013-12-16,53
2013-12-17,53
2013-12-18,54
2013-12-19,54
2013-12-20,55
2013-12-21,55
2013-12-22,56
2013-12-23,57
2013-12-24,57
2013-12-25,58
2013-12-26,58
2013-12-27,59
2013-12-28,59
2013-12-29,60
2013-12-30,60
2013-12-31,61
2014-01-01,62
2014-01-02,61
2014-01-03,61
2014-01-04,61
2014-01-05,61
2014-01-06,61
2014-01-07,61
2014-01-08,61
2014-01-09,61
2014-01-10,61
2014-01-11,61
2014-01-12,61
2014-01-13,61
2014-01-14,61
2014-01-15,61
2014-01-16,61
2014-01-17,60
2014-01-18,60
2014-01-19,60
2014-01-20,60
2014-01-21,60
2014-01-22,60
2014-01-23,60
2014-01-24,60
2014-01-25,60
2014-01-26,60
2014-01-27,60
2014-01-28,60
2014-01-29,60
2014-01-30,60
2014-01-31,60
2014-02-01,60
