Date,Convergex
2012-12-02,28
2012-12-03,29
2012-12-04,28
2012-12-05,28
2012-12-06,28
2012-12-07,28
2012-12-08,28
2012-12-09,26
2012-12-10,23
2012-12-11,21
2012-12-12,19
2012-12-13,17
2012-12-14,15
2012-12-15,13
2012-12-16,14
2012-12-17,16
2012-12-18,18
2012-12-19,19
2012-12-20,21
2012-12-21,23
2012-12-22,25
2012-12-23,24
2012-12-24,23
2012-12-25,22
2012-12-26,21
2012-12-27,20
2012-12-28,19
2012-12-29,19
2012-12-30,19
2012-12-31,19
2013-01-01,19
2013-01-02,19
2013-01-03,19
2013-01-04,19
2013-01-05,19
2013-01-06,19
2013-01-07,19
2013-01-08,19
2013-01-09,19
2013-01-10,19
2013-01-11,19
2013-01-12,19
2013-01-13,20
2013-01-14,22
2013-01-15,23
2013-01-16,25
2013-01-17,26
2013-01-18,28
2013-01-19,30
2013-01-20,30
2013-01-21,31
2013-01-22,31
2013-01-23,32
2013-01-24,33
2013-01-25,33
2013-01-26,34
2013-01-27,34
2013-01-28,34
2013-01-29,35
2013-01-30,35
2013-01-31,35
2013-02-01,36
2013-02-02,36
2013-02-03,33
2013-02-04,31
2013-02-05,28
2013-02-06,26
2013-02-07,23
2013-02-08,21
2013-02-09,19
2013-02-10,19
2013-02-11,20
2013-02-12,21
2013-02-13,21
2013-02-14,22
2013-02-15,23
2013-02-16,24
2013-02-17,23
2013-02-18,22
2013-02-19,21
2013-02-20,20
2013-02-21,19
2013-02-22,18
2013-02-23,17
2013-02-24,18
2013-03-03,28
2013-03-04,29
2013-03-05,30
2013-03-06,31
2013-03-07,33
2013-03-08,34
2013-03-09,35
2013-03-10,33
2013-03-11,31
2013-03-12,30
2013-03-13,28
2013-03-14,26
2013-03-15,24
2013-03-16,23
2013-03-17,22
2013-03-18,21
2013-03-19,21
2013-03-20,20
2013-03-21,20
2013-03-22,19
2013-03-23,19
2013-03-24,19
2013-03-25,19
2013-03-26,20
2013-03-27,20
2013-03-28,20
2013-03-29,20
2013-03-30,21
2013-03-31,21
2013-04-01,20
2013-04-02,20
2013-04-03,20
2013-04-04,20
2013-04-05,20
2013-04-06,20
2013-04-07,20
2013-04-08,21
2013-04-09,22
2013-04-10,23
2013-04-11,24
2013-04-12,25
2013-04-13,26
2013-04-14,27
2013-04-15,29
2013-04-16,31
2013-04-17,32
2013-04-18,34
2013-04-19,36
2013-04-20,38
2013-04-21,35
2013-04-22,33
2013-04-23,31
2013-04-24,29
2013-04-25,27
2013-04-26,25
2013-04-27,23
2013-04-28,22
2013-04-29,22
2013-04-30,21
2013-05-01,21
2013-05-02,20
2013-05-03,20
2013-05-04,20
2013-05-05,20
2013-05-06,20
2013-05-07,20
2013-05-08,20
2013-05-09,20
2013-05-10,20
2013-05-11,21
2013-05-12,22
2013-05-13,23
2013-05-14,24
2013-05-15,25
2013-05-16,26
2013-05-17,28
2013-05-18,29
2013-05-19,28
2013-05-20,27
2013-05-21,26
2013-05-22,25
2013-05-23,25
2013-05-24,24
2013-05-25,23
2013-05-26,21
2013-06-02,13
2013-06-03,13
2013-06-04,13
2013-06-05,13
2013-06-06,13
2013-06-07,13
2013-06-08,13
2013-06-09,13
2013-06-10,12
2013-06-11,12
2013-06-12,12
2013-06-13,12
2013-06-14,12
2013-06-15,12
2013-06-16,12
2013-06-17,13
2013-06-18,13
2013-06-19,14
2013-06-20,14
2013-06-21,15
2013-06-22,16
2013-06-23,17
2013-06-24,18
2013-06-25,19
2013-06-26,20
2013-06-27,21
2013-06-28,22
2013-06-29,23
2013-06-30,21
2013-07-01,20
2013-07-02,19
2013-07-03,18
2013-07-04,17
2013-07-05,16
2013-07-06,15
2013-07-07,15
2013-07-08,14
2013-07-09,14
2013-07-10,14
2013-07-11,14
2013-07-12,14
2013-07-13,14
2013-07-14,14
2013-07-15,14
2013-07-16,14
2013-07-17,14
2013-07-18,14
2013-07-19,14
2013-07-20,15
2013-07-21,15
2013-07-22,15
2013-07-23,16
2013-07-24,16
2013-07-25,17
2013-07-26,17
2013-07-27,18
2013-07-28,17
2013-07-29,17
2013-07-30,17
2013-07-31,17
2013-08-01,17
2013-08-02,17
2013-08-03,17
2013-08-04,16
2013-08-05,16
2013-08-06,16
2013-08-07,16
2013-08-08,16
2013-08-09,16
2013-08-10,16
2013-08-11,17
2013-08-12,18
2013-08-13,19
2013-08-14,21
2013-08-15,22
