Date,Saving Energy Solar
2011-04-09,65
2011-04-10,64
2011-04-11,63
2011-04-12,62
2011-04-13,62
2011-04-14,61
2011-04-15,60
2011-04-16,60
2011-04-17,58
2011-04-18,56
2011-04-19,54
2011-04-20,52
2011-04-21,50
2011-04-22,49
2011-04-23,47
2011-04-24,46
2011-04-25,45
2011-04-26,44
2011-04-27,43
2011-04-28,42
2011-04-29,41
2011-04-30,40
2011-05-01,39
2011-05-02,39
2011-05-03,39
2011-05-04,38
2011-05-05,38
2011-05-06,38
2011-05-07,38
2011-05-08,41
2011-05-09,45
2011-05-10,48
2011-05-11,52
2011-05-12,55
2011-05-13,59
2011-05-14,62
2011-05-15,60
2011-05-16,58
2011-05-17,56
2011-05-18,54
2011-05-19,52
2011-05-20,50
2011-05-21,49
2011-05-22,50
2011-05-23,52
2011-05-24,53
2011-05-25,55
2011-05-26,56
2011-05-27,57
2011-05-28,59
2011-05-29,59
2011-05-30,59
2011-05-31,59
2011-06-01,59
2011-06-02,59
2011-06-03,59
2011-06-04,60
2011-06-05,61
2011-06-06,63
2011-06-07,65
2011-06-08,67
2011-06-09,69
2011-06-10,70
2011-06-11,72
2011-06-12,70
2011-06-13,67
2011-06-14,64
2011-06-15,62
2011-06-16,60
2011-06-17,57
2011-06-18,55
2011-06-19,54
2011-06-20,54
2011-06-21,54
2011-06-22,54
2011-06-23,53
2011-06-24,53
2011-06-25,53
2011-06-26,52
2011-07-03,48
2011-07-04,46
2011-07-05,45
2011-07-06,43
2011-07-07,41
2011-07-08,40
2011-07-09,38
2011-07-10,40
2011-07-11,41
2011-07-12,43
2011-07-13,45
2011-07-14,47
2011-07-15,49
2011-07-16,51
2011-07-17,49
2011-07-18,47
2011-07-19,45
2011-07-20,43
2011-07-21,41
2011-07-22,39
2011-07-23,38
2011-07-24,41
2011-07-25,44
2011-07-26,47
2011-07-27,50
2011-07-28,53
2011-07-29,56
2011-07-30,59
2011-07-31,63
2011-08-01,67
2011-08-02,71
2011-08-03,76
2011-08-04,80
2011-08-05,84
2011-08-06,88
2011-08-07,84
2011-08-08,78
2011-08-09,73
2011-08-10,69
2011-08-11,64
2011-08-12,59
2011-08-13,55
2011-08-14,56
2011-08-15,58
2011-08-16,59
2011-08-17,60
2011-08-18,61
2011-08-19,63
2011-08-20,64
2011-08-21,62
2011-08-22,59
2011-08-23,57
2011-08-24,55
2011-08-25,52
2011-08-26,50
2011-08-27,48
2011-08-28,48
2011-08-29,47
2011-08-30,47
2011-08-31,47
2011-09-01,47
2011-09-02,47
2011-09-03,47
2011-09-04,47
2011-09-05,47
2011-09-06,47
2011-09-07,47
2011-09-08,47
2011-09-09,47
2011-09-10,48
2011-09-11,50
2011-09-12,53
2011-09-13,56
2011-09-14,58
2011-09-15,61
2011-09-16,64
2011-09-17,67
2011-09-18,66
2011-09-19,66
2011-09-20,66
2011-09-21,66
2011-09-22,66
2011-09-23,66
2011-09-24,66
2011-09-25,64
2011-10-02,57
2011-10-03,60
2011-10-04,62
2011-10-05,65
2011-10-06,67
2011-10-07,70
2011-10-08,73
2011-10-09,72
2011-10-10,73
2011-10-11,73
2011-10-12,73
2011-10-13,72
2011-10-14,72
2011-10-15,72
2011-10-16,68
2011-10-17,64
2011-10-18,60
2011-10-19,56
2011-10-20,52
2011-10-21,48
2011-10-22,44
2011-10-23,45
2011-10-24,47
2011-10-25,49
2011-10-26,51
2011-10-27,53
2011-10-28,55
2011-10-29,57
2011-10-30,63
2011-10-31,70
2011-11-01,76
2011-11-02,82
2011-11-03,88
2011-11-04,95
2011-11-05,101
2011-11-06,96
2011-11-07,90
2011-11-08,85
2011-11-09,80
2011-11-10,74
2011-11-11,69
2011-11-12,64
2011-11-13,60
2011-11-14,56
2011-11-15,53
2011-11-16,49
2011-11-17,45
2011-11-18,41
2011-11-19,38
2011-11-20,40
2011-11-21,43
2011-11-22,45
2011-11-23,48
2011-11-24,50
2011-11-25,53
2011-11-26,56
2011-11-27,54
2011-11-28,52
2011-11-29,50
2011-11-30,48
2011-12-01,46
2011-12-02,45
2011-12-03,43
2011-12-04,43
2011-12-05,44
2011-12-06,44
2011-12-07,45
2011-12-08,45
2011-12-09,46
2011-12-10,47
2011-12-11,45
2011-12-12,45
2011-12-13,44
2011-12-14,42
2011-12-15,41
2011-12-16,40
2011-12-17,40
2011-12-18,36
2011-12-19,35
2011-12-20,34
2011-12-21,33
2011-12-22,32
2011-12-23,31
2011-12-24,31
2011-12-25,30
2012-01-01,29
2012-01-02,40
2012-01-03,33
2012-01-04,34
2012-01-05,36
2012-01-06,38
2012-01-07,40
2012-01-08,39
2012-01-09,38
2012-01-10,37
2012-01-11,36
2012-01-12,35
2012-01-13,34
2012-01-14,33
2012-01-15,33
2012-01-16,33
2012-01-17,33
2012-01-18,34
2012-01-19,34
2012-01-20,34
2012-01-21,35
2012-01-22,35
2012-01-23,35
2012-01-24,36
2012-01-25,36
2012-01-26,37
2012-01-27,37
2012-01-28,38
2012-01-29,40
2012-01-30,42
2012-01-31,44
2012-02-01,47
2012-02-02,49
2012-02-03,51
2012-02-04,54
2012-02-05,52
2012-02-06,51
2012-02-07,50
2012-02-08,48
2012-02-09,47
2012-02-10,45
2012-02-11,44
2012-02-12,43
2012-02-13,40
2012-02-14,39
2012-02-15,37
2012-02-16,36
2012-02-17,34
