Date,US Silica
2011-01-08,59
2011-01-09,50
2011-01-10,42
2011-01-11,33
2011-01-12,25
2011-01-13,16
2011-01-14,8
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,0
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,0
2011-02-05,0
2011-02-06,0
2011-02-07,0
2011-02-08,0
2011-02-09,0
2011-02-10,0
2011-02-11,0
2011-02-12,0
2011-02-13,0
2011-02-14,0
2011-02-15,0
2011-02-16,0
2011-02-17,0
2011-02-18,0
2011-02-19,0
2011-02-20,7
2011-02-21,14
2011-02-22,21
2011-02-23,28
2011-02-24,35
2011-02-25,42
2011-02-26,49
2011-02-27,49
2011-02-28,50
2011-03-01,51
2011-03-02,51
2011-03-03,52
2011-03-04,53
2011-03-05,54
2011-03-06,54
2011-03-07,55
2011-03-08,56
2011-03-09,56
2011-03-10,57
2011-03-11,58
2011-03-12,59
2011-03-13,58
2011-03-14,57
2011-03-15,56
2011-03-16,56
2011-03-17,55
2011-03-18,54
2011-03-19,54
2011-03-20,54
2011-03-21,55
2011-03-22,55
2011-03-23,56
2011-03-24,56
2011-03-25,57
2011-03-26,58
2011-03-27,58
2011-03-28,58
2011-03-29,58
2011-03-30,58
2011-03-31,58
2011-04-01,58
2011-04-02,59
2011-04-03,58
2011-04-04,57
2011-04-05,57
2011-04-06,56
2011-04-07,56
2011-04-08,55
2011-04-09,55
2011-04-10,47
2011-04-11,39
2011-04-12,31
2011-04-13,23
2011-04-14,15
2011-04-15,7
2011-04-16,0
2011-04-17,0
2011-04-18,0
2011-04-19,0
2011-04-20,0
2011-04-21,0
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,0
2011-04-27,0
2011-04-28,0
2011-04-29,0
2011-04-30,0
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,10
2011-06-13,20
2011-06-14,30
2011-06-15,41
2011-06-16,51
2011-06-17,61
2011-06-18,72
2011-06-19,68
2011-06-20,65
2011-06-21,62
2011-06-22,58
2011-06-23,55
2011-06-24,52
2011-06-25,49
2011-06-26,49
2011-06-27,49
2011-06-28,49
2011-06-29,50
2011-06-30,50
2011-07-03,51
2011-07-04,63
2011-07-05,51
2011-07-06,52
2011-07-07,52
2011-07-08,52
2011-07-09,53
2011-07-10,53
2011-07-11,53
2011-07-12,54
2011-07-13,54
2011-07-14,54
2011-07-15,54
