Date,E2open
2011-08-13,0
2011-08-14,5
2011-08-15,10
2011-08-16,15
2011-08-17,20
2011-08-18,26
2011-08-19,31
2011-08-20,36
2011-08-21,35
2011-08-22,33
2011-08-23,31
2011-08-24,30
2011-08-25,28
2011-08-26,27
2011-08-27,26
2011-08-28,26
2011-08-29,26
2011-08-30,26
2011-08-31,26
2011-09-01,26
2011-09-02,26
2011-09-03,26
2011-09-04,26
2011-09-05,26
2011-09-06,26
2011-09-07,26
2011-09-08,26
2011-09-09,26
2011-09-10,26
2011-09-11,26
2011-09-12,26
2011-09-13,26
2011-09-14,26
2011-09-15,26
2011-09-16,26
2011-09-17,27
2011-09-18,27
2011-09-19,27
2011-09-20,27
2011-09-21,27
2011-09-22,27
2011-09-23,28
2011-09-24,28
2011-09-25,28
2011-09-26,28
2011-09-27,28
2011-09-28,28
2011-09-29,28
2011-09-30,28
2011-10-01,28
2011-10-02,24
2011-10-03,20
2011-10-04,16
2011-10-05,12
2011-10-06,8
2011-10-07,4
2011-10-08,0
2011-10-09,0
2011-10-10,0
2011-10-11,0
2011-10-12,0
2011-10-13,0
2011-10-14,0
2011-10-15,0
2011-10-16,0
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,0
2011-10-26,0
2011-10-27,0
2011-10-28,0
2011-10-29,0
2011-10-30,0
2011-11-06,6
2011-11-07,12
2011-11-08,18
2011-11-09,24
2011-11-10,30
2011-11-11,37
2011-11-12,43
2011-11-13,40
2011-11-14,37
2011-11-15,34
2011-11-16,32
2011-11-17,29
2011-11-18,26
2011-11-19,24
2011-11-20,24
2011-11-21,24
2011-11-22,24
2011-11-23,24
2011-11-24,24
2011-11-25,24
2011-11-26,24
2011-11-27,24
2011-11-28,24
2011-11-29,24
2011-11-30,24
2011-12-01,24
2011-12-02,24
2011-12-03,24
2011-12-04,20
2011-12-05,17
2011-12-06,14
2011-12-07,10
2011-12-08,7
2011-12-09,3
2011-12-10,0
2011-12-11,0
2011-12-12,0
2011-12-13,0
2011-12-14,0
2011-12-15,0
2011-12-16,0
2011-12-17,0
2011-12-18,0
2011-12-19,0
2011-12-20,0
2011-12-21,0
2011-12-22,0
2011-12-23,0
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,0
2011-12-28,0
2011-12-29,0
2011-12-30,0
2011-12-31,0
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-07,0
2012-01-08,3
2012-01-09,7
2012-01-10,11
2012-01-11,15
2012-01-12,19
2012-01-13,23
2012-01-14,27
2012-01-15,26
2012-01-16,25
2012-01-17,25
2012-01-18,24
2012-01-19,24
2012-01-20,23
2012-01-21,23
2012-01-22,24
2012-01-23,25
2012-01-24,26
2012-01-25,27
2012-01-26,28
2012-01-27,29
2012-01-28,31
2012-01-29,32
2012-02-05,38
2012-02-06,36
2012-02-07,34
2012-02-08,31
2012-02-09,29
2012-02-10,27
2012-02-11,25
2012-02-12,26
2012-02-13,27
2012-02-14,28
2012-02-15,30
2012-02-16,31
2012-02-17,32
2012-02-18,34
2012-02-19,35
2012-02-20,36
2012-02-21,37
2012-02-22,39
2012-02-23,40
2012-02-24,41
2012-02-25,43
2012-02-26,42
2012-02-27,41
2012-02-28,40
2012-02-29,39
2012-03-01,39
2012-03-02,38
2012-03-03,38
2012-03-04,33
2012-03-05,31
2012-03-06,29
2012-03-07,27
2012-03-08,25
2012-03-09,23
2012-03-10,21
2012-03-11,20
2012-03-12,20
2012-03-13,20
2012-03-14,20
2012-03-15,20
2012-03-16,20
2012-03-17,20
2012-03-18,20
2012-03-19,20
2012-03-20,20
2012-03-21,20
2012-03-22,20
2012-03-23,20
2012-03-24,20
2012-03-25,20
2012-03-26,20
2012-03-27,20
2012-03-28,20
2012-03-29,20
2012-03-30,20
2012-03-31,20
2012-04-01,20
2012-04-02,21
2012-04-03,21
2012-04-04,21
2012-04-05,22
2012-04-06,22
2012-04-07,23
2012-04-08,23
2012-04-09,23
2012-04-10,23
2012-04-11,24
2012-04-12,24
2012-04-13,24
2012-04-14,25
2012-04-15,25
2012-04-16,25
2012-04-17,25
2012-04-18,25
2012-04-19,25
2012-04-20,25
2012-04-21,26
2012-04-22,26
2012-04-23,27
2012-04-24,27
2012-04-25,28
2012-04-26,28
2012-04-27,29
2012-04-28,30
2012-04-29,29
2012-05-06,27
2012-05-07,27
2012-05-08,27
2012-05-09,28
2012-05-10,28
2012-05-11,28
2012-05-12,29
2012-05-13,29
2012-05-14,29
2012-05-15,29
2012-05-16,29
2012-05-17,29
2012-05-18,29
2012-05-19,30
2012-05-20,28
2012-05-21,27
2012-05-22,26
2012-05-23,25
2012-05-24,24
2012-05-25,23
2012-05-26,22
2012-05-27,22
2012-05-28,22
2012-05-29,22
2012-05-30,23
2012-05-31,23
2012-06-01,23
2012-06-02,24
2012-06-03,24
2012-06-04,24
2012-06-05,24
2012-06-06,25
2012-06-07,25
2012-06-08,25
2012-06-09,26
2012-06-10,26
2012-06-11,26
2012-06-12,26
2012-06-13,26
2012-06-14,26
2012-06-15,26
2012-06-16,26
2012-06-17,26
2012-06-18,26
2012-06-19,26
2012-06-20,26
2012-06-21,26
2012-06-22,26
2012-06-23,26
2012-06-24,28
2012-06-25,31
2012-06-26,33
2012-06-27,36
2012-06-28,39
2012-06-29,41
2012-06-30,44
2012-07-01,42
2012-07-02,40
2012-07-03,38
2012-07-04,36
2012-07-05,34
2012-07-06,32
2012-07-07,30
2012-07-08,30
2012-07-09,31
2012-07-10,32
2012-07-11,33
2012-07-12,34
2012-07-13,35
2012-07-14,36
2012-07-15,35
2012-07-16,35
2012-07-17,35
2012-07-18,34
2012-07-19,34
2012-07-20,34
2012-07-21,34
2012-07-22,43
2012-07-23,53
2012-07-24,63
2012-07-25,73
2012-07-26,83
2012-07-27,94
2012-07-28,104
2012-07-29,96
2012-08-05,32
2012-08-06,33
2012-08-07,33
2012-08-08,33
2012-08-09,34
2012-08-10,34
2012-08-11,35
2012-08-12,33
2012-08-13,31
2012-08-14,29
2012-08-15,28
2012-08-16,26
2012-08-17,24
2012-08-18,23
2012-08-19,23
2012-08-20,24
2012-08-21,25
2012-08-22,26
2012-08-23,27
2012-08-24,28
2012-08-25,29
2012-08-26,28
2012-08-27,27
2012-08-28,27
2012-08-29,26
2012-08-30,26
2012-08-31,25
2012-09-01,25
2012-09-02,25
2012-09-03,25
2012-09-04,26
2012-09-05,26
2012-09-06,27
2012-09-07,27
2012-09-08,28
2012-09-09,28
2012-09-10,28
2012-09-11,28
2012-09-12,28
2012-09-13,28
2012-09-14,29
2012-09-15,29
2012-09-16,28
2012-09-17,27
2012-09-18,26
2012-09-19,25
2012-09-20,24
2012-09-21,23
2012-09-22,23
2012-09-23,23
2012-09-24,24
2012-09-25,24
2012-09-26,25
2012-09-27,25
2012-09-28,26
2012-09-29,27
2012-09-30,25
2012-10-01,24
2012-10-02,23
2012-10-03,22
2012-10-04,21
2012-10-05,20
2012-10-06,19
2012-10-07,21
2012-10-08,24
2012-10-09,26
2012-10-10,29
2012-10-11,31
2012-10-12,34
2012-10-13,37
2012-10-14,35
2012-10-15,34
2012-10-16,33
2012-10-17,32
2012-10-18,30
2012-10-19,29
2012-10-20,28
2012-10-21,27
2012-10-22,26
2012-10-23,25
2012-10-24,24
2012-10-25,23
2012-10-26,22
2012-10-27,22
2012-10-28,22
2012-11-04,24
2012-11-05,23
2012-11-06,22
2012-11-07,22
2012-11-08,21
2012-11-09,20
2012-11-10,20
2012-11-11,21
2012-11-12,23
2012-11-13,25
2012-11-14,27
2012-11-15,29
2012-11-16,31
2012-11-17,33
2012-11-18,32
2012-11-19,31
2012-11-20,30
2012-11-21,29
2012-11-22,28
2012-11-23,27
2012-11-24,26
2012-11-25,26
2012-11-26,26
2012-11-27,26
2012-11-28,26
2012-11-29,26
2012-11-30,26
2012-12-01,26
2012-12-02,26
2012-12-03,26
2012-12-04,26
2012-12-05,27
2012-12-06,27
2012-12-07,27
2012-12-08,28
2012-12-09,27
2012-12-10,27
2012-12-11,27
2012-12-12,27
2012-12-13,27
2012-12-14,27
2012-12-15,27
2012-12-16,26
2012-12-17,25
2012-12-18,24
2012-12-19,23
2012-12-20,22
2012-12-21,21
2012-12-22,20
2012-12-23,20
2012-12-24,20
2012-12-25,20
2012-12-26,21
2012-12-27,21
2012-12-28,21
2012-12-29,22
2012-12-30,22
2012-12-31,22
2013-01-01,22
2013-01-02,23
2013-01-03,23
2013-01-04,23
2013-01-05,24
2013-01-06,24
2013-01-07,24
2013-01-08,24
2013-01-09,24
2013-01-10,24
2013-01-11,25
2013-01-12,25
2013-01-13,25
2013-01-14,25
2013-01-15,26
2013-01-16,26
2013-01-17,27
2013-01-18,27
2013-01-19,28
2013-01-20,28
2013-01-21,28
2013-01-22,28
2013-01-23,29
2013-01-24,29
2013-01-25,29
2013-01-26,30
2013-01-27,30
2013-02-03,29
2013-02-04,34
2013-02-05,25
2013-02-06,23
2013-02-07,21
2013-02-08,19
2013-02-09,17
2013-02-10,17
2013-02-11,17
2013-02-12,17
2013-02-13,17
2013-02-14,17
2013-02-15,17
2013-02-16,18
2013-02-17,18
2013-02-18,18
2013-02-19,18
2013-02-20,18
2013-02-21,18
2013-02-22,18
2013-02-23,18
2013-02-24,18
2013-02-25,18
2013-02-26,18
2013-02-27,18
2013-02-28,18
2013-03-01,18
2013-03-02,18
2013-03-03,18
2013-03-04,19
2013-03-05,20
2013-03-06,20
2013-03-07,21
2013-03-08,22
2013-03-09,23
2013-03-10,23
2013-03-11,25
2013-03-12,25
2013-03-13,26
2013-03-14,27
2013-03-15,28
2013-03-16,29
2013-03-17,29
2013-03-18,29
2013-03-19,29
2013-03-20,29
2013-03-21,29
2013-03-22,30
2013-03-23,30
2013-03-24,29
2013-03-25,29
2013-03-26,29
2013-03-27,28
2013-03-28,28
2013-03-29,28
2013-03-30,28
2013-03-31,28
2013-05-05,27
2013-05-06,29
2013-05-07,31
2013-05-08,33
2013-05-09,35
2013-05-10,37
2013-05-11,39
2013-05-12,37
2013-05-13,36
2013-05-14,34
2013-05-15,33
2013-05-16,32
2013-05-17,30
2013-05-18,29
2013-05-19,28
2013-05-20,28
2013-05-21,28
2013-05-22,27
