Date,Health Insurance Innovations
2012-06-01,71
2012-06-02,71
2012-06-03,71
2012-06-04,71
2012-06-05,71
2012-06-06,71
2012-06-07,71
2012-06-08,71
2012-06-09,71
2012-06-10,71
2012-06-11,71
2012-06-12,71
2012-06-13,71
2012-06-14,71
2012-06-15,71
2012-06-16,71
2012-06-17,71
2012-06-18,71
2012-06-19,71
2012-06-20,71
2012-06-21,71
2012-06-22,71
2012-06-23,71
2012-06-24,71
2012-06-25,71
2012-06-26,71
2012-06-27,71
2012-06-28,71
2012-06-29,71
2012-06-30,71
2012-07-01,72
2012-07-02,72
2012-07-03,72
2012-07-04,72
2012-07-05,72
2012-07-06,72
2012-07-07,72
2012-07-08,72
2012-07-09,72
2012-07-10,72
2012-07-11,72
2012-07-12,72
2012-07-13,72
2012-07-14,72
2012-07-15,72
2012-07-16,72
2012-07-17,72
2012-07-18,72
2012-07-19,72
2012-07-20,72
2012-07-21,72
2012-07-22,72
2012-07-23,72
2012-07-24,72
2012-07-25,72
2012-07-26,72
2012-07-27,72
2012-07-28,72
2012-07-29,72
2012-07-30,72
2012-07-31,72
2012-08-01,72
2012-08-02,71
2012-08-03,71
2012-08-04,70
2012-08-05,70
2012-08-06,70
2012-08-07,69
2012-08-08,69
2012-08-09,69
2012-08-10,68
2012-08-11,68
2012-08-12,68
2012-08-13,67
2012-08-14,67
2012-08-15,67
2012-08-16,66
2012-08-17,66
2012-08-18,65
2012-08-19,65
2012-08-20,65
2012-08-21,64
2012-08-22,64
2012-08-23,64
2012-08-24,63
2012-08-25,63
2012-08-26,63
2012-08-27,62
2012-08-28,62
2012-08-29,62
2012-08-30,61
2012-08-31,61
2012-09-01,61
2012-09-02,61
2012-09-03,61
2012-09-04,61
2012-09-05,61
2012-09-06,62
2012-09-07,62
2012-09-08,62
2012-09-09,62
2012-09-10,62
2012-09-11,63
2012-09-12,63
2012-09-13,63
2012-09-14,63
2012-09-15,63
2012-09-16,64
2012-09-17,64
2012-09-18,64
2012-09-19,64
2012-09-20,64
2012-09-21,65
2012-09-22,65
2012-09-23,65
2012-09-24,65
2012-09-25,65
2012-09-26,66
2012-09-27,66
2012-09-28,66
2012-09-29,66
2012-09-30,66
2012-10-01,67
2012-10-02,67
2012-10-03,67
2012-10-04,67
2012-10-05,67
2012-10-06,67
2012-10-07,67
2012-10-08,67
2012-10-09,68
2012-10-10,68
2012-10-11,68
2012-10-12,68
2012-10-13,68
2012-10-14,68
2012-10-15,68
2012-10-16,68
2012-10-17,69
2012-10-18,69
2012-10-19,69
2012-10-20,69
2012-10-21,69
2012-10-22,69
2012-10-23,69
2012-10-24,69
2012-10-25,70
2012-10-26,70
2012-10-27,70
2012-10-28,70
2012-10-29,70
2012-10-30,70
2012-10-31,70
2012-11-01,71
2012-11-02,70
2012-11-03,69
2012-11-04,68
2012-11-05,68
2012-11-06,67
2012-11-07,66
2012-11-08,66
2012-11-09,65
2012-11-10,64
2012-11-11,64
2012-11-12,63
2012-11-13,62
2012-11-14,61
2012-11-15,61
2012-11-16,60
2012-11-17,59
2012-11-18,59
2012-11-19,58
2012-11-20,57
2012-11-21,57
2012-11-22,56
2012-11-23,55
2012-11-24,54
2012-11-25,54
2012-11-26,53
2012-11-27,52
2012-11-28,52
2012-11-29,51
2012-11-30,50
2012-12-01,50
2012-12-02,50
2012-12-03,51
2012-12-04,52
2012-12-05,53
2012-12-06,54
2012-12-07,55
2012-12-08,56
2012-12-09,57
2012-12-10,58
2012-12-11,59
2012-12-12,60
2012-12-13,61
2012-12-14,62
2012-12-15,63
2012-12-16,64
2012-12-17,64
2012-12-18,65
2012-12-19,66
2012-12-20,67
2012-12-21,68
2012-12-22,69
2012-12-23,70
2012-12-24,71
2012-12-25,72
2012-12-26,73
2012-12-27,74
2012-12-28,75
2012-12-29,76
2012-12-30,77
2012-12-31,78
2013-01-01,79
2013-01-02,79
2013-01-03,80
2013-01-04,81
2013-01-05,81
2013-01-06,82
2013-01-07,83
2013-01-08,83
2013-01-09,84
2013-01-10,85
2013-01-11,85
2013-01-12,86
2013-01-13,87
2013-01-14,87
2013-01-15,88
2013-01-16,89
2013-01-17,89
2013-01-18,90
2013-01-19,91
2013-01-20,91
2013-01-21,92
2013-01-22,93
2013-01-23,93
2013-01-24,94
2013-01-25,95
2013-01-26,95
2013-01-27,96
2013-01-28,97
2013-01-29,97
2013-01-30,98
2013-01-31,99
2013-02-01,100
2013-02-02,98
2013-02-03,97
2013-02-04,95
2013-02-05,94
2013-02-06,92
2013-02-07,91
2013-02-08,89
2013-02-09,88
2013-02-10,86
2013-02-11,85
2013-02-12,83
2013-02-13,82
2013-02-14,80
2013-02-15,79
2013-02-16,77
2013-02-17,76
2013-02-18,74
2013-02-19,73
2013-02-20,71
2013-02-21,70
2013-02-22,68
2013-02-23,67
2013-02-24,65
2013-02-25,64
2013-02-26,62
2013-02-27,61
2013-02-28,59
2013-03-01,58
2013-03-02,58
2013-03-03,59
2013-03-04,60
2013-03-05,60
2013-03-06,61
2013-03-07,62
2013-03-08,62
2013-03-09,63
2013-03-10,64
2013-03-11,64
2013-03-12,65
2013-03-13,66
2013-03-14,66
2013-03-15,67
2013-03-16,68
2013-03-17,68
2013-03-18,69
2013-03-19,70
2013-03-20,70
2013-03-21,71
2013-03-22,72
2013-03-23,72
2013-03-24,73
2013-03-25,74
2013-03-26,74
2013-03-27,75
2013-03-28,76
2013-03-29,76
2013-03-30,77
2013-03-31,78
2013-04-01,79
2013-04-02,78
2013-04-03,78
2013-04-04,78
2013-04-05,78
2013-04-06,78
2013-04-07,78
2013-04-08,78
2013-04-09,78
2013-04-10,78
2013-04-11,78
2013-04-12,78
2013-04-13,78
2013-04-14,78
2013-04-15,78
2013-04-16,78
2013-04-17,78
2013-04-18,78
2013-04-19,78
2013-04-20,78
2013-04-21,78
2013-04-22,78
2013-04-23,78
2013-04-24,78
2013-04-25,78
2013-04-26,78
2013-04-27,78
2013-04-28,78
2013-04-29,78
2013-04-30,78
2013-05-01,78
2013-05-02,77
2013-05-03,76
2013-05-04,75
2013-05-05,74
2013-05-06,73
2013-05-07,73
2013-05-08,72
