Date,Epizyme
2012-10-13,25
2012-10-14,25
2012-10-15,25
2012-10-16,26
2012-10-17,26
2012-10-18,27
2012-10-19,27
2012-10-20,28
2012-10-21,28
2012-10-22,28
2012-10-23,29
2012-10-24,29
2012-10-25,30
2012-10-26,30
2012-10-27,31
2012-10-28,31
2012-10-29,31
2012-10-30,31
2012-10-31,32
2012-11-01,32
2012-11-02,32
2012-11-03,33
2012-11-04,33
2012-11-05,33
2012-11-06,34
2012-11-07,34
2012-11-08,35
2012-11-09,35
2012-11-10,36
2012-11-11,36
2012-11-12,36
2012-11-13,37
2012-11-14,37
2012-11-15,38
2012-11-16,38
2012-11-17,39
2012-11-18,33
2012-11-19,27
2012-11-20,22
2012-11-21,16
2012-11-22,11
2012-11-23,5
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-06,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,0
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,5
2013-02-18,10
2013-02-19,15
2013-02-20,20
2013-02-21,25
2013-02-22,30
2013-02-23,35
2013-02-24,33
2013-02-25,31
2013-02-26,29
2013-02-27,27
2013-02-28,25
2013-03-01,23
2013-03-02,22
2013-03-03,22
2013-03-04,22
2013-03-05,22
2013-03-06,22
2013-03-07,22
2013-03-08,22
2013-03-09,22
2013-03-10,22
2013-03-11,22
2013-03-12,22
2013-03-13,22
2013-03-14,22
2013-03-15,22
2013-03-16,23
2013-03-17,23
2013-03-18,23
2013-03-19,24
2013-03-20,24
2013-03-21,24
2013-03-22,25
2013-03-23,26
2013-03-24,24
2013-03-25,24
2013-03-26,24
2013-03-27,25
2013-03-28,25
2013-03-29,25
2013-03-30,26
2013-03-31,26
2013-04-07,28
2013-04-08,28
2013-04-09,28
2013-04-10,29
2013-04-11,29
2013-04-12,29
2013-04-13,30
2013-04-14,29
2013-04-15,28
2013-04-16,28
2013-04-17,27
2013-04-18,27
2013-04-19,26
2013-04-20,26
2013-04-21,26
2013-04-22,26
2013-04-23,26
2013-04-24,26
2013-04-25,26
2013-04-26,26
2013-04-27,26
2013-04-28,26
2013-04-29,26
2013-04-30,26
2013-05-01,26
2013-05-02,26
2013-05-03,26
2013-05-04,26
2013-05-05,26
2013-05-06,26
2013-05-07,26
2013-05-08,26
2013-05-09,26
2013-05-10,26
2013-05-11,26
2013-05-12,26
2013-05-13,26
2013-05-14,26
2013-05-15,26
2013-05-16,26
2013-05-17,26
2013-05-18,26
2013-05-19,26
2013-05-20,26
2013-05-21,26
2013-05-22,26
2013-05-23,26
2013-05-24,26
2013-05-25,26
2013-05-26,34
2013-05-27,43
2013-05-28,51
2013-05-29,59
2013-05-30,68
2013-05-31,76
2013-06-01,85
2013-06-02,83
2013-06-03,82
2013-06-04,80
2013-06-05,79
2013-06-06,77
2013-06-07,76
2013-06-08,74
2013-06-09,71
2013-06-10,67
2013-06-11,63
2013-06-12,59
2013-06-13,55
2013-06-14,52
2013-06-15,48
2013-06-16,46
2013-06-17,44
2013-06-18,42
2013-06-19,40
2013-06-20,38
2013-06-21,36
2013-06-22,35
2013-06-23,34
2013-06-24,33
2013-06-25,32
2013-06-26,31
2013-06-27,30
2013-06-28,29
2013-06-29,28
2013-06-30,27
2013-07-07,35
2013-07-08,44
2013-07-09,53
2013-07-10,62
2013-07-11,70
2013-07-12,79
2013-07-13,88
2013-07-14,82
2013-07-15,76
2013-07-16,70
2013-07-17,65
2013-07-18,59
2013-07-19,53
2013-07-20,48
2013-07-21,47
2013-07-22,47
2013-07-23,46
2013-07-24,46
2013-07-25,45
2013-07-26,45
2013-07-27,45
2013-07-28,46
2013-07-29,48
2013-07-30,49
2013-07-31,50
2013-08-01,52
2013-08-02,53
2013-08-03,55
2013-08-04,51
2013-08-05,47
2013-08-06,43
2013-08-07,39
2013-08-08,35
2013-08-09,31
2013-08-10,27
2013-08-11,26
2013-08-12,25
2013-08-13,25
2013-08-14,24
2013-08-15,24
2013-08-16,23
2013-08-17,23
2013-08-18,24
2013-08-19,26
2013-08-20,28
2013-08-21,29
2013-08-22,31
2013-08-23,33
2013-08-24,35
2013-08-25,34
2013-08-26,33
2013-08-27,32
2013-08-28,32
2013-08-29,31
2013-08-30,30
2013-08-31,30
2013-09-01,30
2013-09-02,30
2013-09-03,30
2013-09-04,31
2013-09-05,31
2013-09-06,31
2013-09-07,32
2013-09-08,32
2013-09-09,32
2013-09-10,32
2013-09-11,32
2013-09-12,32
2013-09-13,33
2013-09-14,33
2013-09-15,32
2013-09-16,31
2013-09-17,30
2013-09-18,29
2013-09-19,28
2013-09-20,27
2013-09-21,27
2013-09-22,27
2013-09-23,27
2013-09-24,27
2013-09-25,27
2013-09-26,27
2013-09-27,27
2013-09-28,27
2013-09-29,27
2013-10-06,31
2013-10-07,37
2013-10-08,27
2013-10-09,26
2013-10-10,24
2013-10-11,22
2013-10-12,21
2013-10-13,21
2013-10-14,21
2013-10-15,22
2013-10-16,22
2013-10-17,23
2013-10-18,23
2013-10-19,24
2013-10-20,24
2013-10-21,25
2013-10-22,25
2013-10-23,26
2013-10-24,26
2013-10-25,27
2013-10-26,28
2013-10-27,28
2013-10-28,28
2013-10-29,28
2013-10-30,28
2013-10-31,28
2013-11-01,28
2013-11-02,29
2013-11-03,32
2013-11-04,35
2013-11-05,38
2013-11-06,41
2013-11-07,44
2013-11-08,47
2013-11-09,51
2013-11-10,54
2013-11-11,58
2013-11-12,62
2013-11-13,65
2013-11-14,69
2013-11-15,72
2013-11-16,76
2013-11-17,69
2013-11-18,59
2013-11-19,51
2013-11-20,44
2013-11-21,36
2013-11-22,29
2013-11-23,22
2013-11-24,23
2013-11-25,24
2013-11-26,25
2013-11-27,26
2013-11-28,27
2013-11-29,28
2013-11-30,30
2013-12-01,31
2013-12-02,32
2013-12-03,33
2013-12-04,34
2013-12-05,35
2013-12-06,36
2013-12-07,38
2013-12-08,37
2013-12-09,38
2013-12-10,38
2013-12-11,38
2013-12-12,38
2013-12-13,38
2013-12-14,39
2013-12-15,38
2013-12-16,40
2013-12-17,42
2013-12-18,45
2013-12-19,47
2013-12-20,49
2013-12-21,52
2013-12-22,54
2013-12-23,56
2013-12-24,58
2013-12-25,61
2013-12-26,63
2013-12-27,65
2013-12-28,68
2013-12-29,70
2014-01-05,86
2014-01-06,90
2014-01-07,92
2014-01-08,95
2014-01-09,97
2014-01-10,100
2014-01-11,103
2014-01-12,94
2014-01-13,82
2014-01-14,73
2014-01-15,64
2014-01-16,55
2014-01-17,46
2014-01-18,37
2014-01-19,36
2014-01-20,35
2014-01-21,34
2014-01-22,33
2014-01-23,32
2014-01-24,31
2014-01-25,31
2014-01-26,31
2014-01-27,32
2014-01-28,33
2014-01-29,33
2014-01-30,34
2014-01-31,35
2014-02-01,36
2014-02-02,34
2014-02-03,33
2014-02-04,32
2014-02-05,30
2014-02-06,29
2014-02-07,27
2014-02-08,26
2014-02-09,26
2014-02-10,25
2014-02-11,25
2014-02-12,25
2014-02-13,25
2014-02-14,25
2014-02-15,25
2014-02-16,27
2014-02-17,29
2014-02-18,31
2014-02-19,33
2014-02-20,35
2014-02-21,37
2014-02-22,40
2014-02-23,41
