Date,Stock Building Supply
2012-12-02,55
2012-12-03,57
2012-12-04,59
2012-12-05,61
2012-12-06,63
2012-12-07,65
2012-12-08,67
2012-12-09,66
2012-12-10,65
2012-12-11,64
2012-12-12,63
2012-12-13,62
2012-12-14,62
2012-12-15,61
2012-12-16,59
2012-12-17,57
2012-12-18,55
2012-12-19,53
2012-12-20,50
2012-12-21,48
2012-12-22,46
2012-12-23,44
2012-12-24,40
2012-12-25,38
2012-12-26,35
2012-12-27,33
2012-12-28,30
2012-12-29,28
2012-12-30,32
2012-12-31,36
2013-01-01,40
2013-01-02,44
2013-01-03,48
2013-01-04,52
2013-01-05,57
2013-01-06,56
2013-01-07,55
2013-01-08,55
2013-01-09,54
2013-01-10,53
2013-01-11,52
2013-01-12,52
2013-01-13,52
2013-01-14,52
2013-01-15,52
2013-01-16,52
2013-01-17,52
2013-01-18,52
2013-01-19,52
2013-01-20,51
2013-01-21,50
2013-01-22,49
2013-01-23,49
2013-01-24,48
2013-01-25,47
2013-01-26,47
2013-01-27,47
2013-01-28,47
2013-01-29,47
2013-01-30,47
2013-01-31,47
2013-02-01,47
2013-02-02,47
2013-02-03,47
2013-02-04,47
2013-02-05,47
2013-02-06,48
2013-02-07,48
2013-02-08,48
2013-02-09,49
2013-02-10,48
2013-02-11,48
2013-02-12,48
2013-02-13,48
2013-02-14,48
2013-02-15,48
2013-02-16,48
2013-02-17,47
2013-02-18,46
2013-02-19,46
2013-02-20,45
2013-02-21,45
2013-02-22,44
2013-02-23,44
2013-02-24,46
2013-03-01,60
2013-03-02,63
2013-03-03,61
2013-03-04,59
2013-03-05,57
2013-03-06,55
2013-03-07,53
2013-03-08,51
2013-03-09,50
2013-03-10,54
2013-03-11,58
2013-03-12,62
2013-03-13,67
2013-03-14,71
2013-03-15,75
2013-03-16,80
2013-03-17,79
2013-03-18,78
2013-03-19,78
2013-03-20,77
2013-03-21,77
2013-03-22,80
2013-03-23,76
2013-03-24,73
2013-03-25,70
2013-03-26,68
2013-03-27,65
2013-03-28,67
2013-03-29,60
2013-03-30,58
2013-03-31,60
2013-04-01,62
2013-04-02,65
2013-04-03,66
2013-04-04,68
2013-04-05,70
2013-04-06,76
2013-04-07,73
2013-04-08,73
2013-04-09,73
2013-04-10,74
2013-04-11,73
2013-04-12,73
2013-04-13,78
2013-04-14,71
2013-04-15,69
2013-04-16,67
2013-04-17,66
2013-04-18,64
2013-04-19,62
2013-04-20,61
2013-04-21,62
2013-04-22,63
2013-04-23,67
2013-04-24,66
2013-04-25,68
2013-04-26,69
2013-04-27,71
2013-04-28,68
2013-04-29,66
2013-04-30,63
2013-05-01,61
2013-05-02,59
2013-05-03,56
2013-05-04,54
2013-05-05,57
2013-05-06,61
2013-05-07,65
2013-05-08,69
2013-05-09,75
2013-05-10,77
2013-05-11,85
2013-05-12,77
2013-05-13,74
2013-05-14,70
2013-05-15,67
2013-05-16,63
2013-05-17,60
2013-05-18,57
2013-05-19,58
2013-05-20,59
2013-05-21,61
2013-05-22,61
2013-05-23,62
2013-05-24,63
2013-05-25,65
2013-05-26,63
2013-05-27,61
2013-05-28,59
2013-05-29,57
2013-05-30,55
2013-05-31,53
2013-06-01,51
2013-06-02,53
2013-06-03,56
2013-06-04,59
2013-06-05,63
2013-06-06,65
2013-06-07,68
2013-06-08,71
2013-06-09,70
2013-06-10,70
2013-06-11,69
2013-06-12,69
2013-06-13,69
2013-06-14,68
2013-06-15,68
2013-06-16,69
2013-06-17,70
2013-06-18,72
2013-06-19,73
2013-06-20,77
2013-06-21,76
2013-06-22,78
2013-06-23,76
2013-06-24,74
2013-06-25,72
2013-06-26,71
2013-06-27,69
2013-06-28,67
2013-06-29,69
2013-06-30,66
2013-07-01,66
2013-07-02,67
2013-07-03,67
2013-07-04,68
2013-07-05,68
2013-07-06,69
2013-07-07,67
2013-07-08,65
2013-07-09,70
2013-07-10,62
2013-07-11,61
2013-07-12,59
2013-07-13,58
2013-07-14,60
2013-07-15,62
2013-07-16,64
2013-07-17,66
2013-07-18,71
2013-07-19,70
2013-07-20,73
2013-07-21,74
2013-07-22,75
2013-07-23,79
2013-07-24,78
2013-07-25,80
2013-07-26,82
2013-07-27,83
2013-07-28,83
2013-07-29,83
2013-07-30,83
2013-07-31,83
2013-08-01,91
2013-08-02,83
2013-08-03,83
2013-08-04,85
2013-08-05,87
2013-08-06,92
2013-08-07,92
2013-08-08,96
2013-08-09,98
2013-08-10,100
2013-08-11,96
2013-08-12,92
2013-08-13,89
2013-08-14,91
2013-08-15,82
2013-08-16,78
2013-08-17,75
2013-08-18,76
2013-08-19,77
2013-08-20,83
2013-08-21,79
2013-08-22,80
2013-08-23,85
2013-08-24,85
2013-08-25,83
2013-08-26,83
2013-08-27,84
2013-08-28,84
2013-08-29,85
2013-08-30,85
2013-08-31,86
2013-09-01,83
2013-09-02,81
2013-09-03,79
2013-09-04,77
2013-09-05,76
2013-09-06,73
2013-09-07,73
2013-09-08,69
2013-09-09,67
2013-09-10,66
2013-09-11,64
2013-09-12,63
2013-09-13,61
2013-09-14,60
2013-09-15,62
2013-09-16,64
2013-09-17,66
2013-09-18,71
2013-09-19,70
2013-09-20,72
2013-09-21,74
2013-09-22,73
2013-09-23,72
2013-09-24,71
2013-09-25,71
2013-09-26,69
2013-09-27,69
2013-09-28,67
2013-09-29,68
2013-09-30,69
2013-10-01,71
2013-10-02,71
2013-10-03,72
2013-10-04,73
2013-10-05,75
2013-10-06,74
2013-10-07,73
2013-10-08,72
2013-10-09,75
2013-10-10,71
2013-10-11,70
2013-10-12,70
2013-10-13,71
2013-10-14,72
2013-10-15,73
2013-10-16,74
2013-10-17,80
2013-10-18,76
2013-10-19,77
2013-10-20,76
2013-10-21,76
2013-10-22,77
2013-10-23,75
2013-10-24,75
2013-10-25,75
2013-10-26,75
2013-10-27,74
2013-10-28,73
2013-10-29,72
2013-10-30,71
2013-10-31,70
2013-11-01,69
2013-11-02,69
2013-11-03,71
2013-11-04,73
2013-11-05,78
2013-11-06,77
2013-11-07,79
2013-11-08,81
2013-11-09,83
2013-11-10,80
2013-11-11,77
2013-11-12,75
2013-11-13,77
2013-11-14,70
2013-11-15,67
2013-11-16,65
2013-11-17,65
2013-11-18,65
2013-11-19,65
2013-11-20,65
2013-11-21,65
2013-11-22,65
2013-11-23,65
2013-11-24,62
2013-11-25,60
2013-11-26,61
2013-11-27,55
2013-11-28,53
2013-11-29,51
2013-11-30,49
2013-12-01,51
2013-12-02,54
2013-12-03,57
2013-12-04,59
2013-12-05,62
2013-12-06,65
2013-12-07,68
2013-12-08,66
2013-12-09,65
2013-12-10,63
2013-12-11,61
2013-12-12,60
2013-12-13,58
2013-12-14,57
2013-12-15,58
2013-12-16,60
2013-12-17,61
2013-12-18,62
2013-12-19,63
2013-12-20,65
2013-12-21,66
2013-12-22,61
2013-12-23,55
2013-12-24,51
2013-12-25,46
2013-12-26,42
2013-12-27,37
2013-12-28,33
2013-12-29,37
2013-12-30,41
2013-12-31,45
2014-01-01,49
2014-01-02,53
2014-01-03,57
2014-01-04,61
2014-01-05,62
2014-01-06,63
2014-01-07,64
2014-01-08,65
2014-01-09,66
2014-01-10,67
2014-01-11,68
2014-01-12,67
2014-01-13,67
2014-01-14,67
2014-01-15,67
2014-01-16,67
2014-01-17,67
2014-01-18,67
2014-01-19,67
2014-01-20,68
2014-01-21,68
2014-01-22,69
2014-01-23,69
2014-01-24,69
2014-01-25,70
2014-01-26,66
2014-01-27,60
2014-01-28,56
2014-01-29,52
2014-01-30,48
2014-01-31,44
2014-02-01,40
