Date,Oxford Immunotec
2013-04-01,0
2013-04-02,1
2013-04-03,3
2013-04-04,5
2013-04-05,6
2013-04-06,8
2013-04-07,10
2013-04-08,11
2013-04-09,13
2013-04-10,15
2013-04-11,16
2013-04-12,18
2013-04-13,20
2013-04-14,21
2013-04-15,23
2013-04-16,25
2013-04-17,26
2013-04-18,28
2013-04-19,30
2013-04-20,31
2013-04-21,33
2013-04-22,35
2013-04-23,36
2013-04-24,38
2013-04-25,40
2013-04-26,41
2013-04-27,43
2013-04-28,45
2013-04-29,46
2013-04-30,48
2013-05-01,50
2013-05-02,49
2013-05-03,48
2013-05-04,47
2013-05-05,47
2013-05-06,46
2013-05-07,45
2013-05-08,45
2013-05-09,44
2013-05-10,43
2013-05-11,43
2013-05-12,42
2013-05-13,41
2013-05-14,41
2013-05-15,40
2013-05-16,39
2013-05-17,39
2013-05-18,38
2013-05-19,37
2013-05-20,37
2013-05-21,36
2013-05-22,35
2013-05-23,35
2013-05-24,34
2013-05-25,33
2013-05-26,33
2013-05-27,32
2013-05-28,31
2013-05-29,31
2013-05-30,30
2013-05-31,29
2013-06-01,29
2013-06-02,28
2013-06-03,28
2013-06-04,28
2013-06-05,28
2013-06-06,28
2013-06-07,28
2013-06-08,28
2013-06-09,28
2013-06-10,28
2013-06-11,28
2013-06-12,28
2013-06-13,28
2013-06-14,28
2013-06-15,28
2013-06-16,28
2013-06-17,28
2013-06-18,28
2013-06-19,28
2013-06-20,28
2013-06-21,28
2013-06-22,28
2013-06-23,28
2013-06-24,28
2013-06-25,28
2013-06-26,28
2013-06-27,28
2013-06-28,28
2013-06-29,28
2013-06-30,28
2013-07-01,28
2013-07-02,28
2013-07-03,29
2013-07-04,29
2013-07-05,30
2013-07-06,30
2013-07-07,31
2013-07-08,31
2013-07-09,32
2013-07-10,32
2013-07-11,33
2013-07-12,33
2013-07-13,34
2013-07-14,34
2013-07-15,35
2013-07-16,35
2013-07-17,36
2013-07-18,36
2013-07-19,37
2013-07-20,37
2013-07-21,38
2013-07-22,38
2013-07-23,39
2013-07-24,39
2013-07-25,40
2013-07-26,40
2013-07-27,41
2013-07-28,41
2013-07-29,42
2013-07-30,42
2013-07-31,43
2013-08-01,44
2013-08-02,44
2013-08-03,44
2013-08-04,44
2013-08-05,44
2013-08-06,44
2013-08-07,44
2013-08-08,44
2013-08-09,44
2013-08-10,44
2013-08-11,44
2013-08-12,44
2013-08-13,44
2013-08-14,44
2013-08-15,44
2013-08-16,44
2013-08-17,45
2013-08-18,45
2013-08-19,45
2013-08-20,45
2013-08-21,45
2013-08-22,45
2013-08-23,45
2013-08-24,45
2013-08-25,45
2013-08-26,45
2013-08-27,45
2013-08-28,45
2013-08-29,45
2013-08-30,45
2013-08-31,45
2013-09-01,46
2013-09-02,46
2013-09-03,47
2013-09-04,48
2013-09-05,49
2013-09-06,50
2013-09-07,51
2013-09-08,52
2013-09-09,52
2013-09-10,53
2013-09-11,54
2013-09-12,55
2013-09-13,56
2013-09-14,57
2013-09-15,58
2013-09-16,59
2013-09-17,59
2013-09-18,60
2013-09-19,61
2013-09-20,62
2013-09-21,63
2013-09-22,64
2013-09-23,65
2013-09-24,65
2013-09-25,66
2013-09-26,67
2013-09-27,68
2013-09-28,69
2013-09-29,70
2013-09-30,71
2013-10-01,72
2013-10-02,72
2013-10-03,73
2013-10-04,74
2013-10-05,75
2013-10-06,76
2013-10-07,77
2013-10-08,78
2013-10-09,79
2013-10-10,80
2013-10-11,81
2013-10-12,81
2013-10-13,82
2013-10-14,83
2013-10-15,84
2013-10-16,85
2013-10-17,86
2013-10-18,87
2013-10-19,88
2013-10-20,89
2013-10-21,90
2013-10-22,90
2013-10-23,91
2013-10-24,92
2013-10-25,93
2013-10-26,94
2013-10-27,95
2013-10-28,96
2013-10-29,97
2013-10-30,98
2013-10-31,99
2013-11-01,100
2013-11-02,98
2013-11-03,97
2013-11-04,95
2013-11-05,94
2013-11-06,93
2013-11-07,91
2013-11-08,90
2013-11-09,88
2013-11-10,87
2013-11-11,86
2013-11-12,84
2013-11-13,83
2013-11-14,81
2013-11-15,80
2013-11-16,79
2013-11-17,77
2013-11-18,76
2013-11-19,74
2013-11-20,73
2013-11-21,72
2013-11-22,70
2013-11-23,69
2013-11-24,67
2013-11-25,66
2013-11-26,65
2013-11-27,63
2013-11-28,62
2013-11-29,60
2013-11-30,59
2013-12-01,58
2013-12-02,58
2013-12-03,58
2013-12-04,59
2013-12-05,59
2013-12-06,59
2013-12-07,60
2013-12-08,60
2013-12-09,61
2013-12-10,61
2013-12-11,61
2013-12-12,62
2013-12-13,62
2013-12-14,63
2013-12-15,63
2013-12-16,63
2013-12-17,64
2013-12-18,64
2013-12-19,64
2013-12-20,65
2013-12-21,65
2013-12-22,66
2013-12-23,66
2013-12-24,66
2013-12-25,67
2013-12-26,67
2013-12-27,68
2013-12-28,68
2013-12-29,68
2013-12-30,69
2013-12-31,69
2014-01-01,70
2014-01-02,70
2014-01-03,71
2014-01-04,72
2014-01-05,72
2014-01-06,73
2014-01-07,74
2014-01-08,75
2014-01-09,75
2014-01-10,76
2014-01-11,77
2014-01-12,78
2014-01-13,78
2014-01-14,79
2014-01-15,80
2014-01-16,81
2014-01-17,81
2014-01-18,82
2014-01-19,83
2014-01-20,84
2014-01-21,84
2014-01-22,85
2014-01-23,86
2014-01-24,87
2014-01-25,87
2014-01-26,88
2014-01-27,89
2014-01-28,90
2014-01-29,90
2014-01-30,91
2014-01-31,92
2014-02-01,93
