Date,SunPower Corp
2005-02-12,20
2005-02-13,20
2005-02-14,21
2005-02-15,21
2005-02-16,22
2005-02-17,22
2005-02-18,23
2005-02-19,24
2005-02-20,24
2005-02-21,24
2005-02-22,24
2005-02-23,24
2005-02-24,24
2005-02-25,24
2005-02-26,24
2005-02-27,26
2005-02-28,29
2005-03-01,31
2005-03-02,34
2005-03-03,36
2005-03-04,39
2005-03-05,41
2005-03-06,38
2005-03-07,34
2005-03-08,31
2005-03-09,28
2005-03-10,25
2005-03-11,22
2005-03-12,19
2005-03-13,19
2005-03-14,19
2005-03-15,19
2005-03-16,19
2005-03-17,19
2005-03-18,19
2005-03-19,20
2005-03-20,20
2005-03-21,21
2005-03-22,21
2005-03-23,22
2005-03-24,22
2005-03-25,23
2005-03-26,24
2005-03-27,24
2005-05-01,28
2005-05-02,30
2005-05-03,32
2005-05-04,34
2005-05-05,35
2005-05-06,37
2005-05-07,39
2005-05-08,37
2005-05-09,35
2005-05-10,34
2005-05-11,32
2005-05-12,31
2005-05-13,29
2005-05-14,28
2005-05-15,27
2005-05-16,27
2005-05-17,26
2005-05-18,26
2005-05-19,25
2005-05-20,25
2005-05-21,25
2005-05-22,26
2005-05-23,27
2005-05-24,28
2005-05-25,30
2005-05-26,31
2005-05-27,32
2005-05-28,34
2005-05-29,35
2005-05-30,37
2005-05-31,39
2005-06-01,41
2005-06-02,43
2005-06-03,45
2005-06-04,47
2005-06-05,45
2005-06-06,43
2005-06-07,41
2005-06-08,40
2005-06-09,38
2005-06-10,36
2005-06-11,35
2005-06-12,35
2005-06-13,35
2005-06-14,36
2005-06-15,36
2005-06-16,37
2005-06-17,37
2005-06-18,38
2005-06-19,38
2005-06-20,38
2005-06-21,39
2005-06-22,39
2005-06-23,39
2005-06-24,40
2005-06-25,40
2005-06-26,37
2005-06-27,34
2005-06-28,31
2005-06-29,29
2005-06-30,26
2005-07-01,23
2005-07-02,21
2005-07-03,23
2005-07-04,26
2005-07-05,29
2005-07-06,31
2005-07-07,34
2005-07-08,37
2005-07-09,40
2005-07-10,39
2005-07-11,38
2005-07-12,37
2005-07-13,37
2005-07-14,36
2005-07-15,35
2005-07-16,35
2005-07-17,34
2005-07-18,34
2005-07-19,34
2005-07-20,34
2005-07-21,34
2005-07-22,33
2005-07-23,33
2005-07-24,31
2005-07-25,28
2005-07-26,26
2005-07-27,24
2005-07-28,22
2005-07-29,20
2005-07-30,18
2005-07-31,20
2005-08-07,31
2005-08-08,29
2005-08-09,27
2005-08-10,26
2005-08-11,24
2005-08-12,22
2005-08-13,21
2005-08-14,21
2005-08-15,22
2005-08-16,22
2005-08-17,23
2005-08-18,23
2005-08-19,24
2005-08-20,25
2005-08-21,27
2005-08-22,29
2005-08-23,32
2005-08-24,34
2005-08-25,37
2005-08-26,39
2005-08-27,42
2005-08-28,46
2005-08-29,51
2005-08-30,56
2005-08-31,60
2005-09-01,65
2005-09-02,70
2005-09-03,74
2005-09-04,70
2005-09-05,64
2005-09-06,60
2005-09-07,55
2005-09-08,51
2005-09-09,47
2005-09-10,43
2005-09-11,42
2005-09-12,42
2005-09-13,42
2005-09-14,41
2005-09-15,41
2005-09-16,40
2005-09-17,40
2005-09-18,39
2005-09-19,38
2005-09-20,37
2005-09-21,37
2005-09-22,36
2005-09-23,35
2005-09-24,35
2005-09-25,34
2005-09-26,33
2005-09-27,32
2005-09-28,31
2005-09-29,30
2005-09-30,29
2005-10-01,28
2005-10-02,29
2005-10-03,30
2005-10-04,31
2005-10-05,33
2005-10-06,34
2005-10-07,35
2005-10-08,37
2005-10-09,37
2005-10-10,37
2005-10-11,37
2005-10-12,37
2005-10-13,37
2005-10-14,37
2005-10-15,37
2005-10-16,36
2005-10-17,36
2005-10-18,36
2005-10-19,36
2005-10-20,36
2005-10-21,36
2005-10-22,36
2005-10-23,35
2005-10-24,35
2005-10-25,35
2005-10-26,34
2005-10-27,34
2005-10-28,34
2005-10-29,34
2005-10-30,33
2005-11-06,30
2005-11-07,30
2005-11-08,29
2005-11-09,29
2005-11-10,28
2005-11-11,28
2005-11-12,28
2005-11-13,38
2005-11-14,49
2005-11-15,59
2005-11-16,70
2005-11-17,80
2005-11-18,91
2005-11-19,101
2005-11-20,95
2005-11-21,88
2005-11-22,82
2005-11-23,76
2005-11-24,70
2005-11-25,64
2005-11-26,58
2005-11-27,53
2005-11-28,47
2005-11-29,42
2005-11-30,38
2005-12-01,33
2005-12-02,28
2005-12-03,24
2005-12-04,27
2005-12-05,31
2005-12-06,35
2005-12-07,39
2005-12-08,43
2005-12-09,47
2005-12-10,51
2005-12-11,53
2005-12-12,56
2005-12-13,58
2005-12-14,60
2005-12-15,63
2005-12-16,65
2005-12-17,68
2005-12-18,65
2005-12-19,61
2005-12-20,58
2005-12-21,56
2005-12-22,53
2005-12-23,50
2005-12-24,48
2005-12-25,46
2005-12-26,45
2005-12-27,43
2005-12-28,42
2005-12-29,40
2005-12-30,39
2005-12-31,38
2006-01-01,39
2006-01-02,41
2006-01-03,43
2006-01-04,44
2006-01-05,46
2006-01-06,47
2006-01-07,49
2006-01-08,48
2006-01-09,47
2006-01-10,46
2006-01-11,46
2006-01-12,45
2006-01-13,44
2006-01-14,44
2006-01-15,46
2006-01-16,48
2006-01-17,50
2006-01-18,52
2006-01-19,54
2006-01-20,56
2006-01-21,59
2006-01-22,59
2006-01-23,59
2006-01-24,59
2006-01-25,59
2006-01-26,59
2006-01-27,59
2006-01-28,60
2006-01-29,60
2006-02-05,62
2006-02-06,60
2006-02-07,57
2006-02-08,54
2006-02-09,52
2006-02-10,49
2006-02-11,47
2006-02-12,47
2006-02-13,47
2006-02-14,48
2006-02-15,48
2006-02-16,49
2006-02-17,49
2006-02-18,50
2006-02-19,51
2006-02-20,52
2006-02-21,53
2006-02-22,54
2006-02-23,55
2006-02-24,56
2006-02-25,57
2006-02-26,55
2006-02-27,52
2006-02-28,50
2006-03-01,48
2006-03-02,46
2006-03-03,44
2006-03-04,42
2006-03-05,42
2006-03-06,43
2006-03-07,43
2006-03-08,44
2006-03-09,44
2006-03-10,45
2006-03-11,45
2006-03-12,44
2006-03-13,42
2006-03-14,41
2006-03-15,40
2006-03-16,39
2006-03-17,38
2006-03-18,37
2006-03-19,38
2006-03-20,39
2006-03-21,40
2006-03-22,41
2006-03-23,42
2006-03-24,43
2006-03-25,44
2006-03-26,43
2006-05-07,50
2006-05-08,48
2006-05-09,46
2006-05-10,45
2006-05-11,43
2006-05-12,41
2006-05-13,40
2006-05-14,41
2006-05-15,43
2006-05-16,45
2006-05-17,46
2006-05-18,48
2006-05-19,50
2006-05-20,52
2006-05-21,52
2006-05-22,52
2006-05-23,52
2006-05-24,52
2006-05-25,52
2006-05-26,52
2006-05-27,52
2006-05-28,51
2006-05-29,50
2006-05-30,49
2006-05-31,49
2006-06-01,48
2006-06-02,47
2006-06-03,47
2006-06-04,46
2006-06-05,45
2006-06-06,45
2006-06-07,44
2006-06-08,43
2006-06-09,42
2006-06-10,42
2006-06-11,41
2006-06-12,41
2006-06-13,40
2006-06-14,40
2006-06-15,39
2006-06-16,39
2006-06-17,39
2006-06-18,39
2006-06-19,40
2006-06-20,40
2006-06-21,41
2006-06-22,41
2006-06-23,42
2006-06-24,43
2006-06-25,43
2006-06-26,43
2006-06-27,44
2006-06-28,44
2006-06-29,45
2006-06-30,45
2006-07-01,46
2006-07-02,45
2006-07-03,44
2006-07-04,44
2006-07-05,43
2006-07-06,42
2006-07-07,42
2006-07-08,41
2006-07-09,40
2006-07-10,39
2006-07-11,38
2006-07-12,37
2006-07-13,36
2006-07-14,35
2006-07-15,34
2006-07-16,34
2006-07-17,35
2006-07-18,35
2006-07-19,36
2006-07-20,36
2006-07-21,37
2006-07-22,38
2006-07-23,37
2006-07-24,37
2006-07-25,37
2006-07-26,37
2006-07-27,37
2006-07-28,37
2006-07-29,37
2006-07-30,37
2006-08-06,35
2006-08-07,35
2006-08-08,35
2006-08-09,35
2006-08-10,35
2006-08-11,35
2006-08-12,35
2006-08-13,37
2006-08-14,39
2006-08-15,41
2006-08-16,43
2006-08-17,45
2006-08-18,47
2006-08-19,50
2006-08-20,50
2006-08-21,50
2006-08-22,51
2006-08-23,51
2006-08-24,51
2006-08-25,51
2006-08-26,52
2006-08-27,50
2006-08-28,48
2006-08-29,45
2006-08-30,43
2006-08-31,41
2006-09-01,39
2006-09-02,37
2006-09-03,36
2006-09-04,35
2006-09-05,34
2006-09-06,34
2006-09-07,33
2006-09-08,32
2006-09-09,32
2006-09-10,33
2006-09-11,35
2006-09-12,36
2006-09-13,37
2006-09-14,39
2006-09-15,40
2006-09-16,42
2006-09-17,41
2006-09-18,40
2006-09-19,39
2006-09-20,38
2006-09-21,37
2006-09-22,36
2006-09-23,36
2006-09-24,37
2006-09-25,39
2006-09-26,41
2006-09-27,43
2006-09-28,45
2006-09-29,47
2006-09-30,49
2006-10-01,47
2006-10-02,45
2006-10-03,44
2006-10-04,42
2006-10-05,41
2006-10-06,39
2006-10-07,38
2006-10-08,39
2006-10-09,40
2006-10-10,41
2006-10-11,43
2006-10-12,44
2006-10-13,45
2006-10-14,47
2006-10-15,51
2006-10-16,55
2006-10-17,59
2006-10-18,63
2006-10-19,67
2006-10-20,72
2006-10-21,76
2006-10-22,70
2006-10-23,63
2006-10-24,57
2006-10-25,51
2006-10-26,45
2006-10-27,39
2006-10-28,34
2006-10-29,36
2006-11-01,42
2006-11-02,44
2006-11-03,46
2006-11-04,49
2006-11-05,46
2006-11-06,43
2006-11-07,41
2006-11-08,38
2006-11-09,36
2006-11-10,33
2006-11-11,31
2006-11-12,34
2006-11-13,38
2006-11-14,41
2006-11-15,45
2006-11-16,48
2006-11-17,52
2006-11-18,56
2006-11-19,53
2006-11-20,50
2006-11-21,47
2006-11-22,44
2006-11-23,41
2006-11-24,41
2006-11-25,36
2006-11-26,35
2006-11-27,36
2006-11-28,37
2006-11-29,37
2006-11-30,41
2006-12-01,39
2006-12-02,40
2006-12-03,39
2006-12-04,39
2006-12-05,38
2006-12-06,38
2006-12-07,38
2006-12-08,37
2006-12-09,37
2006-12-10,38
2006-12-11,39
2006-12-12,40
2006-12-13,41
2006-12-14,42
2006-12-15,43
2006-12-16,44
2006-12-17,42
2006-12-18,40
2006-12-19,38
2006-12-20,37
2006-12-21,35
2006-12-22,33
2006-12-23,32
2006-12-24,31
2006-12-25,30
2006-12-26,29
2006-12-27,28
2006-12-28,27
2006-12-29,26
2006-12-30,25
2006-12-31,26
2007-01-01,28
2007-01-02,30
2007-01-03,31
2007-01-04,33
2007-01-05,37
2007-01-06,37
2007-01-07,39
2007-01-08,41
2007-01-09,43
2007-01-10,48
2007-01-11,49
2007-01-12,49
2007-01-13,52
2007-01-14,50
2007-01-15,50
2007-01-16,49
2007-01-17,50
2007-01-18,48
2007-01-19,48
2007-01-20,50
2007-01-21,48
2007-01-22,48
2007-01-23,49
2007-01-24,48
2007-01-25,48
2007-01-26,48
2007-01-27,49
2007-01-28,50
2007-01-29,51
2007-01-30,56
2007-01-31,54
