Date,XOOM Corporation
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,1
2012-10-03,2
2012-10-04,4
2012-10-05,5
2012-10-06,7
2012-10-07,8
2012-10-08,10
2012-10-09,11
2012-10-10,13
2012-10-11,14
2012-10-12,16
2012-10-13,17
2012-10-14,19
2012-10-15,20
2012-10-16,22
2012-10-17,23
2012-10-18,25
2012-10-19,26
2012-10-20,28
2012-10-21,29
2012-10-22,31
2012-10-23,32
2012-10-24,34
2012-10-25,35
2012-10-26,37
2012-10-27,38
2012-10-28,40
2012-10-29,41
2012-10-30,43
2012-10-31,44
2012-11-01,46
2012-11-02,46
2012-11-03,47
2012-11-04,47
2012-11-05,48
2012-11-06,48
2012-11-07,49
2012-11-08,49
2012-11-09,50
2012-11-10,50
2012-11-11,51
2012-11-12,51
2012-11-13,52
2012-11-14,52
2012-11-15,53
2012-11-16,53
2012-11-17,54
2012-11-18,54
2012-11-19,55
2012-11-20,55
2012-11-21,56
2012-11-22,56
2012-11-23,57
2012-11-24,57
2012-11-25,58
2012-11-26,58
2012-11-27,59
2012-11-28,59
2012-11-29,60
2012-11-30,60
2012-12-01,61
2012-12-02,61
2012-12-03,61
2012-12-04,62
2012-12-05,62
2012-12-06,63
2012-12-07,63
2012-12-08,64
2012-12-09,64
2012-12-10,65
2012-12-11,65
2012-12-12,65
2012-12-13,66
2012-12-14,66
2012-12-15,67
2012-12-16,67
2012-12-17,68
2012-12-18,68
2012-12-19,69
2012-12-20,69
2012-12-21,70
2012-12-22,70
2012-12-23,70
2012-12-24,71
