Date,Norwegian Cruise Line Holdings
2011-01-01,64
2011-01-02,63
2011-01-03,63
2011-01-04,62
2011-01-05,62
2011-01-06,62
2011-01-07,61
2011-01-08,61
2011-01-09,60
2011-01-10,60
2011-01-11,60
2011-01-12,59
2011-01-13,59
2011-01-14,58
2011-01-15,58
2011-01-16,58
2011-01-17,57
2011-01-18,57
2011-01-19,57
2011-01-20,56
2011-01-21,56
2011-01-22,55
2011-01-23,55
2011-01-24,55
2011-01-25,54
2011-01-26,54
2011-01-27,53
2011-01-28,53
2011-01-29,53
2011-01-30,52
2011-01-31,52
2011-02-01,52
2011-02-02,52
2011-02-03,52
2011-02-04,52
2011-02-05,52
2011-02-06,52
2011-02-07,52
2011-02-08,52
2011-02-09,52
2011-02-10,52
2011-02-11,52
2011-02-12,52
2011-02-13,52
2011-02-14,52
2011-02-15,52
2011-02-16,52
2011-02-17,52
2011-02-18,52
2011-02-19,52
2011-02-20,52
2011-02-21,52
2011-02-22,52
2011-02-23,52
2011-02-24,52
2011-02-25,52
2011-02-26,52
2011-02-27,52
2011-02-28,52
2011-03-01,52
2011-03-02,52
2011-03-03,52
2011-03-04,52
2011-03-05,52
2011-03-06,52
2011-03-07,52
2011-03-08,52
2011-03-09,52
2011-03-10,52
2011-03-11,52
2011-03-12,52
2011-03-13,52
2011-03-14,52
2011-03-15,52
2011-03-16,52
2011-03-17,52
2011-03-18,52
2011-03-19,52
2011-03-20,52
2011-03-21,52
2011-03-22,52
2011-03-23,52
2011-03-24,52
2011-03-25,52
2011-03-26,52
2011-03-27,52
2011-03-28,52
2011-03-29,52
2011-03-30,52
2011-03-31,52
2011-04-01,52
2011-04-02,52
2011-04-03,52
2011-04-04,52
2011-04-05,52
2011-04-06,52
2011-04-07,52
2011-04-08,52
2011-04-09,52
2011-04-10,52
2011-04-11,52
2011-04-12,52
2011-04-13,52
2011-04-14,52
2011-04-15,52
2011-04-16,52
2011-04-17,52
2011-04-18,52
2011-04-19,52
2011-04-20,52
2011-04-21,52
2011-04-22,52
2011-04-23,52
2011-04-24,52
2011-04-25,52
2011-04-26,52
2011-04-27,52
2011-04-28,52
2011-04-29,52
2011-04-30,52
2011-05-01,53
2011-05-02,52
2011-05-03,52
2011-05-04,52
2011-05-05,52
2011-05-06,52
2011-05-07,52
2011-05-08,52
2011-05-09,51
2011-05-10,51
2011-05-11,51
2011-05-12,51
2011-05-13,51
2011-05-14,51
2011-05-15,51
2011-05-16,51
2011-05-17,50
2011-05-18,50
2011-05-19,50
2011-05-20,50
2011-05-21,50
2011-05-22,50
2011-05-23,50
2011-05-24,50
2011-05-25,49
2011-05-26,49
2011-05-27,49
2011-05-28,49
2011-05-29,49
2011-05-30,49
2011-05-31,49
2011-06-01,49
2011-06-02,49
2011-06-03,49
2011-06-04,49
2011-06-05,49
2011-06-06,49
2011-06-07,49
2011-06-08,49
2011-06-09,49
2011-06-10,49
2011-06-11,49
2011-06-12,49
2011-06-13,49
2011-06-14,49
2011-06-15,49
2011-06-16,49
2011-06-17,49
2011-06-18,49
2011-06-19,49
2011-06-20,49
2011-06-21,49
2011-06-22,49
2011-06-23,49
2011-06-24,49
2011-06-25,49
2011-06-26,49
2011-06-27,49
2011-06-28,49
2011-06-29,49
2011-06-30,49
2011-07-01,49
2011-07-02,48
2011-07-03,48
2011-07-04,47
2011-07-05,47
2011-07-06,47
2011-07-07,46
2011-07-08,46
2011-07-09,46
2011-07-10,45
2011-07-11,45
2011-07-12,45
2011-07-13,44
2011-07-14,44
2011-07-15,44
2011-07-16,43
2011-07-17,43
2011-07-18,42
2011-07-19,42
2011-07-20,42
2011-07-21,41
2011-07-22,41
2011-07-23,41
2011-07-24,40
2011-07-25,40
2011-07-26,40
2011-07-27,39
2011-07-28,39
2011-07-29,39
2011-07-30,38
2011-07-31,38
2011-08-01,38
2011-08-02,37
2011-08-03,37
2011-08-04,37
2011-08-05,37
2011-08-06,37
2011-08-07,37
2011-08-08,37
2011-08-09,37
2011-08-10,37
2011-08-11,37
2011-08-12,37
2011-08-13,37
2011-08-14,37
2011-08-15,37
2011-08-16,37
2011-08-17,37
2011-08-18,37
2011-08-19,37
2011-08-20,37
2011-08-21,37
2011-08-22,37
2011-08-23,37
2011-08-24,37
2011-08-25,37
2011-08-26,37
2011-08-27,37
2011-08-28,37
2011-08-29,37
2011-08-30,37
2011-08-31,37
2011-09-01,37
2011-09-02,36
2011-09-03,36
2011-09-04,36
2011-09-05,36
2011-09-06,36
2011-09-07,36
2011-09-08,36
2011-09-09,36
2011-09-10,36
2011-09-11,36
2011-09-12,36
2011-09-13,36
2011-09-14,36
2011-09-15,36
2011-09-16,36
2011-09-17,36
2011-09-18,36
2011-09-19,36
2011-09-20,36
2011-09-21,36
2011-09-22,36
2011-09-23,36
2011-09-24,36
2011-09-25,36
2011-09-26,36
2011-09-27,36
2011-09-28,36
2011-09-29,36
2011-09-30,36
2011-10-01,36
2011-10-02,36
2011-10-03,36
2011-10-04,36
2011-10-05,36
2011-10-06,36
2011-10-07,36
2011-10-08,36
2011-10-09,36
2011-10-10,36
