Date,ING U.S.
2012-05-01,0
2012-05-02,0
2012-05-03,0
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,2
2012-08-03,5
2012-08-04,8
2012-08-05,11
2012-08-06,14
2012-08-07,17
2012-08-08,19
2012-08-09,22
2012-08-10,25
2012-08-11,28
2012-08-12,31
2012-08-13,34
2012-08-14,36
2012-08-15,39
2012-08-16,42
2012-08-17,45
2012-08-18,48
2012-08-19,51
2012-08-20,53
2012-08-21,56
2012-08-22,59
2012-08-23,62
2012-08-24,65
2012-08-25,68
2012-08-26,70
2012-08-27,73
2012-08-28,76
2012-08-29,79
2012-08-30,82
2012-08-31,85
2012-09-01,88
2012-09-02,87
2012-09-03,87
2012-09-04,86
2012-09-05,86
2012-09-06,85
2012-09-07,85
2012-09-08,84
2012-09-09,84
2012-09-10,83
2012-09-11,83
2012-09-12,82
2012-09-13,82
2012-09-14,81
2012-09-15,81
2012-09-16,80
2012-09-17,80
2012-09-18,79
2012-09-19,79
2012-09-20,78
2012-09-21,78
2012-09-22,77
2012-09-23,77
2012-09-24,76
2012-09-25,76
2012-09-26,75
2012-09-27,75
2012-09-28,74
2012-09-29,74
2012-09-30,73
2012-10-01,73
2012-10-02,73
2012-10-03,73
2012-10-04,73
2012-10-05,73
2012-10-06,73
2012-10-07,73
2012-10-08,73
2012-10-09,73
2012-10-10,73
2012-10-11,73
2012-10-12,73
2012-10-13,73
2012-10-14,73
2012-10-15,73
2012-10-16,73
2012-10-17,73
2012-10-18,73
2012-10-19,73
2012-10-20,73
2012-10-21,73
2012-10-22,73
2012-10-23,73
2012-10-24,73
2012-10-25,73
2012-10-26,73
2012-10-27,73
2012-10-28,73
2012-10-29,73
2012-10-30,73
2012-10-31,73
2012-11-01,73
2012-11-02,73
2012-11-03,73
2012-11-04,74
