Date,MercadoLibre
2006-11-05,45
2006-11-06,42
2006-11-07,39
2006-11-08,36
2006-11-09,33
2006-11-10,30
2006-11-11,27
2006-11-12,28
2006-11-13,29
2006-11-14,30
2006-11-15,31
2006-11-16,32
2006-11-17,33
2006-11-18,35
2006-11-19,35
2006-11-20,35
2006-11-21,35
2006-11-22,35
2006-11-23,35
2006-11-24,35
2006-11-25,36
2006-11-26,36
2006-11-27,37
2006-11-28,37
2006-11-29,38
2006-11-30,39
2006-12-01,39
2006-12-02,40
2006-12-03,41
2006-12-04,42
2006-12-05,43
2006-12-06,44
2006-12-07,45
2006-12-08,46
2006-12-09,48
2006-12-10,46
2006-12-11,45
2006-12-12,43
2006-12-13,42
2006-12-14,40
2006-12-15,39
2006-12-16,38
2006-12-17,40
2006-12-18,42
2006-12-19,44
2006-12-20,46
2006-12-21,48
2006-12-22,50
2006-12-23,52
2006-12-24,49
2006-12-25,46
2006-12-26,43
2006-12-27,40
2006-12-28,37
2006-12-29,34
2006-12-30,32
2006-12-31,33
2007-01-01,34
2007-01-02,35
2007-01-03,37
2007-01-04,38
2007-01-05,39
2007-01-06,41
2007-01-07,41
2007-01-08,42
2007-01-09,42
2007-01-10,43
2007-01-11,44
2007-01-12,44
2007-01-13,45
2007-01-14,44
2007-01-15,44
2007-01-16,43
2007-01-17,43
2007-01-18,42
2007-01-19,42
2007-01-20,41
2007-01-21,41
2007-01-22,40
2007-01-23,40
2007-01-24,40
2007-01-25,40
2007-01-26,40
2007-01-27,40
2007-01-28,40
2007-02-04,43
2007-02-05,42
2007-02-06,41
2007-02-07,41
2007-02-08,40
2007-02-09,39
2007-02-10,39
2007-02-11,38
2007-02-12,38
2007-02-13,37
2007-02-14,37
2007-02-15,37
2007-02-16,36
2007-02-17,36
2007-02-18,37
2007-02-19,38
2007-02-20,39
2007-02-21,40
2007-02-22,41
2007-02-23,43
2007-02-24,44
2007-02-25,43
2007-02-26,42
2007-02-27,41
2007-02-28,40
2007-03-01,39
2007-03-02,38
2007-03-03,37
2007-03-04,37
2007-03-05,37
2007-03-06,37
2007-03-07,38
2007-03-08,38
2007-03-09,38
2007-03-10,39
2007-03-11,39
2007-03-12,40
2007-03-13,41
2007-03-14,42
2007-03-15,43
2007-03-16,44
2007-03-17,45
2007-03-18,43
2007-03-19,41
2007-03-20,39
2007-03-21,38
2007-03-22,36
2007-03-23,34
2007-03-24,33
2007-03-25,34
2007-05-06,56
2007-05-07,55
2007-05-08,54
2007-05-09,54
2007-05-10,53
2007-05-11,52
2007-05-12,52
2007-05-13,52
2007-05-14,53
2007-05-15,54
2007-05-16,54
2007-05-17,55
2007-05-18,55
2007-05-19,56
2007-05-20,54
2007-05-21,50
2007-05-22,48
2007-05-23,45
2007-05-24,43
2007-05-25,40
2007-05-26,38
2007-05-27,40
2007-05-28,43
2007-05-29,46
2007-05-30,49
2007-05-31,52
2007-06-01,54
2007-06-02,57
2007-06-03,57
2007-06-04,57
2007-06-05,57
2007-06-06,57
2007-06-07,57
2007-06-08,57
2007-06-09,58
2007-06-10,60
2007-06-11,64
2007-06-12,67
2007-06-13,70
2007-06-14,73
2007-06-15,75
2007-06-16,78
2007-06-17,74
2007-06-18,67
2007-06-19,62
2007-06-20,57
2007-06-21,52
2007-06-22,47
2007-06-23,42
2007-06-24,43
2007-06-25,45
2007-06-26,47
2007-06-27,49
2007-06-28,51
2007-06-29,53
2007-06-30,55
2007-07-01,56
2007-07-02,57
2007-07-03,58
2007-07-04,60
2007-07-05,61
2007-07-06,62
2007-07-07,63
2007-07-08,61
2007-07-09,59
2007-07-10,57
2007-07-11,56
2007-07-12,54
2007-07-13,52
2007-07-14,51
2007-07-15,50
2007-07-16,50
2007-07-17,50
2007-07-18,49
2007-07-19,49
2007-07-20,49
2007-07-21,49
2007-07-22,52
2007-07-23,55
2007-07-24,58
2007-07-25,61
2007-07-26,64
2007-07-27,67
2007-07-28,71
2007-07-29,70
2007-08-01,67
2007-08-02,66
2007-08-03,65
2007-08-04,65
2007-08-05,64
2007-08-06,63
2007-08-07,62
2007-08-08,61
2007-08-09,60
2007-08-10,59
2007-08-11,59
2007-08-12,58
2007-08-13,58
2007-08-14,58
2007-08-15,58
2007-08-16,58
2007-08-17,58
2007-08-18,58
2007-08-19,56
2007-08-20,54
2007-08-21,53
2007-08-22,51
2007-08-23,50
2007-08-24,48
2007-08-25,47
2007-08-26,49
2007-08-27,51
2007-08-28,57
2007-08-29,56
2007-08-30,59
2007-08-31,61
2007-09-01,64
2007-09-02,63
2007-09-03,62
2007-09-04,62
2007-09-05,60
2007-09-06,59
2007-09-07,58
2007-09-08,58
2007-09-09,58
2007-09-10,58
2007-09-11,59
2007-09-12,59
2007-09-13,60
2007-09-14,60
2007-09-15,61
2007-09-16,63
2007-09-17,66
2007-09-18,74
2007-09-19,71
2007-09-20,74
2007-09-21,77
2007-09-22,80
2007-09-23,84
2007-09-24,78
2007-09-25,77
2007-09-26,78
2007-09-27,75
2007-09-28,74
2007-09-29,77
2007-09-30,72
2007-10-01,71
2007-10-02,70
2007-10-03,69
2007-10-04,68
2007-10-05,67
2007-10-06,67
2007-10-07,70
2007-10-08,65
2007-10-09,65
2007-10-10,70
2007-10-11,64
2007-10-12,63
2007-10-13,63
2007-10-14,64
2007-10-15,65
2007-10-16,66
2007-10-17,67
2007-10-18,68
2007-10-19,69
2007-10-20,73
2007-10-21,69
2007-10-22,68
2007-10-23,67
2007-10-24,66
2007-10-25,65
2007-10-26,64
2007-10-27,63
2007-10-28,64
2007-10-29,66
2007-10-30,70
2007-10-31,68
2007-11-01,69
2007-11-02,70
2007-11-03,72
2007-11-04,70
2007-11-05,69
2007-11-06,68
2007-11-07,68
2007-11-08,66
2007-11-09,64
2007-11-10,63
2007-11-11,64
2007-11-12,66
2007-11-13,68
2007-11-14,71
2007-11-15,72
2007-11-16,77
2007-11-17,76
2007-11-18,75
2007-11-19,74
2007-11-20,73
2007-11-21,72
2007-11-22,77
2007-11-23,70
2007-11-24,69
2007-11-25,71
2007-11-26,73
2007-11-27,75
2007-11-28,77
2007-11-29,79
2007-11-30,82
2007-12-01,84
2007-12-02,89
2007-12-03,82
2007-12-04,81
2007-12-05,80
2007-12-06,79
2007-12-07,78
2007-12-08,81
2007-12-09,77
2007-12-10,77
2007-12-11,77
2007-12-12,76
2007-12-13,76
2007-12-14,76
2007-12-15,76
2007-12-16,78
2007-12-17,83
2007-12-18,80
2007-12-19,82
2007-12-20,83
2007-12-21,85
2007-12-22,87
2007-12-23,83
2007-12-24,80
2007-12-25,77
2007-12-26,74
2007-12-27,77
2007-12-28,68
2007-12-29,68
2007-12-30,65
2007-12-31,65
2008-01-01,65
2008-01-02,65
2008-01-03,65
2008-01-04,65
2008-01-05,65
2008-01-06,63
2008-01-07,62
2008-01-08,60
2008-01-09,59
2008-01-10,57
2008-01-11,56
2008-01-12,55
2008-01-13,56
2008-01-14,60
2008-01-15,58
2008-01-16,59
2008-01-17,62
2008-01-18,61
2008-01-19,63
2008-01-20,63
2008-01-21,65
2008-01-22,63
2008-01-23,63
2008-01-24,64
2008-01-25,63
2008-01-26,64
2008-01-27,64
2008-01-28,64
2008-01-29,64
2008-01-30,69
2008-01-31,65
2008-02-01,65
2008-02-02,66
2008-02-03,66
2008-02-04,66
2008-02-05,67
2008-02-06,71
2008-02-07,68
2008-02-08,68
2008-02-09,69
2008-02-10,69
2008-02-11,70
2008-02-12,64
2008-02-13,62
2008-02-14,61
2008-02-15,59
2008-02-16,58
2008-02-17,59
2008-02-18,60
2008-02-19,67
2008-02-20,63
2008-02-21,65
2008-02-22,66
2008-02-23,68
2008-02-24,68
2008-02-25,68
2008-02-26,71
2008-02-27,69
2008-02-28,69
2008-02-29,69
2008-03-01,70
2008-03-02,69
2008-03-03,68
2008-03-04,67
2008-03-05,66
2008-03-06,67
2008-03-07,65
2008-03-08,63
2008-03-09,66
2008-03-10,69
2008-03-11,72
2008-03-12,78
2008-03-13,78
2008-03-14,81
2008-03-15,85
2008-03-16,85
2008-03-17,74
2008-03-18,69
2008-03-19,64
2008-03-20,59
2008-03-21,55
2008-03-22,49
2008-03-23,51
2008-03-24,55
2008-03-25,57
2008-03-26,63
2008-03-27,63
2008-03-28,66
2008-03-29,69
2008-03-30,70
2008-03-31,71
2008-04-01,72
2008-04-02,73
2008-04-03,74
2008-04-04,75
2008-04-05,79
2008-04-06,77
2008-04-07,77
2008-04-08,77
2008-04-09,80
2008-04-10,77
2008-04-11,77
2008-04-12,82
2008-04-13,74
2008-04-14,71
2008-04-15,67
2008-04-16,64
2008-04-17,60
2008-04-18,57
2008-04-19,56
2008-04-20,58
2008-04-21,62
2008-04-22,66
2008-04-23,70
2008-04-24,78
2008-04-25,78
2008-04-26,83
2008-04-27,82
2008-04-28,81
2008-04-29,87
2008-04-30,80
2008-05-01,79
2008-05-02,78
2008-05-03,81
2008-05-04,75
2008-05-05,73
2008-05-06,71
2008-05-07,68
2008-05-08,65
2008-05-09,69
2008-05-10,61
2008-05-11,64
2008-05-12,70
2008-05-13,74
2008-05-14,73
2008-05-15,76
2008-05-16,79
2008-05-17,82
2008-05-18,88
2008-05-19,82
2008-05-20,82
2008-05-21,82
2008-05-22,85
2008-05-23,82
2008-05-24,83
2008-05-25,89
2008-05-26,80
2008-05-27,83
2008-05-28,78
2008-05-29,77
2008-05-30,76
2008-05-31,75
2008-06-01,75
2008-06-02,76
2008-06-03,76
2008-06-04,77
2008-06-05,79
2008-06-06,78
2008-06-07,79
2008-06-08,78
2008-06-09,83
2008-06-10,76
2008-06-11,78
2008-06-12,75
2008-06-13,78
2008-06-14,74
2008-06-15,75
2008-06-16,76
2008-06-17,81
2008-06-18,80
2008-06-19,79
2008-06-20,80
2008-06-21,82
2008-06-22,80
2008-06-23,83
2008-06-24,79
2008-06-25,80
2008-06-26,78
2008-06-27,82
2008-06-28,78
2008-06-29,80
2008-06-30,79
2008-07-01,81
2008-07-02,83
2008-07-03,81
2008-07-04,82
2008-07-05,83
2008-07-06,87
2008-07-07,85
2008-07-08,86
2008-07-09,88
2008-07-10,89
2008-07-11,94
2008-07-12,92
2008-07-13,88
2008-07-14,92
2008-07-15,87
2008-07-16,78
2008-07-17,74
2008-07-18,78
2008-07-19,68
2008-07-20,69
2008-07-21,71
2008-07-22,73
2008-07-23,75
2008-07-24,77
2008-07-25,87
2008-07-26,81
2008-07-27,82
2008-07-28,84
2008-07-29,87
2008-07-30,87
2008-07-31,88
2008-08-01,90
2008-08-02,92
2008-08-03,96
2008-08-04,92
2008-08-05,93
2008-08-06,100
2008-08-07,94
2008-08-08,94
2008-08-09,100
2008-08-10,99
2008-08-11,92
2008-08-12,91
2008-08-13,89
2008-08-14,91
2008-08-15,93
2008-08-16,86
2008-08-17,84
2008-08-18,83
2008-08-19,88
2008-08-20,82
2008-08-21,80
2008-08-22,79
2008-08-23,82
2008-08-24,81
2008-08-25,84
2008-08-26,87
2008-08-27,98
2008-08-28,93
2008-08-29,107
2008-08-30,100
2008-08-31,98
2008-09-01,96
2008-09-02,94
2008-09-03,94
2008-09-04,96
2008-09-05,88
2008-09-06,87
2008-09-07,85
2008-09-08,83
2008-09-09,85
2008-09-10,80
2008-09-11,79
2008-09-12,77
2008-09-13,81
2008-09-14,78
2008-09-15,80
2008-09-16,88
2008-09-17,84
2008-09-18,88
2008-09-19,90
2008-09-20,90
2008-09-21,95
2008-09-22,88
2008-09-23,87
2008-09-24,90
2008-09-25,85
2008-09-26,90
2008-09-27,83
2008-09-28,81
2008-09-29,82
2008-09-30,77
2008-10-01,75
2008-10-02,74
2008-10-03,74
2008-10-04,69
2008-10-05,71
2008-10-06,73
2008-10-07,75
2008-10-08,81
2008-10-09,79
2008-10-10,81
2008-10-11,87
2008-10-12,83
2008-10-13,87
2008-10-14,83
2008-10-15,92
2008-10-16,83
2008-10-17,83
2008-10-18,83
2008-10-19,91
2008-10-20,79
2008-10-21,77
2008-10-22,79
2008-10-23,76
2008-10-24,72
2008-10-25,77
2008-10-26,74
2008-10-27,77
2008-10-28,82
2008-10-29,83
2008-10-30,90
2008-10-31,89
