Date,Proofpoint
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,0
2011-09-06,0
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,0
2011-09-13,0
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,0
2011-09-21,0
2011-09-22,0
2011-09-23,0
2011-09-24,0
2011-09-25,0
2011-09-26,0
2011-09-27,0
2011-09-28,0
2011-09-29,0
2011-09-30,0
2011-10-01,0
2011-10-02,1
2011-10-03,2
2011-10-04,3
2011-10-05,4
2011-10-06,5
2011-10-07,6
2011-10-08,7
2011-10-09,9
2011-10-10,10
2011-10-11,11
2011-10-12,12
2011-10-13,13
2011-10-14,14
2011-10-15,15
2011-10-16,16
2011-10-17,18
2011-10-18,19
2011-10-19,20
2011-10-20,21
2011-10-21,22
2011-10-22,23
2011-10-23,24
2011-10-24,25
2011-10-25,27
2011-10-26,28
2011-10-27,29
2011-10-28,30
2011-10-29,31
2011-10-30,32
2011-10-31,33
2011-11-01,35
2011-11-02,35
2011-11-03,35
2011-11-04,35
2011-11-05,35
2011-11-06,35
2011-11-07,35
2011-11-08,35
2011-11-09,35
2011-11-10,35
2011-11-11,35
2011-11-12,35
2011-11-13,35
2011-11-14,35
2011-11-15,35
2011-11-16,36
2011-11-17,36
2011-11-18,36
2011-11-19,36
2011-11-20,36
2011-11-21,36
2011-11-22,36
2011-11-23,36
2011-11-24,36
2011-11-25,36
2011-11-26,36
2011-11-27,36
2011-11-28,36
2011-11-29,36
2011-11-30,36
2011-12-01,37
2011-12-02,37
2011-12-03,37
2011-12-04,37
2011-12-05,37
2011-12-06,37
2011-12-07,37
2011-12-08,37
2011-12-09,37
2011-12-10,37
2011-12-11,37
2011-12-12,37
2011-12-13,37
2011-12-14,37
2011-12-15,37
2011-12-16,37
2011-12-17,38
2011-12-18,38
2011-12-19,38
2011-12-20,38
2011-12-21,38
2011-12-22,38
2011-12-23,38
2011-12-24,38
2011-12-25,38
2011-12-26,38
2011-12-27,38
2011-12-28,38
2011-12-29,38
2011-12-30,38
2011-12-31,38
2012-01-01,39
2012-01-02,39
2012-01-03,39
2012-01-04,39
2012-01-05,39
2012-01-06,39
2012-01-07,39
2012-01-08,39
2012-01-09,39
2012-01-10,39
2012-01-11,39
2012-01-12,39
2012-01-13,39
2012-01-14,39
2012-01-15,39
2012-01-16,39
2012-01-17,40
2012-01-18,40
2012-01-19,40
2012-01-20,40
2012-01-21,40
2012-01-22,40
2012-01-23,40
2012-01-24,40
2012-01-25,40
2012-01-26,40
2012-01-27,40
2012-01-28,40
2012-01-29,40
2012-01-30,40
2012-01-31,40
2012-02-01,41
2012-02-02,41
2012-02-03,41
2012-02-04,41
2012-02-05,41
2012-02-06,41
2012-02-07,41
2012-02-08,41
2012-02-09,41
2012-02-10,41
2012-02-11,42
2012-02-12,42
2012-02-13,42
2012-02-14,42
2012-02-15,42
2012-02-16,42
2012-02-17,42
2012-02-18,42
2012-02-19,42
2012-02-20,42
2012-02-21,43
2012-02-22,43
2012-02-23,43
2012-02-24,43
2012-02-25,43
2012-02-26,43
2012-02-27,43
2012-02-28,43
2012-02-29,43
2012-03-01,44
2012-03-02,45
2012-03-03,47
2012-03-04,49
2012-03-05,51
2012-03-06,53
2012-03-07,54
2012-03-08,56
2012-03-09,58
2012-03-10,60
2012-03-11,62
2012-03-12,63
2012-03-13,65
2012-03-14,67
2012-03-15,69
2012-03-16,71
2012-03-17,72
2012-03-18,74
2012-03-19,76
2012-03-20,78
2012-03-21,80
2012-03-22,81
2012-03-23,83
2012-03-24,85
2012-03-25,87
2012-03-26,89
2012-03-27,90
2012-03-28,92
2012-03-29,94
2012-03-30,96
2012-03-31,98
2012-04-01,100
2012-04-02,97
2012-04-03,95
2012-04-04,93
2012-04-05,90
2012-04-06,88
2012-04-07,86
2012-04-08,83
2012-04-09,81
2012-04-10,79
2012-04-11,76
2012-04-12,74
2012-04-13,72
2012-04-14,69
2012-04-15,67
2012-04-16,65
2012-04-17,62
2012-04-18,60
2012-04-19,58
2012-04-20,55
2012-04-21,53
2012-04-22,51
2012-04-23,48
2012-04-24,46
2012-04-25,44
2012-04-26,41
2012-04-27,39
2012-04-28,37
2012-04-29,34
2012-04-30,32
2012-05-01,30
2012-05-02,30
2012-05-03,30
2012-05-04,30
2012-05-05,31
2012-05-06,31
2012-05-07,31
2012-05-08,32
2012-05-09,32
2012-05-10,32
2012-05-11,33
2012-05-12,33
2012-05-13,33
2012-05-14,34
2012-05-15,34
2012-05-16,34
2012-05-17,35
2012-05-18,35
2012-05-19,35
2012-05-20,36
2012-05-21,36
2012-05-22,36
2012-05-23,37
2012-05-24,37
2012-05-25,37
2012-05-26,38
2012-05-27,38
2012-05-28,38
2012-05-29,39
2012-05-30,39
2012-05-31,39
2012-06-01,40
2012-06-02,39
2012-06-03,39
2012-06-04,39
2012-06-05,39
2012-06-06,39
2012-06-07,39
2012-06-08,39
2012-06-09,38
2012-06-10,38
2012-06-11,38
2012-06-12,38
2012-06-13,38
2012-06-14,38
2012-06-15,38
2012-06-16,38
2012-06-17,37
2012-06-18,37
2012-06-19,37
2012-06-20,37
2012-06-21,37
2012-06-22,37
2012-06-23,37
2012-06-24,36
2012-06-25,36
2012-06-26,36
2012-06-27,36
2012-06-28,36
2012-06-29,36
2012-06-30,36
2012-07-01,36
2012-07-02,36
2012-07-03,36
2012-07-04,36
2012-07-05,36
2012-07-06,36
2012-07-07,37
2012-07-08,37
2012-07-09,37
2012-07-10,37
2012-07-11,37
2012-07-12,38
2012-07-13,38
2012-07-14,38
2012-07-15,38
2012-07-16,38
2012-07-17,39
2012-07-18,39
2012-07-19,39
2012-07-20,39
2012-07-21,39
2012-07-22,40
2012-07-23,40
2012-07-24,40
2012-07-25,40
2012-07-26,40
2012-07-27,41
2012-07-28,41
2012-07-29,41
2012-07-30,41
2012-07-31,41
2012-08-01,42
2012-08-02,42
2012-08-03,42
2012-08-04,42
2012-08-05,42
2012-08-06,42
2012-08-07,43
2012-08-08,43
2012-08-09,43
2012-08-10,43
2012-08-11,43
2012-08-12,44
2012-08-13,44
2012-08-14,44
2012-08-15,44
2012-08-16,44
2012-08-17,45
2012-08-18,45
2012-08-19,45
2012-08-20,45
2012-08-21,45
2012-08-22,46
2012-08-23,46
2012-08-24,46
2012-08-25,46
2012-08-26,46
2012-08-27,47
2012-08-28,47
2012-08-29,47
2012-08-30,47
2012-08-31,47
2012-09-01,48
2012-09-02,48
2012-09-03,48
2012-09-04,48
2012-09-05,48
2012-09-06,49
2012-09-07,49
2012-09-08,49
2012-09-09,49
2012-09-10,49
2012-09-11,50
2012-09-12,50
2012-09-13,50
2012-09-14,50
2012-09-15,50
2012-09-16,51
2012-09-17,51
2012-09-18,51
2012-09-19,51
2012-09-20,51
2012-09-21,52
2012-09-22,52
2012-09-23,52
2012-09-24,52
2012-09-25,52
2012-09-26,53
2012-09-27,53
2012-09-28,53
2012-09-29,53
2012-09-30,53
2012-10-01,54
2012-10-02,53
2012-10-03,52
2012-10-04,51
2012-10-05,50
2012-10-06,49
2012-10-07,48
2012-10-08,48
2012-10-09,47
2012-10-10,46
2012-10-11,45
2012-10-12,44
2012-10-13,43
2012-10-14,43
2012-10-15,42
2012-10-16,41
2012-10-17,40
2012-10-18,39
2012-10-19,38
2012-10-20,38
2012-10-21,37
2012-10-22,36
2012-10-23,35
2012-10-24,34
2012-10-25,33
2012-10-26,33
2012-10-27,32
2012-10-28,31
2012-10-29,30
2012-10-30,29
2012-10-31,28
2012-11-01,28
2012-11-02,28
2012-11-03,28
2012-11-04,28
2012-11-05,28
2012-11-06,28
2012-11-07,28
2012-11-08,28
2012-11-09,28
2012-11-10,28
2012-11-11,28
2012-11-12,28
2012-11-13,28
2012-11-14,28
2012-11-15,28
2012-11-16,28
2012-11-17,28
2012-11-18,28
2012-11-19,28
2012-11-20,28
2012-11-21,28
2012-11-22,28
2012-11-23,28
2012-11-24,28
2012-11-25,28
2012-11-26,28
2012-11-27,28
2012-11-28,28
2012-11-29,28
2012-11-30,28
2012-12-01,28
2012-12-02,28
2012-12-03,28
2012-12-04,28
2012-12-05,29
2012-12-06,29
2012-12-07,29
2012-12-08,30
2012-12-09,30
2012-12-10,30
2012-12-11,31
2012-12-12,31
2012-12-13,31
2012-12-14,32
2012-12-15,32
2012-12-16,32
2012-12-17,33
2012-12-18,33
2012-12-19,33
2012-12-20,34
2012-12-21,34
2012-12-22,34
2012-12-23,35
2012-12-24,35
2012-12-25,35
2012-12-26,36
2012-12-27,36
2012-12-28,36
2012-12-29,37
2012-12-30,37
2012-12-31,37
2013-01-01,38
2013-01-02,38
2013-01-03,38
2013-01-04,38
2013-01-05,39
2013-01-06,39
2013-01-07,39
2013-01-08,40
2013-01-09,40
2013-01-10,40
2013-01-11,40
2013-01-12,41
2013-01-13,41
2013-01-14,41
2013-01-15,42
2013-01-16,42
2013-01-17,42
2013-01-18,42
2013-01-19,43
2013-01-20,43
2013-01-21,43
2013-01-22,44
2013-01-23,44
2013-01-24,44
2013-01-25,44
2013-01-26,45
2013-01-27,45
2013-01-28,45
2013-01-29,46
2013-01-30,46
2013-01-31,46
2013-02-01,47
2013-02-02,46
2013-02-03,45
2013-02-04,44
2013-02-05,44
2013-02-06,43
2013-02-07,42
2013-02-08,42
2013-02-09,41
2013-02-10,40
2013-02-11,39
2013-02-12,39
2013-02-13,38
2013-02-14,37
2013-02-15,37
2013-02-16,36
2013-02-17,35
2013-02-18,34
2013-02-19,34
2013-02-20,33
2013-02-21,32
2013-02-22,32
2013-02-23,31
2013-02-24,30
2013-02-25,29
2013-02-26,29
2013-02-27,28
2013-02-28,27
2013-03-01,27
2013-03-02,27
2013-03-03,28
2013-03-04,28
2013-03-05,29
2013-03-06,29
2013-03-07,30
2013-03-08,31
2013-03-09,31
2013-03-10,32
2013-03-11,32
2013-03-12,33
2013-03-13,33
2013-03-14,34
2013-03-15,35
2013-03-16,35
2013-03-17,36
2013-03-18,36
2013-03-19,37
2013-03-20,38
2013-03-21,38
2013-03-22,39
2013-03-23,39
2013-03-24,40
2013-03-25,40
2013-03-26,41
2013-03-27,42
2013-03-28,42
2013-03-29,43
2013-03-30,43
2013-03-31,44
2013-04-01,45
2013-04-02,44
2013-04-03,43
2013-04-04,43
2013-04-05,42
2013-04-06,42
2013-04-07,41
2013-04-08,41
2013-04-09,40
2013-04-10,40
2013-04-11,39
2013-04-12,39
2013-04-13,38
2013-04-14,38
2013-04-15,37
2013-04-16,37
2013-04-17,36
2013-04-18,35
2013-04-19,35
2013-04-20,34
2013-04-21,34
2013-04-22,33
2013-04-23,33
2013-04-24,32
2013-04-25,32
2013-04-26,31
2013-04-27,31
2013-04-28,30
2013-04-29,30
2013-04-30,29
2013-05-01,29
