Date,VistaPrint
2004-12-05,34
2004-12-06,33
2004-12-07,32
2004-12-08,31
2004-12-09,30
2004-12-10,29
2004-12-11,28
2004-12-12,28
2004-12-13,29
2004-12-14,30
2004-12-15,30
2004-12-16,31
2004-12-17,32
2004-12-18,33
2004-12-19,34
2004-12-20,36
2004-12-21,38
2004-12-22,39
2004-12-23,41
2004-12-24,43
2004-12-25,45
2004-12-26,43
2004-12-27,42
2004-12-28,41
2004-12-29,40
2004-12-30,38
2004-12-31,37
2005-01-01,36
2005-01-02,36
2005-01-03,36
2005-01-04,36
2005-01-05,37
2005-01-06,37
2005-01-07,37
2005-01-08,38
2005-01-09,37
2005-01-10,37
2005-01-11,37
2005-01-12,37
2005-01-13,37
2005-01-14,37
2005-01-15,37
2005-01-16,38
2005-01-17,39
2005-01-18,41
2005-01-19,42
2005-01-20,44
2005-01-21,45
2005-01-22,47
2005-01-23,46
2005-01-24,45
2005-01-25,44
2005-01-26,44
2005-01-27,43
2005-01-28,42
2005-01-29,42
2005-01-30,42
2005-01-31,42
2005-02-01,42
2005-02-02,43
2005-02-03,43
2005-02-04,43
2005-02-05,44
2005-02-06,43
2005-02-07,42
2005-02-08,42
2005-02-09,41
2005-02-10,41
2005-02-11,40
2005-02-12,40
2005-02-13,42
2005-02-14,44
2005-02-15,47
2005-02-16,49
2005-02-17,52
2005-02-18,54
2005-02-19,56
2005-02-20,53
2005-02-21,49
2005-02-22,46
2005-02-23,43
2005-02-24,40
2005-02-25,37
2005-02-26,34
2005-02-27,35
2005-03-06,43
2005-03-07,41
2005-03-08,39
2005-03-09,36
2005-03-10,34
2005-03-11,32
2005-03-12,30
2005-03-13,31
2005-03-14,32
2005-03-15,33
2005-03-16,35
2005-03-17,36
2005-03-18,37
2005-03-19,39
2005-03-20,39
2005-03-21,39
2005-03-22,39
2005-03-23,39
2005-03-24,40
2005-03-25,40
2005-03-26,40
2005-03-27,40
2005-03-28,40
2005-03-29,40
2005-03-30,41
2005-03-31,41
2005-04-01,41
2005-04-02,42
2005-04-03,41
