Date,Ruckus Wireless
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,0
2012-04-11,0
2012-04-12,0
2012-04-13,0
2012-04-14,0
2012-04-15,0
2012-04-16,0
2012-04-17,0
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-21,0
2012-04-22,0
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0
2012-05-01,0
2012-05-02,0
2012-05-03,0
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,2
2012-09-03,4
2012-09-04,6
2012-09-05,8
2012-09-06,10
2012-09-07,12
2012-09-08,14
2012-09-09,16
2012-09-10,18
2012-09-11,20
2012-09-12,22
2012-09-13,24
2012-09-14,26
2012-09-15,28
2012-09-16,30
2012-09-17,32
2012-09-18,34
2012-09-19,36
2012-09-20,38
2012-09-21,40
2012-09-22,42
2012-09-23,44
2012-09-24,46
2012-09-25,48
2012-09-26,50
2012-09-27,52
2012-09-28,54
2012-09-29,56
2012-09-30,58
2012-10-01,61
2012-10-02,62
2012-10-03,63
2012-10-04,64
2012-10-05,66
2012-10-06,67
2012-10-07,68
2012-10-08,69
2012-10-09,71
2012-10-10,72
2012-10-11,73
2012-10-12,74
2012-10-13,76
2012-10-14,77
2012-10-15,78
2012-10-16,79
2012-10-17,81
2012-10-18,82
2012-10-19,83
2012-10-20,84
2012-10-21,86
2012-10-22,87
2012-10-23,88
2012-10-24,89
2012-10-25,91
2012-10-26,92
2012-10-27,93
2012-10-28,94
2012-10-29,96
2012-10-30,97
2012-10-31,98
2012-11-01,100
2012-11-02,98
2012-11-03,96
2012-11-04,95
2012-11-05,93
2012-11-06,92
2012-11-07,90
2012-11-08,88
2012-11-09,87
2012-11-10,85
2012-11-11,84
2012-11-12,82
2012-11-13,80
2012-11-14,79
2012-11-15,77
2012-11-16,76
2012-11-17,74
2012-11-18,72
2012-11-19,71
2012-11-20,69
2012-11-21,68
2012-11-22,66
2012-11-23,64
2012-11-24,63
2012-11-25,61
2012-11-26,60
2012-11-27,58
2012-11-28,56
2012-11-29,55
2012-11-30,53
2012-12-01,52
2012-12-02,51
2012-12-03,51
2012-12-04,51
2012-12-05,51
2012-12-06,51
2012-12-07,51
2012-12-08,50
2012-12-09,50
2012-12-10,50
2012-12-11,50
2012-12-12,50
2012-12-13,50
2012-12-14,49
2012-12-15,49
2012-12-16,49
2012-12-17,49
2012-12-18,49
2012-12-19,49
2012-12-20,48
2012-12-21,48
2012-12-22,48
2012-12-23,48
2012-12-24,48
2012-12-25,48
2012-12-26,47
2012-12-27,47
2012-12-28,47
2012-12-29,47
2012-12-30,47
2012-12-31,47
2013-01-01,47
2013-01-02,47
2013-01-03,47
