Date,Solazyme
2010-09-05,17
2010-09-06,20
2010-09-07,23
2010-09-08,26
2010-09-09,29
2010-09-10,32
2010-09-11,35
2010-09-12,35
2010-09-13,35
2010-09-14,34
2010-09-15,34
2010-09-16,34
2010-09-17,34
2010-09-18,34
2010-09-19,31
2010-09-20,28
2010-09-21,25
2010-09-22,22
2010-09-23,19
2010-09-24,16
2010-09-25,13
2010-09-26,14
2010-09-27,14
2010-09-28,15
2010-09-29,16
2010-09-30,17
2010-10-01,18
2010-10-02,19
2010-10-03,19
2010-10-04,19
2010-10-05,19
2010-10-06,19
2010-10-07,19
2010-10-08,19
2010-10-09,19
2010-10-10,18
2010-10-11,17
2010-10-12,17
2010-10-13,16
2010-10-14,16
2010-10-15,15
2010-10-16,15
2010-10-17,15
2010-10-18,15
2010-10-19,15
2010-10-20,15
2010-10-21,15
2010-10-22,15
2010-10-23,15
2010-10-24,17
2010-10-25,19
2010-10-26,22
2010-10-27,24
2010-10-28,26
2010-10-29,29
2010-10-30,31
2010-10-31,29
2010-11-01,27
2010-11-02,26
2010-11-03,24
2010-11-04,23
2010-11-05,21
2010-11-06,20
2010-11-07,20
2010-11-08,20
2010-11-09,21
2010-11-10,21
2010-11-11,22
2010-11-12,22
2010-11-13,23
2010-11-14,22
2010-11-15,21
2010-11-16,20
2010-11-17,19
2010-11-18,18
2010-11-19,17
2010-11-20,16
2010-11-21,15
2010-11-22,15
2010-11-23,14
2010-11-24,14
2010-11-25,13
2010-11-26,13
2010-11-27,13
2010-11-28,13
2010-12-05,14
2010-12-06,15
2010-12-07,16
2010-12-08,17
2010-12-09,18
2010-12-10,19
2010-12-11,21
2010-12-12,19
2010-12-13,18
2010-12-14,16
2010-12-15,15
2010-12-16,13
2010-12-17,12
2010-12-18,11
2010-12-19,11
2010-12-20,11
2010-12-21,11
2010-12-22,12
2010-12-23,12
2010-12-24,12
2010-12-25,13
2010-12-26,12
2010-12-27,12
2010-12-28,11
2010-12-29,11
2010-12-30,10
2010-12-31,10
2011-01-01,10
2011-01-02,10
2011-01-03,10
2011-01-04,10
2011-01-05,10
2011-01-06,10
2011-01-07,10
2011-01-08,10
2011-01-09,10
2011-01-10,10
2011-01-11,10
2011-01-12,10
2011-01-13,10
2011-01-14,10
2011-01-15,11
2011-01-16,10
2011-01-17,10
2011-01-18,10
2011-01-19,10
2011-01-20,10
2011-01-21,10
2011-01-22,10
2011-01-23,10
2011-01-24,11
2011-01-25,12
2011-01-26,12
2011-01-27,13
2011-01-28,14
2011-01-29,15
2011-01-30,15
2011-01-31,15
2011-02-01,16
2011-02-02,16
2011-02-03,16
2011-02-04,16
2011-02-05,17
2011-02-06,16
2011-02-07,16
2011-02-08,15
2011-02-09,15
2011-02-10,14
2011-02-11,14
2011-02-12,14
2011-02-13,15
2011-02-14,17
2011-02-15,19
2011-02-16,21
2011-02-17,22
2011-02-18,24
2011-02-19,26
2011-02-20,25
2011-02-21,23
2011-02-22,21
2011-02-23,20
2011-02-24,18
2011-02-25,17
2011-02-26,16
2011-02-27,15
2011-03-06,14
2011-03-07,14
2011-03-08,14
2011-03-09,13
2011-03-10,13
2011-03-11,13
2011-03-12,13
2011-03-13,14
2011-03-14,16
2011-03-15,17
2011-03-16,19
2011-03-17,20
2011-03-18,22
2011-03-19,24
2011-03-20,24
2011-03-21,25
2011-03-22,25
2011-03-23,26
2011-03-24,27
2011-03-25,27
2011-03-26,28
2011-03-27,26
2011-03-28,25
2011-03-29,23
2011-03-30,22
2011-03-31,20
2011-04-01,19
2011-04-02,18
2011-04-03,18
2011-04-04,18
2011-04-05,18
2011-04-06,18
2011-04-07,18
2011-04-08,19
2011-04-09,19
2011-04-10,18
2011-04-11,18
2011-04-12,17
2011-04-13,17
2011-04-14,16
2011-04-15,16
2011-04-16,16
2011-04-17,18
2011-04-18,20
2011-04-19,22
2011-04-20,24
2011-04-21,26
2011-04-22,28
2011-04-23,31
2011-04-24,32
2011-04-25,33
2011-04-26,34
2011-04-27,35
2011-04-28,36
2011-04-29,37
2011-04-30,38
2011-05-01,35
2011-05-02,31
2011-05-03,28
2011-05-04,25
2011-05-05,22
2011-05-06,19
2011-05-07,16
2011-05-08,16
2011-05-09,17
2011-05-10,18
2011-05-11,19
2011-05-12,20
2011-05-13,21
2011-05-14,22
2011-05-15,23
2011-05-16,25
2011-05-17,27
2011-05-18,28
2011-05-19,30
2011-05-20,32
2011-05-21,34
2011-05-22,43
2011-05-23,53
2011-05-24,63
2011-05-25,72
2011-05-26,82
2011-05-27,92
2011-05-28,101
2011-05-29,95
2011-06-05,52
2011-06-06,50
2011-06-07,46
2011-06-08,43
2011-06-09,40
2011-06-10,36
2011-06-11,33
2011-06-12,31
2011-06-13,29
2011-06-14,27
2011-06-15,25
2011-06-16,23
2011-06-17,21
2011-06-18,20
2011-06-19,19
2011-06-20,19
2011-06-21,19
2011-06-22,18
2011-06-23,18
2011-06-24,18
2011-06-25,18
2011-06-26,17
2011-06-27,16
2011-06-28,15
2011-06-29,15
2011-06-30,14
2011-07-01,13
2011-07-02,13
2011-07-03,14
2011-07-04,15
2011-07-05,17
2011-07-06,18
2011-07-07,20
2011-07-08,21
2011-07-09,23
2011-07-10,22
2011-07-11,22
2011-07-12,21
2011-07-13,21
2011-07-14,20
2011-07-15,20
2011-07-16,20
2011-07-17,20
2011-07-18,20
2011-07-19,20
2011-07-20,20
2011-07-21,20
2011-07-22,20
2011-07-23,20
2011-07-24,19
2011-07-25,19
2011-07-26,19
2011-07-27,18
2011-07-28,18
2011-07-29,18
2011-07-30,18
2011-07-31,18
2011-08-01,19
2011-08-02,20
2011-08-03,21
2011-08-04,21
2011-08-05,22
2011-08-06,23
2011-08-07,21
2011-08-08,20
2011-08-09,19
2011-08-10,17
2011-08-11,16
2011-08-12,15
2011-08-13,14
2011-08-14,14
2011-08-15,15
2011-08-16,15
2011-08-17,16
2011-08-18,16
2011-08-19,17
2011-08-20,18
2011-08-21,18
2011-08-22,18
2011-08-23,19
2011-08-24,19
2011-08-25,20
2011-08-26,20
2011-08-27,21
2011-08-28,21
2011-09-04,21
2011-09-05,19
2011-09-06,18
2011-09-07,16
2011-09-08,15
2011-09-09,13
2011-09-10,12
2011-09-11,14
2011-09-12,16
2011-09-13,18
2011-09-14,20
2011-09-15,22
2011-09-16,24
2011-09-17,27
2011-09-18,25
2011-09-19,24
2011-09-20,23
2011-09-21,21
2011-09-22,20
2011-09-23,18
2011-09-24,17
2011-09-25,17
2011-09-26,16
2011-09-27,16
2011-09-28,16
2011-09-29,16
2011-09-30,16
2011-10-01,16
2011-10-02,15
2011-10-03,15
2011-10-04,15
2011-10-05,15
2011-10-06,15
2011-10-07,15
2011-10-08,15
2011-10-09,16
2011-10-10,17
2011-10-11,18
2011-10-12,19
2011-10-13,20
2011-10-14,22
2011-10-15,23
2011-10-16,21
2011-10-17,20
2011-10-18,18
2011-10-19,17
2011-10-20,15
2011-10-21,14
2011-10-22,13
2011-10-23,13
2011-10-24,14
2011-10-25,15
2011-10-26,15
2011-10-27,16
2011-10-28,17
2011-10-29,18
2011-10-30,17
2011-10-31,16
2011-11-01,15
2011-11-02,14
2011-11-03,13
2011-11-04,12
2011-11-05,11
2011-11-06,15
2011-11-07,19
2011-11-08,24
2011-11-09,28
2011-11-10,33
2011-11-11,37
2011-11-12,41
2011-11-13,40
2011-11-14,37
2011-11-15,35
2011-11-16,33
2011-11-17,32
2011-11-18,30
2011-11-19,28
2011-11-20,26
2011-11-21,24
2011-11-22,22
2011-11-23,20
2011-11-24,18
2011-11-25,16
2011-11-26,15
2011-11-27,15
2011-12-04,16
2011-12-05,16
2011-12-06,17
2011-12-07,17
2011-12-08,18
2011-12-09,18
2011-12-10,19
2011-12-11,19
2011-12-12,19
2011-12-13,19
2011-12-14,19
2011-12-15,19
2011-12-16,19
2011-12-17,20
2011-12-18,18
2011-12-19,17
2011-12-20,16
2011-12-21,14
2011-12-22,13
2011-12-23,12
2011-12-24,11
2011-12-25,11
2011-12-26,11
2011-12-27,11
2011-12-28,11
2011-12-29,11
2011-12-30,11
2011-12-31,11
2012-01-01,11
2012-01-02,12
2012-01-03,13
2012-01-04,13
2012-01-05,14
2012-01-06,15
2012-01-07,16
2012-01-08,15
2012-01-09,15
2012-01-10,15
2012-01-11,15
2012-01-12,15
2012-01-13,15
2012-01-14,15
2012-01-15,14
2012-01-16,14
2012-01-17,14
2012-01-18,14
2012-01-19,14
2012-01-20,14
2012-01-21,14
2012-01-22,14
2012-01-23,14
2012-01-24,15
2012-01-25,15
2012-01-26,16
2012-01-27,16
2012-01-28,17
2012-01-29,17
2012-01-30,17
2012-01-31,18
2012-02-01,18
2012-02-02,19
2012-02-03,19
2012-02-04,20
2012-02-05,18
2012-02-06,17
2012-02-07,16
2012-02-08,14
2012-02-09,13
2012-02-10,12
2012-02-11,11
2012-02-12,11
2012-02-13,12
2012-02-14,12
2012-02-15,13
2012-02-16,13
2012-02-17,14
2012-02-18,15
2012-02-19,16
2012-02-20,17
2012-02-21,18
2012-02-22,19
2012-02-23,20
2012-02-24,21
2012-02-25,22
2012-02-26,21
2012-03-04,17
2012-03-05,18
2012-03-06,19
2012-03-07,20
2012-03-08,21
2012-03-09,22
2012-03-10,23
2012-03-11,22
2012-03-12,22
2012-03-13,21
2012-03-14,21
2012-03-15,20
2012-03-16,20
2012-03-17,20
2012-03-18,19
2012-03-19,19
2012-03-20,19
2012-03-21,19
2012-03-22,19
2012-03-23,19
2012-03-24,19
2012-03-25,18
2012-03-26,18
2012-03-27,18
2012-03-28,17
2012-03-29,17
2012-03-30,17
2012-03-31,17
2012-04-01,18
2012-04-02,21
2012-04-03,22
2012-04-04,24
2012-04-05,26
2012-04-06,28
2012-04-07,30
2012-04-08,28
2012-04-09,25
2012-04-10,23
2012-04-11,21
2012-04-12,19
2012-04-13,17
2012-04-14,15
2012-04-15,15
2012-04-16,15
2012-04-17,15
2012-04-18,16
2012-04-19,16
2012-04-20,16
2012-04-21,17
2012-04-22,17
2012-04-23,17
2012-04-24,17
2012-04-25,17
2012-04-26,17
2012-04-27,17
2012-04-28,18
2012-04-29,18
2012-04-30,18
2012-05-01,18
2012-05-02,18
2012-05-03,18
2012-05-04,18
2012-05-05,19
2012-05-06,18
2012-05-07,18
2012-05-08,18
2012-05-09,17
2012-05-10,17
2012-05-11,17
2012-05-12,17
2012-05-13,17
2012-05-14,17
2012-05-15,17
2012-05-16,18
2012-05-17,18
2012-05-18,18
2012-05-19,19
2012-05-20,19
2012-05-21,19
2012-05-22,19
2012-05-23,19
2012-05-24,19
2012-05-25,20
2012-05-26,20
2012-05-27,19
2012-06-03,15
2012-06-04,15
2012-06-05,15
2012-06-06,15
2012-06-07,15
2012-06-08,15
2012-06-09,16
2012-06-10,16
2012-06-11,16
2012-06-12,16
2012-06-13,16
2012-06-14,16
2012-06-15,16
2012-06-16,17
2012-06-17,16
2012-06-18,15
2012-06-19,15
2012-06-20,14
2012-06-21,14
2012-06-22,13
2012-06-23,13
2012-06-24,13
2012-06-25,13
2012-06-26,13
2012-06-27,13
2012-06-28,13
2012-06-29,13
2012-06-30,13
2012-07-01,13
2012-07-02,14
2012-07-03,15
2012-07-04,16
2012-07-05,17
2012-07-06,18
2012-07-07,19
2012-07-08,18
2012-07-09,17
2012-07-10,16
2012-07-11,16
2012-07-12,15
2012-07-13,14
2012-07-14,14
2012-07-15,14
2012-07-16,15
2012-07-17,16
2012-07-18,16
2012-07-19,17
2012-07-20,18
2012-07-21,19
2012-07-22,17
2012-07-23,16
2012-07-24,15
2012-07-25,14
2012-07-26,12
2012-07-27,11
2012-07-28,10
2012-07-29,10
2012-07-30,10
2012-07-31,10
2012-08-01,10
2012-08-02,10
2012-08-03,10
2012-08-04,11
2012-08-05,11
2012-08-06,12
2012-08-07,13
2012-08-08,13
2012-08-09,14
2012-08-10,15
2012-08-11,16
2012-08-12,15
2012-08-13,15
2012-08-14,15
2012-08-15,14
2012-08-16,14
2012-08-17,14
2012-08-18,14
2012-08-19,14
2012-08-20,13
2012-08-21,13
2012-08-22,13
2012-08-23,13
2012-08-24,13
2012-08-25,13
2012-08-26,14
