Date,Vocus
2004-12-01,58
2004-12-02,58
2004-12-03,58
2004-12-04,58
2004-12-05,58
2004-12-06,58
2004-12-07,58
2004-12-08,58
2004-12-09,58
2004-12-10,58
2004-12-11,58
2004-12-12,59
2004-12-13,59
2004-12-14,59
2004-12-15,59
2004-12-16,59
2004-12-17,59
2004-12-18,59
2004-12-19,59
2004-12-20,59
2004-12-21,59
2004-12-22,60
2004-12-23,60
2004-12-24,60
2004-12-25,60
2004-12-26,60
2004-12-27,60
2004-12-28,60
2004-12-29,60
2004-12-30,60
2004-12-31,60
2005-01-01,61
2005-01-02,62
2005-01-03,63
2005-01-04,64
2005-01-05,65
2005-01-06,66
2005-01-07,67
2005-01-08,68
2005-01-09,69
2005-01-10,70
2005-01-11,71
2005-01-12,73
2005-01-13,74
2005-01-14,75
2005-01-15,76
2005-01-16,77
2005-01-17,78
2005-01-18,79
2005-01-19,80
2005-01-20,81
2005-01-21,82
2005-01-22,84
2005-01-23,85
2005-01-24,86
2005-01-25,87
2005-01-26,88
2005-01-27,89
2005-01-28,90
2005-01-29,91
2005-01-30,92
2005-01-31,93
2005-02-01,95
2005-02-02,94
2005-02-03,93
2005-02-04,92
2005-02-05,92
2005-02-06,91
2005-02-07,90
2005-02-08,90
2005-02-09,89
2005-02-10,88
2005-02-11,88
2005-02-12,87
2005-02-13,86
2005-02-14,86
2005-02-15,85
2005-02-16,84
2005-02-17,84
2005-02-18,83
2005-02-19,82
2005-02-20,82
2005-02-21,81
2005-02-22,80
2005-02-23,80
2005-02-24,79
2005-02-25,78
2005-02-26,78
2005-02-27,77
2005-02-28,76
2005-03-01,76
2005-03-02,75
2005-03-03,74
2005-03-04,74
2005-03-05,73
2005-03-06,73
2005-03-07,72
2005-03-08,71
2005-03-09,71
2005-03-10,70
2005-03-11,70
2005-03-12,69
2005-03-13,69
2005-03-14,68
2005-03-15,67
2005-03-16,67
2005-03-17,66
2005-03-18,66
2005-03-19,65
2005-03-20,64
2005-03-21,64
2005-03-22,63
2005-03-23,63
2005-03-24,62
2005-03-25,62
2005-03-26,61
2005-03-27,60
2005-03-28,60
2005-03-29,59
2005-03-30,59
2005-03-31,58
2005-04-01,58
2005-04-02,58
2005-04-03,58
2005-04-04,58
2005-04-05,58
2005-04-06,59
2005-04-07,59
2005-04-08,59
2005-04-09,59
2005-04-10,59
